Date,Global,US,GB,CA,SE,NL,AU,NO,IE,DE,BE,NZ,DK,CH,FI,IT,HU,AT,PL,PT,IS,ES,CZ,SK,LV,LT,GR,FR,RO,LU,EE,MT,BG,CY,AE,SG,HK,ZA,MY
Total,280695606,137036125,25555627,22977205,12428363,9733563,5371243,3325179,2683595,2301257,1673508,1240751,1195292,1017522,776451,653142,643901,576993,542319,483640,455134,356961,333738,302734,265479,238968,238794,234687,217548,145288,142505,69909,47485,42702,39019,33667,18076,17621,12921
Peak,34,17,39,15,34,29,44,67,34,93,33,40,122,41,50,90,22,58,51,56,50,111,51,36,26,38,47,106,46,30,44,44,78,39,130,176,198,116,136
2014/12/07,,,,,124,,,174,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/12/14,,,,,109,,,153,137,,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,
2014/12/21,,,,,77,,,121,121,,,,,,,,,,,,106,,,,,,,,,,,,,,,,,,
2014/12/28,119,112,67,122,58,157,200,98,90,,127,196,161,130,,161,183,171,131,150,115,,,,,,,106,,,,,,,,,,,
2015/12/03,,,,,133,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,
2015/12/10,,168,128,,123,,,185,129,,,,,,,,,,,,86,,,144,,,150,,,,,148,,,,,,,
2015/12/17,173,147,127,172,99,194,,156,132,,,,,,,,,,199,,87,,107,114,190,,114,,,,,152,,,,,,,
2015/12/24,87,73,75,70,61,115,154,89,88,,89,111,185,86,,,57,157,87,59,55,111,63,36,71,140,90,180,,75,123,124,,,,,,,136
2015/12/31,198,188,116,103,,131,,,174,,161,,,187,,,,,,191,,156,,,,,133,,,,,,,,,,,,
2016/12/01,,193,,200,89,,,,,,,,,,,,,,,,176,,,,,,196,,,,,,,,,,,,
2016/12/08,186,132,163,111,83,,,163,180,,,,,,,,177,,174,,128,,144,109,190,,129,,,186,,107,,,,,,,
2016/12/15,175,132,125,107,67,,,139,136,,,,,,,,165,,123,,92,,162,109,149,173,134,,,146,,99,,,,,,,
2016/12/22,129,111,83,67,51,163,,116,92,,114,180,,138,,,70,183,58,100,62,,82,66,83,114,79,,,84,158,69,,,,,,,
2016/12/29,76,73,58,32,34,79,81,95,71,,42,71,,41,,,22,163,51,57,54,129,64,47,34,57,47,179,,30,80,54,86,39,,,,,
2017/11/30,,114,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/12/07,200,93,190,130,69,,,,,,,,,,,,110,,,,,,116,86,87,84,104,,,152,122,88,186,117,,,,,
2017/12/14,161,79,144,80,64,126,,,178,,120,,,,,,100,,,,177,,97,80,72,69,87,,,107,109,76,178,99,,,,,
2017/12/21,151,74,130,73,54,148,,187,163,,125,,,,,,70,,,,145,,76,61,63,62,89,,,118,92,83,169,106,,,,,
2017/12/28,71,57,76,30,38,56,83,114,101,,47,91,140,154,,,26,,,85,107,,51,56,26,38,62,,,42,60,57,95,61,,176,,,
