Date,GB,ES,PH,CA
Total,1098050,75451,23437,3671
Peak,193,194,214,256
2015/02/08,,194,,
2015/05/07,,245,,
2015/05/21,,,,256
2015/07/16,,,223,
2015/07/23,,,214,
2015/07/30,,,225,
2024/09/12,194,,,
2024/10/10,193,,,
