Date,CO,PA
Total,648340,407955
Peak,119,26
2019/12/26,163,69
2020/12/10,,160
2020/12/17,,185
2020/12/24,196,86
2020/12/31,130,93
2021/12/09,144,137
2021/12/16,,162
2021/12/23,,99
2021/12/30,119,38
2022/12/08,,163
2022/12/15,,190
2022/12/22,,148
2022/12/29,139,37
2023/12/07,,104
2023/12/14,,114
2023/12/21,,110
2023/12/28,,26
