Date,Global,US,GB,CA,DE,SE,AU,NL,PL,IT,IE,NO,ES,DK,FR,CH,BE,PH,AT,NZ,CZ,HU,FI,PT,SG,GR,SK,RO,JP,MY,LT,HK,MX,LV,UA,IS,RU,EE,AE,ZA,TW,LU,TH,BG,KR,VN,CL,CY,CR,GT,EC,PA,DO,MT,HN,KZ,BY,BO,NI,AD
Total,905399788,367735484,118877694,56547753,49972237,25921036,25260782,23558044,20750613,13335396,13254209,12513556,8875771,8008865,7774823,7139085,6774895,6217053,6009505,5034271,4739578,4638574,4365050,3260897,2884076,2730458,2487245,2200768,2192123,1626010,1381808,1360514,1321209,1181382,1137602,1028869,942842,813203,806165,741643,735376,598802,568081,557590,541653,506283,442147,387892,377980,270591,231046,228819,157314,141246,134083,127796,82906,35305,32713,1296
Peak,3,1,3,1,6,3,3,7,3,8,2,10,40,17,21,3,4,28,4,3,3,2,7,5,10,2,3,1,34,32,1,10,187,1,9,6,17,1,4,16,68,3,143,4,35,66,73,4,62,99,87,49,69,3,90,58,54,149,137,40
2014/12/07,,,,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/12/14,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/12/21,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/12/28,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/12/24,162,107,147,134,,174,,,,,180,139,,68,,,,,,,,200,,,,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/12/31,,170,99,129,,,,,,,131,,,,,,,,,,,,,,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/11/24,,,,,,,,,,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/12/01,,91,,168,,,,,,,,151,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/12/08,138,66,90,90,,189,,,,,115,102,,107,,,,,,,,,,,,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,,,,,,
2016/12/15,133,62,66,73,,177,,,,,82,91,,,,,,,,,,,,,,,189,,,,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/12/22,105,53,55,48,,130,,,132,,61,66,,177,,199,,,,,173,114,,,,145,115,,,,119,,,97,,134,,173,,,,129,,,,,,,,,,,,135,,,,,,
2016/12/29,65,38,34,26,,99,187,122,69,,48,69,,192,,56,62,,,171,98,43,,,177,52,78,,,,60,178,,49,,157,,91,,,,50,,74,,,,47,,,,,,73,,,,,,
2017/11/23,,115,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,
2017/11/30,135,44,93,107,,,,,,,98,190,,,,,,,,,188,123,,,,94,98,,,,95,,,123,,142,,200,,,,,,164,,,,,,,,,,97,,,,,,
2017/12/07,74,35,20,52,,,,,,,31,102,,,,,110,,,,38,34,,,,35,17,,,,24,,,28,,147,,45,,,,66,,55,,,,44,,,,,,36,,,,,,
2017/12/14,55,29,14,37,,,,,108,,18,114,,,,,47,,,,30,25,,,186,30,11,,171,,17,147,,18,,127,,42,,,,50,,50,,,,38,,,,,,29,,,,,,
2017/12/21,50,22,11,31,,183,163,,59,,15,104,,,,,48,,,144,14,12,,,155,24,7,,129,197,8,94,,11,,85,,24,,,,40,,42,,,,30,,,,,,30,,,,,,
2017/12/28,25,9,6,6,,134,82,107,48,147,7,86,107,,,148,20,188,192,80,8,4,,105,70,13,11,,71,95,6,39,,6,,61,,9,,,105,10,179,16,,,,14,,,,,,13,,,,,,
2018/01/04,,,,,,,,,,,,,,,,,,,,,,,,,,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/11/15,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/11/22,182,82,117,83,,,,,,,111,,,,,,,,,,195,,,,,69,153,66,,,143,,,,,150,,,,,,,,,,,,133,,,,,,178,,,,,,
2018/11/29,72,27,53,53,,57,,,,,53,98,,190,,,,,,,86,84,,,,37,45,54,,,52,,,48,,73,,100,,,,127,,106,,,,63,,,,,,92,,,,,,
2018/12/06,35,25,10,22,139,27,130,120,112,,16,48,,90,,57,104,182,90,110,33,21,121,116,166,18,11,17,87,,11,159,,16,,42,,28,,,,33,,61,,,,31,,,,,,35,,,,,,
