Date,Global,DE,US,GB,DK,CA,NL,SE,PL,AU,NO,AT,IT,IE,FI,CH,BE,FR,HU,NZ,ES,SG,SK,PT,PH,HK,KR,CZ,LT,LV,GR,LU,IS,EE,AE,MT,CY,JP,MY,BG,RO,TW,ZA
Total,228781129,39527795,29719498,23487305,17672414,11724644,10410798,9250086,7879646,3653602,3610165,3330498,3328966,3067858,2744576,2671640,1689727,986045,849278,813045,561078,549793,349059,307796,305340,235045,218112,211605,176442,167613,166929,161404,135828,108132,91477,67573,61309,55414,43578,36268,32068,19959,14316
Peak,55,22,81,45,9,40,31,44,32,63,76,26,76,36,21,28,33,106,30,73,146,36,51,102,147,35,88,67,36,47,74,32,98,62,115,50,57,155,131,112,140,185,166
2013/12/08,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013/12/15,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,
2013/12/22,,,,,42,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013/12/29,,,,,40,,37,47,,,,,,,,,33,,30,,,36,,,,35,,,36,48,,,,,,,,,,,,,
2014/11/30,,,,,78,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/12/07,,150,,135,25,156,172,73,151,,163,126,,114,,,,,182,,,,,,,,,,146,193,103,,98,,,,,,,,,,
2014/12/14,,190,,162,37,183,98,96,153,,175,128,,122,,,173,,196,,,,,,,,,,,,114,,124,,,,,,,,,,
2014/12/21,,171,,163,43,177,92,73,113,,159,122,,127,,196,125,,150,,,191,109,,,184,,193,,,105,,140,,,,,,,,,,
2014/12/28,,116,,123,35,144,56,60,79,128,166,94,129,120,167,94,72,,67,155,,115,89,,147,77,,141,105,92,76,,155,132,,80,,,131,,,185,
2015/11/26,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/12/03,,,,,46,,,153,,,,,,,,,,,,,,,,,,,,,,,191,,,,,,,,,,,,
2015/12/10,,143,,,46,,,134,194,,,110,,198,,,,,,,,,159,,,,,,,,144,,180,,,149,,,,,,,
2015/12/17,,125,,,57,,123,128,146,,,105,,,,,,,,,,,147,,,,,,,192,132,,168,,,116,,,,,,,
2015/12/24,124,49,,,32,150,69,81,74,,170,43,,174,95,99,101,,82,,,156,70,,,198,,120,113,99,119,94,181,140,,87,,,,,,188,
2015/12/31,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,187,,,,,,,,,,,,
2016/11/17,,,,,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/11/24,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/12/01,,,,,45,,,143,,,,152,,,,,,,,,,,,,,,,,,,184,,,,,185,,,,,,,
2016/12/08,,145,,,33,,,139,170,,,101,,197,,,,,,,,,150,,,,,,,,134,,,,,106,,,,,,,
2016/12/15,,171,,,49,,124,132,127,,,130,198,192,,,,,176,,,,138,,,,,,,,149,195,,,,98,,,,,,,
2016/12/22,,135,,,40,,108,117,65,,182,90,126,154,168,198,151,,95,,,,88,,,,,125,180,155,123,138,,,,73,,,,,,,
2016/12/29,184,68,,168,38,189,63,125,74,197,,71,76,152,101,84,73,,61,190,,,90,190,,,,137,114,102,97,60,,177,,81,,,,197,,,
2017/11/09,,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/11/16,,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/11/23,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/11/30,,,,,36,,,,,,,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/12/07,,96,,,13,,,179,113,,,79,,,185,181,,,,,,,,,,,,,,,169,,,,,195,,,,,,,
2017/12/14,,76,,131,10,,154,177,88,,,57,177,122,177,113,,,162,,,,154,,,,,,165,200,117,199,,,,136,124,,,,,,
2017/12/21,194,59,,134,9,,189,174,47,,,46,152,114,118,103,,,97,,,,106,,,192,,167,109,139,104,166,,179,,104,107,,,,,,
2017/12/28,126,35,,104,15,185,94,145,45,155,,36,98,100,68,32,105,,71,179,168,,111,,192,104,,176,95,127,95,104,,174,,103,78,,,192,,,
2018/11/15,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/11/22,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/11/29,,160,,,29,,,179,,,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/12/06,157,59,,105,14,139,,91,149,,162,52,,107,134,144,,,123,,,,133,,,,,187,135,136,106,188,,169,,140,124,,,,,,
2018/12/13,177,61,,103,21,145,157,106,100,,180,52,,100,192,168,,,125,,,,115,,,,,179,115,143,131,167,,182,,105,115,,,,,,
2018/12/20,131,57,,72,21,111,123,92,50,,181,46,,70,84,90,151,,67,,,,61,,,,,111,80,89,106,105,187,104,,81,86,,,,199,,
2018/12/27,64,24,153,46,15,67,70,75,35,108,161,29,144,50,30,30,53,,31,116,,130,51,102,199,73,,67,49,47,74,44,158,62,,50,57,155,186,112,140,,
2019/01/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,,,,,,,,,,,,
2019/11/14,,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/11/21,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/11/28,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/12/05,,122,,114,14,160,,138,,,108,78,,121,107,185,,,151,,,,171,,,,,,194,178,,,,,,129,149,,,,,,
2019/12/12,184,126,,100,15,152,136,166,91,,117,77,,98,133,146,,,125,,,,125,,,,,,145,177,192,160,,194,,81,108,,,,,,
2019/12/19,148,108,,104,19,131,130,125,74,,99,64,,85,98,107,192,,117,,,,107,,,,,179,101,107,186,134,,125,,67,91,,,,,,
2019/12/26,67,41,150,57,15,72,63,78,36,130,77,31,165,63,28,36,73,,46,106,,141,80,107,,118,,122,58,56,126,51,179,73,149,57,62,,,167,183,,166
2020/11/12,,,,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/11/19,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/11/26,,190,,,36,,,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/12/03,,64,,200,17,199,,110,,,139,43,,164,137,137,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/12/10,200,63,,151,15,163,,134,136,,142,45,,110,94,98,,,,,,,,,,,,,,,,140,,,,,197,,,,,,
2020/12/17,,62,,164,18,173,143,124,108,,136,52,,127,68,126,,,175,,,,,,,,,,,,,145,,,,,172,,,,,,
2020/12/24,86,26,,91,17,98,95,74,51,158,100,28,182,77,28,57,94,,92,147,,106,147,171,,148,,,169,116,,61,197,150,148,,106,,,,,,
2020/12/31,,110,,180,170,,104,,,,,183,,171,,158,,,,,,,,,,,,,,,,128,,,,,145,,,,,,
2021/11/11,,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/11/18,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/11/25,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/12/02,,70,,,15,182,,146,,,140,61,,161,120,191,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/12/09,,65,,119,15,111,145,154,143,,126,61,,101,73,139,,,,,,,,,,,197,,,,,141,,,,,,,,,,,
2021/12/16,151,62,,97,15,103,101,153,105,,126,62,,79,57,96,182,,,,,,,,,,161,,,,,104,192,,,,,,,,,,
2021/12/23,75,45,113,64,15,54,70,102,71,162,105,43,,56,21,53,87,,100,,,140,146,,,,88,,116,114,,57,160,108,181,,107,,,,,,
2021/12/30,75,33,136,60,19,50,51,145,136,112,144,44,192,50,32,46,47,,99,190,,89,,194,,129,89,,93,105,,48,,128,129,,102,,,,,,
2022/11/10,,,,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/17,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/24,,194,,,31,,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/12/01,,98,,,17,165,,152,,,143,71,,127,183,189,,,,,,,,,,,,,,,,181,,,,,,,,,,,
2022/12/08,164,90,154,73,17,105,105,149,130,,111,53,,56,103,87,,,,,,,176,,,,189,,,,,75,179,,,,,,,,,,
2022/12/15,131,89,121,64,16,82,54,129,52,,98,57,,48,89,82,107,,113,193,,191,142,,,,163,,170,168,,64,157,176,,,,,,,,,
2022/12/22,85,65,83,56,17,46,46,118,63,97,88,46,,41,53,65,71,,99,96,,125,110,,,,150,,156,129,,57,143,164,189,,155,,,,,,
2022/12/29,65,42,81,45,18,40,31,111,69,63,103,44,133,36,39,46,38,197,88,73,146,71,155,153,,168,132,,96,88,,32,184,105,115,,107,,,136,,,
2023/11/09,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/11/16,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/11/23,,,,,35,,,,,,,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/11/30,,56,,,18,,,,,,,50,,163,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/07,173,30,,53,18,96,84,197,76,,103,27,,73,,50,,,,,,,,,,,,,,,,95,175,,,,,,,,,,
2023/12/14,142,36,185,67,21,77,52,,59,,96,29,200,70,,56,125,,194,,,,160,,,,,,,,,78,153,,,,,,,,,,
2023/12/21,94,30,124,55,23,65,51,168,39,,91,28,,55,117,46,86,,145,180,,,147,,,,197,,,,,68,141,,,,,,,,,,
2023/12/28,55,22,95,51,21,46,35,118,32,77,76,26,95,49,61,28,40,106,71,81,,98,130,181,,145,133,,118,109,,44,160,120,140,,157,,,162,,,
