Date,Global,US,GB,DE,CA,SE,NL,DK,NO,AU,PL,IT,PH,IE,FI,AT,CH,BE,ES,FR,NZ,SG,HU,CZ,PT,MY,HK,JP,TW,IS,SK,TH,VN,RO,LT,LV,KR,GR,AE,EE,ZA,LU,BG,CY,ID,MT,PA,UA
Total,567324452,157421911,59611370,47095806,35638892,29295827,22712480,21743729,20776692,16210950,10768472,8854475,7694098,6462165,5528928,5434213,5206949,4309234,3745469,3504676,3357264,2776308,2400384,2332204,2015954,1462383,1384289,1188914,1125781,1040712,1022130,977368,877510,824164,608755,606005,490357,476737,431235,427540,349604,345924,208014,188503,108145,86518,34542,31888
Peak,15,15,17,14,12,8,20,5,11,15,18,53,38,22,9,10,9,14,92,49,20,15,13,17,25,47,9,32,56,20,22,81,24,25,18,11,40,33,20,17,50,14,39,17,180,25,165,128
2014/11/30,,,,,,149,,83,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/12/07,192,,,,,89,,32,57,,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/12/14,200,,,,,82,137,48,66,,,,,,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/12/21,189,,,,,78,122,58,55,,,,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/12/28,187,,,125,,87,115,73,80,,,,,,121,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/11/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,,,,,,,,,
2015/11/26,,,,,,181,,90,119,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,
2015/12/03,109,114,126,,74,51,,21,41,,,,,136,158,,,,,,,,,,,,,,,49,,,,,,192,,139,,,,,,,,,,
2015/12/10,84,112,93,,56,34,82,24,33,,145,154,,88,141,177,,,,,193,152,179,177,,,131,,,63,129,,,,155,83,,126,,93,,,161,,,145,,
2015/12/17,78,104,79,,54,29,49,32,31,199,107,143,182,73,111,157,,152,,,162,131,153,141,143,160,122,,170,66,116,,,,109,71,,127,,72,,,,,,111,,
2015/12/24,51,80,64,155,33,25,23,21,26,103,57,68,89,68,70,103,74,74,,,94,80,68,75,69,87,69,,100,60,69,,,,60,41,,94,,41,,66,118,,,71,,
2015/12/31,161,,,,62,94,34,141,104,,,131,179,,,,183,145,,,,129,,,,160,158,,195,179,,,,,188,168,,163,,163,,,,,,163,,
2016/11/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,,,,,,,,,,,,,,,,,,
2016/11/10,,,,,,,,125,98,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,
2016/11/17,,,,,,,,88,100,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,
2016/11/24,,,,,192,173,,70,87,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,
2016/12/01,151,161,141,,135,66,,28,46,,,,,154,129,200,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,
2016/12/08,113,125,72,,98,49,107,15,25,,158,162,,81,97,151,,,,,144,180,182,180,157,,179,,,39,168,,,,137,156,,169,,147,,148,,,,151,,
2016/12/15,109,135,79,,105,40,69,23,26,,133,113,,91,95,,,195,,,133,170,186,154,158,,164,,,39,185,,,,123,182,,,,145,,,,,,191,,
2016/12/22,87,130,70,,94,33,49,20,20,150,84,79,196,75,69,159,,169,,,115,135,139,141,134,,135,,192,32,158,,,,99,113,,200,,102,,158,,,,194,,
2016/12/29,90,162,89,,74,30,41,20,24,138,96,63,134,95,52,177,171,97,195,,116,87,117,145,106,198,68,,156,42,156,,,,104,101,,181,,95,,147,159,,,179,,
2017/11/09,,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,
2017/11/16,,,,,,172,,74,82,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,
2017/11/23,,,,,139,48,,45,53,,,,,193,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,
2017/11/30,138,139,86,,95,32,142,14,33,,,,,91,153,,,,,,,,,,,,,,,45,,,,,,,,143,,,,,,,,193,,
2017/12/07,73,112,36,,66,12,88,5,11,169,73,,,43,68,151,,167,,,173,,85,85,,,151,,,54,87,,,,88,94,,83,,92,,137,145,69,,97,,
2017/12/14,71,116,44,,64,14,47,7,14,158,70,114,,43,67,,,118,,,127,,81,75,,,102,,,61,98,,,,87,87,,89,,101,,123,155,67,,89,,
