Date,Global,US,GB,CA,AU,NL,IE,DE,SE,BE,NZ,NO,DK,ZA,CH,PT,AT,AE,IS,SG,LV,LT,LU,EE,CY,SK
2024/01/25,8,3,1,1,2,1,1,48,18,3,3,16,20,40,37,81,30,61,46,165,102,133,67,120,140,
2024/02/01,8,4,1,2,1,1,1,51,18,2,3,12,16,37,27,70,25,51,45,178,85,151,70,106,123,
2024/02/08,7,2,1,2,1,2,1,51,17,3,2,10,18,33,29,76,25,55,42,177,80,152,59,99,143,
2024/02/15,6,2,1,2,1,1,1,66,24,6,3,11,21,34,41,80,33,65,58,174,97,158,66,115,147,
2024/02/22,9,4,1,3,3,1,1,44,21,3,4,16,21,38,29,85,24,64,65,,100,186,57,147,153,
2024/02/29,9,4,1,4,4,2,2,39,16,4,4,17,20,40,23,69,29,56,52,,75,136,51,108,153,
2024/03/07,11,5,1,4,3,4,2,40,40,7,6,20,20,44,27,68,30,50,52,,67,111,47,105,154,
2024/03/14,17,13,1,5,4,4,1,48,49,8,7,23,20,48,36,82,35,64,59,,94,158,54,150,189,
2024/03/21,12,6,1,5,4,6,2,52,46,8,5,19,20,52,29,66,34,43,56,,78,134,48,103,164,
2024/03/28,15,13,2,8,4,5,2,51,49,8,7,23,28,68,35,74,38,48,68,,87,144,51,107,157,
2024/04/04,16,14,3,4,4,8,3,52,52,9,9,27,26,65,35,84,39,54,61,,125,169,52,137,154,
2024/04/11,15,10,4,4,5,10,2,61,47,10,7,27,30,66,33,71,42,62,53,,86,142,49,119,129,199
2024/04/18,14,8,3,3,4,10,2,70,45,12,7,29,32,57,33,80,47,60,53,198,89,144,48,125,130,
2024/04/25,43,46,14,23,20,16,10,104,64,17,24,45,48,78,50,103,72,92,84,,101,189,75,157,196,
2024/05/02,34,27,7,10,9,17,6,120,80,17,14,45,50,92,49,102,79,103,76,,106,,73,186,,
2024/05/09,34,25,9,12,11,18,8,130,89,18,14,55,70,93,63,114,84,112,93,,137,,90,,,
2024/05/16,34,24,10,11,11,26,12,165,128,27,15,63,73,101,76,126,105,137,108,,178,,101,,,
2024/05/23,43,25,12,13,16,37,10,186,125,40,22,77,83,105,81,130,114,143,114,,176,,106,,,
2024/05/30,39,19,14,14,14,36,10,,116,35,17,64,93,112,90,139,152,140,107,,189,,128,,,
2024/06/06,39,20,13,15,18,47,12,,165,42,19,71,94,112,89,143,127,154,116,,,,113,,,
2024/06/13,44,20,14,16,19,51,13,,156,44,21,76,93,128,99,155,137,178,130,,,,130,,,
2024/06/20,41,19,15,18,17,54,11,,162,43,20,90,107,129,101,143,141,,156,,,,140,,,
2024/06/27,46,23,15,16,16,61,13,,,54,18,104,147,137,142,170,180,,128,,,,163,,,
2024/07/04,50,22,14,17,15,64,15,,186,64,17,101,160,149,172,187,,,146,,,,198,,,
2024/07/11,49,22,13,16,15,61,11,,158,62,16,86,127,136,150,177,166,,154,,,,,,,
2024/07/18,58,28,14,26,15,73,12,,191,65,18,93,127,156,160,195,193,,142,,,,,,,
