Date,Global,GB,US,AU,IE,CA,NZ,SG,PH,TH,MY,LV,TW,LT,HK,EE,MT,GR
Total,14773845,9757151,1949179,962035,554782,283219,116460,67679,54852,46356,23545,13892,12682,9754,8653,3952,2574,2148
Peak,129,65,98,59,76,112,85,118,190,160,144,112,170,133,162,164,91,191
2016/02/18,,126,,,171,,,,,,,,,,,,,
2016/02/25,129,65,98,59,85,112,85,132,190,,144,133,170,133,162,164,151,
2016/03/03,171,77,154,62,88,126,93,118,,,168,112,,155,,188,91,191
2016/03/10,,83,,130,105,180,152,150,,,,148,,,,,,
2016/03/17,,65,,124,80,180,149,175,,,,,,166,,,,
2016/03/24,,81,,157,78,,189,,,,,183,,,,,,
2016/03/31,,100,,,76,,,,,,,,,,,,,
2016/04/07,,130,,,100,,,,,,,,,,,,,
2016/04/14,,147,,,123,,,,,,,,,,,,,
2016/04/21,,165,,,147,,,,,,,,,,,,,
2016/04/28,,161,,,150,,,,,,,,,,,,,
2016/05/05,,164,,,146,,,,,,,,,,,,,
2016/05/12,,,,,188,,,,,,,,,,,,,
2016/07/14,,144,,166,150,,,,,,,,,,,,,
2016/07/21,,157,,172,180,,,,,,,,,,,,,
2016/07/28,,144,,136,165,,,,,,,,,,,,,
2016/08/04,,114,,140,139,,,,,,,,,,,,,
2016/08/11,,120,,177,148,,,,,,,,,,,,,
2016/08/18,,112,,192,149,,,,,,,,,,,,,
2016/08/25,,100,,,146,,,,,,,,,,,,,
2016/09/01,,99,,,131,,,,,,,,,,,,,
2016/09/08,,92,,,122,,,,,,,,,,,,,
2016/09/15,,93,,,129,,,,,,,,,,,,,
2016/09/22,,89,,,135,,,,,,,,,,,,,
2016/09/29,,88,,,136,,,,,,,,,,,,,
2016/10/06,,95,,,154,,,,,,,,,,,,,
2016/10/13,,100,,,159,,,,,,,,,,,,,
2016/10/20,,116,,,160,,,,,,,,,,,,,
2016/10/27,,136,,,183,,,,,,,,,,,,,
2016/11/03,,186,,,,,,,,,,,,,,,,
2016/11/10,,182,,,,,,,,,,,,,,,,
2016/11/17,,181,,,,,,,,,,,,,,,,
2017/01/05,,176,,,,,,,,,,,,,,,,
2017/01/12,,190,,,,,,,,,,,,,,,,
2017/01/19,,193,,,,,,,,,,,,,,,,
2017/01/26,,191,,,,,,,,,,,,,,,,
2017/02/09,,,,,187,,,,,,,,,,,,,
2017/02/23,,162,,,,,,,,,,,,,,,,
2017/03/02,,150,,,,,,,,,,,,,,,,
2017/06/22,,,,,166,,,,,,,,,,,,,
2019/08/01,,,,,,,,,,,,163,,,,,,
2019/08/08,,,,,,,,,,,,,,180,,,,
2019/09/19,,,,,,,,,,160,,,,,,,,
