Date,US,AU,GB,NZ,CA,IE,PL,HU,SK,MT,LV,LU
Total,2598698,2063665,1080238,521461,516642,127164,28783,9779,5134,3161,2886,1380
Peak,162,116,115,84,116,144,197,115,187,171,172,168
2015/12/24,,,,199,,,,,,,,
2016/12/22,,,,,,193,197,,187,171,,
2016/12/29,,117,184,106,,192,,115,191,176,172,168
2017/12/28,,116,,121,,,,,,,,
2018/12/27,,138,,120,,,,,,,,
2019/12/26,,118,,84,,,,,,,,
2020/12/24,,183,,130,,,,,,,,
2021/12/30,,168,,182,,,,,,,,
2023/12/28,162,198,115,178,116,144,,,,,,
