Date,Global,US,IN,GB,DE,BR,AU,MX,CA,PH,ID,PE,PL,MY,CL,AR,ES,IT,FR,SG,SE,NL,NO,TH,CZ,IE,NZ,DK,HU,BE,AT,CH,EC,IL,PT,TW,HK,CO,BO,AE,UA,SA,RO,FI,GR,SK,CR,BG,PK,KZ,SV,PA,VE,EE,PY,HN,IS,CY,KR,LT,LV,BY,VN,UY,GT,LU,NI
Total,276058267,41938825,16869207,16771586,12673777,9509464,9470467,9100902,8656435,6611127,6084598,4524237,4422976,4148941,3881176,3583270,3197609,3079268,3032243,2520939,2354721,2325157,2093960,1932671,1817011,1600808,1512558,1489107,1441758,1297285,1246812,1232352,1222288,1126747,990955,972912,965704,844827,816775,780565,734959,717340,675331,641102,609931,576543,463774,405765,349922,338634,280545,262132,220174,185986,179133,166511,158003,155857,153023,151146,149906,143426,130498,124687,107141,96209,21836
Peak,10,31,28,16,30,76,24,72,24,87,145,21,34,6,48,56,82,78,99,6,63,85,34,67,13,26,24,52,14,57,27,35,33,32,49,62,18,111,24,6,15,10,34,95,96,19,48,14,74,19,67,44,98,21,106,80,43,16,119,60,46,56,182,113,138,47,127
2015/05/21,,259,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/01,18,56,62,30,120,145,54,139,68,173,,35,91,23,99,117,190,146,,21,,,97,172,56,56,61,133,40,,83,,55,76,153,175,52,,47,15,83,49,95,,171,62,84,37,,73,131,72,,70,,161,99,77,,193,146,,,,,129,
2024/08/08,10,31,28,16,37,76,24,72,24,87,147,21,34,6,48,56,82,78,103,6,63,91,39,75,16,26,24,52,14,65,29,50,33,32,49,62,18,111,24,6,21,10,34,96,96,19,48,15,74,22,67,44,98,24,106,80,48,16,121,64,51,109,182,113,138,47,127
2024/08/15,11,45,34,19,35,98,28,106,28,92,145,29,38,7,59,68,105,99,126,7,69,99,34,67,20,30,28,59,18,69,27,48,47,33,53,71,23,172,37,7,18,11,39,96,116,23,64,15,81,19,98,51,106,21,144,133,43,23,119,60,46,56,,141,,49,
2024/08/22,15,58,38,19,38,130,31,152,34,90,160,39,37,8,65,85,124,119,127,7,69,95,37,83,18,35,30,58,22,69,32,39,53,39,63,64,30,,43,8,15,13,36,95,133,25,83,14,88,23,120,73,115,22,184,160,49,23,148,64,48,57,,160,,53,
2024/08/29,13,60,47,29,30,133,34,159,36,93,175,39,44,8,65,91,143,110,99,8,66,85,34,110,13,53,33,55,25,57,30,35,56,34,60,71,34,192,43,12,24,18,47,102,131,27,77,17,98,28,103,75,106,22,148,142,47,25,172,64,47,65,,160,,53,
2024/09/05,18,76,68,35,46,163,39,,42,142,190,48,58,12,97,138,170,161,132,12,83,104,41,158,21,79,39,72,29,80,33,41,81,45,88,102,43,,54,11,40,26,60,120,171,32,128,26,129,46,165,107,131,29,,,57,39,,101,58,95,,,,62,
2024/09/12,24,106,99,36,61,,44,,49,163,,65,75,16,126,188,,,197,14,88,123,48,192,32,76,47,94,36,96,51,49,118,55,124,135,49,,75,12,69,37,78,143,,50,188,39,171,85,,129,199,42,,,58,69,,146,86,154,,,,77,
2024/09/19,37,133,155,45,79,,64,,68,,,85,111,25,,,,,,22,111,149,57,,57,88,59,113,45,128,72,69,160,71,165,168,66,,104,23,123,34,129,174,,77,,44,,130,,137,,73,,,78,86,,189,150,,,,,88,
2024/09/26,38,145,193,44,90,,68,,73,,,94,140,33,171,,,,,28,119,167,61,,57,92,62,121,61,136,87,87,178,74,182,,74,,119,30,144,39,159,,,80,,50,,167,,186,,80,,,82,107,,,163,,,,,93,
2024/10/03,45,139,,42,85,,60,,71,,,116,140,39,173,,,,,30,120,165,63,,61,82,51,113,68,148,77,82,187,73,192,,88,,134,37,180,41,178,194,,91,,64,,,,,,86,,,77,107,,,180,,,,,111,
2024/10/10,55,165,,48,103,,72,,79,,,141,,50,193,,,,,36,144,,76,,87,94,61,133,73,175,101,117,,101,,,113,,180,41,,58,,,,110,,68,,,,,,110,,,98,153,,,,,,,,125,
2024/10/17,65,191,,50,114,,84,,87,,,164,,66,,,,,,47,168,,91,,95,105,83,154,78,188,125,125,,95,,,155,,197,50,,85,,,,132,,88,,,,,,136,,,103,177,,,,,,,,157,
2024/10/24,74,,,53,122,,96,,100,,,165,,73,,,,,,50,186,,100,,109,108,99,175,80,198,128,146,,87,,,178,,199,49,,88,,,,150,,87,,,,,,140,,,115,171,,,,,,,,180,
2024/10/31,92,,,60,149,,116,,119,,,197,,66,,,,,,44,,,122,,114,112,105,198,87,,144,175,,127,,,166,,,57,,101,,,,160,,101,,,,,,182,,,151,180,,,,,,,,200,
