Date,Global,GB,DE,SE,AU,CA,IE,DK,IT,AT,NZ,NO,CH,NL,HU,BE,LT,LV,MT,SK,CZ,GR,HK,LU,EE,RO,CY,IS,BG
Total,57127261,27760515,4298762,2196664,1927251,1826116,1651374,1447617,1013365,557589,518748,308406,296463,254058,79387,73370,33941,30753,24846,24705,22350,20544,20261,11780,11411,9371,8361,7400,3612
Peak,68,7,57,71,56,76,17,95,72,49,43,135,49,147,50,97,60,67,75,115,137,111,114,68,93,171,70,196,179
2014-12-07,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-14,,82,,,,,171,,,,,,,,,,,,,,,,,,,,,,
2014-12-21,,66,,,,,161,,,,,,,,,,,,,,,,,,,,,,
2014-12-28,,57,153,,,,163,,,134,,,,,,,,,,,,,,,,,,,
2015-12-03,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-10,,75,,,,,136,,,161,,,,,,,,,,,,,,,,,,,
2015-12-17,,60,,,,,88,,,143,,,,,,,,,,,,,,,,,,,
2015-12-24,161,33,57,,,,55,131,,49,170,,,,,,,,,,,,,,,,,,
2015-12-31,,72,,,,,124,,,,,,,,,,,,,,,,,,,,,,
2016-12-01,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-08,,67,,,,,146,178,,135,,,,,,,,,,,,,,,,,,,
2016-12-15,,60,,,,,115,181,,151,,,,,,,,,,,,,,,,,,,
2016-12-22,,40,177,158,,,65,149,154,86,,,,,,,,,,,,,,,,,,,
2016-12-29,151,26,83,113,121,,55,134,88,74,108,,146,,,,,,,,,,,187,,,,,
2017-11-30,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-07,,44,,191,,,102,173,,156,,,,,,,,,,,,,,,,,,,
2017-12-14,,16,,179,,,34,196,175,133,,,,,,,,,,,,,,,,,,,
2017-12-21,,12,184,142,146,,28,189,164,100,124,,179,,187,,150,195,161,196,,192,,,,,,,
2017-12-28,94,7,61,97,60,,17,139,72,54,57,,49,,130,,162,179,144,,,182,114,183,,,148,,
2018-11-29,,90,,,,,135,,,,,,,,,,,,,,,,,,,,,,
2018-12-06,,24,,172,,,63,146,,,,,,,,,,,,,,,,,,,,,
2018-12-13,184,11,,139,,176,34,155,,149,,194,,,,,158,,158,,,,,,,,154,,
2018-12-20,139,11,164,113,147,141,19,136,,105,103,170,184,,143,,113,133,119,144,,,,196,179,,120,,
2018-12-27,68,10,74,71,56,76,19,95,154,60,43,135,59,147,50,97,60,67,75,115,137,111,,68,93,171,70,196,179
2019-11-28,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-05,,36,,,,190,85,139,,129,,,,,,,,,,,,,,,,,,,
2019-12-12,,21,,,,163,65,135,,106,,,,,,,,,143,,,,,,,,,,
2019-12-19,153,22,193,174,164,130,55,120,,80,126,,175,,,,179,193,119,,,,,,,,154,,
