Date,Global,US,GB,CA,AU,IE,DE,NZ,AT,NL,IT,CH,BE,SE,HU,DK,LV,IS,PT,LU,LT,EE,AE,CZ,SK,MT,CY,GR
Total,153887736,87446034,19703777,12994853,5349592,1699301,1641303,1339104,605507,576779,525868,342997,249546,240758,193489,103066,86467,83600,70817,55221,54940,31200,19323,14714,10161,10121,7955,5644
Peak,50,19,38,22,43,41,123,38,81,124,112,70,108,132,86,161,52,117,160,61,72,71,159,132,135,105,140,146
2014/12/28,,,142,,,,,,,,,,,,,,,,,,,,,,,,,
2015/12/24,,,153,,,,,183,189,,,,,,,,,,,,,,,,,,,
2016/12/22,,,161,,,,,,,,,,,,,,,,,,,,,,,,,
2016/12/29,,,98,,156,151,,124,169,,,,,,,,,,,,,,,,,,,
2017/12/07,,164,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/12/14,,143,171,,,,,,,,,,,,,,,,,,,,,,,177,,
2017/12/21,,141,139,161,,168,,,,,,,,,,,166,,,,182,,,,177,177,,
2017/12/28,160,101,69,81,89,89,,90,180,,,,117,,86,,92,,,88,110,112,,132,135,105,140,146
2018/12/20,,199,155,176,,,,,,,,,,,,,,,,,,,,,,,,
2018/12/27,180,129,87,94,79,135,,66,198,,,,,,180,,173,,,,,,,,,,,
2019/12/19,,,,191,,,,,,,,,,,,,,,,,,,,,,,,
2019/12/26,166,95,107,81,81,160,,64,,,,,,,,,169,,,176,,,,,,199,,
2020/12/10,,144,200,144,,,,,,,,,,,,,,,,,,,,,,,,
2020/12/17,,132,181,113,,,,,,,,,,,,,,,,,,,,,,,,
2020/12/24,149,63,84,48,76,110,,67,139,,,,,,170,,115,,,177,,,,,,,,
2020/12/31,,166,116,73,160,179,,,,,,,,,,,,,,,,,,,,,,
2021/12/02,,133,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/12/09,,86,143,117,,191,,,,,,,,,,,,193,,,,,,,,,,
2021/12/16,,79,125,104,,153,,,,,,,,,,,,179,,,,,,,,,,
2021/12/23,160,47,88,60,152,102,,105,,,,,,,,,,163,,,,,,,,,,
2021/12/30,157,53,80,48,88,107,,83,,,,,,,,,,,,188,,,,,,,,
2022/11/24,,,,181,,,,,,,,,,,,,,,,,,,,,,,,
2022/12/01,,63,,102,,,,,,,,,,,,,,,,,,,,,,,,
2022/12/08,,63,97,74,,103,,,,,,,,,,,,,,,,,,,,,,
2022/12/15,165,57,71,63,,63,,149,200,,,,,,,,,161,,,,,,,,,,
2022/12/22,90,29,52,31,93,56,,63,140,,,176,,,,,,128,,161,,,,,,,,
2022/12/29,69,22,40,22,43,41,139,38,98,160,,86,122,,114,,116,117,,84,179,147,,,,,,
2023/11/30,,53,,111,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/07,,51,80,60,,98,,,180,,,,,,,,,,,160,,,,,,,,
2023/12/14,155,40,55,45,,71,,182,163,,,,,,,,154,178,,120,,,,,,,,
2023/12/21,88,26,44,34,127,54,,89,125,,,163,,,,,107,144,,103,173,161,,,,,,
2023/12/28,50,19,38,28,43,45,123,38,81,124,112,70,108,132,108,161,52,127,160,61,72,71,159,,,,169,
