Date,US,GB,CA,IE,SE
Total,12104828,9585387,1267233,627082,246727
Peak,142,75,148,111,144
2014/12/21,,193,,,171
2014/12/28,,,,,144
2015/12/24,,164,,189,
2016/12/22,,190,,,
2016/12/29,,105,,178,
2017/12/28,,84,,112,
2018/12/27,,131,,,
2019/12/26,192,129,,171,
2020/12/24,142,105,,166,
2020/12/31,,150,,,
2021/12/09,,162,,,
2021/12/16,,139,,163,
2021/12/23,157,95,192,113,
2021/12/30,187,84,148,115,
2022/12/15,,153,,,
2022/12/22,,111,,147,
2022/12/29,182,75,158,111,
2023/12/28,177,125,197,147,
