Artist and Title,Streams,Daily,Artist,Song
Roxette - Fading Like A Flower (Every Time You Leave),126214835,124882,Roxette,Fading Like A Flower (Every Time You Leave)
Whitney Houston - It's Not Right But It's Okay,126094062,59060,Whitney Houston,It's Not Right But It's Okay
Juan Gabriel - Se Me Olvidó Otra Vez,126083085,60201,Juan Gabriel,Se Me Olvidó Otra Vez
Pulp - Disco 2000,126033073,43144,Pulp,Disco 2000
Rosario - ¡Que Bonito!,125940811,31602,Rosario,¡Que Bonito!
The Notorious B.I.G. - Ten Crack Commandments,125865688,55973,The Notorious B.I.G.,Ten Crack Commandments
Mobb Deep - Hell on Earth (Front Lines),125803772,51446,Mobb Deep,Hell on Earth (Front Lines)
Jewel - You Were Meant For Me,125610611,39710,Jewel,You Were Meant For Me
Estopa - Tu Calorro,125575933,69929,Estopa,Tu Calorro
Air Supply - Even the Nights Are Better,125428389,66665,Air Supply,Even the Nights Are Better
Luis Miguel - O Tu O Ninguna,125370441,51355,Luis Miguel,O Tu O Ninguna
Zé Ramalho - Chão de Giz,125325654,68376,Zé Ramalho,Chão de Giz
Rage Against The Machine - Wake Up,125198286,47134,Rage Against The Machine,Wake Up
Cornershop - Brimful of Asha,125080842,49684,Cornershop,Brimful of Asha
Luis Miguel - La Gloria Eres Tu,125028436,85636,Luis Miguel,La Gloria Eres Tu
*NSYNC - I Want You Back,124881105,71961,*NSYNC,I Want You Back
DJ Jazzy Jeff & The Fresh Prince - The Fresh Prince of Bel-Air,124835634,21311,DJ Jazzy Jeff & The Fresh Prince,The Fresh Prince of Bel-Air
"Guayacán Orquesta - Oiga, Mire, Vea",124761881,72787,Guayacán Orquesta,"Oiga, Mire, Vea"
Queen - Who Wants To Live Forever,124598789,41153,Queen,Who Wants To Live Forever
Los Tucanes De Tijuana - El Centenario,124584939,35210,Los Tucanes De Tijuana,El Centenario
José José - La Nave del Olvido,124570365,194010,José José,La Nave del Olvido
Grupo Exterminador - Las Monjitas,124515748,69691,Grupo Exterminador,Las Monjitas
Megadeth - Tornado Of Souls,124163462,57646,Megadeth,Tornado Of Souls
Nick Cave & The Bad Seeds - Into My Arms,124030292,60903,Nick Cave & The Bad Seeds,Into My Arms
"Control Machete - Comprendes, Mendes?",124028234,89129,Control Machete,"Comprendes, Mendes?"
Sixpence None The Richer - There She Goes,124014640,128890,Sixpence None The Richer,There She Goes
Café Tacvba - Las flores,123851562,56925,Café Tacvba,Las flores
Depeche Mode - Policy of Truth,123591794,68510,Depeche Mode,Policy of Truth
Chayanne - Torero,123391934,73972,Chayanne,Torero
Joan Sebastian - Veinticinco Rosas,123350380,109995,Joan Sebastian,Veinticinco Rosas
Fatboy Slim - Rockafeller Skank,123224279,47341,Fatboy Slim,Rockafeller Skank
Banda Machos - Historia sin fin,123084024,77630,Banda Machos,Historia sin fin
Boney M. - Ma Baker,122246307,67679,Boney M.,Ma Baker
Crystal Waters - Gypsy Woman (She's Homeless) (La Da Dee La Da Da),121830880,58836,Crystal Waters,Gypsy Woman (She's Homeless) (La Da Dee La Da Da)
José José - Si Me Dejas Ahora,121793872,55203,José José,Si Me Dejas Ahora
Queen - Hammer To Fall,121680462,39048,Queen,Hammer To Fall
Kid Rock - Cowboy,121649656,50513,Kid Rock,Cowboy
Raça Negra - Cheia de Manias,121579493,46481,Raça Negra,Cheia de Manias
Luis Miguel - No Me Platiques Más,121434068,54872,Luis Miguel,No Me Platiques Más
KRS-One - Sound of da Police,121281253,46817,KRS-One,Sound of da Police
Rage Against The Machine - Know Your Enemy,121181713,46822,Rage Against The Machine,Know Your Enemy
Nirvana - Come As You Are,120587090,36811,Nirvana,Come As You Are
Sérgio Mendes - Magalenha,120494401,93743,Sérgio Mendes,Magalenha
Café Quijano - La Lola,120348815,50126,Café Quijano,La Lola
GABRIELLE - Dreams,120319627,30855,GABRIELLE,Dreams
En Vogue - Don't Let Go (Love),120264514,63970,En Vogue,Don't Let Go (Love)
Juan Gabriel - Ya Lo Sé Que Tú Te Vas,120093713,91505,Juan Gabriel,Ya Lo Sé Que Tú Te Vas
Daryl Hall & John Oates - She's Gone,120065139,47277,Daryl Hall & John Oates,She's Gone
Jon Secada - Otro Día Más Sin Verte,120041548,56720,Jon Secada,Otro Día Más Sin Verte
Mase - What You Want,119951938,86027,Mase,What You Want
Freestyle - Before I Let You Go,119750884,70966,Freestyle,Before I Let You Go
Vicente Fernández - Qué de Raro Tiene,119178464,88118,Vicente Fernández,Qué de Raro Tiene
Savage Garden - To the Moon & Back,118917217,62854,Savage Garden,To the Moon & Back
Los Temerarios - Enamorado de Ti,118710798,106789,Los Temerarios,Enamorado de Ti
Los Tucanes De Tijuana - Espejeando,118709799,107186,Los Tucanes De Tijuana,Espejeando
Los Del Rio - Macarena,118655927,37276,Los Del Rio,Macarena
Rob Zombie - Superbeast,118641045,90446,Rob Zombie,Superbeast
Kool & The Gang - Cherish,118571857,101115,Kool & The Gang,Cherish
Massive Attack - Angel,118567345,256854,Massive Attack,Angel
Guns N' Roses - Estranged,118165021,55048,Guns N' Roses,Estranged
"George Michael - Fastlove, Pt. 1",117773667,55196,George Michael,"Fastlove, Pt. 1"
Maxwell - Ascension (Don't Ever Wonder),117567156,47042,Maxwell,Ascension (Don't Ever Wonder)
Youssou N'Dour - 7 Seconds,117266891,61334,Youssou N'Dour,7 Seconds
Elvis Crespo - Tu Sonrisa,116752330,95986,Elvis Crespo,Tu Sonrisa
Caifanes - Aquí No Es Así,116484533,98413,Caifanes,Aquí No Es Así
R. Kelly - I Believe I Can Fly,116192571,30813,R. Kelly,I Believe I Can Fly
Joaquín Sabina - Y Nos Dieron las Diez,116077447,47394,Joaquín Sabina,Y Nos Dieron las Diez
Nirvana - About A Girl,116058385,32033,Nirvana,About A Girl
Andrea Bocelli - The Prayer,115964394,41520,Andrea Bocelli,The Prayer
Christina Aguilera - What a Girl Wants,115898708,63954,Christina Aguilera,What a Girl Wants
Des'ree - Life,115838217,42424,Des'ree,Life
Sublime - Smoke Two Joints,115756236,50930,Sublime,Smoke Two Joints
Talking Heads - Road to Nowhere,115683648,40690,Talking Heads,Road to Nowhere
Chalino Sanchez - Los Chismes,115336055,88503,Chalino Sanchez,Los Chismes
2Pac - I Ain't Mad At Cha,115239326,45074,2Pac,I Ain't Mad At Cha
Tim McGraw - It's Your Love,114710985,35749,Tim McGraw,It's Your Love
Los Hermanos - Anna Júlia,114384435,59722,Los Hermanos,Anna Júlia
Dr. Dre - Fuck You,114236080,49171,Dr. Dre,Fuck You
Portishead - Roads,114158951,54452,Portishead,Roads
Queen - Too Much Love Will Kill You,114152084,41900,Queen,Too Much Love Will Kill You
Oasis - Don't Go Away,114120516,57814,Oasis,Don't Go Away
2Pac - Life Goes On,113612533,40637,2Pac,Life Goes On
Jarabe De Palo - Depende,112961656,72093,Jarabe De Palo,Depende
Van Halen - Can't Stop Lovin' You,112830293,41648,Van Halen,Can't Stop Lovin' You
Christina Aguilera - Come on over Baby (All I Want Is You),112292010,44652,Christina Aguilera,Come on over Baby (All I Want Is You)
Vertical Horizon - Everything You Want,112179842,36565,Vertical Horizon,Everything You Want
Manu Chao - Clandestino,112129422,85861,Manu Chao,Clandestino
GZA - Shadowboxin',111905463,40140,GZA,Shadowboxin'
Bellini - Samba de Janeiro,111815689,71672,Bellini,Samba de Janeiro
MF DOOM - Rhymes Like Dimes,111700205,79404,MF DOOM,Rhymes Like Dimes
Annie Lennox - Why,111668940,38787,Annie Lennox,Why
Pokémon - Pokémon Theme,111589567,42993,Pokémon,Pokémon Theme
Static-X - Push It,111193055,54081,Static-X,Push It
Garbage - Stupid Girl,110864378,48501,Garbage,Stupid Girl
DJ Jazzy Jeff & The Fresh Prince - Summertime,110780833,30995,DJ Jazzy Jeff & The Fresh Prince,Summertime
Nas - It Ain't Hard to Tell,110608234,63998,Nas,It Ain't Hard to Tell
Fiona Apple - Criminal,110504706,53723,Fiona Apple,Criminal
Kool & The Gang - Jungle Boogie,110254672,36095,Kool & The Gang,Jungle Boogie
Eminem - Just Don't Give A Fuck,110178705,39861,Eminem,Just Don't Give A Fuck
Roxette - How Do You Do!,110142365,77102,Roxette,How Do You Do!
Mariah Carey - Emotions,109957741,45139,Mariah Carey,Emotions
Perry Como - (There's No Place Like) Home for the Holidays,109920528,29256,Perry Como,(There's No Place Like) Home for the Holidays
OV7 - Enloquéceme,109881706,43927,OV7,Enloquéceme
The Cardigans - Erase / Rewind,109767836,73715,The Cardigans,Erase / Rewind
Juan Gabriel - El Noa Noa,109577958,52842,Juan Gabriel,El Noa Noa
Alice In Chains - No Excuses,109541667,63168,Alice In Chains,No Excuses
Los Panchos - Sabor a Mí,109468203,67219,Los Panchos,Sabor a Mí
Captain Jack - Captain Jack,109208440,35307,Captain Jack,Captain Jack
Ricardo Arjona - Señora de las Cuatro Décadas,109076387,52191,Ricardo Arjona,Señora de las Cuatro Décadas
B*Witched - C'est la Vie,108982713,31376,B*Witched,C'est la Vie
Savage Garden - I Want You,108817496,45233,Savage Garden,I Want You
Janet Jackson - Got 'Til It's Gone,108390399,41762,Janet Jackson,Got 'Til It's Gone
Oasis - Whatever,108341450,50872,Oasis,Whatever
Elton John - Circle Of Life,107808670,28232,Elton John,Circle Of Life
Grupo Niche - Busca Por Dentro,107797587,64959,Grupo Niche,Busca Por Dentro
Joan Sebastian - Bandido De Amores,107768159,99664,Joan Sebastian,Bandido De Amores
Westlife - Flying Without Wings,107629041,43596,Westlife,Flying Without Wings
Nick Cave & The Bad Seeds - Red Right Hand,107423750,64684,Nick Cave & The Bad Seeds,Red Right Hand
Fastball - The Way,107098313,49730,Fastball,The Way
Pat Benatar - Heartbreaker,106939081,48462,Pat Benatar,Heartbreaker
Pearl Jam - Elderly Woman Behind the Counter in a Small Town,106861141,46457,Pearl Jam,Elderly Woman Behind the Counter in a Small Town
Pantera - Domination,106852493,75402,Pantera,Domination
Grupo Niche - Nuestro Sueño,106543752,59798,Grupo Niche,Nuestro Sueño
Pedro Infante - Cien años,106537903,104786,Pedro Infante,Cien años
Vengaboys - We're Going To Ibiza!,106484838,39936,Vengaboys,We're Going To Ibiza!
The Notorious B.I.G. - Warning,105965412,34733,The Notorious B.I.G.,Warning
Alanis Morissette - Head over Feet,105918216,58434,Alanis Morissette,Head over Feet
Hootie & The Blowfish - Let Her Cry,105912093,42637,Hootie & The Blowfish,Let Her Cry
Jimmy Cliff - You Can Get It If You Really Want,105746459,37542,Jimmy Cliff,You Can Get It If You Really Want
Salt-N-Pepa - Whatta Man,105700195,55339,Salt-N-Pepa,Whatta Man
Jon Secada - Just Another Day,105681601,81166,Jon Secada,Just Another Day
Destiny's Child - 8 Days of Christmas,105668325,8596,Destiny's Child,8 Days of Christmas
Die Prinzen - Alles nur geklaut,105481499,84562,Die Prinzen,Alles nur geklaut
Los Fugitivos - La Loca,105402144,79285,Los Fugitivos,La Loca
Juan Gabriel - Caray,105345523,71613,Juan Gabriel,Caray
Aaliyah - One In A Million,105161035,77606,Aaliyah,One In A Million
El Gran Silencio - Dormir Soñando,104941076,43084,El Gran Silencio,Dormir Soñando
Keith Sweat - Nobody,104708551,69602,Keith Sweat,Nobody
2Pac - Ratha Be Ya Nigga,104469307,48179,2Pac,Ratha Be Ya Nigga
112 - Cupid,104445765,57927,112,Cupid
S Club - Bring It All Back,104049520,35161,S Club,Bring It All Back
Craig Mack - Flava in Ya Ear Remix,103747764,31907,Craig Mack,Flava in Ya Ear Remix
Elton John - Sorry Seems To Be The Hardest Word,103577431,52509,Elton John,Sorry Seems To Be The Hardest Word
Moloko - Sing It Back (Boris Musical Mix) (Edit),103506383,60018,Moloko,Sing It Back (Boris Musical Mix) (Edit)
Estopa - Por la Raja de Tu Falda,103407332,72046,Estopa,Por la Raja de Tu Falda
Elvis Presley - Return to Sender,103194199,49610,Elvis Presley,Return to Sender
Los Enanitos Verdes - Mi Primer Dia Sin Ti,103157594,72320,Los Enanitos Verdes,Mi Primer Dia Sin Ti
Simply Red - For Your Babies,103155795,52373,Simply Red,For Your Babies
Aqua - Doctor Jones,102965296,51021,Aqua,Doctor Jones
Metallica - The Memory Remains,102939837,75329,Metallica,The Memory Remains
ChiChi Peralta - Amor Narcótico,102578987,54969,ChiChi Peralta,Amor Narcótico
Luis Miguel - El Día Que Me Quieras,101992516,44909,Luis Miguel,El Día Que Me Quieras
Bruce Springsteen - Secret Garden,101919868,46558,Bruce Springsteen,Secret Garden
Sublime - Caress Me Down,101369483,38875,Sublime,Caress Me Down
Luis Miguel - Te Extraño,100961708,47692,Luis Miguel,Te Extraño
