Artist and Title,Streams,Daily,Artist,Song
Tones And I - Dance Monkey,3157463373,530816,Tones And I,Dance Monkey
Harry Styles - Watermelon Sugar,2859746178,836459,Harry Styles,Watermelon Sugar
Shawn Mendes - Señorita,2847688229,790127,Shawn Mendes,Señorita
Dua Lipa - Don't Start Now,2752046301,1121980,Dua Lipa,Don't Start Now
Post Malone - Circles,2622921205,1083171,Post Malone,Circles
Billie Eilish - bad guy,2601325710,716113,Billie Eilish,bad guy
Taylor Swift - Cruel Summer,2551803791,2050666,Taylor Swift,Cruel Summer
Lewis Capaldi - Before You Go,2032267459,872600,Lewis Capaldi,Before You Go
Roddy Ricch - The Box,2026409552,954264,Roddy Ricch,The Box
Billie Eilish - when the party's over,1960213072,1148054,Billie Eilish,when the party's over
Ed Sheeran - I Don't Care,1883195899,718496,Ed Sheeran,I Don't Care
J Balvin - LA CANCIÓN,1840084745,907991,J Balvin,LA CANCIÓN
Travis Scott - HIGHEST IN THE ROOM,1793343403,1418882,Travis Scott,HIGHEST IN THE ROOM
Harry Styles - Adore You,1757959031,577415,Harry Styles,Adore You
Post Malone - Wow.,1746068462,425529,Post Malone,Wow.
Billie Eilish - everything i wanted,1711595544,826804,Billie Eilish,everything i wanted
Taylor Swift - Lover,1573750130,1051023,Taylor Swift,Lover
Lil Nas X - Old Town Road,1555703458,205469,Lil Nas X,Old Town Road
KAROL G - Tusa,1544718493,329330,KAROL G,Tusa
Bad Bunny - Callaita,1515528200,414003,Bad Bunny,Callaita
Arizona Zervas - ROXANNE,1505699299,242905,Arizona Zervas,ROXANNE
Lil Tecca - Ransom,1471993601,1079619,Lil Tecca,Ransom
Jonas Brothers - Sucker,1459879849,404994,Jonas Brothers,Sucker
JHAYCO - No Me Conoce,1435306345,543131,JHAYCO,No Me Conoce
Regard - Ride It,1432089538,618660,Regard,Ride It
Ed Sheeran - Beautiful People,1428129865,244693,Ed Sheeran,Beautiful People
Sam Smith - Dancing With A Stranger,1412311183,448209,Sam Smith,Dancing With A Stranger
Daddy Yankee - Con Calma,1408575762,346291,Daddy Yankee,Con Calma
Chris Brown - Under The Influence,1396519855,1208256,Chris Brown,Under The Influence
J. Cole - MIDDLE CHILD,1342389017,468870,J. Cole,MIDDLE CHILD
Post Malone - Goodbyes,1307269068,294341,Post Malone,Goodbyes
Harry Styles - Falling,1291664717,570304,Harry Styles,Falling
Masked Wolf - Astronaut In The Ocean,1287699935,271669,Masked Wolf,Astronaut In The Ocean
