Artist and Title,Streams,Daily,Artist,Song
Creedence Clearwater Revival - Fortunate Son,1515842229,951560,Creedence Clearwater Revival,Fortunate Son
Marvin Gaye - Ain't No Mountain High Enough,1474443629,893170,Marvin Gaye,Ain't No Mountain High Enough
The Beatles - Here Comes The Sun,1444358736,762895,The Beatles,Here Comes The Sun
"The Rolling Stones - Paint It, Black",1315093033,851627,The Rolling Stones,"Paint It, Black"
Van Morrison - Brown Eyed Girl,1207117962,829021,Van Morrison,Brown Eyed Girl
Ben E. King - Stand By Me,1195270559,685870,Ben E. King,Stand By Me
The Temptations - My Girl,1034715143,678479,The Temptations,My Girl
The Animals - House Of The Rising Sun,1029850197,458753,The Animals,House Of The Rising Sun
Brenda Lee - Rockin' Around The Christmas Tree,1022497193,225334,Brenda Lee,Rockin' Around The Christmas Tree
Elvis Presley - Can't Help Falling in Love,975860960,679063,Elvis Presley,Can't Help Falling in Love
The Jackson 5 - I Want You Back,967023597,381431,The Jackson 5,I Want You Back
Creedence Clearwater Revival - Bad Moon Rising,965643710,617946,Creedence Clearwater Revival,Bad Moon Rising
The Mamas & The Papas - California Dreamin',963508138,740454,The Mamas & The Papas,California Dreamin'
Andy Williams - It's the Most Wonderful Time of the Year,851124623,140306,Andy Williams,It's the Most Wonderful Time of the Year
Otis Redding - (Sittin' On) the Dock of the Bay,849664921,492855,Otis Redding,(Sittin' On) the Dock of the Bay
The Beatles - Come Together,780339073,305636,The Beatles,Come Together
The Rolling Stones - (I Can't Get No) Satisfaction,771834258,332308,The Rolling Stones,(I Can't Get No) Satisfaction
Neil Diamond - Sweet Caroline,763151441,306387,Neil Diamond,Sweet Caroline
Jimi Hendrix - All Along the Watchtower,739612129,203300,Jimi Hendrix,All Along the Watchtower
The Beatles - Yesterday,700296064,433105,The Beatles,Yesterday
Frank Sinatra - Fly Me To The Moon (In Other Words),687308162,306717,Frank Sinatra,Fly Me To The Moon (In Other Words)
Buffalo Springfield - For What It's Worth,677445642,325366,Buffalo Springfield,For What It's Worth
Simon & Garfunkel - Mrs. Robinson,657047714,425524,Simon & Garfunkel,Mrs. Robinson
Aretha Franklin - Respect,654850661,263205,Aretha Franklin,Respect
The Rolling Stones - Gimme Shelter,645828549,238536,The Rolling Stones,Gimme Shelter
Aretha Franklin - I Say a Little Prayer,644572527,254385,Aretha Franklin,I Say a Little Prayer
Simon & Garfunkel - The Sound of Silence,644256310,462182,Simon & Garfunkel,The Sound of Silence
Led Zeppelin - Whole Lotta Love,640110520,213640,Led Zeppelin,Whole Lotta Love
Louis Armstrong - What A Wonderful World,637851087,356974,Louis Armstrong,What A Wonderful World
"Dean Martin - Let It Snow, Let It Snow, Let It Snow",632522529,169993,Dean Martin,"Let It Snow, Let It Snow, Let It Snow"
"Roy Orbison - Oh, Pretty Woman",629754530,417589,Roy Orbison,"Oh, Pretty Woman"
