Artist and Title,Streams,Daily,Artist,Song
Bobby Helms - Jingle Bell Rock,972799780,208074.0,Bobby Helms,Jingle Bell Rock
Frank Sinatra - Let It Snow! Let It Snow! Let It Snow!,575038562,65799.0,Frank Sinatra,Let It Snow! Let It Snow! Let It Snow!
Chuck Berry - Johnny B. Goode,560330481,340333.0,Chuck Berry,Johnny B. Goode
Elvis Presley - Jailhouse Rock,545211845,414141.0,Elvis Presley,Jailhouse Rock
Bing Crosby - White Christmas,489777494,72592.0,Bing Crosby,White Christmas
Paul Anka - Put Your Head On My Shoulder,420106460,278215.0,Paul Anka,Put Your Head On My Shoulder
Elvis Presley - Blue Christmas,373811099,52186.0,Elvis Presley,Blue Christmas
Louis Armstrong - La vie en rose,292017313,172413.0,Louis Armstrong,La vie en rose
Elvis Presley - Hound Dog,268727596,131188.0,Elvis Presley,Hound Dog
Frank Sinatra - Jingle Bells,260285890,52569.0,Frank Sinatra,Jingle Bells
Ray Charles - I've Got a Woman,233291814,88614.0,Ray Charles,I've Got a Woman
Bobby Darin - Beyond the Sea,232906524,179644.0,Bobby Darin,Beyond the Sea
Frank Sinatra - Come Fly With Me,222214758,70940.0,Frank Sinatra,Come Fly With Me
Frank Sinatra - I've Got You Under My Skin,211249415,97456.0,Frank Sinatra,I've Got You Under My Skin
Gene Autry - Here Comes Santa Claus (Right Down Santa Claus Lane),191344672,50805.0,Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane)
Dean Martin - That's Amore,191083115,83957.0,Dean Martin,That's Amore
Frank Sinatra - Mistletoe And Holly,188379232,18736.0,Frank Sinatra,Mistletoe And Holly
Bing Crosby - Mele Kalikimaka,187938854,37680.0,Bing Crosby,Mele Kalikimaka
The Champs - Tequila (Alternate Take),187133948,,The Champs,Tequila (Alternate Take)
Judy Garland - Have Yourself A Merry Little Christmas,169967928,14207.0,Judy Garland,Have Yourself A Merry Little Christmas
Elvis Presley - Don't Be Cruel,169474257,113645.0,Elvis Presley,Don't Be Cruel
Erik Satie - Gymnopédie No. 1,169260968,98806.0,Erik Satie,Gymnopédie No. 1
Frank Sinatra - Have Yourself A Merry Little Christmas,169251995,54744.0,Frank Sinatra,Have Yourself A Merry Little Christmas
The Everly Brothers - All I Have To Do Is Dream,166852270,96753.0,The Everly Brothers,All I Have To Do Is Dream
Peggy Lee - Fever,161147016,89377.0,Peggy Lee,Fever
Miles Davis - Blue in Green,161097929,70083.0,Miles Davis,Blue in Green
Elvis Presley - Here Comes Santa Claus (Right Down Santa Claus Lane),160186807,20101.0,Elvis Presley,Here Comes Santa Claus (Right Down Santa Claus Lane)
Sam Cooke - You Send Me,159005969,75366.0,Sam Cooke,You Send Me
Nat King Cole - Unforgettable,158707968,117184.0,Nat King Cole,Unforgettable
Elvis Presley - Heartbreak Hotel,153995040,56518.0,Elvis Presley,Heartbreak Hotel
Frank Sinatra - You Make Me Feel So Young,149012165,66883.0,Frank Sinatra,You Make Me Feel So Young
Bing Crosby - It's Beginning To Look A Lot Like Christmas,148871055,22417.0,Bing Crosby,It's Beginning To Look A Lot Like Christmas
Elvis Presley - Blue Suede Shoes,147111356,76642.0,Elvis Presley,Blue Suede Shoes
Johnny Cash - I Walk The Line,140565583,101600.0,Johnny Cash,I Walk The Line
Harry Belafonte - Banana Boat (Day-O),138686993,147985.0,Harry Belafonte,Banana Boat (Day-O)
Bill Haley & His Comets - (We're Gonna) Rock Around The Clock,138273894,74964.0,Bill Haley & His Comets,(We're Gonna) Rock Around The Clock
Little Richard - Tutti Frutti,137465147,60631.0,Little Richard,Tutti Frutti
Elvis Presley - All Shook Up,136894663,59298.0,Elvis Presley,All Shook Up
Ella Fitzgerald - Summertime,130431889,48512.0,Ella Fitzgerald,Summertime
"Ray Charles - Hallelujah, I Love Her So",129108019,123674.0,Ray Charles,"Hallelujah, I Love Her So"
Buddy Holly - Everyday,121526093,51739.0,Buddy Holly,Everyday
Frank Sinatra - Santa Claus Is Coming To Town,120601977,12243.0,Frank Sinatra,Santa Claus Is Coming To Town
"The Isley Brothers - Shout, Pts. 1 & 2",115114487,21917.0,The Isley Brothers,"Shout, Pts. 1 & 2"
Billie Holiday - I'll Be Seeing You,113140982,87545.0,Billie Holiday,I'll Be Seeing You
Glenn Miller - In the Mood,112929324,58918.0,Glenn Miller,In the Mood
Little Richard - Long Tall Sally (The Thing),109297253,55236.0,Little Richard,Long Tall Sally (The Thing)
Miles Davis - So What,107128034,48231.0,Miles Davis,So What
