Artist and Title,Streams,Daily,Artist,Song
Coldplay - Yellow,2577347529,1649584,Coldplay,Yellow
The Killers - Mr. Brightside,2358607897,1278541,The Killers,Mr. Brightside
Eminem - Without Me,2348468313,1615342,Eminem,Without Me
Eminem - Lose Yourself,2339621440,1282665,Eminem,Lose Yourself
Linkin Park - In the End,2253099366,1946119,Linkin Park,In the End
Eminem - Till I Collapse,2070915924,914275,Eminem,Till I Collapse
Coldplay - The Scientist,2064793645,1264477,Coldplay,The Scientist
Eminem - The Real Slim Shady,1949258656,1284079,Eminem,The Real Slim Shady
Linkin Park - Numb,1925923517,1863909,Linkin Park,Numb
Eminem - Mockingbird,1855656545,1585478,Eminem,Mockingbird
The White Stripes - Seven Nation Army,1782083362,828218,The White Stripes,Seven Nation Army
Keane - Somewhere Only We Know,1723278985,1419202,Keane,Somewhere Only We Know
50 Cent - In Da Club,1630950234,1035870,50 Cent,In Da Club
Maroon 5 - She Will Be Loved,1535639818,794798,Maroon 5,She Will Be Loved
System Of A Down - Chop Suey!,1478589565,1047290,System Of A Down,Chop Suey!
Outkast - Hey Ya!,1458778039,786535,Outkast,Hey Ya!
USHER - Yeah!,1452637666,1087291,USHER,Yeah!
Beyoncé - Crazy In Love,1335223568,959689,Beyoncé,Crazy In Love
Red Hot Chili Peppers - Can't Stop,1331800418,757092,Red Hot Chili Peppers,Can't Stop
Evanescence - Bring Me To Life,1256895346,1136444,Evanescence,Bring Me To Life
Papa Roach - Last Resort,1219234247,626865,Papa Roach,Last Resort
Maroon 5 - This Love,1208409313,884653,Maroon 5,This Love
Fleetwood Mac - The Chain,1195256177,616890,Fleetwood Mac,The Chain
Eminem - Stan,1194527226,638894,Eminem,Stan
Nickelback - How You Remind Me,1186155247,1058265,Nickelback,How You Remind Me
Alicia Keys - If I Ain't Got You,1176957871,896475,Alicia Keys,If I Ain't Got You
Outkast - Ms. Jackson,1172222650,740979,Outkast,Ms. Jackson
Natasha Bedingfield - Unwritten,1165886874,1350457,Natasha Bedingfield,Unwritten
Coldplay - Sparks,1120954220,1572297,Coldplay,Sparks
Hoobastank - The Reason,1093167378,715398,Hoobastank,The Reason
Shaggy - It Wasn't Me,1078077347,471876,Shaggy,It Wasn't Me
Black Eyed Peas - Where Is The Love?,1078052455,558349,Black Eyed Peas,Where Is The Love?
JAY-Z - Numb / Encore,1071243179,620598,JAY-Z,Numb / Encore
Mario - Let Me Love You,1063467786,744119,Mario,Let Me Love You
Green Day - American Idiot,1036240238,582960,Green Day,American Idiot
System Of A Down - Toxicity,1034681037,958034,System Of A Down,Toxicity
Jimmy Eat World - The Middle,1030333119,694043,Jimmy Eat World,The Middle
Eminem - Superman,1007932565,858468,Eminem,Superman
Daddy Yankee - Gasolina,1006646383,745990,Daddy Yankee,Gasolina
Coldplay - Clocks,1006628241,784985,Coldplay,Clocks
3 Doors Down - Kryptonite,1001513487,574083,3 Doors Down,Kryptonite
Toploader - Dancing in the Moonlight,958409424,612243,Toploader,Dancing in the Moonlight
Franz Ferdinand - Take Me Out,955936992,630305,Franz Ferdinand,Take Me Out
Avril Lavigne - Complicated,954787759,727375,Avril Lavigne,Complicated
Don Omar - Dile,948147046,771879,Don Omar,Dile
Train - Drops of Jupiter (Tell Me),947156009,637999,Train,Drops of Jupiter (Tell Me)
Bon Jovi - It's My Life,942548554,587719,Bon Jovi,It's My Life
Nelly - Dilemma,925104898,463505,Nelly,Dilemma
The Killers - Somebody Told Me,882636949,640705,The Killers,Somebody Told Me
Green Day - Boulevard of Broken Dreams,876006584,513649,Green Day,Boulevard of Broken Dreams
Britney Spears - Oops!...I Did It Again,857091902,577933,Britney Spears,Oops!...I Did It Again
Gorillaz - Clint Eastwood,849730857,474081,Gorillaz,Clint Eastwood
USHER - My Boo,843377113,593548,USHER,My Boo
blink-182 - I Miss You,843059675,438470,blink-182,I Miss You
Weezer - Island In The Sun,834723854,461653,Weezer,Island In The Sun
*NSYNC - Bye Bye Bye,832666657,1815471,*NSYNC,Bye Bye Bye
Three Days Grace - I Hate Everything About You,826858583,737502,Three Days Grace,I Hate Everything About You
50 Cent - P.I.M.P.,825860076,559205,50 Cent,P.I.M.P.
The Game - Hate It Or Love It,819176955,535089,The Game,Hate It Or Love It
Slipknot - Duality,818768969,608003,Slipknot,Duality
Linkin Park - Faint,801538917,1420672,Linkin Park,Faint
Disturbed - Down with the Sickness,801298677,348545,Disturbed,Down with the Sickness
Kelly Clarkson - Since U Been Gone,800130745,554505,Kelly Clarkson,Since U Been Gone
Linkin Park - One Step Closer,797880829,987785,Linkin Park,One Step Closer
Green Day - Wake Me up When September Ends,793156404,400851,Green Day,Wake Me up When September Ends
No Doubt - Don't Speak,784283280,471753,No Doubt,Don't Speak
Vanessa Carlton - A Thousand Miles,774512615,380221,Vanessa Carlton,A Thousand Miles
DMX - X Gon' Give It To Ya,762547949,321129,DMX,X Gon' Give It To Ya
