Artist and Title,Streams,Daily,Artist,Song
Queen - Bohemian Rhapsody,2611543428,849319,Queen,Bohemian Rhapsody
Queen - Don't Stop Me Now,2124260328,1046831,Queen,Don't Stop Me Now
Michael Jackson - Billie Jean,1917040565,1298101,Michael Jackson,Billie Jean
"Earth, Wind & Fire - September",1780578656,1163888,"Earth, Wind & Fire",September
Creedence Clearwater Revival - Have You Ever Seen The Rain,1776139398,1148669,Creedence Clearwater Revival,Have You Ever Seen The Rain
AC/DC - Highway to Hell,1734956276,1130834,AC/DC,Highway to Hell
Eagles - Hotel California,1714973505,779183,Eagles,Hotel California
ABBA - Dancing Queen,1455897670,892142,ABBA,Dancing Queen
Queen - We Will Rock You,1391241821,634139,Queen,We Will Rock You
Lynyrd Skynyrd - Sweet Home Alabama,1377330224,457537,Lynyrd Skynyrd,Sweet Home Alabama
Dire Straits - Sultans of Swing,1291501342,671637,Dire Straits,Sultans of Swing
Michael Jackson - Beat It,1231854311,967491,Michael Jackson,Beat It
Aerosmith - Dream On,1221493375,683074,Aerosmith,Dream On
Black Sabbath - Paranoid,1185885163,695067,Black Sabbath,Paranoid
Elton John - Rocket Man (I Think It's Going To Be A Long Long Time),1182972439,535428,Elton John,Rocket Man (I Think It's Going To Be A Long Long Time)
Bee Gees - Stayin' Alive,1093239005,534867,Bee Gees,Stayin' Alive
Bob Marley & The Wailers - Three Little Birds,1078154449,546725,Bob Marley & The Wailers,Three Little Birds
KISS - I Was Made For Lovin' You,1077927611,791108,KISS,I Was Made For Lovin' You
Bill Withers - Ain't No Sunshine,1047434460,735847,Bill Withers,Ain't No Sunshine
Led Zeppelin - Stairway to Heaven,1029380461,392903,Led Zeppelin,Stairway to Heaven
Electric Light Orchestra - Mr. Blue Sky,1016013728,328706,Electric Light Orchestra,Mr. Blue Sky
Elton John - Your Song,956624201,493977,Elton John,Your Song
"Pink Floyd - Another Brick in the Wall, Pt. 2",938180395,366807,Pink Floyd,"Another Brick in the Wall, Pt. 2"
Queen - Somebody To Love,932946087,310875,Queen,Somebody To Love
Billy Joel - Piano Man,904954236,498614,Billy Joel,Piano Man
Queen - Killer Queen,898334897,510804,Queen,Killer Queen
Boston - More Than a Feeling,891075165,433002,Boston,More Than a Feeling
ABBA - Gimme! Gimme! Gimme! (A Man After Midnight),853418202,495309,ABBA,Gimme! Gimme! Gimme! (A Man After Midnight)
Elton John - Don't Go Breaking My Heart,848387968,477935,Elton John,Don't Go Breaking My Heart
Bob Marley & The Wailers - Is This Love,829075129,387438,Bob Marley & The Wailers,Is This Love
Bee Gees - How Deep Is Your Love,804530798,508986,Bee Gees,How Deep Is Your Love
Kansas - Dust in the Wind,800359947,620267,Kansas,Dust in the Wind
The Police - Roxanne,797176652,447688,The Police,Roxanne
Elton John - Tiny Dancer,796730125,275538,Elton John,Tiny Dancer
Daryl Hall & John Oates - Rich Girl,792327959,840584,Daryl Hall & John Oates,Rich Girl
Led Zeppelin - Immigrant Song,790088617,311575,Led Zeppelin,Immigrant Song
The Cure - Boys Don't Cry,778508681,637240,The Cure,Boys Don't Cry
Don McLean - American Pie,775676579,307749,Don McLean,American Pie
Bill Withers - Lovely Day,772972629,577801,Bill Withers,Lovely Day
Michael Jackson - Smooth Criminal,769647542,639113,Michael Jackson,Smooth Criminal
Pink Floyd - Wish You Were Here,761865835,322236,Pink Floyd,Wish You Were Here
AC/DC - T.N.T.,761233005,476449,AC/DC,T.N.T.
Queen - We Are The Champions,753261677,260586,Queen,We Are The Champions
Fleetwood Mac - Landslide,752026684,453903,Fleetwood Mac,Landslide
America - A Horse with No Name,739652910,348709,America,A Horse with No Name
The Beatles - Let It Be,735554980,370043,The Beatles,Let It Be
Stealers Wheel - Stuck In The Middle With You,731605225,464029,Stealers Wheel,Stuck In The Middle With You
Dolly Parton - Jolene,727839787,500685,Dolly Parton,Jolene
Blue Swede - Hooked On A Feeling,722482973,384325,Blue Swede,Hooked On A Feeling
Eagles - Take It Easy,703916945,332012,Eagles,Take It Easy
Lynyrd Skynyrd - Free Bird,699036763,333439,Lynyrd Skynyrd,Free Bird
John Lennon - Imagine,697370939,325284,John Lennon,Imagine
Yusuf / Cat Stevens - Wild World,696523704,372722,Yusuf / Cat Stevens,Wild World
Kansas - Carry on Wayward Son,684511641,276298,Kansas,Carry on Wayward Son
Redbone - Come and Get Your Love,674412057,731903,Redbone,Come and Get Your Love
ZZ Top - La Grange (2005 Remaster),673412001,467021,ZZ Top,La Grange (2005 Remaster)
Billy Joel - Vienna,664063425,609573,Billy Joel,Vienna
"Stevie Wonder - Signed, Sealed, Delivered (I'm Yours)",660327883,278078,Stevie Wonder,"Signed, Sealed, Delivered (I'm Yours)"
Olivia Newton-John - You're The One That I Want,643415262,208159,Olivia Newton-John,You're The One That I Want
Commodores - Easy,641238486,332087,Commodores,Easy
The Doobie Brothers - Listen to the Music,629420604,312379,The Doobie Brothers,Listen to the Music
Pink Floyd - Comfortably Numb,629161403,248166,Pink Floyd,Comfortably Numb
Bee Gees - More Than A Woman,628159811,508867,Bee Gees,More Than A Woman
The Beatles - Hey Jude,617567150,231582,The Beatles,Hey Jude
The Who - Baba O'Riley,617157516,191400,The Who,Baba O'Riley
Rupert Holmes - Escape (The Pina Colada Song),611941868,240481,Rupert Holmes,Escape (The Pina Colada Song)
ABBA - Mamma Mia,611130410,355729,ABBA,Mamma Mia
Bob Marley & The Wailers - Jamming,600566323,325170,Bob Marley & The Wailers,Jamming
Al Green - Let's Stay Together,590544566,264868,Al Green,Let's Stay Together
Blue Öyster Cult - (Don't Fear) The Reaper,586594924,377328,Blue Öyster Cult,(Don't Fear) The Reaper
Michael Jackson - Rock with You,579165505,576909,Michael Jackson,Rock with You
David Bowie - Starman,561588603,529538,David Bowie,Starman
Deep Purple - Smoke on the Water,558505277,217483,Deep Purple,Smoke on the Water
Talking Heads - Psycho Killer,548271450,528261,Talking Heads,Psycho Killer
George Harrison - My Sweet Lord (2014 Remaster),547119010,199274,George Harrison,My Sweet Lord (2014 Remaster)
Bob Marley & The Wailers - One Love / People Get Ready,541803492,263223,Bob Marley & The Wailers,One Love / People Get Ready
Aerosmith - Walk This Way,538160865,232445,Aerosmith,Walk This Way
David Bowie - Heroes,529226733,224776,David Bowie,Heroes
The Police - Message In A Bottle,527170851,308353,The Police,Message In A Bottle
Steve Miller Band - The Joker,525749957,224197,Steve Miller Band,The Joker
Michael Jackson - Don't Stop 'Til You Get Enough,525461027,236079,Michael Jackson,Don't Stop 'Til You Get Enough
Carly Simon - You're So Vain,523586731,427345,Carly Simon,You're So Vain
Pink Floyd - Money,523427983,168768,Pink Floyd,Money
"Grover Washington, Jr. - Just the Two of Us",521774811,230115,"Grover Washington, Jr.",Just the Two of Us
"Earth, Wind & Fire - Boogie Wonderland",520119784,387311,"Earth, Wind & Fire",Boogie Wonderland
Eric Clapton - Wonderful Tonight,518417249,222938,Eric Clapton,Wonderful Tonight
KISS - Rock And Roll All Nite,512119085,225588,KISS,Rock And Roll All Nite
Black Sabbath - Iron Man,511637650,214782,Black Sabbath,Iron Man
