Artist and Title,Streams,Daily,Artist,Song
Adele - Someone Like You,2083503745,1162536,Adele,Someone Like You
Foster The People - Pumped Up Kicks,1951769168,1255968,Foster The People,Pumped Up Kicks
Adele - Rolling in the Deep,1942428397,1056381,Adele,Rolling in the Deep
Gotye - Somebody That I Used To Know,1877783168,963911,Gotye,Somebody That I Used To Know
Rihanna - We Found Love,1830451177,1155671,Rihanna,We Found Love
Lucenzo - Danza Kuduro,1769538783,1176579,Lucenzo,Danza Kuduro
Adele - Set Fire to the Rain,1764844661,1255811,Adele,Set Fire to the Rain
Christina Perri - a thousand years,1763437838,778075,Christina Perri,a thousand years
David Guetta - Titanium,1744310648,678147,David Guetta,Titanium
JAY-Z - Ni**as In Paris,1517579442,615228,JAY-Z,Ni**as In Paris
"Snoop Dogg - Young, Wild & Free",1508364275,572590,Snoop Dogg,"Young, Wild & Free"
Gym Class Heroes - Stereo Hearts,1405279921,989247,Gym Class Heroes,Stereo Hearts
Coldplay - Paradise,1398760849,824001,Coldplay,Paradise
Pitbull - Give Me Everything,1344443627,1189462,Pitbull,Give Me Everything
Nicki Minaj - Starships,1220376571,606807,Nicki Minaj,Starships
M83 - Midnight City,1161195325,584655,M83,Midnight City
Calvin Harris - Feel So Close,1125068521,891628,Calvin Harris,Feel So Close
J. Cole - Work Out,1035257125,563860,J. Cole,Work Out
Lana Del Rey - Video Games,1016990129,622826,Lana Del Rey,Video Games
Avicii - Levels,1016506831,438416,Avicii,Levels
Ed Sheeran - The A Team,1010317369,254415,Ed Sheeran,The A Team
Michael Bublé - It's Beginning to Look a Lot like Christmas,1008595190,171357,Michael Bublé,It's Beginning to Look a Lot like Christmas
"Bruno Mars - It Will Rain (From ""Twilight Breaking Dawn"")",987155437,2008048,Bruno Mars,"It Will Rain (From ""Twilight Breaking Dawn"")"
GROUPLOVE - Tongue Tied,976632664,306248,GROUPLOVE,Tongue Tied
Flo Rida - Wild Ones,949978442,569161,Flo Rida,Wild Ones
Selena Gomez & The Scene - Love You Like A Love Song,929262436,703562,Selena Gomez & The Scene,Love You Like A Love Song
The Wanted - Glad You Came,863472227,401291,The Wanted,Glad You Came
Birdy - Skinny Love,851823800,253143,Birdy,Skinny Love
AWOLNATION - Sail,839348571,214677,AWOLNATION,Sail
Justin Bieber - Mistletoe,774226942,125303,Justin Bieber,Mistletoe
LMFAO - Party Rock Anthem,766532909,354814,LMFAO,Party Rock Anthem
Imagine Dragons - It's Time,755972919,297106,Imagine Dragons,It's Time
Rihanna - Where Have You Been,747556674,363988,Rihanna,Where Have You Been
Flo Rida - Good Feeling,719318769,327198,Flo Rida,Good Feeling
Kelly Clarkson - Stronger (What Doesn't Kill You),695786212,282402,Kelly Clarkson,Stronger (What Doesn't Kill You)
Drake - Headlines,693404087,376415,Drake,Headlines
Frank Ocean - Novacane,674119813,643717,Frank Ocean,Novacane
Beyoncé - Love On Top,671495820,190572,Beyoncé,Love On Top
The Paper Kites - Bloom,655447605,466616,The Paper Kites,Bloom
Drake - Take Care,654461009,246158,Drake,Take Care
Lady Gaga - Born This Way,647788314,268264,Lady Gaga,Born This Way
Jennifer Lopez - On The Floor,642550491,525496,Jennifer Lopez,On The Floor
David Guetta - Where Them Girls At,642112568,321212,David Guetta,Where Them Girls At
Lykke Li - I Follow Rivers,634508137,296434,Lykke Li,I Follow Rivers
Drake - Marvins Room,623977772,216433,Drake,Marvins Room
Michael Bublé - Holly Jolly Christmas,620631334,105292,Michael Bublé,Holly Jolly Christmas
Lady Gaga - Judas,617178572,1086570,Lady Gaga,Judas
The Weeknd - Wicked Games,609950699,279147,The Weeknd,Wicked Games
