Date,Global,US,GB,PH,AU,ID,BR,CA,MX,DE,NL,MY,FR,SE,SG,AR,ES,NO,IE,NZ,IT,CL,TH,DK,PL,PE,JP,BE,FI,VN,PT,HK,TW,TR,CO,CH,CR,AT,HU,CZ,GR,IN,IL,EC,RO,GT,SV,IS,DO,PA,SK,UY,HN,BO,AE,LT,PY,BG,EE,LV,MT,SA,ZA,NI,LU,CY,KR,EG,MA,UA
Total,1130009680,325361967,82078947,66537698,48051840,47849692,44449809,38458669,37461012,25640773,20445494,14817347,13141332,12544247,12497665,11769142,11461109,9273785,9267089,9145036,8673337,7972686,7552614,6752909,6707406,5568096,5424170,4910312,4460291,4297190,4006894,3945742,3835524,3710528,2960021,2946934,2178742,1808795,1373877,1343885,1341698,1295005,1247381,1240620,1082792,987029,848243,790278,785230,746164,679143,673141,660263,655376,639132,611408,598009,561877,533614,458693,385007,345671,307167,288410,265565,192688,35491,30426,6608,2738
Peak,59975503,23636303,6320632,2347362,3266967,1188405,2825475,2929260,2537275,1958348,1774058,610974,833219,1205659,653412,643011,793692,851909,737611,672305,803248,589077,222204,617068,406126,392415,240619,265977,378283,64714,225468,196004,202859,278720,206978,245239,132470,144569,79933,81187,71847,91103,56554,90384,45651,63423,48312,66143,57534,53605,37620,42233,41120,42958,10553,39236,45326,24501,31572,29014,26452,14972,13538,16622,19753,11757,7386,3669,3477,2738
2018/11/08,47098337,22461370,4645747,1464304,2226275,416629,1821172,2566600,963125,1189827,1046796,379857,506257,639079,406843,396895,426671,407900,601717,472258,531703,306722,84789,363185,309897,166135,116950,172539,225423,35718,163598,130136,94398,151745,92354,159629,108365,97459,57887,57110,57518,,36712,41295,36124,32285,23111,43010,38146,30788,25725,30819,24727,16534,,27331,20069,20235,22019,18548,17909,,,9156,13472,8612,,,,
2018/11/15,59975503,23636303,6320632,2265356,3266967,897058,2248661,2929260,1630930,1958348,1774058,610974,793707,1205659,653412,556034,758647,851909,737611,672305,709202,473705,179607,617068,401163,252303,240619,260484,378283,59755,225468,196004,193941,261471,140975,245239,125925,144569,79933,81187,71847,,54254,68915,45005,46140,33341,66143,57534,51308,37620,42233,35759,31879,,39236,28997,24501,31572,29014,26452,,,13186,19753,11757,,,,
2018/11/22,45530537,16452520,4545034,2178553,2491071,793974,1696625,2059538,1413629,1662054,1410548,495481,695980,1013332,506387,471996,678727,710362,524426,505892,589734,396895,166335,499419,322686,222229,210083,225888,309102,53189,192979,152888,187215,216552,147750,183722,94416,112210,64900,68560,54896,,50496,55367,36994,38318,27014,50676,44949,40332,31978,33582,28470,26528,,30679,25543,18403,23571,22227,21674,,,11133,15116,8636,,,,
2018/11/29,39493862,12871255,3916111,2095916,2173168,870253,1846161,1692756,1513779,1430989,1225006,445502,646162,869313,438001,477635,574539,643956,452492,444525,607217,396010,157307,404206,311492,223401,201861,210989,274870,47586,189181,131791,171329,192552,146023,160393,88553,98449,57730,63421,48974,,46550,54344,35124,38664,27915,41526,40878,37407,29512,30172,26175,24031,,27287,25641,16880,21435,20587,19018,,,10952,13010,7547,,,,
2018/12/06,50459484,17110866,4518359,2347362,2494170,1110679,2825475,1975552,2537275,1806273,1506172,496709,831653,928218,507912,643011,793692,651339,489836,485256,803248,589077,222204,443853,406126,392415,221353,265977,286708,64714,219955,159977,202859,278720,206978,201004,132470,125021,77323,80113,67258,,56554,90384,44396,63423,48312,47043,54845,53605,34866,41919,41120,42958,,34648,45326,23210,27395,27362,23279,,,16622,16668,10042,,,,
2018/12/13,41560176,13117899,3617181,2074585,2053131,1188405,2225393,1605476,2222891,1629836,1298480,416042,833219,780330,424596,552960,710547,534646,382595,423661,668384,522334,188221,372361,333326,366403,192996,241775,234134,51644,187283,137263,176844,234311,183455,168936,107100,110042,63502,71294,52300,,46899,78831,36746,50798,39857,38689,47108,44271,29040,35045,34263,35344,,27857,42036,18256,22637,22893,19592,,,13180,13558,7958,,,,
2018/12/20,37940606,11776847,3290279,1956313,1921175,1179629,1975632,1429851,1973458,1601754,1166666,388524,806299,683170,384138,521623,594309,496808,366981,394529,568954,467776,179906,353363,315078,317686,185335,222629,240281,45781,177980,127290,170169,215117,173997,155592,95789,103727,57462,67719,50116,,48416,71459,35432,47474,34852,33945,40750,38808,27062,32022,30709,29957,,25604,38869,16991,20872,20799,17776,,,12108,12543,7419,,,,
2018/12/27,31180517,9226168,2841097,1728596,1764589,1036584,1646863,1090677,1557610,1230572,909225,334184,719668,545652,322497,503384,470122,395787,342871,340229,470041,398744,163209,283804,245706,267143,172630,188433,186761,41822,136754,104207,154244,184299,142075,128708,79775,79820,42359,49150,40267,,43798,58668,28185,39316,30476,25928,31841,32301,20581,28152,25634,25122,,20171,29294,12628,16196,16084,13682,,,10434,10308,6181,,,,
