Date,Global,US,GB,CA,DE,SE,NL,AU,NO,PL,DK,IE,PH,BE,IT,CH,ES,AT,FR,NZ,HU,CZ,SG,FI,PT,GR,SK,MY,RO,IS,HK,LT,LV,EE,JP,LU,RU,AE,BG,VN,MT,ZA,TW,CY,UA,TH,PA,EC,CR,GT,KR,HN,AD
Total,356345895,139374760,48331127,21589157,19869784,16681043,16498191,8016846,6897394,6728849,6725710,4581150,3012221,3000753,2717615,2423466,2130033,1873040,1866845,1812381,1502456,1391337,1316755,995752,936683,798201,786557,774404,592906,525144,488926,458647,443873,315610,280026,218647,216750,182967,180823,153227,146689,145270,115637,111830,105158,84848,21790,20951,17736,17130,10830,6166,1084
Peak,32218073,11067032,4053693,1805323,2418844,1215423,1386498,1162404,487008,865941,516591,467083,596917,443424,531517,354711,546452,239992,618974,246394,246529,166084,187017,233918,159587,64873,100908,113766,77436,46161,82710,44519,44873,32363,167560,29124,140342,43470,21081,46263,16217,53495,60292,11584,41096,50785,12452,20951,17736,17130,10830,6166,1084
2013/12/08,,,112305,,,,,,,,,,,,,,,,,,,,,,,1661,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013/12/15,,,137755,,,,66515,,109161,,,7113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013/12/22,,,176629,,,268366,91654,,137367,14735,,9217,,,,,,,,,,,,,,1984,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013/12/29,,,200503,,,216359,133088,,,,,9617,,19825,,,,,,,1437,,,,,2549,,,,,,1270,1352,,,,,,,,,,,,,,,,,,,,
2014/11/30,,,,,,143165,,,,,35034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/12/07,,,236320,,,263562,43222,,57499,,55510,9875,,,,,,3826,,,,,,,,1541,,,,1487,,,,,,,,,,,,,,,,,,,,,,,
2014/12/14,,417888,352793,10445,,260087,64673,,51704,,38845,10128,,,,,,4451,,,,,,,,1702,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/12/21,,434560,375497,10760,79181,325866,69821,,114671,12185,39390,18598,,8428,,,,5417,,,,,,,,,,,,1227,,,,,,,,,,,,,,,,,,,,,,,
2014/12/28,3022584,708519,577813,21347,151842,407732,155201,26371,103112,21485,41579,25245,22575,36415,31376,15125,,13539,,,6347,3327,7432,,,3456,1539,5063,,1750,4847,2511,3418,2159,,,,,,,,,,,,,,,,,,,
2015/11/26,,,,,,,,,,,45567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/12/03,,623452,214373,,,156040,,,90470,,102763,12712,,,,,,7492,,,,,,,,2438,,,,3042,,,,,,,,,,,,,,,,,,,,,,,
2015/12/10,2163661,799688,394376,56538,114827,171691,95635,,107082,18817,99817,23814,,,,,,10765,,,,4298,,,,3298,2117,,,3533,,,2274,,,,,,,,1174,,,,,,,,,,,,
2015/12/17,2398341,855797,438104,68906,124219,184604,134799,,110826,26116,92396,27367,,14332,,,,10422,,17398,,7809,,,,4287,2489,11103,,3630,,1864,2913,,,,,,,,1168,,,,,,,,,,,,
2015/12/24,4145698,1230463,753258,117049,301685,379847,211568,115906,156858,57667,166153,44254,71911,27861,64580,20704,97672,23614,,47855,15436,12086,,35492,15923,4776,6162,18982,,5334,9248,3467,5350,3346,,1454,,,1237,,1886,,,,,,,,,,,,
2015/12/31,2004468,693363,416619,79593,,,159760,63789,,15002,,23617,,17812,40893,10270,,,,,3727,,,,,4171,,,,,,1844,1846,,,,,,,,,,,,,,,,,,,,
2016/11/24,,,,,,,,,,,50301,,,,,,,,,,,,,,,,,,,3538,,,,,,,,,,,,,,,,,,,,,,,
2016/12/01,2599578,1071782,309029,137418,,292671,,,108886,,117552,24596,,,,,,14845,,,,5867,,,,4155,2207,,,5935,,,2171,,,,,,,,1666,,,,,,,,,,,,
2016/12/08,4108174,1507187,782367,234364,218806,316397,166421,,146556,52869,142485,60689,,16291,,,,20656,,26083,7831,11449,,,,5683,5198,,,7628,,3010,3701,,,1333,,,1539,,2909,,,,,,,,,,,,
2016/12/15,4621659,1581450,922519,260347,241002,323504,290229,,150522,61913,128005,75538,,29542,,18559,,20412,,33536,8997,12098,,,,5666,5974,19011,,8496,,3756,4220,2711,,1690,,,1436,,3097,,,,,,,,,,,,
2016/12/22,5756514,1751875,1135311,301499,332829,470112,330817,149610,203384,107498,151141,95022,,42506,,27808,,29563,,47658,16989,18560,20400,,20454,7127,8982,24070,,11254,,4735,6535,3877,,2454,,,1899,,4371,,,1111,,,,,,,,,
2016/12/29,7237127,1763760,1477125,386858,580458,485868,439785,300069,170755,106028,157462,102391,100025,92067,95864,58616,139656,40404,156420,93005,30747,20530,33671,42536,25494,10664,8385,29478,,8326,17799,8063,9656,5671,,4947,,,3197,,4727,,,1725,,,,,,,,,
2017/11/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6176,,,,,,,,,,,,,,,,,,,,,,,
2017/11/23,,1437540,,154216,,126389,,,,,,,,,,,,,,,,,,,,,,,,5928,,,,,,,,,,,,,,,,,,,,,,,
2017/11/30,4243061,2566225,329099,213472,,205404,,,87493,46194,98206,29916,,,,,,,,,7770,10575,,,,5765,5205,,,7017,,3286,3531,2604,,,,,2114,,2550,,,,,,,,,,,,
2017/12/07,6379466,2961201,887885,305104,277565,403672,195077,159824,169350,116953,167335,59866,,41057,,,,23988,,,20447,27339,,,,12417,13513,,,9244,,9939,10280,7364,,3961,,,3672,,5813,,,1754,,,,,,,,,
2017/12/14,7505091,3337534,1030493,409430,301639,470218,368198,176004,156717,157480,142864,87639,,72187,,27455,,25570,,45775,24467,33573,42501,,,13306,15017,37326,,10592,,10986,11854,7728,,4649,,,4020,,5816,,,2116,,,,,,,,,
2017/12/21,8331608,3527366,1168908,460095,,608128,323538,227835,166858,240456,148039,103931,140222,64885,,31604,,29446,,60858,32687,40883,46861,,,13799,18450,43823,,12126,,12152,13482,8619,,4544,,,4658,,6274,,,2362,,,,,,,,,
2017/12/28,11647031,4101683,1850531,666526,722373,702602,462320,544319,164095,266869,176714,144092,184877,126509,132954,67857,,51971,216972,122169,58911,43802,79419,64661,22496,18096,19748,58961,,11450,21265,14890,17942,11097,,8007,,,5808,,7974,,21834,3255,,10211,,,,,,,
2018/01/04,,,,,,,,,,,,,,,,,,,,,,,,,,3807,,,,,,,,,,,,,,,,,,,,,,,,,,,
