Date,CO,PA
Total,648340,407955
Peak,184005,55315
2019/12/26,63510,21651
2020/12/10,,13861
2020/12/17,,12245
2020/12/24,74525,23091
2020/12/31,88566,18863
2021/12/09,113109,17513
2021/12/16,,14970
2021/12/23,,18283
2021/12/30,124625,35360
2022/12/08,,19344
2022/12/15,,17003
2022/12/22,,19359
2022/12/29,184005,42584
2023/12/07,,27360
2023/12/14,,24741
2023/12/21,,26412
2023/12/28,,55315
