Date,PH,MY,IE
Total,709429,196907,181458
Peak,382133,69280,48829
2022/10/06,,64830,42739
2022/10/13,,62797,46646
2022/10/20,327296,69280,43244
2022/10/27,382133,,
2023/02/02,,,48829
