Date,Global,US,GB,PH,AU,CA,MY,IE,NO,SG,NZ,ID,DK,SE,BE,NL,AR,PT,CZ,AE,ZA,BR,IS,SK,PL,KR,LT,CH,EE,LV,AT,FI,CY,TW,MT,HK,LU,HU,GR,RO,VN,CR,BG,SA,EG,HN,NI
Total,584735928,135111219,55552493,36267674,33783901,17163443,9833950,8412093,7220319,6976879,6449344,5073336,3851883,3809947,2192609,1924145,1763526,1586425,1265544,919966,825115,647364,529280,463760,447850,438564,393276,347239,330938,330148,245679,237459,156603,129989,125094,110333,105161,86960,85873,64952,60833,27771,22860,15689,14870,8118,5040
Peak,14809370,6857840,1107708,483820,680986,629700,133731,144957,216850,96937,139282,350451,124947,236542,71785,312484,205337,81251,42250,12124,19021,647364,13833,20396,228980,14445,13673,50711,12455,10932,41464,91674,2863,45957,6987,30708,3818,30601,22453,20708,21368,27771,7789,7996,6168,8118,5040
2019/12/19,14809370,6857840,1107708,279959,680986,629700,95489,144957,216850,73410,139282,,124947,236542,71785,312484,196492,81251,42250,10050,13735,647364,13833,20396,228980,,13673,47729,12455,10932,41464,91674,2863,,6987,25227,3628,30601,22453,20708,,27771,7789,7996,6168,8118,5040
2019/12/26,9580803,3844121,744419,445856,565066,383981,126784,102492,145830,88953,105933,,,,53674,,,57369,,10401,15546,,8387,12989,,,10277,,7684,7689,,,2262,43639,6356,27016,,,16949,14928,21368,,5026,7693,4832,,
2020/01/02,8657010,3373159,679402,447139,491387,355118,130088,103101,177138,96937,81414,,80737,189392,51193,155480,,55480,25353,10049,15107,,7889,12759,103208,,10405,36008,7106,7958,,47262,2293,40393,5780,27382,3244,18564,14833,13566,20020,,4601,,,,
2020/01/09,9315200,3415708,793745,483820,526464,407143,133731,116564,215312,87570,88570,,87446,212856,53767,197051,,63932,30567,10803,17109,,9240,14576,115662,,11336,41719,7691,8844,30073,52441,2367,45957,6478,30708,3496,20999,17441,15750,19445,,5444,,3870,,
2020/01/16,7052240,2630789,632900,415453,401300,312976,96567,88197,176556,54445,75997,,75699,191580,,,,31759,,7280,12040,,8273,9450,,,6963,,5508,5974,,46082,1562,,4018,,,,,,,,,,,,
2020/01/23,6130644,2318053,554987,357567,355222,292983,87891,76136,140721,51600,67512,,72433,141516,,,,,,6463,,,7192,,,,5706,,4716,,,,1468,,3311,,,,,,,,,,,,
2020/01/30,5531646,2162882,556311,,313817,263337,72137,79778,109619,43821,63700,,67180,133365,,,,,,5359,,,6775,,,,5162,,4279,,,,,,3512,,,,,,,,,,,,
2020/02/06,5275845,2059575,507220,,320160,251242,55448,73301,107441,49689,61652,,65278,,,,,,,5195,11253,,6501,,,,,,4174,,,,,,3294,,,,,,,,,,,,
2020/02/13,4951977,1931200,451745,,306530,238681,53881,62759,92791,48478,59300,,60477,,,,,,,,,,6016,,,,,,,,,,,,3017,,,,,,,,,,,,
2020/02/20,4989757,1834509,614908,,294872,,49373,70300,85724,,57558,,,,,,,,,,,,5734,,,,,,,,,,,,3078,,,,,,,,,,,,
2020/02/27,5813360,2003506,1023488,,328576,246992,51745,99664,88845,,63822,,70341,,,,,,,5632,13271,,6490,,,,,,,,,,1628,,3395,,,,,,,,,,,,
2020/03/05,7616632,2466654,1098000,249735,385400,313805,90597,120224,104121,74483,75471,,83633,134863,46494,,,33001,27855,7947,18110,,8381,12424,,,6697,,5974,6317,,,2375,,5149,,2954,16796,14197,,,,,,,,
2020/03/12,7126787,2264938,1010643,277471,390601,303597,109900,109338,94889,84763,79379,,76490,,43533,,,,26595,7630,19021,,7351,11913,,,6192,,5458,6254,,,2118,,4470,,2784,,,,,,,,,,
2020/03/19,6786222,2060170,995110,222666,431927,263269,97469,134068,93630,74295,88751,,82118,,44243,,,,24507,,18130,,7529,11277,,,6128,,5041,6600,,,1903,,4514,,,,,,,,,,,,
2020/03/26,6610693,1990803,995026,202546,409442,263668,87107,136067,90838,58295,81743,,80923,,45716,,,,26388,7130,16666,,7272,11948,,,6127,,5340,6300,,,1735,,4060,,2491,,,,,,,,,,
