Date,Global,US,GB,CA,AU,IE,DE,NZ,AT,NL,IT,CH,BE,SE,HU,DK,LV,IS,PT,LU,LT,EE,AE,CZ,SK,MT,CY,GR
Total,153887736,87446034,19703777,12994853,5349592,1699301,1641303,1339104,605507,576779,525868,342997,249546,240758,193489,103066,86467,83600,70817,55221,54940,31200,19323,14714,10161,10121,7955,5644
Peak,17852287,7886177,2368184,1381991,878689,248125,895292,173393,109774,317964,525868,122933,115643,240758,73370,103066,19269,12530,70817,11242,21413,11511,19323,14714,5240,3113,6890,5644
2014/12/28,,,171518,,,,,,,,,,,,,,,,,,,,,,,,,
2015/12/24,,,256541,,,,,22505,10385,,,,,,,,,,,,,,,,,,,
2016/12/22,,,313465,,,,,,,,,,,,,,,,,,,,,,,,,
2016/12/29,,,473759,,131357,24864,,45034,15078,,,,,,,,,,,,,,,,,,,
2017/12/07,,1531231,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/12/14,,1690029,355526,,,,,,,,,,,,,,,,,,,,,,,1988,,
2017/12/21,,1775732,434656,201512,,35798,,,,,,,,,,,4590,,,,3443,,,,4921,2293,,
2017/12/28,4771292,2139385,796182,315291,331238,56951,,79295,23517,,,,43259,,19506,,6827,,,3431,4931,4650,,14714,5240,3113,1065,5644
2018/12/20,,1685100,486861,236559,,,,,,,,,,,,,,,,,,,,,,,,
2018/12/27,5461546,2340611,852009,427072,475233,60285,,117310,31975,,,,,,16347,,5580,,,,,,,,,,,
2019/12/19,,,,271349,,,,,,,,,,,,,,,,,,,,,,,,
2019/12/26,6186790,2815595,819187,524509,497110,62796,,124425,,,,,,,,,6877,,,3702,,,,,,2727,,
2020/12/10,,1917607,396507,294888,,,,,,,,,,,,,,,,,,,,,,,,
2020/12/17,,2231278,449244,359832,,,,,,,,,,,,,,,,,,,,,,,,
2020/12/24,7301381,3366708,762976,611440,516046,81924,,143949,59538,,,,,,32029,,9429,,,4143,,,,,,,,
2020/12/31,,1726748,523227,384920,286274,45686,,,,,,,,,,,,,,,,,,,,,,
2021/12/02,,1855424,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/12/09,,2524035,486973,319289,,45379,,,,,,,,,,,,6584,,,,,,,,,,
2021/12/16,,2809285,540030,357295,,53614,,,,,,,,,,,,7068,,,,,,,,,,
2021/12/23,6449188,3594474,730751,512823,272569,77881,,72027,,,,,,,,,,8606,,,,,,,,,,
2021/12/30,6287130,2987355,775695,548552,410901,70507,,92560,,,,,,,,,,,,3395,,,,,,,,
2022/11/24,,,,261619,,,,,,,,,,,,,,,,,,,,,,,,
2022/12/01,,2978701,,355805,,,,,,,,,,,,,,,,,,,,,,,,
2022/12/08,,3686612,712290,496169,,75746,,,,,,,,,,,,,,,,,,,,,,
2022/12/15,7932404,4413561,914192,608708,,102438,,61128,43307,,,,,,,,,8125,,,,,,,,,,
2022/12/22,10488187,5826571,1143048,844864,411483,127374,,96341,56952,,,55656,,,,,,10810,,4502,,,,,,,,
2022/12/29,13066487,6077736,1637578,1130252,735973,172481,746011,158125,80057,258815,,99209,90644,,52237,,11420,10345,,7329,11270,7188,,,,,,
2023/11/30,,3800584,,399950,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/07,,4403358,866785,583376,,89880,,,54212,,,,,,,,,,,5166,,,,,,,,
2023/12/14,9508536,5093582,1047256,699679,,116020,,61637,54541,,,,,,,,10353,8682,,5750,,,,,,,,
2023/12/21,12004974,6288555,1389337,867109,402719,151552,,91375,66171,,,65199,,,,,12122,10850,,6561,13883,7851,,,,,,
2023/12/28,17852287,7886177,2368184,1381991,878689,248125,895292,173393,109774,317964,525868,122933,115643,240758,73370,103066,19269,12530,70817,11242,21413,11511,19323,,,,6890,
