Date,PH,ZA
Total,3067139,1668553
Peak,453211,56345
2021/03/18,207957,
2021/03/25,208769,
2021/04/01,216884,
2021/04/08,194930,
2021/04/15,193169,
2021/04/22,197352,
2021/04/29,194851,
2021/05/06,194097,
2021/05/13,189548,
2021/05/20,184247,
2021/07/08,182727,
2022/02/03,,23674
2022/02/10,,24300
2022/02/17,,26532
2022/02/24,,25465
2022/03/03,,25695
2022/03/10,,24632
2022/03/17,,25389
2022/03/24,,26053
2022/03/31,,26976
2022/04/07,,25429
2022/04/14,,25976
2022/04/21,,23459
2022/04/28,,26819
2022/05/05,,27511
2022/05/12,,27701
2022/05/19,,27464
2022/05/26,,28020
2022/06/02,,28015
2022/06/09,,29430
2022/06/16,,30651
2022/06/23,,27345
2022/07/07,,27635
2022/07/14,,28367
2022/07/21,,29927
2022/07/28,,32570
2022/08/04,,32885
2022/08/11,,34948
2022/08/18,,34931
2022/08/25,,35120
2022/09/01,,36635
2022/09/08,,37282
2022/09/15,,35507
2022/09/22,,33090
2022/09/29,,32820
2022/10/06,,33731
2022/10/13,,36306
2022/10/20,,39158
2022/10/27,,35413
2022/11/03,,38854
2022/11/10,,38379
2022/11/17,,37095
2022/11/24,,35969
2022/12/01,,38739
2022/12/08,,34933
2023/01/12,,34628
2023/01/19,,32092
2023/01/26,,39864
2023/02/02,,44022
2023/02/09,,50944
2023/02/16,453211,53828
2023/02/23,449397,56345
