Date,GB,NL,IE,AU,PL,NZ,NO,BE,CA,DK,HU,LV,LT,LU
Total,34324206,4415113,2749475,2416111,1381385,702837,533148,350917,344648,119035,28716,8461,7350,4483
Peak,2246154,504771,197390,485965,247144,130489,107291,109365,344648,119035,28716,8461,7350,4483
2014/12/28,130150,,,,,,,,,,,,,
2015/12/10,224728,,13406,,,,,,,,,,,
2015/12/17,319948,,21254,,,,,,,,,,,
2015/12/24,511490,71494,32312,,,23739,,,,,,,,
2015/12/31,255701,,,,,,,,,,,,,
2016/12/08,410706,,24910,,,,,,,,,,,
2016/12/15,489193,,32372,,,,,,,,,,,
2016/12/22,605239,,40146,,,,82500,,,,,,,
2016/12/29,755550,,41824,122445,,38718,64781,,,,,,,
2017/12/07,631161,,41714,,,,87022,,,,,,,
2017/12/14,774666,,56887,,53455,,94473,,,,,,,
2017/12/21,872008,,68754,,82456,,107291,,,,,,,
2017/12/28,1339792,278963,91393,370811,95403,83185,97081,,,,,,,
2018/12/06,640877,,44699,,,,,,,,,,,
2018/12/13,797653,,63392,,,,,,,,,,,
2018/12/20,989692,,79889,,117590,,,,,,,,,
2018/12/27,1468888,314278,102313,418446,140020,105050,,,,,,,,
2019/12/05,429746,,,,,,,,,,,,,
2019/12/12,531604,,,,125846,,,,,,,,,
2019/12/19,633590,,56454,,153114,,,,,,,,,
2019/12/26,1174908,380586,90198,478537,219953,114224,,,,,,,,
2020/12/03,685921,,56231,,,,,,,,,,,
2020/12/10,972009,202592,87694,,,,,,,,,,,
2020/12/17,997515,258967,94258,,146404,,,,,,,,,
2020/12/24,1627908,344799,156109,485965,247144,130489,,83624,344648,119035,28716,8461,7350,4483
2020/12/31,1044239,284812,84893,276534,,,,,,,,,,
2021/12/02,521588,,45315,,,,,,,,,,,
2021/12/09,855449,,72071,,,,,,,,,,,
2021/12/16,909780,,83051,,,,,,,,,,,
2021/12/23,1286696,189530,125971,263373,,64723,,,,,,,,
2021/12/30,1342863,290557,115853,,,,,62850,,,,,,
2022/12/08,788817,,70392,,,,,,,,,,,
2022/12/15,941620,185334,91252,,,,,,,,,,,
2022/12/22,1138906,229557,111323,,,,,,,,,,,
2022/12/29,1585270,441557,148587,,,65199,,95078,,,,,,
2023/12/07,971982,,81283,,,,,,,,,,,
2023/12/14,1066272,205851,97857,,,,,,,,,,,
2023/12/21,1353927,231465,128028,,,,,,,,,,,
2023/12/28,2246154,504771,197390,,,77510,,109365,,,,,,
