Date,Global,US,GB,AU,PH,ID,CA,DE,BR,MX,NL,ES,IN,MY,NO,SE,SG,AR,PL,IE,FR,BE,IT,CL,DK,NZ,PE,PT,CO,CH,TH,AT,FI,TW,CZ,VN,ZA,HK,IL,HU,EC,TR,CR,JP,AE,GT,GR,SA,SK,RO,SV,PA,BO,HN,PY,RU,DO,IS,UY,LT,KR,LV,NI,EE,EG,LU,BG,UA,MA,CY,VE,PK,AD
2022/07/28,8294602,1775970,483285,335116,421776,462390,272824,,,,,,,141457,64004,,92598,,,60302,,57550,,,,48150,,49339,,,,,,,34909,47141,32546,25875,,,,,,,14840,,,18241,,,,,,,,,,5297,,,,,,,,,,,,,,,
2022/08/04,8255124,1780794,459370,334989,427629,467397,265937,,,,,,,142242,63758,,91507,,,58719,,59591,,,,49619,,48094,,,,,,,35044,45241,32799,25100,,,,,,,14448,,,17486,,,,,,,,,,,,,,,,,,,,,,,,,
2022/08/11,8199551,1756238,451136,337288,427229,467717,266555,,,,,,,140471,66063,,86382,,,59282,,59912,,,,49158,,46899,,,,,,,,44704,34028,25250,,,,,,,14441,,,16450,,,,,,,,,,5125,,,,,,,,,,,,,,,
2022/08/18,8045584,1749207,437411,334935,427250,440838,265249,,,,,,,141911,,,89231,,,57312,,59953,,,,49467,,44574,,,,,,,,43584,32654,25048,,,,,,,14771,,,16890,,,,,,,,,,4869,,,,,,,,,,,,,,,
2022/08/25,7972054,1689268,432153,329900,403901,435957,262229,,,,,,,147419,,,88725,,,56192,,61033,,,,49102,,,,,,,,,,45809,33197,23763,,,,,,,15225,,,17034,,,,,,,,,,4902,,,,,,,,,,,,,,,
2022/09/01,7861288,1686154,416194,325314,393742,435057,260650,,,,,,,137116,,,81181,,,53410,,59804,,,,48346,,,,,,,,,,,32578,,,,,,,,14785,,,15229,,,,,,,,,,,,,,,,,,,,,,,,,
2022/09/08,7744389,,410077,315057,412865,451374,248029,,,,,,,148460,,,82409,,,51154,,55595,,,,46456,,44738,,,,,,,,43119,32034,,,,,,,,15609,,,15947,,,,,,,,,,,,,,,,,,,,,,,,,
2022/09/15,7822035,,432342,312294,423725,453999,256314,,,,,,,137650,,,80107,,,53356,,59581,,,,47566,,44732,,,,,,,,,29421,,,,,,,,16051,,,16126,,,,,,,,,,4844,,,,,,,,,,,,,,,
2022/09/22,7777433,,428520,312090,410156,450493,261642,,,,,,,123154,,,77837,,,53326,,60260,,,,47422,,42176,,,,,,,,,27909,,,,,,,,15587,,,15797,,,,,,,,,,,,,,,,,,,,,,,,,
2022/09/29,7689175,,424159,300694,389027,434545,255541,,,,,,,118127,,,76916,,,52080,,58920,,,,45947,,45478,,,,,,,,,,,,,,,,,15352,,,14287,,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/06,7245736,,403279,282773,362202,409152,240633,,,,,,,119336,,,71031,,209920,49264,,56877,,,,43499,,,,,,,,,,,,,,,,,,,14563,,,13724,,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/13,7229592,,408349,282065,367052,417450,238046,,,,,,,121763,,,68760,,,49460,,56499,,,,,,43849,,,,,,,,,,,,,,,,,13863,,,13519,,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/20,7009174,,,273684,354901,,233732,,,,,,,106538,,,65909,,,47404,,,,,,,,,,,,,,,,,,,,,,,,,13699,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/27,7090903,,,282014,375986,,239573,,,,,,,112581,,,64899,,,47787,,,,,,,,,,,,,,,,,,,,,,,,,13332,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/03,6420648,,,258552,,,,,,,,,,103129,,,62207,,,,,,,,,,,,,,,,,,,,,,,,,,,,12692,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/10,,,,,,,,,,,,,,105421,,,61700,,,,,,,,,,,,,,,,,,,,,,,,,,,,12925,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/17,,,,260833,,,,,,,,,,108534,,,63423,,,45792,,,,,,,,,,,,,,,,,,,,,,,,,12988,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/24,,,,255670,,,,,,,,,,95937,,,61937,,,,,,,,,,,,,,,,,,,,,,,,,,,,12375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/12/01,,,,258884,,,,,,,,,,105324,,,63794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/12/08,,,,,,,,,,,,,,111875,,,60974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/12/15,,,,,,,,,,,,,,110212,,,54167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/12/22,,,,,,,,,,,,,,106838,,,50746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/12/29,,,,,,,,,,,,,,101721,,,48806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/01/05,,,,,,,,,,,,,,98645,,,52989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/01/12,,,,252849,,,,,,,,,,98411,,,58256,,,47951,,,,,,,,,,,,,,,,,,,,,,,,,13151,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/01/19,6877569,,,252348,,,,,,,,,,101303,,,61221,,,50735,,,,,,,,,,,,,,,,,,,,,,,,,13094,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/01/26,,,,,,,,,,,,,,94286,,,50106,,,50088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/02/02,,,,,,,,,,,,,,92458,,,57022,,,47123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/02/09,,,,,,,,,,,,,,95659,,,57503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/02/16,,,,,,,,,,,,,,97372,,,57841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/02/23,,,,,,,,,,,,,,96722,,,57686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/03/02,,,,,,,,,,,,,,93110,,,54192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/03/09,,,,,,,,,,,,,,90614,,,54047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/03/16,,,,,,,,,,,,,,90093,,,52925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/03/23,,,,,,,,,,,,,,83848,,,51158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/03/30,,,,,,,,,,,,,,77548,,,51048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/04/06,,,,,,,,,,,,,,86830,,,53168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/04/13,,,,,,,,,,,,,,,,,50085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/04/20,,,,,,,,,,,,,,,,,51186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/04/27,,,,,,,,,,,,,,,,,52338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/04,,,,,,,,,,,,,,,,,49169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/18,,,,,,,,,,,,,,87903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/25,,,,,,,,,,,,,,86843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/15,,,,,,,,,,,,,,87374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/29,,,,,,,,,,,,,,88176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/07/06,,,,277132,,,,,,,,,,108176,,,61226,,,53087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/07/13,,,,,,,,,,,,,,101430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/07/20,,,,,,,,,,,,,,94668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/07/27,,,,,,,,,,,,,,95330,,,54732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/08/03,,,,,,,,,,,,,,94871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/08/10,,,,,,,,,,,,,,99057,,,56574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/08/17,,,445329,,,,,,,,,,,99493,,,59413,,,54144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/08/24,,,,,,,,,,,,,,94575,,,58686,,,53715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/08/31,,,,,,,,,,,,,,99194,,,57098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/07,,,,,,,,,,,,,,94564,,,57361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/14,7812003,,503173,316519,,,,,,,,,,96349,,,62937,,,63759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/21,7728417,,528868,,,,,,,,,,,97171,,,61713,,,66549,,63047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/28,,,490305,,,,,,,,,,,89880,,,58604,,,58205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/10/05,,,,,,,,,,,,,,90182,,,56944,,,54582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/10/12,,,,,,,,,,,,,,93553,,,56471,,,54466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/10/19,,,,,,,,,,,,,,91456,,,53990,,,51902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/10/26,,,,,,,,,,,,,,93385,,,54179,,,52678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/11/09,,,,,,,,,,,,,,95250,,,52515,,,51075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/11/23,,,,,,,,,,,,,,,,,50745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/14,,,,,,,,,,,,,,94631,,,48001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/01/04,,,,,,,,,,,,,,,,,44816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/01/11,,,,,,,,,,,,,,,,,50187,,,51957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/01/18,,,,,,,,,,,,,,99540,,,53999,,,56238,,67711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/01/25,,,,,,,,,,,,,,99477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/02/08,,,,,,,,,,,,,,101665,,,57878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/02/15,,,,,,,,,,,,,,97449,,,49434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/02/29,,,,,,,,,,,,,,96809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/03/07,,,,,,,,,,,,,,100243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/03/21,,,,,,,,,,,,,,87468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/05/02,,,,,,,,,,,,,,,,,,,,76823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/05/16,,,,399019,,,,,,,,,,,,,71453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/05/23,,,,,,,,,,,,,,,,,64704,,,,,117403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/05/30,,,,,,,,,,,,,,,94780,,63313,,,,,95212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/06/06,,,,,,,,,,,,,,,,,58015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/06/13,,,,,,,,,,,,,,,,,54661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/06/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,71456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/26,,,,,,,,,,,,,,,,,59668,,,,,,,,,,,,,,,,,,,,,33431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/10/03,,,,,,,,,,,,,,,,,98397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/10/10,,,,,877199,,,,,,,,,,,,75300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/10/17,,,,415954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/10/24,,,,388749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
