Date,Global,US,GB,DE,CA,NL,AU,PL,SE,IT,IE,DK,FR,BE,CH,NZ,AT,NO,ES,HU,CZ,PT,SG,SK,FI,GR,RO,PH,LT,LV,HK,IS,AE,MY,EE,LU,ZA,CL,BG,CY,RU,MT,CR,TW,KR,UA,VN,PA
Total,437236311,144860365,63536457,33560133,26552376,20419488,17015792,13432168,7899408,7605470,6975652,6329945,5580935,4363395,4207088,3702602,3678956,3253055,2494464,2088377,1867646,1587442,1307736,1057283,946091,928149,923686,830678,596383,516705,509306,479750,381337,378605,373238,338394,287574,283925,244418,177741,94837,57398,46899,45877,41573,40853,34789,22340
Peak,35714786,10302554,4856823,2712768,2019685,1835308,1520035,1266501,615332,944782,577587,396101,1431446,530404,367653,326964,327361,221709,656002,222623,156938,190445,146355,74672,124159,101715,89469,424405,55400,43747,63814,30216,47721,88821,27097,32838,92431,283925,25551,17132,94837,10024,46899,45877,15835,24039,34789,22340
2014/12/07,,,,,,,,,,,8233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/12/14,,,,,,,,,,,9676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/12/21,,,,,,,,12998,,,11383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/12/28,,,,,,,,,,,12687,,,,,,5760,,,,,5887,,1142,,2283,,,1568,2296,,1212,,,1487,,,,,,,,,,,,,
2015/12/10,,,251351,,,,,,,,13818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/12/17,,,263204,,,67291,,,,,15320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/12/24,2228543,,398756,218922,,103879,68584,29695,221749,,23701,93916,,14300,,29485,15861,77257,,8839,6143,13483,,3440,,,,,,,,,,,,,,,,,,1093,,,,,,
2015/12/31,,,189548,,,65801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/12/01,,,,,,,,,,,,64424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/12/08,,,354730,,,,,,,,26667,80269,,,,,13265,,,,,,,2271,,2789,,,,,,,,,,,,,,,,1563,,,,,,
2016/12/15,,,461029,208559,,142445,,29576,,,36405,73342,,,,,16391,,,,,,,2974,,2771,,,,,,,,,,,,,,,,1738,,,,,,
2016/12/22,,,583094,303783,,155727,108319,49092,146815,,47188,86317,,19603,,34653,24387,,,8539,8968,15089,,4523,,3555,,,,2731,,5281,,,,1333,,,,,,2536,,,,,,
2016/12/29,3595987,,917814,461003,166826,223641,239863,51614,146129,,62962,92509,,41209,30768,73075,30299,,,15595,9587,17982,,4132,,5343,,,3854,4477,11489,,,,2585,2473,,,1583,1003,,2511,,,,,,
2017/12/21,,,536882,,,,207946,136023,,138488,46903,85004,,,,54829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/12/28,4712421,,981792,629291,,210738,485489,150262,,141006,72887,107242,,,34709,109115,42272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/11/29,,1512693,,,,,,,,,,67816,,,,,,,,,,,,,,6806,,,,,,,,,,,,,,,,,,,,,,
2018/12/06,5346779,2037879,689417,353827,281536,190530,278118,139957,192009,,57750,139787,,,40125,61259,30859,100048,,17761,25313,,,12956,,11697,8616,,7197,6674,,8486,,,5289,3327,,,,1605,,4229,,,,,,
2018/12/13,6464418,2241130,883335,392543,343366,356064,305166,210332,212576,259501,80901,124383,,54606,50035,68385,35053,106281,,21668,30331,27133,,16444,,12184,10715,,9111,8095,,9376,,,5954,4001,,,3488,1887,,5461,,,,,,
2018/12/20,7701067,2495772,1069301,529002,387993,397496,409841,300623,248291,272220,95646,131364,,71122,69647,91480,46308,117112,,38786,44911,32771,,24401,,13367,14747,,11617,10706,,11731,,,8308,5234,,,4457,2397,,6569,,,,,,
2018/12/27,13204661,3593663,2034119,1102820,658438,616690,1025988,366971,338338,487575,173084,185534,292475,149180,145859,213474,83131,134755,301587,77919,60037,65347,60295,29040,64657,20516,20611,171401,18375,18024,33012,13649,,38863,12307,10557,,,7659,3782,,10024,,,,,,
2019/01/03,,,,,,,,,,,,,,,,,,,,,,,,,,7124,,,,,,,,,,,,,,1069,,,,,,,,
2019/11/28,,,364209,,226189,,,,,,38597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/12/05,5586283,1906601,969312,456546,362692,,226880,114893,199262,,83081,136408,,,49124,47651,31834,,,25459,26116,,,15251,,13290,11449,,7751,7940,,8686,,,6315,4081,,,,1690,,3376,,,,,,
2019/12/12,6418377,1990211,1093028,510906,413845,316409,249986,192467,172895,,107949,125594,,54621,56304,55128,37320,,,29041,30738,,,18381,,14656,13411,,8788,7593,,9524,,,6184,4550,,,,2213,,4875,,,,,,
2019/12/19,7315375,2240746,1236054,558094,469161,362877,319082,233855,207067,,125739,128308,,63820,66941,73166,42521,,,33558,39289,,,21482,,14543,13078,,10887,9466,,10032,,,7240,4914,,,,2423,,5347,,,,,,
2019/12/26,13775457,3342151,2439641,1401862,869459,760729,904074,357665,354756,389190,214775,202288,,154663,175825,195225,89146,101381,,93409,56743,62898,60454,30625,,22121,19199,,18730,17778,29204,13243,8760,43129,11711,11105,18521,,7608,3811,,8076,,,,,,
2020/11/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5248,,,,,,,,,,,,,,,,
2020/11/19,,1616023,403882,,358063,,,,,,48548,,,,,,,,,,,,,,,,,,,,,6482,,,,,,,,,,,,,,,,
2020/11/26,5935565,2493896,746291,,555469,235477,,,,,90141,89736,,,44578,,43756,,,20781,,,,13525,,19628,16910,,7044,6264,,8953,,,5060,3795,,,,2652,,,,,,,,
2020/12/03,10922319,4004693,1647096,884249,763337,351831,298334,238807,289762,,173330,203755,,81020,117342,58804,93907,138079,,44224,62909,47390,49195,29112,,24981,31013,,19144,16270,,14034,11677,,12264,8081,,,7924,3950,,,,,,,,
2020/12/10,13405460,4460671,2022014,1000966,876951,595091,383731,405626,263133,388236,223923,196502,,131617,149772,84428,101195,142394,,58857,65686,48274,65547,35307,,27153,37791,,21169,17293,29047,15913,14284,,13576,10732,,,8931,4686,,,,,,,,
2020/12/17,13597823,4650493,1992318,926650,873817,676301,439162,425137,270926,299775,224396,182295,,144629,133673,99037,86631,141853,,74808,70661,46495,76372,37960,55624,25858,34831,,22250,20488,32666,17492,16699,49751,14753,9978,,,8281,5165,,,,,,,,
2020/12/24,23394329,6690865,3202104,1990469,1421026,1047195,1152683,712507,525152,515190,371876,318604,639478,334921,288344,268740,194339,221709,448038,181596,124413,124070,146355,64879,124159,39612,54329,424405,33430,34565,63814,30216,33793,88821,23532,21387,40017,,15154,8369,,,,45877,,16814,34789,
2020/12/31,10508459,2862443,1873283,547025,730661,773865,476808,161793,,284769,180146,,,147013,106959,58217,37095,,280580,36625,,39048,77049,10388,,32743,19613,,13382,11821,42961,6116,16819,46639,7503,8560,27932,,6714,6386,94837,,,,,24039,,
2021/11/25,,1728264,390132,,322332,,,,,,57835,60628,,,,,38055,,,,,,,,,,,,,,,6583,,,,,,,,,,,,,,,,
2021/12/02,8714081,3574051,1013374,800057,609026,275390,246600,178149,198341,,119341,134723,,61642,101372,50293,104320,96909,,31361,44691,,,23707,,,,,10629,10983,,11686,,,9790,7448,,,,3240,,,,,,,,
2021/12/09,11877513,4305171,1588050,932087,788128,547634,374890,400500,206731,290893,183811,142444,,109047,124207,79716,110110,108143,,47571,54263,43631,45588,32970,,31316,25712,,16649,13916,,14082,12235,,12301,9975,,,7456,5289,,,,,,,,
2021/12/16,13465849,4901249,1781849,1003853,836184,691214,470180,466180,218256,,208901,141067,,144605,137786,101754,102689,117299,,55821,59066,41842,57661,35819,44928,34184,28018,,17502,13610,24996,16404,15130,,11360,11412,,,7970,5533,,,,,10717,,,
2021/12/23,18315558,6194840,2408200,1475991,1161110,850493,785461,702210,343533,335762,301854,183233,443866,198710,188137,164967,160536,160156,,109087,90672,65788,77836,55155,89543,43163,38979,,26430,21414,37027,22231,19473,52152,16905,14423,,,10435,7734,,,,,15021,,,
2021/12/30,18046271,4950262,2483707,1656182,1158467,1114729,1019226,379696,218122,429718,275673,123714,662378,308508,234505,190447,145856,86043,327513,96953,49050,81923,101139,29802,58857,47145,30895,234872,26953,20829,52050,12144,23807,59250,14455,17452,50881,,11601,8713,,,,,15835,,,
2022/11/17,,,,,302965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
