Date,Global,US,GB,AU,CA,DE,NL,ID,BR,PH,SE,FR,IT,NO,MY,IE,DK,BE,ES,SG,IN,CH,NZ,MX,TW,PL,PT,CZ,ZA,AT,FI,AR,HK,IL,TH,CO,VN,HU,AE,CL,PE,NG,SK,RO,GR,CR,SA,EC,IS,GT,LU,JP,PA,LT,EG,LV,DO,HN,EE,SV,BO,BG,UY,MA,CY,MT,NI,PY,KR,TR,UA,RU
2022/02/03,7656625,,533220,342210,319596,,208948,277125,,230271,131161,,,91634,84610,59882,90386,79452,,76920,,65666,61230,,40855,,48584,51815,37970,38123,,,24209,30409,,,,22703,16676,,,,,,,,,,5217,,4334,,,,,,,,,,,,,,2894,,,,,,,
2022/02/10,7658075,,520740,347957,324876,,203476,281003,,246145,129136,,,89407,86670,59934,89608,79423,,80866,,63846,58377,,41791,,48058,49824,37289,36568,,,23668,30467,,,,,17395,,,,,,,,13106,,4955,,4216,,,,,,,,,,,,,,2938,,,,,,,
2022/02/17,7698268,,525812,350323,326822,,199857,280934,,241184,131783,,,89007,89299,58669,87008,80956,,81651,,63184,58896,,,,47934,51022,39015,36536,,,24622,31512,,,,,16561,,,,,,,,12656,,5010,,3859,,,,,,,,,,,,,,3172,,,,,,,
2022/02/24,7402693,,493287,345893,308321,,189381,,,,123437,,,84644,86919,56853,82504,75374,,76575,,61070,59071,,,,45873,49001,36617,35344,,,22019,30468,,,,,15489,,,,,,,,,,4880,,3866,,,,,,,,,,,,,,2995,,,,,,,
2022/03/03,7256027,,494030,333463,312241,,176708,,,,120015,,,82620,89116,55270,78882,72838,,73780,,61141,57207,,45568,,41770,46108,37572,36051,,,21798,29969,,,,,15323,,,,,,,,,,4837,,3833,,,,,,,,,,,,,,2966,,,,,,,
2022/03/10,7178043,,491473,335107,303492,,180906,,,,,,,83190,87790,54261,76411,71396,,73732,,57952,56093,,,,43300,46764,36328,34433,,,21626,29579,,,,,14927,,,,,,,,11417,,4699,,3772,,,,,,,,,,,,,,,,,,,,,
2022/03/17,7093222,,478193,323074,298750,,178801,,,,,,,83752,84338,52799,75037,71792,,72503,,58513,55123,,,,43444,45927,37312,33483,,,22055,27456,,,,,14707,,,,,,,,,,4623,,3815,,,,,,,,,,,,,,,,,,,,,
2022/03/24,7004132,,463870,322237,296095,,176408,,,,,,,84235,87410,51275,72837,73487,,71326,,57598,54540,,,,44000,46617,37087,,,,22470,27249,,,,,13853,,,,,,,,,,4747,,3791,,,,,,,,,,,,,,,,,,,,,
2022/03/31,6976528,,459465,320782,296600,,176155,,,,115190,,,83379,89865,52778,72126,70861,,73109,,57501,55995,,,,43654,45768,36122,,,,22576,27986,,,,,13641,,,,,,,,,,4786,,3792,,,,,,,,,,,,,,,,,,,,,
2022/04/07,6948165,,450071,317852,293877,,179717,,,,116667,,,82093,80420,52346,74073,70113,,74415,,60186,55197,,,,,45915,35570,,,,22465,,,,,,11724,,,,,,,,,,4785,,3644,,,,,,,,,,,,,,,,,,,,,
2022/04/14,6894337,,447369,315597,293503,,173450,,,,117052,,,79330,79384,53985,74310,68839,,70959,,57493,55544,,,,43064,45883,34824,,,,22886,,,,,,11675,,,,,,,,,,4518,,3281,,,,,,,,,,,,,,,,,,,,,
2022/04/21,6664975,,440398,304297,283606,,167433,,,,,,,76738,79657,55295,69096,67743,,69849,,52212,53850,,,,,42280,32562,,,,22863,,,,,,12170,,,,,,,,,,4498,,3345,,,,,,,,,,,,,,,,,,,,,
2022/04/28,6822533,,447205,308634,289996,,158920,,,,,,,79590,80778,53953,70963,69232,,72595,,55776,53327,,,,41510,45391,34755,,,,24068,25082,,,,,12322,,,,,,,,,,4719,,3594,,,,,,,,,,,,,,,,,,,,,
2022/05/05,6823442,,457666,324114,288103,,162383,,,,,,,80384,72232,56268,72164,71615,,67585,,57458,53202,,45067,,,45584,35731,,,,23857,,,,,,12162,,,,,,,,,,5077,,3666,,,,,,,,,,,,,,,,,,,,,
2022/05/12,6698633,,460425,320991,276708,,163479,,,,,,,79303,79047,56482,69651,70731,,69051,,56646,51486,,43171,,,43749,36769,,,,23045,,,,,,12776,,,,,,,,,,6571,,3594,,,,,,,,,,,,,,,,,,,,,
2022/05/19,6765651,,460829,323381,277936,,,,,,,,,75402,83563,55626,69485,70796,,68136,,53935,52640,,42554,,,43517,36223,,,,24289,,,,,,13640,,,,,,,,,,5740,,3510,,,,,,,,,,,,,,,,,,,,,
2022/05/26,6748657,,457888,321232,270510,,168369,,,,,,,78145,84866,54103,70504,74891,,71447,,54283,52739,,42312,,,44459,35506,,,,,,,,,,13345,,,,,,,,,,5698,,3465,,,,,,,,,,,,,,,,,,,,,
2022/06/02,6673616,,451235,314258,276465,,169194,,,,,,,76992,86276,54217,70550,74591,,72780,,54518,53233,,,,,43930,36429,,,,,,,,,,13455,,,,,,,,,,5426,,3449,,,,,,,,,,,,,,,,,,,,,
2022/06/09,6777991,,436508,317094,283212,,170665,,,,,,,75041,92680,54292,71523,80070,,71146,,55412,53225,,,,,44090,38503,,,,,,,,,,13281,,,,,,,,,,5135,,3556,,,,,,,,,,,,,,,,,,,,,
2022/06/16,6775355,,465677,315292,284767,,169342,,,,,,,75814,89462,59886,66942,80897,,71247,,52911,53308,,43616,,,44002,37821,,,,,,,,,,13197,,,,,,,,,,4842,,3534,,,,,,,,,,,,,,,,,,,,,
2022/06/23,6648576,,462001,317675,281435,,167603,,,,,,,75409,88182,74385,65149,73888,,72602,,51346,53282,,44749,,,42667,36290,,,,24226,,,,,,13378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/06/30,6686864,,488581,316457,275997,,176386,,,,,,,73452,86008,90254,59289,69144,,70216,,54080,51923,,43383,,,43496,33756,,,,,,,,,,12753,,,,,,,,,,5052,,3742,,,,,,,,,,,,,,,,,,,,,
2022/07/07,6991358,,495255,330131,286925,,181385,,,,,,,77552,90260,64799,63269,71401,,75411,,55211,56387,,,,,40006,35743,,,,23537,,,,,,13759,,,,,,,,,,5579,,3838,,,,,,,,,,,,,,,,,,,,,
2022/07/14,6895453,,494692,328160,286750,,171918,,,,,,,82093,86138,62396,63804,64555,,70733,,50594,55866,,,,,41392,35972,,,,23977,,,,,,12140,,,,,,,,,,5437,,3652,,,,,,,,,,,,,,,,,,,,,
2022/07/21,6925050,,479106,332615,290662,,158886,,,,,,,78939,84999,60816,60952,63092,,74227,,48171,56405,,,,,42331,37612,,,,,,,,,,12511,,,,,,,,,,5923,,3629,,,,,,,,,,,,,,,,,,,,,
2022/07/28,6986144,,497311,341459,287422,,161445,,,,,,,76400,86161,60239,62289,63255,,75539,,47469,55814,,43728,,,40932,38040,,,,23260,,,,,,12322,,,,,,,,,,5718,,3404,,,20265,,,,,,,,,,,,,,,,,,
2022/08/04,6947998,,473262,344700,281959,,159816,,,,,,,74914,87645,60158,63869,65161,,73922,,46877,57108,,,,,40995,39774,,,,23475,,,,,,12741,,,,,,,,,,5756,,3739,,,10228,,,,,,,,,,,,,,,,,,
2022/08/11,7496791,,510595,378002,300096,,168235,,,,,,,80511,97324,71697,69497,69216,,75736,,52995,61243,,47965,,47083,43739,43018,,,,24251,29132,,,,,13622,,,,,,,,,,6898,,3661,,,,,,,,,,,,,,,,,,,,,
2022/08/18,7513009,,520005,407888,305437,,177587,,,,,,,81295,95403,68102,68102,71547,,80609,,57378,62691,,46016,,44905,44031,43249,34691,,,25071,30803,,,,30765,14056,,,,,,,,,,7410,,3626,,,,,,,,,,,,,,,,,,,,,
2022/08/25,7543703,,502758,413715,302595,,185185,,,,,,,79795,95239,65132,70592,73097,,77959,,61238,61368,,,,44164,45160,42835,38970,,,23985,,,,,,14389,,,,,,,,,,8550,,3579,,,,,,,,,,,,,,,,,,,,,
2022/09/01,7467194,,505787,393194,297080,,182806,,,,117324,,,81254,91075,61479,70940,71067,,77014,,71266,60530,,,,,44362,42399,35741,,,,,,,,,14629,,,,,,,,,,6175,,3638,,,,,,,,,,,,,,,,,,,,,
2022/09/08,7763256,,550552,391773,308816,,187989,,,,126353,,,84402,103247,61850,73858,71667,,83065,,68227,62415,,48560,,45663,44954,44207,36315,,,26891,,,,,,16538,,,,,,,,,,6003,,3626,,,,,,,,,,,,,,,,,,,,,
2022/09/15,8169701,,646183,399531,339070,,214234,,,,139899,,,90799,101911,75026,85324,79816,,84779,,70001,67472,,51739,,48942,51093,44626,37620,,,27366,33392,,,,,17833,,,,,,,,,,6888,,4277,,,,,,,,,,,,,,3906,,,,,,,
2022/09/22,8078125,,621586,387784,335942,,216557,,,,138979,,,89069,96984,72883,82706,80672,,83029,,71013,66582,,52477,,47319,50694,43492,38141,,,27944,33886,,,,,18289,,,,,,,,,,6671,,4170,,,,,,,,,,,,,,3993,,,,,,,
2022/09/29,8070097,,642163,359199,322752,,216472,,,,139414,,,89502,94848,74444,82667,79206,,80645,,69529,62038,,51027,,49328,50115,42207,37719,,,27100,,,,,,17354,,,,,,,,,,6596,,4176,,,,,,,,,,,,,,,,,,,,,
2022/10/06,7755965,,612240,351875,312937,,208593,,,,139118,,,87346,94058,70268,79010,77888,,77535,,64994,60567,,,,48521,50307,40932,37430,,,26321,,,,,,16592,,,,,,,,,,5918,,4182,,,,,,,,,,,,,,,,,,,,,
2022/10/13,7793381,,618767,362082,309486,,211494,,,,137579,,,95767,92307,72734,80590,80575,,77321,,62827,62177,,51129,,50536,50096,42276,36857,,,26245,,,,,,16663,,,,,,,,,,5977,,4190,,,,,,,,,,,,,,,,,,,,,
2022/10/20,8041483,,631582,377937,320874,,224073,,,,142573,,,92970,98300,77674,81124,84852,,76218,,65799,64590,,,,54463,51585,42710,38795,,,27072,,,,,,16360,,,,,,,,,,5859,,4436,,,,,,,,,,,,,,,,,,,,,
2022/10/27,7983547,,641679,384060,316360,,238298,,,,141143,,,101608,96121,83557,81029,90447,,71779,,71437,65589,,,,53272,53849,43072,38769,,,,,,,,,16270,,,,,,,,,,5883,,4473,,,,,,,,,,,,,,,,,,,,,
2022/11/03,7875518,,621805,386899,304808,,248927,,,,140857,,,104795,98725,76369,85881,88421,,76040,,75934,64520,,,,52117,52291,45192,38939,,,25968,,,,,,17003,,,,,,,,,,6113,,4458,,,,,,,,,,,,,,,,,,,,,
2022/11/10,8034955,,614313,389437,308654,,239026,,,,140075,,,101102,101844,73993,84614,89041,,77563,,75518,65298,,59777,,54619,54390,47108,40482,,,28496,,,,,,17626,,,,,,,,,,5927,,4628,,,,,,,,,,,,,,,,,,,,,
2022/11/17,8401662,,659591,393949,314810,,240107,,,,147385,,,100153,107161,78076,87603,92072,,79316,,76869,66466,,60667,,57829,55769,47956,41927,,,29516,37763,,,,,17856,,,,,,,,,,5999,,4657,,,,,,,,,,,,,,,,,,,,,
2022/11/24,8007157,,615043,392154,306596,,231112,,,,139617,,,96835,93735,74331,77974,91447,,76753,,74465,66682,,58471,,54750,52851,45586,41053,,,27657,37231,,,,,17164,,,,,,,,,,5837,,4649,,,,,,,,,,,,,,,,,,,,,
2022/12/01,7928944,,584807,387144,307974,,230266,,,,,,,93532,101308,72058,74092,92429,,77095,,74721,66154,,59835,,53503,53848,47679,,,,27889,37746,,,,,16623,,,,,,,,,,,,4511,,,,,,,,,,,,,,,,,,,,,
2022/12/08,7742826,,550195,383318,292413,,221066,,,,,,,,104013,67900,,94873,,73917,,70948,65892,,62522,,50834,53185,43879,,,,27244,37423,,,,,15727,,,,,,,,,,,,4300,,,,,,,,,,,,,,,,,,,,,
2022/12/15,7655509,,530723,369634,,,216836,,,,,,,,105170,63532,,93823,,69239,,70876,62876,,62041,,51943,51830,41967,,,,26179,36744,,,,,15732,,,,,,,,,,,,4170,,,,,,,,,,,,,,,,,,,,,
2022/12/22,7784893,,547432,374021,,,216077,,,,,,,,103943,64834,,88737,,67127,,72611,65414,,60987,,53983,50841,41587,,,,,37168,,,,,15468,,,,,,,,,,,,4325,,,,,,,,,,,,,,,,,,,,,
2022/12/29,,,511038,344095,,,,,,,,,,,98984,62802,,87033,,63777,,67975,,,61974,,,,41239,,,,,37612,,,,,15733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/01/05,7776859,,589588,352567,294472,,212236,,,,141315,,,90804,97359,71110,86781,89371,,70193,,70476,60800,,61391,,55465,51524,43918,42234,,,25182,38518,,,,,17367,,,,,,,,,,5226,,4355,,,,,,,,,,,,,,,,,,,,,
2023/01/12,8843090,,682827,404495,343818,,253340,,,,145720,,,99226,106963,83520,98461,98278,,82280,,77774,68957,,67302,,65293,61125,47600,44906,,,29640,41128,,,,,19868,,,,,,,,,,6144,,4858,,,,,,,,,,,,,,,,,,,,,
2023/01/19,10163812,,801928,454784,389649,443708,286800,,,,159781,,,103258,129892,98526,106226,112924,,97933,,85590,81994,,73940,,71334,66081,52063,49831,,,34146,43148,,,,,23761,,,,15694,,,,,,7464,,5700,,,,,,,,,,,,,,4618,,,,,,,
2023/01/26,9482163,,797250,405962,363421,438852,261436,,,,152899,,,101639,103670,97003,102146,110104,,71522,,83993,72760,,55200,,66966,63819,54510,48844,,,25493,42176,,,,,20922,,,,16077,,,,,,7435,,5504,,,,,,,,,,,,,,4397,,,,,,,
2023/02/02,8956748,,722463,382677,343730,,256395,,,,150024,,,99251,102271,101962,97369,104198,,79216,,81360,66493,,55361,,62355,62057,51353,48374,,,26521,41856,,,,,19645,,,,,,,,,,6924,,5351,,,,,,,,,,,,,,4237,,,,,,,
2023/02/09,9171351,,703825,412183,355199,435800,255827,,,,156127,,,100636,108364,96150,96520,102196,,81710,,79943,71926,,58974,,61228,64083,52484,48680,,,29293,41341,,,,,19889,,,,,,,,,,7115,,5127,,,,,,,,,,,,,,4108,,,,,,,
2023/02/16,8897548,,682918,404119,345704,,249071,,,,148804,,,99244,107195,86265,93228,99480,,81134,,74895,66463,,58509,,57498,65123,62387,58890,,,28991,39959,,,,,18952,,,,,,,,,,6702,,4767,,,,,,,,,,,,,,4139,,,,,,,
2023/02/23,8851839,,672970,412527,338613,,250227,,,,143523,,,98645,110006,81710,93603,108060,,81142,,75825,69585,,60153,,54794,82147,52016,51143,,,29377,40503,,,,,19233,,,,,,,,,,6475,,5027,,,,,,,,,,,,,,,,,,,,,
2023/03/02,10693394,,721605,463634,394875,614753,317763,,,,168437,381892,,116019,120063,91717,119041,134886,,93182,,101316,74770,,62692,,66825,82593,59565,62195,46248,,34394,48966,,,,,21763,,,,21886,,,,,,7640,,6371,,,,,,,,,,,,,,4966,,,,,,,
2023/03/09,10544251,,711185,467322,378581,575258,276278,,,,180142,,,119067,122456,91629,117279,122377,,87953,,104421,75926,,77949,,66798,73022,61189,59247,,,37610,43514,,,,,21213,,,,18014,,,,,,6978,,6277,,,,,,,,,,,,,,4786,,,,,,,
2023/03/16,10149214,,687509,450186,367015,523178,271962,,,,154664,,,104713,121936,88523,100758,120156,,85088,,93523,76128,,85324,,68193,68261,66620,54824,,,36079,44627,,,,,21540,,,,,,,,,,7282,,5665,,,,,,,,,,,,,,4952,,,,,,,
2023/03/23,9770778,,674008,427246,361034,487024,269443,,,,154212,,,105819,112033,81104,102641,117874,,81266,,87910,73446,,94335,,67317,66801,70745,50920,,,36707,45931,,,,,19485,,,,,,,,,,7114,,5772,,,,,,,,,,,,,,,,,,,,,
2023/03/30,9994368,,679136,437886,372098,501159,272466,,,,161289,,,110422,107959,90190,102292,114072,,84718,,94184,74586,,96316,,67500,68222,66155,52888,,,38169,43599,,,,,17348,,,,,,,,,,7320,,5900,,,,,,,,,,,,,,,,,,,,,
2023/04/06,9566566,,697737,441232,368319,473866,264949,,,,152311,,,101956,108323,92735,100530,105552,,81837,,89696,77961,,83172,,64642,69246,63558,50322,,,34963,41585,,,,,17308,,,,18014,,,,,,7704,,5579,,,,,,,,,,,,,,,,,,,,,
2023/04/13,10435272,,923910,534450,423992,476183,293968,,,,171834,335581,,112717,117479,121466,114715,119186,,87188,,94952,98462,,84171,,67614,70328,66654,53766,,,36097,39438,,,,,21070,,,,19337,,,,,,9562,,5771,,,,,,,,,,,,,,5822,,,,,,,
2023/04/20,10744180,,925647,552691,421307,493288,280200,,,,170392,,,119048,121508,118129,113173,120618,,95430,,96798,97829,,82954,,70311,75585,67618,56522,,,37489,44307,,,,,20594,,,,20253,,,,,,10126,,6371,,,,,,,,,,,,,,5309,,,,,,,
2023/04/27,10213192,,881565,511295,407728,466540,253151,,,,154332,,,111630,97229,113322,104539,118149,,86638,,91422,89307,,79422,,66063,69532,72458,50787,,,35203,39843,,,,,20247,,,,19216,,,,,,9205,,6353,,,,,,,,,,,,,,,,,,,,,
2023/05/04,10430850,,871987,526563,410824,,246156,,,,160253,,,115568,115460,115287,108236,120464,,87827,,92271,89686,,81256,,70362,67405,77981,51033,,,37150,43995,,,,,21926,,,,19184,,,,,,9318,,6046,,,,,,,,,,,,,,5699,,,,,,,
2023/05/11,10073954,,801406,504822,376173,,250745,,,,,,,103834,123701,104284,100059,110661,,84945,,87328,86161,,76742,,67928,61514,68373,46776,,,35038,42247,,,,,21527,,,,17365,,,,,,8600,,5767,,,,,,,,,,,,,,,,,,,,,
2023/05/18,9996396,,796437,510132,372999,,240546,,,,,,,95117,121022,102771,95609,108842,,83054,,87511,85470,,75254,,67150,61990,68981,49575,,,34072,43485,,,,,21555,,,,16999,,,,,,7794,,5625,,,,,,,,,,,,,,,,,,,,,
2023/05/25,10225707,,816862,518785,378973,,247980,,,,,,,101152,126283,103221,98406,112040,,87076,,84862,86067,,75861,,73414,63355,71822,46441,,,35122,46778,,,,,22565,,,,,,,,,,7907,,5646,,,,,,,,,,,,,,,,,,,,,
2023/06/01,9579916,,746788,487284,362193,,228565,,,,,,,98234,128159,90990,95234,104882,,84833,,77860,81874,,75256,,68497,59797,68567,42333,,,34235,41422,,,,,21396,,,,,,,,,,7431,,5037,,,,,,,,,,,,,,,,,,,,,
2023/06/08,9394189,,705772,475553,356175,,231498,,,,,,,98479,119493,86477,89052,104309,,77965,,75664,80155,,73004,,66779,57934,70891,42392,,,32645,42020,,,,,20958,,,,,,,,,,7416,,5096,,,,,,,,,,,,,,,,,,,,,
2023/06/15,9773330,,708009,483813,373614,,223197,,,,,,,96443,129654,84798,88918,107943,,81880,,78525,82584,,73878,,71829,59808,74842,42987,,,34600,45230,,,,,21615,,,,,,,,,,7733,,5633,,,,,,,,,,,,,,,,,,,,,
2023/06/22,9534403,,673822,474355,369105,,224863,,,,,,,88092,130751,79409,86154,107098,,81675,,78458,78401,,71558,,69625,57279,68061,,,,32495,43575,,,,,20888,,,,,,,,,,7497,,5434,,,,,,,,,,,,,,,,,,,,,
2023/06/29,12326407,,1092830,637991,459893,539777,352600,,,,170878,455802,378364,109841,139199,129012,109489,142650,442500,101843,,130170,109440,,85145,,92378,70754,78819,57157,,,40347,50790,,,,,22963,,,,20100,,,,,,11004,,7834,,,,,,,,,,,,,,6533,,,,,,,
2023/07/06,11871787,,951229,605878,436188,590686,341596,,,,190736,507862,409386,109053,137418,118599,108279,143609,,106123,,151316,102141,,79708,,86004,71324,77564,59396,,,38316,50401,,,,,22247,,,,22102,,,,,,10552,,8653,,,,,,,,,,,,,,6215,,,,,,,
2023/07/13,11330382,,851461,573115,428335,514969,283548,,,,176051,436366,,105579,143236,108375,103012,125257,,97987,,115525,94167,,78971,,84333,66264,71337,52630,,,37673,47973,,,,,22460,,,,19423,,,,,,8942,,7479,,,,,,,,,,,,,,6110,,,,,,,
2023/07/20,10495103,,793527,555842,405219,472120,265383,,,,155886,383001,,97684,137882,99504,92988,116104,,93930,,96809,87330,,72963,,78795,65706,70804,46347,,,34656,43604,,,,,20705,,,,17756,,,,,,8273,,6703,,,,,,,,,,,,,,5704,,,,,,,
2023/07/27,10388275,,773330,525993,393655,464037,260237,,,,147970,396196,,96568,136840,91929,93513,110403,,91241,,91962,83710,,69479,,77561,63765,71417,47679,,,34175,39459,,,,,19471,,,,17376,,,,,,7862,,6431,,,,,,,,,,,,,,,,,,,,,
2023/08/03,10594562,,754096,542611,395102,,260137,,,,154461,396310,,104683,136233,90968,96101,117866,,93173,,91010,86444,,73010,,74920,66519,72317,48687,,,34544,51975,,,,,20462,,,,17704,,,,,,8000,,6432,,,,,,,,,,,,,,,,,,,,,
2023/08/10,10396151,,717395,531293,383924,,254941,,,,154876,377140,,102739,135167,85989,97818,116449,,89040,,93225,84143,,76489,,70476,65027,74454,47935,,,35283,47134,,,,,19738,,,,17583,,,,,,7169,,6170,,,,,,,,,,,,,,,,,,,,,
2023/08/17,10263415,,701227,522133,390482,,248281,,,,152335,358827,,100988,131572,84998,97523,110891,,90617,,90871,83432,,77144,,69148,62553,76226,44862,,,35875,45546,,,,,20615,,,,,,,,,,7872,,5839,,,,,,,,,,,,,,,,,,,,,
2023/08/24,10145816,,677172,540338,382128,,232768,,,,148142,353959,,96450,133463,81243,93576,107871,,92259,,87642,85668,,80821,,67576,61988,81416,42689,,,37151,45388,,,,,21098,,,,,,,,,,7296,,5714,,,,,,,,,,,,,,,,,,,,,
2023/08/31,10509508,,685855,547569,386654,,247633,,,,155898,396116,,100855,149684,82956,94265,110623,,96752,,98018,84776,,77560,,68727,66103,75277,45424,,,37680,44618,,,,,22087,,,,,,,,,,7474,,5934,,,,,,,,,,,,,,,,,,,,,
2023/09/07,10244380,,670039,543122,376654,,242348,,,,155039,367479,,100492,133431,82529,92513,103140,,89917,,93430,84843,,74423,,71233,63330,71908,44105,,,33736,46174,,,,,22640,,,,,,,,,,7668,,5787,,,,,,,,,,,,,,,,,,,,,
2023/09/14,10505826,,682210,530215,392980,,245517,,,,160098,379551,,103221,134705,82635,95058,106180,,93562,,96809,82729,,82767,,73048,66028,72389,45320,,,35596,50687,,,,,22771,,,,,,,,,,7699,,6090,,,,,,,,,,,,,,5498,,,,,,,
2023/09/21,10501728,,681251,511865,398664,,255254,,,,157096,389240,,102922,138886,81164,95682,108653,,100284,,97436,80567,,84568,,70705,63903,74897,44849,,,36731,42999,,,,,23254,,,,,,,,,,7196,,6596,,,,,,,,,,,,,,,,,,,,,
2023/09/28,10871011,,709743,541597,409082,,268012,,,,166316,417097,,107882,142039,86485,104165,113865,,106593,,101031,86412,,93212,,76258,68178,72884,47650,,,39823,41522,,,,,24234,,,,17864,,,,,,7637,,6332,,,,,,,,,,,,,,,,,,,,,
2023/10/05,10774944,,700268,515166,401254,,270769,,,,164473,410877,,106348,138297,82125,102386,123715,,105519,,98418,83779,,85710,,71312,64708,73125,50766,,,36649,48138,,,,,23330,,,,18085,,,,,,7777,,6616,,,,,,,,,,,,,,5554,,,,,,,
2023/10/12,10411297,,681582,494724,380513,,260007,,,,156952,389184,,100353,138726,80145,99005,117797,,102343,,92158,79373,,88753,,70768,65725,69272,48463,,,36746,25307,,,,,22428,,,,,,,,,,7106,,6358,,,,,,,,,,,,,,,,,,,,,
2023/10/19,10448853,,676027,503835,390480,464649,258896,,,,160598,391276,,100104,136471,78489,98406,120751,,99639,,94754,78956,,85705,,73792,64206,69945,48925,,,38264,29277,,,,,22041,,,,,,,,,,7081,,6242,,,,,,,,,,,,,,,,,,,,,
2023/10/26,10484959,,688344,518493,398162,469738,265278,,,,161597,394697,,100834,138054,81319,98663,123897,,97961,,99963,79561,,81861,,77969,66756,72413,49164,,,35624,36151,,,,,22918,,,,17933,,,,,,7216,,6756,,,,,,,,,,,,,,,,,,,,,
2023/11/02,10651295,,692699,514620,389964,475438,278515,,,,162463,389428,,101903,146312,82660,101579,123398,,97914,,105949,79793,,86969,,74976,67989,73959,49290,,,38519,38866,,,,,22915,,,,18859,,,,,,7188,,6498,,,,,,,,,,,,,,,,,,,,,
2023/11/09,10904654,,708077,500322,402459,481670,277914,,,,160373,432004,,105046,149222,82572,100277,126040,,99617,,108632,82993,,89432,,77051,70914,78340,50328,,,39366,41262,,,,,23165,,,,19161,,,,,,6912,,6817,,,,,,,,,,,,,,5219,,,,,,,
2023/11/16,10476229,,687662,489089,384929,471488,262112,,,,151449,404359,,99378,138942,80867,95417,126096,,93353,,104820,80998,,87433,,73886,67435,78068,49035,,,36863,41533,,,,,22488,,,,18781,,,,,,6750,,6735,,,,,,,,,,,,,,,,,,,,,
2023/11/23,10529157,,690780,463966,382746,485631,259149,,,,148889,416947,,96122,142197,81735,90926,129793,,97540,,104856,78438,,91703,,76274,64367,75027,49904,,,37122,44350,,,,,23206,,,,17998,,,,,,6429,,6613,,,,,,,,,,,,,,,,,,,,,
2023/11/30,10884191,,720746,477410,397989,,274129,,,,150413,424745,,95929,154336,83606,88141,137586,,100170,,109104,82023,,100751,,76155,66541,75163,51000,,,39193,46853,,,,,23655,,,,18642,,,,,,6532,,6817,,,,,,,,,,,,,,,,,,,,,
2023/12/07,11559560,,753363,525916,419141,,289556,,,,,432739,,92306,159832,87596,,145846,,100018,,114141,85846,,96395,,75772,71639,82384,,,,39761,51031,,,,,24538,,,,,,,,,,,,7026,,,,,,,,,,,,,,,,,,,,,
2023/12/14,11337167,,755444,528161,398746,,275925,,,,,433721,,92149,162407,82077,87747,151506,,99913,,113817,84681,,98102,,75748,72216,83270,50037,,,41175,51947,,,,,23501,,,,,,,,,,,,7312,,,,,,,,,,,,,,,,,,,,,
2023/12/21,11177516,,742928,531135,387567,,262803,,,,,426400,,,161468,79077,93451,136700,,92791,,109952,85289,,95421,,78034,70851,82258,,,,37158,52967,,,,,23621,,,,,,,,,,,,6920,,,,,,,,,,,,,,,,,,,,,
2023/12/28,10239236,,673427,488088,,,239022,,,,,,,,147670,71937,,128516,,81486,,100885,78632,,89607,,64054,,76931,,,,32343,51525,,,,,21045,,,,,,,,,,,,5811,,,,,,,,,,,,,,,,,,,,,
2024/01/04,10349529,,753793,504519,367112,,245431,,,,140999,402120,,91139,145659,80410,102363,130415,,92558,,100496,76709,,91525,,68899,62322,75721,50999,,,34571,51840,,,,,22292,,,,,,,,,,6215,,6089,,,,,,,,,,,,,,,,,,,,,
2024/01/11,10958351,,810460,525552,388752,458362,268733,,,,140822,418640,,93176,151546,82039,111167,131809,,103230,,107993,77670,,92618,,77774,70283,83698,51502,,,37819,54502,,,,,23525,,,,17982,,,,,,6999,,6659,,,,,,,,,,,,,,,,,,,,,
2024/01/18,12467055,,903176,572723,452990,528987,312683,,,,159401,467043,,108620,159499,94126,120955,145382,,113008,,120115,86537,,98563,,89451,79032,87054,60292,,,40690,61899,,,,,27107,,,,21014,,,,,,7197,,7355,,,,,,,,,,,,,,5997,,,,,,,
2024/01/25,13678792,,979992,629393,531450,546345,372507,,,,167778,517988,373321,108808,168560,101025,141829,158112,416777,121287,,123036,90339,,99401,,95453,82389,94366,62472,,,43181,67808,,,,,31396,,,82633,22422,,,,,,8066,,8326,,,,,,,,,,,,,,6349,,,,,,,
2024/02/01,12567876,,879905,537599,474866,532604,315365,,,,160204,501576,,103193,154988,94072,121632,142795,,122090,,120214,82903,,99404,,87596,77183,88475,58983,,,42367,59334,,,,,28033,,,,20736,,,,,,7347,,7532,,,,,,,,,,,,,,5895,,,,,,,
2024/02/08,13558537,,972837,638249,490239,550147,336868,,,,174523,504268,,113834,173541,101632,136823,150155,410939,130071,,121477,90260,,109880,,95485,81108,97685,62122,,,45145,65064,,,,,30420,,,85776,22961,,,,,,8387,,8597,,,,,,,,,,,,,,6585,,,,,,,
2024/02/15,12996476,,945201,589725,474084,520019,322896,,,,160470,482573,,108239,153874,99016,130299,144364,,99490,,110776,85804,,88845,,85226,80723,94635,61802,,,35841,62559,,,,,28736,,,81918,22701,,,,,,7521,,7614,,,,,,,,,,,,,,6349,,,,,,,
2024/02/22,13044667,,890682,549379,451508,570097,325845,,,,178794,520634,,103761,149929,92738,124527,159225,,112966,,120037,84008,,96082,,86805,77550,95459,59148,,,39831,59611,,,,,27663,,,83625,20762,,,,,,7150,,7263,,,,,,,,,,,,,,5924,,,,,,,
