Date,Global,US,GB,CA,DE,SE,AU,NL,PL,IT,IE,NO,ES,DK,FR,CH,BE,PH,AT,NZ,CZ,HU,FI,PT,SG,GR,SK,RO,JP,MY,LT,HK,MX,LV,UA,IS,RU,EE,AE,ZA,TW,LU,TH,BG,KR,VN,CL,CY,CR,GT,EC,PA,DO,MT,HN,KZ,BY,BO,NI,AD
2017/12/21,8760279,4238088,1836442,481051,,165896,188494,,109112,,163614,137636,,,,,64920,,,50538,47785,42286,,,37401,16581,23336,,30675,30257,15545,22931,,15234,,11322,,9947,,,,4831,,5992,,,,2603,,,,,,7300,,,,,,
2017/12/28,11900150,5098977,2680080,709818,,212683,357076,234150,124749,159819,206761,131754,215138,,,37093,117216,135357,22883,86441,48928,73083,,25119,60884,20183,24082,,45327,44415,17837,36344,,19102,,12069,,12093,,,35997,8257,9154,6682,,,,3417,,,,,,8643,,,,,,
2018/01/04,,,,,,,,,,,,,,,,,,,,,,,,,,3598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/11/15,,1565496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/11/22,4296514,2449810,464055,316233,,,,,,,46901,,,,,,,,,,14921,,,,,11296,6653,12094,,,4405,,,,,7264,,,,,,,,,,,,1247,,,,,,2927,,,,,,
2018/11/29,7409688,4301078,801839,404332,,296823,,,,,83973,115510,,63944,,,,,,,24246,17752,,,,16669,12415,14717,,,8038,,,9028,,11424,,5006,,,,3004,,4261,,,,1953,,,,,,4400,,,,,,
2018/12/06,11609964,5081640,2004152,652517,478186,585750,255861,247444,110471,,171458,263334,,133509,,71089,52959,155106,44470,58194,48561,38572,64455,32600,42193,24712,25342,21455,65217,,16546,19915,,14898,,18524,,10972,,,,5927,,6260,,,,2997,,,,,,7979,,,,,,
2018/12/13,12622908,5160808,2234185,743383,480321,618825,268256,455084,143125,250658,215127,269676,,115200,,76009,90116,169583,44726,64492,53040,44582,57393,37694,51164,23557,28899,24222,65401,41398,18737,28330,,16021,,19233,,11292,,,,6549,,6122,,6155,,3444,,,,,,9696,,,,,,
2018/12/20,14462557,5634360,2635005,815634,616033,713173,347815,519459,214061,265899,254017,291651,,130246,,99996,112679,193403,55919,82743,75317,71534,75481,45310,57607,25541,41206,31589,72894,46368,22352,30853,,20981,,23730,,14540,,,,8276,,7891,,6294,,4196,,11995,,,,11193,,,,,,
2018/12/27,22360872,7906671,4190608,1386303,1047371,1002476,677201,818715,289497,442856,367303,322317,418699,163692,307011,189906,245706,324932,80864,153516,104756,144082,113901,85719,99679,43569,52099,46332,118648,75605,35750,51924,,37246,,26568,,22650,,,36359,17089,23336,14402,,9871,,6926,19378,18789,23277,9243,,17683,7001,,,,,
2019/01/03,,,,,,,,,,,,,,,,,,,,,,,,,,12968,,,,,3438,,,4383,,,,,,,,,,,,,,1735,,,,,,,,,,,,
2019/11/14,,1650329,,253756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/11/21,,1886179,429011,321693,,,,,,,49207,,,,,,,,,,,,,,,,,,,,4054,,,,,7219,,,,,,,,,,,,,,,,,,2679,,,,,,
2019/11/28,5588808,2777112,688501,389687,,231753,,,,,74755,97668,,,,,,,,,,17870,,,,16665,11473,15685,,,6308,,,6101,,9756,,4952,,,,3092,,,,,,2058,,,,,,3992,,,,,,
2019/12/05,11155568,4838204,1824741,621765,519295,577637,228986,219005,143615,,162085,237924,,127480,,78624,57781,,47727,,53797,54804,47701,39872,,29092,32972,28678,,,16720,,,16513,,18347,,13100,6063,,,7357,,7600,,,,3406,,,,,,6850,,,,,,
2019/12/12,12756056,5224481,2065214,698459,584654,525885,253125,434172,229097,,210557,216576,,136102,,95126,102574,,54408,54362,66704,65818,44631,44677,,32503,40722,36378,98025,,20013,24979,,16042,,20509,,12957,8051,,,8466,,8673,,,,4425,,,,,,9331,,,,,,
2019/12/19,14078309,5701557,2230196,766670,631701,645799,312945,470395,274593,,235215,240077,,135084,,109430,112568,,62724,70136,82236,71306,60900,53207,52619,30886,45229,33326,98840,,22451,27643,,19575,,21786,,14349,9415,,,8555,,8666,,,,4780,,,,,,10034,,,,,,
2019/12/26,24401078,8624106,4065969,1413255,1383289,1109828,760573,916212,462048,492707,385074,320691,394190,206422,304702,252083,264530,246276,111778,152942,115919,172292,117661,112920,89860,47674,64595,46860,162396,69386,35964,47955,,35957,,28457,,22329,16783,34115,39985,19537,,15230,,22342,,7497,,22369,,,,15052,,,,,,
2020/01/02,,,,,,,,,,,,,,,,,,,,,,,,,,20338,,,,,5259,,,6054,,,,,,,,,,,,,,2405,,,,,,2483,,,,,,
2020/11/05,,,,,,,,,,,38053,,,,,,,,,,,,,,,,,,,,,,,,,5397,,,,,,,,,,,,,,,,,,,,,,,,
2020/11/12,,2057999,461127,279909,,,,,,,55769,,,,,,,,,,,,,,,,,,,,,,,,,9528,,,,,,,,,,,,,,,,,,,,,,,,
2020/11/19,6245707,3003230,704601,570110,,137856,,191752,,,87597,86061,,,,,,,35556,,,23567,,,,25046,16670,17962,,,7874,,,7046,,12420,,5531,,,,2886,,,,,,2740,,,,,,,,,,,,
2020/11/26,9913441,4491982,1248430,820164,503975,314104,,298420,135926,,152771,144319,,107230,,67671,67734,,62711,,52098,36019,,33784,46641,38503,27046,28513,,,12793,,,11160,,16479,,9087,9988,,,6149,,5243,,,,4270,,,,,,,,,,,,
2020/12/03,17910786,7182389,2613992,1093611,1151068,808892,297377,469947,347903,235884,269526,319125,,231084,,174422,121139,202630,130397,59543,115443,74261,73475,75306,69358,49378,57102,50616,,,34576,29525,,27925,15842,24640,,21408,18877,,,12816,,12126,,28806,,6620,,,,,,,,,,,,
2020/12/10,21702857,8257966,3191919,1291268,1318641,739928,378900,785148,520930,450780,340630,343275,361557,225314,292845,218087,188169,237785,140868,84426,122640,96324,82423,79799,93030,52342,66467,60587,157172,62460,37246,45475,,29528,23492,26564,,22384,23245,18750,,16727,,13883,,41427,,8080,,,,,,,,,,,,
2020/12/17,22518877,8840460,3227033,1368211,1212895,716789,434586,886723,538522,352452,349591,342339,310415,217798,,192735,204801,277624,121582,99033,131944,115772,151078,78024,108846,51079,70449,60002,172213,72847,37995,51766,,34216,27747,28949,82581,24363,26539,24303,,15689,,13169,,39074,,8916,,,,,,,,,,,,
2020/12/24,37323134,12796698,5160221,2199305,2486718,1377472,1053383,1278714,889936,649546,582041,518901,706014,396913,633522,402584,448413,637123,259077,260335,249895,313064,347929,195322,201864,76599,121613,91104,250276,128835,54880,96219,,59284,39383,46291,112358,38228,50614,59281,72082,32677,62515,23648,,57377,,13778,28512,38153,35015,14546,,,11478,,,,,1296
2020/12/31,16613649,5662961,2743732,1159235,665938,216566,382909,915026,206674,366355,269213,123404,441146,,,149736,199198,257542,49924,54637,44686,65797,55015,59316,104206,63546,20695,33866,,66630,22014,60258,,22418,60256,10427,218404,12394,25126,39447,49211,13262,52604,10867,,,,10606,,,,,,,,,,,,
2021/01/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17477,,,,,,,,,,,,,,,,,,,,,,,,,
2021/11/11,,1712625,,224544,,,,,,,39590,,,,,,,,,,,,,,,,,,,,,,,,,5733,,,,,,,,,,,,,,,,,,,,,,,,
2021/11/18,,2235213,399694,469737,,,,,,,59597,,,,,,,,35917,,,,,,,,13295,,,,,,,,,8527,,,,,,,,,,,,,,,,,,,,,,,,
2021/11/25,7417614,3493004,689050,630186,465212,213555,,165683,,,104092,94120,,71109,,60354,,,63040,,34852,26567,44106,,,33226,19197,17784,,,10311,,,6835,,11442,,7306,,,,4911,,,,,,3697,,,,,,,,,,,,
2021/12/02,14460190,5930242,1677628,949924,1091617,639765,344225,282017,309939,,194443,285293,,169433,,153291,79314,,154442,69873,104503,63060,93485,64497,47373,47905,44774,34304,,,21869,,,21040,,18988,,17383,13936,,,10582,,8720,10789,,,5044,,,,,,,,,,,,
2021/12/09,19430205,7258800,2552740,1229529,1219401,659455,565489,556403,655195,400858,288708,329948,,180565,,180226,138055,,151942,119617,133136,97199,126234,77831,66656,56527,64131,53768,,,32272,30034,,25813,32240,22748,,20766,20973,,,13960,,12657,15850,,,8027,,,,,,,,,,,,
2021/12/16,22095540,8434362,2853773,1353871,1331322,692034,700651,733413,657057,379433,329912,349501,,190652,,198498,187029,226458,143695,152351,155211,112080,136563,76048,88658,63693,71286,56843,,64049,31738,39977,,24710,40648,24703,,18906,24709,26214,,15825,,14209,19325,,,9309,,,,,,,,,,,,
2021/12/23,30343074,11030691,3805620,1928355,1925797,1076708,1149633,915677,1003937,503861,476513,460217,412791,253017,442260,266060,252597,300377,225811,239969,241860,209210,271354,121700,125320,78456,111725,76172,201366,82162,46475,59626,,39336,57058,33700,135508,28151,32061,40096,55127,19279,56643,18255,27950,43024,,12560,,,,,,,,,,,,
2021/12/30,27687876,8608916,3590216,1845073,1956497,631909,1422461,1071403,583538,579200,397149,237100,540042,163971,616053,309799,356008,395323,186253,267406,130584,173555,153608,141803,155352,83182,61598,59676,,87929,46179,80090,,38972,75499,18767,211664,22868,37642,81465,68020,22591,67716,19106,28945,,,14036,26117,,,13870,,,,,,,,
2022/01/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6423,64372,,182327,,,,,,,,,,,,,,,,,,,,,,,
2022/11/10,,2356229,445462,318253,,,,,,,52457,,,,,,,,,,,,,,,,,,,,,,,,,7344,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/17,7517013,3836269,594247,691136,,,,,,,83593,70979,,62180,,,,,55833,,,,,,,,16713,,,,,,,,,8513,,7306,,,,3567,,,,,,,,,,,,,,,,,,
2022/11/24,12680089,5866419,1033963,1003288,969323,408421,266798,221501,389310,,161535,155595,,126632,,80181,59529,,133745,,82154,48237,87658,,,51901,34743,41752,,,26977,,,20457,,14186,,18482,,,,6896,,,,,,5961,,,,,,,,,,,,
2022/12/01,21093738,9453172,2060628,1249767,2017061,658343,592952,315687,411369,,279956,313926,,215261,,187347,90229,,236272,108281,130993,91744,120375,85041,61834,91579,58053,60223,,,32099,,,29972,,24601,,23678,20267,,,13167,,13807,23957,,,9886,,,,,,,,,,,,
2022/12/08,28827742,11338691,3601199,1613303,2411487,704293,1002049,620035,904026,448437,415937,453303,359191,260412,,275190,179753,,295657,198239,169685,137193,156369,124236,92677,102315,91804,81603,,,44754,44492,,34837,,32244,,26793,31589,,,20946,,19785,33517,57359,,12576,,,,,,,,,,,,
2022/12/15,34725307,13924377,4311770,1972803,2495670,813718,1165891,989732,1219899,506586,521768,490642,393025,275297,356713,333782,264818,387320,278140,240094,214813,172658,170958,128320,122358,102831,109942,92858,,100104,54479,59640,,41648,29762,39262,,28748,43523,42457,60646,21757,,23181,40695,65431,,15537,,,,18014,,,,,,,,
2022/12/22,40917945,16425002,4751571,2526210,2703439,924364,1646453,1088626,1482030,601949,590299,550641,525315,299782,441968,340466,308959,509335,328388,329581,259222,253125,249351,181724,137081,116560,131984,115346,261299,114758,58748,71737,,46089,34867,47991,,31531,46208,55558,75196,24614,,26844,44084,64203,,17866,31383,,,19108,,,,,,,,
2022/12/29,48147082,15863541,5889357,3055813,3802357,1041148,2490235,1667557,1299039,836403,695508,441885,886863,290752,820966,491794,506271,718139,402577,471506,209304,328803,277683,282868,179910,148002,110074,115243,366256,138713,77761,98020,,64665,52266,39697,,37960,65313,144404,117277,34992,115548,38073,49993,64920,,25591,50516,70249,59540,26138,23465,,23378,15521,17239,,11922,
2023/01/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9518,62155,,,,,,,,,,,,,6446,,,,,,,,19666,16840,,,
2023/11/16,8472546,4052661,750037,646118,,159713,,178086,,,108893,101697,,96571,,62902,,,53826,,,,,,,,20151,,,,,,,,,9539,,7202,,,,4550,,,,,,,,,,,,,,,,,,
2023/11/23,15066957,6976437,1399630,1029741,694093,331256,347491,269953,460535,,224264,199791,,181567,,103930,83688,,110902,58262,74124,55103,85881,,,86646,39383,62355,,,25963,,,16645,40887,17193,,13537,17276,,,8411,,12827,,,,9691,,,,,,,,,,,,
2023/11/30,26940388,12226037,2537107,1546453,1802126,689439,642028,456337,680975,373395,367715,353516,,333245,438900,232375,151186,,254799,122705,181194,118726,125056,92216,76499,140640,86141,105843,,,46301,,,35433,53372,25541,,26613,26001,,,20899,,28203,34263,,,15837,,,,,,,,,,,,
2023/12/07,38756976,14697961,4605314,2163586,2757150,1021011,1111112,847974,1331280,902233,504055,564488,550040,438269,603386,376670,274592,,384645,235669,280978,232567,190351,176759,107015,163358,136345,135722,,,70653,45498,,49011,82370,37441,,37423,45630,,,31780,,30584,45008,,,18829,49116,,,30125,28593,,,,,,,
2023/12/14,37617587,14885855,4175319,2190570,2118436,900298,1115965,962076,1231357,1168409,501589,456384,518560,408179,518217,293227,291691,,287877,230863,218884,199283,189513,152510,115248,147206,114688,131402,,102541,67096,51495,,47619,70526,36798,,32882,48991,,,26435,,27597,40465,,,19687,45250,,,28728,29829,,25559,21074,,,,
2023/12/21,44792976,17510415,5185155,2674995,2662560,1076998,1551986,1076875,1440270,1134805,626415,528117,658031,472834,630219,351294,331324,,352555,310782,268036,260732,241464,201815,136683,166431,139324,139863,,121837,72177,69416,,54721,66616,43948,,36586,55165,,,31561,,33276,56126,,,22742,48113,,,29408,32706,,27593,19147,,,,
2023/12/28,62796483,20369116,7535083,3955109,4468604,1451093,2838181,1842883,1793919,1832871,892549,526755,1184754,577919,1368061,569691,621352,842740,547575,512197,301947,422013,352998,354860,200832,198023,152454,166025,,175716,102074,106218,1321209,82193,96099,45418,,48660,82180,175553,125476,47955,180565,45683,70686,,442147,32005,79595,109036,113214,39639,42721,,39074,21957,21226,35305,20791,
2024/01/04,,,,,,,,,,,63443,,,,,,,,,,,,,,,67546,17626,,,,14512,,,15680,94668,,,7870,,,,,,,,,,9184,,,,,,,,30431,27601,,,
