Date,Global,US,ID,PH,MY,BR,AU,CA,GB,IN,SG,ZA,NZ,TH,DE,MX,NL,FR,PT,DK,SE,NO,VN,CL,KR,AE,PE,TW,BE,AR,CH,ES,IE,CO,HK,DO,IL,CR,AT,SA,PL,PA,GT,EC,RO,CZ,FI,HU,HN,GR,BO,MA,PY,SV,LT,IS,SK,EG,LU,LV,UY,CY,NI,BG,UA,EE,NG
Total,585422314,163744642,60867330,47639639,27141795,21765664,20279857,19102614,15445104,13321028,10530448,8401352,8387764,8276968,5672501,5552076,4710617,3161879,2622808,2550246,2463331,2447753,2340851,2200270,2100619,1755182,1672482,1654883,1627220,1564528,1493532,1301256,1297026,929843,847361,669318,631142,583527,565171,560256,557474,433128,346285,332023,293366,289372,285791,279029,262519,261224,254076,251101,245878,226497,220311,181985,180224,179373,167290,131570,124140,119721,118362,73444,72420,69620,52847
Peak,23116338,6041483,2586694,2536423,484569,1877170,1019681,769675,950320,1159714,345318,119562,318864,406947,669641,896852,433037,363016,149578,217395,262255,234504,102795,280109,40163,48951,166416,108947,126723,262582,122996,343289,107339,114691,58555,49484,63468,59366,63477,43705,149331,39879,52090,48687,31706,41557,51837,33786,23777,39796,30732,23245,37597,26438,17373,15558,21091,16063,10108,11375,18677,8036,11908,10051,19103,8512,19763
2021/01/07,,,201370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/01/14,,,575620,,61688,,,,,,41768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/01/21,,,579849,,113628,,,,,,67350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/01/28,,,582915,260161,121633,,,,,,78515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/02/04,,,552720,412453,128137,,,,,,83534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/02/11,,1663225,579664,590809,161053,,,238267,,,107233,21353,45103,,,,,,,,,,,,,11107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/02/18,8268553,2558104,964695,1960848,258770,,239634,397564,,,179792,31082,66025,,,,,,,,,,,,7826,23848,,,,,,,,,,,,,,12833,,,,,,,,,,,,,,,,,,,2786,,,2460,,,,,
2021/02/25,12552614,3341465,2221505,2536423,391347,,386165,516204,347660,,307013,45907,105783,155140,,,,,,62089,,,32166,,12006,36910,,47434,,,,,,,27296,,,,,18947,,,,,,,,,,,,,,,6257,5316,,,4026,,,3161,,,,,
2021/03/04,14624014,3697897,2586694,2390057,468314,,667841,560060,392459,,345318,57856,189866,367347,,,173653,,38284,71703,,89890,58801,,14382,39611,,62283,,,48932,,40234,,30565,11972,,,,21280,,,,,,,,,,,,,,,6549,5965,,,4897,5450,,3432,,,,,
2021/03/11,16150875,4204717,2344880,2098318,465555,833685,769680,586905,482783,335280,336497,67914,242837,396252,,,228293,,63118,88982,130677,101600,68059,,16567,41983,,93995,64137,,70012,,45364,,36329,17737,,,31504,28878,,12063,,,,,,,,,,13286,,,7375,6759,,9857,6197,6142,,4413,,,,,
2021/03/18,18435346,4904696,2249730,1948426,463617,1157513,873285,665331,626935,580332,336950,77095,275491,406947,459058,,301112,289194,95285,129854,156158,142250,70971,,21204,42242,,99834,95443,,96078,,54656,,41082,25604,26240,23611,37287,26246,,17973,,,17075,,,,10850,,,18280,,,8381,8189,,11467,7270,6914,,4427,,,,4778,
2021/03/25,20433244,5197353,2074379,1787182,473702,1677706,942610,729291,737965,818545,330243,83152,299214,386890,548976,,377313,332818,126529,150745,191994,173535,77560,168839,27371,45582,96706,103454,114138,,110636,,67577,,46880,34140,30360,34435,42755,27150,,25356,,,19488,,,22027,15006,,17582,19692,,15541,10089,9031,12068,12166,8154,7437,,4937,5936,5743,,5974,
2021/04/01,22208820,5569897,1996161,1607285,484569,1877170,1019681,769675,876611,1100485,325950,87397,318864,373861,632175,,408814,350012,135131,190139,215123,220494,89563,237870,32799,46715,125676,108202,126723,,122996,,89991,81314,55136,40962,36198,38847,48753,28519,,28646,34680,35756,23969,30805,45132,26518,17573,28398,22941,20997,24420,19059,11456,11844,16125,13694,9428,8727,13147,5840,7258,7143,,6823,
2021/04/08,22504497,5711623,1918100,1467773,467858,1748515,966619,760169,908472,1159714,312706,87642,306558,330928,621682,690548,394592,363016,140000,208127,210737,218244,94744,274910,34699,48951,159209,103959,122203,231983,117365,316640,101094,98780,53246,43832,50583,45833,51155,33238,122999,33355,45694,46498,29584,36598,45976,28399,21340,35988,28483,23245,33266,23111,13312,12315,19033,16063,9680,9319,17112,7177,9516,9124,17313,7495,
