Date,GB,ES,PH,CA
Total,1098050,75451,23437,3671
Peak,552486,62982,12021,3671
2015/02/08,,62982,,
2015/05/07,,12469,,
2015/05/21,,,,3671
2015/07/16,,,5816,
2015/07/23,,,12021,
2015/07/30,,,5600,
2024/09/12,545564,,,
2024/10/10,552486,,,
