Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
Hotel Ugly - Shut up My Moms Calling,758,,21,,2619,1350903,Hotel Ugly,Shut up My Moms Calling
Mr.Kitty - After Dark,777,,12,,2547,1350266,Mr.Kitty,After Dark
Lord Huron - The Night We Met,658,,15,,3594,1343549,Lord Huron,The Night We Met
Eyedress - Jealous,935,,29,,2275,1338975,Eyedress,Jealous
Eminem - Mockingbird,598,48.0,3,(x6),5292,1325370,Eminem,Mockingbird
Imagine Dragons - Bones,653,22.0,3,(x3),6787,1320102,Imagine Dragons,Bones
Billie Eilish - lovely,971,,12,,2392,1318630,Billie Eilish,lovely
Mariah Carey - All I Want for Christmas Is You,346,219.0,1,(x56),25317,1317094,Mariah Carey,All I Want for Christmas Is You
Tones And I - Dance Monkey,476,183.0,1,(x66),7843,1316140,Tones And I,Dance Monkey
Coolio - Gangsta's Paradise,914,,11,,3887,1311620,Coolio,Gangsta's Paradise
Gunna - fukumean,436,138.0,1,(x10),5954,1307013,Gunna,fukumean
Aarne - Тесно,628,66.0,1,(x23),8736,1306003,Aarne,Тесно
Benson Boone - Beautiful Things,278,81.0,2,(x5),8129,1296242,Benson Boone,Beautiful Things
Dua Lipa - Levitating,696,58.0,4,,4334,1289260,Dua Lipa,Levitating
Milky Chance - Stolen Dance,912,2.0,9,,2279,1284300,Milky Chance,Stolen Dance
Lil Nas X - INDUSTRY BABY,437,189.0,1,(x9),7303,1279338,Lil Nas X,INDUSTRY BABY
Post Malone - Circles,574,156.0,1,(x1),5777,1258994,Post Malone,Circles
Roddy Ricch - The Box,491,160.0,1,(x70),7786,1256885,Roddy Ricch,The Box
Metro Boomin - Creepin',452,156.0,1,(x8),6457,1244089,Metro Boomin,Creepin'
Sam Smith - Unholy,354,140.0,1,(x54),13628,1242632,Sam Smith,Unholy
ThxSoMch - SPIT IN MY FACE!,482,136.0,1,(x6),5802,1234036,ThxSoMch,SPIT IN MY FACE!
Singapūras Satīns - Piededzini Mann,750,24.0,4,,7056,1231320,Singapūras Satīns,Piededzini Mann
Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,721,123.0,2,(x10),3882,1227137,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse
¥$ - CARNIVAL,251,77.0,1,(x35),16574,1225867,¥$,CARNIVAL
French Montana - Unforgettable,641,102.0,2,(x25),3541,1206102,French Montana,Unforgettable
Singapūras Satīns - Plāksteris,791,14.0,1,(x3),6648,1204735,Singapūras Satīns,Plāksteris
Frank Ocean - Pink + White,620,,22,,3211,1202924,Frank Ocean,Pink + White
Wham! - Last Christmas,314,184.0,1,(x13),25098,1197836,Wham!,Last Christmas
Tommy Richman - MILLION DOLLAR BABY,181,97.0,1,(x33),17973,1191354,Tommy Richman,MILLION DOLLAR BABY
Riton - Friday,580,120.0,2,(x2),4863,1190487,Riton,Friday
Hozier - Too Sweet,215,96.0,2,(x2),10385,1184260,Hozier,Too Sweet
Mauku Sencis - 3D,779,3.0,9,,3879,1172594,Mauku Sencis,3D
Lewis Capaldi - Someone You Loved,749,16.0,8,,3034,1171787,Lewis Capaldi,Someone You Loved
Drake - Jimmy Cooks,644,19.0,4,,4302,1166986,Drake,Jimmy Cooks
Tiësto - The Business,627,122.0,2,(x1),3699,1154551,Tiësto,The Business
Djo - End of Beginning,251,77.0,2,(x12),10268,1152416,Djo,End of Beginning
TV Girl - Lovers Rock,645,,30,,2513,1148097,TV Girl,Lovers Rock
Brenda Lee - Rockin' Around The Christmas Tree,274,163.0,1,(x41),29753,1147672,Brenda Lee,Rockin' Around The Christmas Tree
Internet Money - Lemonade,484,148.0,1,(x50),6339,1146794,Internet Money,Lemonade
Matt Sassari - Give It To Me - Full Vocal Mix,693,,33,,2714,1144332,Matt Sassari,Give It To Me - Full Vocal Mix
Lil Nas X - MONTERO (Call Me By Your Name),393,126.0,1,(x47),8890,1134458,Lil Nas X,MONTERO (Call Me By Your Name)
