Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
Bad Bunny - La Corriente,579,62.0,8,,128930,14969894,Bad Bunny,La Corriente
Bad Bunny - Vete,1215,116.0,1,(x1),57978,14953718,Bad Bunny,Vete
KAROL G - Tusa,832,142.0,1,(x97),129089,14895928,KAROL G,Tusa
Piso 21 - Te Vi,1463,97.0,5,,29520,14849189,Piso 21,Te Vi
Bad Bunny - Si Veo a Tu Mamá,1179,53.0,1,(x7),84007,14782483,Bad Bunny,Si Veo a Tu Mamá
KAROL G - MI EX TENÍA RAZÓN,440,51.0,3,(x3),68109,14733029,KAROL G,MI EX TENÍA RAZÓN
Anuel AA - Amanece,1133,61.0,7,,26137,14612739,Anuel AA,Amanece
TINI - Miénteme,983,50.0,7,,43864,14593393,TINI,Miénteme
Arcángel - La Jumpa,422,106.0,1,(x3),96965,14464491,Arcángel,La Jumpa
Bad Bunny - Tarot,566,80.0,7,,154488,14382647,Bad Bunny,Tarot
Rels B - cómo dormiste?,789,,15,,39928,14375248,Rels B,cómo dormiste?
Bad Bunny - LA NOCHE DE ANOCHE,731,170.0,2,(x4),135358,14366723,Bad Bunny,LA NOCHE DE ANOCHE
Maluma - Sobrio,732,173.0,2,(x8),59864,14192425,Maluma,Sobrio
Marc Seguí - Tiroteo - Remix,951,,11,,38280,14129938,Marc Seguí,Tiroteo - Remix
Bad Bunny - Party,416,91.0,4,,141885,13863506,Bad Bunny,Party
Hombres G - Devuélveme a mi chica,1920,,62,,17391,13828497,Hombres G,Devuélveme a mi chica
Marshmello - El Merengue,601,,18,,37517,13796237,Marshmello,El Merengue
Carin Leon - Primera Cita,484,31.0,7,,50686,13553015,Carin Leon,Primera Cita
Ed Maverick - Fuentes de Ortiz,1604,,44,,14941,13484459,Ed Maverick,Fuentes de Ortiz
Mau y Ricky - Desconocidos,968,194.0,2,(x9),42606,13453806,Mau y Ricky,Desconocidos
Jesse & Joy - Dueles,1534,,38,,21595,13124195,Jesse & Joy,Dueles
KAROL G - BICHOTA,711,147.0,2,(x73),81512,13107969,KAROL G,BICHOTA
Feid - Prohibidox,602,1.0,10,,52167,13103916,Feid,Prohibidox
Aventura - Volví,596,185.0,1,(x2),87440,13025945,Aventura,Volví
Bad Bunny - Una Vez,1319,,22,,34430,12905295,Bad Bunny,Una Vez
FloyyMenor - Gata Only,255,163.0,1,(x3),95141,12901868,FloyyMenor,Gata Only
The Weeknd - Blinding Lights,1040,85.0,5,,28200,12730373,The Weeknd,Blinding Lights
Adolescent's Orquesta - Virgen,1151,,33,,26056,12645315,Adolescent's Orquesta,Virgen
