Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
Brenda Lee - Rockin' Around The Christmas Tree,386,159.0,2,(x3),276049,13337803,Brenda Lee,Rockin' Around The Christmas Tree
The Cranberries - Zombie,1518,7.0,1,(x1),45098,13234145,The Cranberries,Zombie
Anne-Marie - 2002,1096,87.0,1,(x5),59225,13196982,Anne-Marie,2002
Avicii - Wake Me Up,1948,2.0,6,,50068,13089251,Avicii,Wake Me Up
Post Malone - Circles,770,98.0,2,(x14),61361,12874666,Post Malone,Circles
Zach Bryan - I Remember Everything,426,88.0,5,,42084,12841381,Zach Bryan,I Remember Everything
benny blanco - Eastside,724,97.0,1,(x11),66585,12527715,benny blanco,Eastside
Miley Cyrus - Party In The U.S.A.,1734,,34,,16511,12444355,Miley Cyrus,Party In The U.S.A.
Journey - Don't Stop Believin',1946,,60,,13672,12367679,Journey,Don't Stop Believin'
DaBaby - ROCKSTAR,494,154.0,1,(x68),92124,12363688,DaBaby,ROCKSTAR
Tate McRae - greedy,403,168.0,1,(x4),63452,12295965,Tate McRae,greedy
Florence + The Machine - Dog Days Are Over,1333,2.0,7,,30791,12258228,Florence + The Machine,Dog Days Are Over
The Lumineers - Ophelia,1670,,14,,17130,12240159,The Lumineers,Ophelia
George Ezra - Budapest,1949,55.0,3,(x1),17728,12236992,George Ezra,Budapest
Michael Marcagi - Scared To Start,286,95.0,4,,67582,11920055,Michael Marcagi,Scared To Start
French Montana - Unforgettable,942,115.0,1,(x3),43677,11912658,French Montana,Unforgettable
J. Cole - No Role Modelz,1501,,50,,15574,11900346,J. Cole,No Role Modelz
Shaboozey - A Bar Song (Tipsy),195,132.0,1,(x2),135025,11894020,Shaboozey,A Bar Song (Tipsy)
Teddy Swims - Lose Control,337,87.0,3,(x1),60781,11846763,Teddy Swims,Lose Control
Michael Bublé - It's Beginning to Look a Lot Like Christmas,451,131.0,3,(x1),210482,11842597,Michael Bublé,It's Beginning to Look a Lot Like Christmas
24kGoldn - Mood,502,123.0,1,(x53),88201,11762909,24kGoldn,Mood
Jazzy - Giving Me,445,148.0,1,(x24),92926,11722047,Jazzy,Giving Me
Kings of Leon - Sex on Fire,1291,,31,,23418,11652726,Kings of Leon,Sex on Fire
