Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
Camila Cabello - Bam Bam,180,110.0,3,(x21),3385,349508,Camila Cabello,Bam Bam
Dean Martin - Let It Snow! Let It Snow! Let It Snow!,108,56.0,4,,16896,348791,Dean Martin,Let It Snow! Let It Snow! Let It Snow!
Dasha - Austin,205,,19,,2530,343571,Dasha,Austin
Natasha Bedingfield - Unwritten,229,10.0,8,,2987,338672,Natasha Bedingfield,Unwritten
Dimitri Vegas & Like Mike - Thank You (Not So Bad),236,,23,,2029,336933,Dimitri Vegas & Like Mike,Thank You (Not So Bad)
Coldplay - Viva La Vida,266,,21,,2072,334719,Coldplay,Viva La Vida
Luciano - Beautiful Girl,212,50.0,1,(x5),4951,333424,Luciano,Beautiful Girl
Andy Williams - It's the Most Wonderful Time of the Year,104,46.0,3,(x1),15039,333046,Andy Williams,It's the Most Wonderful Time of the Year
Dua Lipa - Training Season,205,5.0,8,,2677,332502,Dua Lipa,Training Season
Kendrick Lamar - Not Like Us,160,16.0,4,,4707,330832,Kendrick Lamar,Not Like Us
"Billie Eilish - What Was I Made For? [From The Motion Picture ""Barbie""]",231,32.0,3,(x12),2582,328016,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]"
Jack Harlow - Lovin On Me,176,24.0,5,,2990,324636,Jack Harlow,Lovin On Me
Ariana Grande - Santa Tell Me,107,42.0,4,,13143,321620,Ariana Grande,Santa Tell Me
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",260,,21,,2437,313917,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52"
Kate Bush - Running Up That Hill (A Deal With God),134,87.0,1,(x18),4534,311270,Kate Bush,Running Up That Hill (A Deal With God)
Kygo - Whatever,187,,13,,2503,310331,Kygo,Whatever
Lil Nas X - STAR WALKIN' (League of Legends Worlds Anthem),206,,13,,2031,309915,Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem)
Djo - End of Beginning,165,36.0,3,(x1),3369,307416,Djo,End of Beginning
The Weeknd - Popular,233,,17,,2110,307032,The Weeknd,Popular
Taylor Swift - Anti-Hero,197,31.0,4,,3429,306893,Taylor Swift,Anti-Hero
Beyoncé - CUFF IT,194,5.0,5,,4177,299125,Beyoncé,CUFF IT
Eminem - Houdini,138,23.0,1,(x4),7090,297628,Eminem,Houdini
Carbonne - Imagine,169,,17,,2637,297091,Carbonne,Imagine
Gazo - MAMI WATA,190,,16,,2272,294757,Gazo,MAMI WATA
Lewis Capaldi - Someone You Loved,246,5.0,3,(x1),3115,288869,Lewis Capaldi,Someone You Loved
José Feliciano - Feliz Navidad,101,24.0,6,,13588,287066,José Feliciano,Feliz Navidad
Zerb - Mwaki,194,,19,,2291,285262,Zerb,Mwaki
"Bizarrap - Shakira: Bzrp Music Sessions, Vol. 53",133,69.0,1,(x1),4793,284159,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53"
Oliver Tree - Miss You,162,21.0,7,,2435,283584,Oliver Tree,Miss You
Olivia Rodrigo - vampire,199,14.0,5,,2508,282872,Olivia Rodrigo,vampire
Zola - AMBER,182,11.0,5,,2620,282576,Zola,AMBER
Franglish - Position,196,,19,,2498,280592,Franglish,Position
James Hype - Ferrari,174,67.0,4,,2481,278371,James Hype,Ferrari
KAROL G - Si Antes Te Hubiera Conocido,121,64.0,4,,3368,278279,KAROL G,Si Antes Te Hubiera Conocido
Don Omar - Danza Kuduro,224,,28,,1930,277551,Don Omar,Danza Kuduro
SZA - Kill Bill,175,28.0,5,,2752,276203,SZA,Kill Bill
Farruko - Pepas,163,28.0,1,(x1),5127,272906,Farruko,Pepas
Michael Bublé - Holly Jolly Christmas,100,7.0,8,,11876,268522,Michael Bublé,Holly Jolly Christmas
Drake - One Dance,173,172.0,1,(x99),2317,267697,Drake,One Dance
Central Cee - BAND4BAND,103,34.0,2,(x4),6016,265759,Central Cee,BAND4BAND
David Carreira - Vida Boa,51,42.0,1,(x20),9490,263765,David Carreira,Vida Boa
Sia - Snowman,97,20.0,5,,13781,261210,Sia,Snowman
Imagine Dragons - Bones,216,1.0,9,,2225,260605,Imagine Dragons,Bones
Benson Boone - Slow It Down,194,,28,,1959,259878,Benson Boone,Slow It Down
The Chainsmokers - Something Just Like This,177,88.0,2,(x8),2354,259629,The Chainsmokers,Something Just Like This
KeBlack - LAISSE MOI,181,,15,,1974,258426,KeBlack,LAISSE MOI
Luis Fonsi - Despacito - Remix,111,109.0,1,(x66),3269,258396,Luis Fonsi,Despacito - Remix
Ed Sheeran - Shivers,170,19.0,4,,3639,256001,Ed Sheeran,Shivers
Luis Fonsi - Despacito (Featuring Daddy Yankee),171,134.0,1,(x1),2334,254896,Luis Fonsi,Despacito (Featuring Daddy Yankee)
Tommy Richman - MILLION DOLLAR BABY,118,18.0,4,,4311,254551,Tommy Richman,MILLION DOLLAR BABY
Sevdaliza - Alibi,111,42.0,4,,3380,253055,Sevdaliza,Alibi
RAYE - Escapism.,159,10.0,6,,2444,251330,RAYE,Escapism.
Jaxomy - Pedro,139,7.0,7,,3220,251050,Jaxomy,Pedro
KeBlack - Boucan,173,,28,,2069,247584,KeBlack,Boucan
Måneskin - THE LONELIEST,174,2.0,8,,2131,246311,Måneskin,THE LONELIEST
Kelly Clarkson - Underneath the Tree,96,7.0,8,,10665,245044,Kelly Clarkson,Underneath the Tree
AYLIVA - Wunder,155,6.0,4,,5562,242948,AYLIVA,Wunder
The Kid LAROI - Stay,146,24.0,1,(x4),5341,241522,The Kid LAROI,Stay
Heuss L'enfoiré - Saiyan,179,,14,,1914,241017,Heuss L'enfoiré,Saiyan
The Ronettes - Sleigh Ride,95,4.0,9,,12688,240362,The Ronettes,Sleigh Ride
Ariana Grande - we can't be friends (wait for your love),131,11.0,7,,2995,238863,Ariana Grande,we can't be friends (wait for your love)
