Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
Eminem - The Real Slim Shady,1146,,38,,14579,9502391,Eminem,The Real Slim Shady
Rema - Calm Down,570,96.0,5,,27824,9421053,Rema,Calm Down
Manuel Turizo - La Bachata,787,,17,,20061,9353456,Manuel Turizo,La Bachata
cassö - Prada,437,114.0,3,(x1),40507,9326524,cassö,Prada
Lil Nas X - INDUSTRY BABY,476,115.0,2,(x3),54357,9310376,Lil Nas X,INDUSTRY BABY
Hozier - Take Me To Church,1563,145.0,1,(x61),13435,9214808,Hozier,Take Me To Church
Tiësto - The Business,648,118.0,2,(x3),36241,9211336,Tiësto,The Business
Lil Nas X - MONTERO (Call Me By Your Name),448,120.0,1,(x46),74335,9189422,Lil Nas X,MONTERO (Call Me By Your Name)
TOTO - Africa,1344,,63,,15304,9135183,TOTO,Africa
Queen - Don't Stop Me Now - Remastered 2011,1254,,38,,18585,8834525,Queen,Don't Stop Me Now - Remastered 2011
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",592,,11,,26744,8825521,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52"
Travis Scott - HIGHEST IN THE ROOM,673,56.0,1,(x4),86387,8798174,Travis Scott,HIGHEST IN THE ROOM
Internet Money - Lemonade,524,111.0,1,(x3),53190,8778056,Internet Money,Lemonade
Jawsh 685 - Savage Love (Laxed - Sired Beat),460,125.0,1,(x47),57852,8741277,Jawsh 685,Savage Love (Laxed - Sired Beat)
Coldplay - Viva La Vida,796,5.0,3,(x1),29064,8735608,Coldplay,Viva La Vida
The Weeknd - Save Your Tears,788,74.0,1,(x1),34982,8573286,The Weeknd,Save Your Tears
Artemas - i like the way you kiss me,219,94.0,1,(x16),92360,8550836,Artemas,i like the way you kiss me
David Guetta - Baby Don't Hurt Me,565,32.0,5,,31248,8509217,David Guetta,Baby Don't Hurt Me
Tinlicker - Because You Move Me,799,,14,,22042,8473096,Tinlicker,Because You Move Me
Måneskin - Beggin',454,114.0,1,(x35),62368,8410630,Måneskin,Beggin'
Kenya Grace - Strangers,375,131.0,1,(x5),51133,8364979,Kenya Grace,Strangers
Ofenbach - Head Shoulders Knees & Toes,564,75.0,6,,36851,8200212,Ofenbach,Head Shoulders Knees & Toes
Olivia Rodrigo - good 4 u,457,102.0,1,(x22),54318,8167049,Olivia Rodrigo,good 4 u
The Chainsmokers - Something Just Like This,727,83.0,2,(x2),32531,8113453,The Chainsmokers,Something Just Like This
Dua Lipa - Don't Start Now,625,64.0,6,,29478,8061616,Dua Lipa,Don't Start Now
Loreen - Tattoo,499,65.0,1,(x4),65258,8048587,Loreen,Tattoo
Ariana Grande - Santa Tell Me,354,125.0,3,(x18),187872,7984047,Ariana Grande,Santa Tell Me
Black Eyed Peas - I Gotta Feeling,1023,,16,,28524,7957677,Black Eyed Peas,I Gotta Feeling
Michael Bublé - It's Beginning to Look a Lot Like Christmas,354,121.0,1,(x1),226651,7952554,Michael Bublé,It's Beginning to Look a Lot Like Christmas
Luciano - Beautiful Girl,424,110.0,1,(x22),79828,7935088,Luciano,Beautiful Girl
Metro Boomin - Creepin',458,115.0,1,(x1),43492,7825358,Metro Boomin,Creepin'
James Hype - Ferrari,536,77.0,2,(x4),36276,7817816,James Hype,Ferrari
Taylor Swift - Cruel Summer,493,3.0,3,(x1),44026,7791483,Taylor Swift,Cruel Summer
Mark Ambor - Belong Together,234,124.0,3,(x1),55028,7735336,Mark Ambor,Belong Together
Master KG - Jerusalema,522,74.0,2,(x1),39748,7721752,Master KG,Jerusalema
Major Lazer - Lean On,959,232.0,1,(x102),24277,7671380,Major Lazer,Lean On
Ofenbach - Overdrive,358,57.0,6,,33702,7654588,Ofenbach,Overdrive
Imagine Dragons - Bones,704,,14,,22655,7644907,Imagine Dragons,Bones
Calvin Harris - One Kiss,605,102.0,2,(x12),36016,7579945,Calvin Harris,One Kiss
Tate McRae - you broke me first,659,12.0,8,,23896,7576242,Tate McRae,you broke me first
Ed Sheeran - I Don't Care,457,104.0,1,(x4),77112,7564426,Ed Sheeran,I Don't Care
Olivia Rodrigo - drivers license,519,79.0,1,(x46),67640,7529328,Olivia Rodrigo,drivers license
Travis Scott - goosebumps,1130,,18,,20557,7524359,Travis Scott,goosebumps
Dennis Lloyd - Nevermind,572,137.0,2,(x16),38514,7516439,Dennis Lloyd,Nevermind
Camila Cabello - Bam Bam,493,132.0,3,(x4),32413,7491694,Camila Cabello,Bam Bam
Maroon 5 - Memories,600,64.0,4,,30318,7474003,Maroon 5,Memories
Panic! At The Disco - High Hopes,663,69.0,3,(x9),30743,7462464,Panic! At The Disco,High Hopes
Camila Cabello - Havana,605,181.0,1,(x10),33008,7439466,Camila Cabello,Havana
Matt Sassari - Give It To Me - Full Vocal Mix,713,,43,,16178,7435079,Matt Sassari,Give It To Me - Full Vocal Mix
Luis Fonsi - Despacito (Featuring Daddy Yankee),599,161.0,1,(x2),34553,7418038,Luis Fonsi,Despacito (Featuring Daddy Yankee)
Felix Jaehn - Call It Love,639,1.0,7,,31091,7413562,Felix Jaehn,Call It Love
Passenger - Let Her Go,1696,,27,,8802,7353615,Passenger,Let Her Go
Bobby Helms - Jingle Bell Rock,264,104.0,3,(x9),229476,7329742,Bobby Helms,Jingle Bell Rock
Tiësto - Lay Low,567,11.0,9,,23673,7318727,Tiësto,Lay Low
Dave - Sprinter,344,126.0,1,(x62),64714,7316237,Dave,Sprinter
Imagine Dragons - Thunder,730,132.0,4,,25865,7288447,Imagine Dragons,Thunder
Vegedream - Ramenez la coupe à la maison,724,35.0,1,(x1),53708,7247979,Vegedream,Ramenez la coupe à la maison
GAYLE - abcdefu,391,146.0,1,(x30),46531,7233750,GAYLE,abcdefu
Tiësto - The Motto,558,60.0,7,,28638,7226660,Tiësto,The Motto
Roddy Ricch - The Box,451,109.0,2,(x9),46765,7184161,Roddy Ricch,The Box
Brenda Lee - Rockin' Around The Christmas Tree,248,93.0,3,(x19),232482,7164799,Brenda Lee,Rockin' Around The Christmas Tree
Capital Bra - 110,513,76.0,1,(x5),76704,7154253,Capital Bra,110
Lost Frequencies - Are You With Me,985,96.0,3,(x2),14953,7139004,Lost Frequencies,Are You With Me
Sam Smith - Unholy,329,115.0,2,(x33),58383,7136526,Sam Smith,Unholy
Daddy Yankee - Con Calma,485,107.0,1,(x1),45025,7094755,Daddy Yankee,Con Calma
Luciano - Bamba,377,66.0,1,(x19),110682,7073595,Luciano,Bamba
Macklemore & Ryan Lewis - Can't Hold Us,1531,,30,,20296,7073218,Macklemore & Ryan Lewis,Can't Hold Us
Juice WRLD - Lucid Dreams,813,4.0,4,,38401,7071692,Juice WRLD,Lucid Dreams
Alec Benjamin - Let Me Down Slowly,777,,14,,19737,7069641,Alec Benjamin,Let Me Down Slowly
Jason Derulo - Acapulco,630,,20,,23526,7013241,Jason Derulo,Acapulco
Dua Lipa - Levitating,654,4.0,8,,27021,6983262,Dua Lipa,Levitating
DJ Snake - Loco Contigo,438,102.0,2,(x41),46295,6949167,DJ Snake,Loco Contigo
Axwell /\ Ingrosso - More Than You Know,587,120.0,2,(x44),26997,6944096,Axwell /\ Ingrosso,More Than You Know
Bonez MC - 500 PS,659,46.0,2,(x3),49966,6876835,Bonez MC,500 PS
ATB - Your Love (9PM),503,80.0,6,,33482,6856287,ATB,Your Love (9PM)
Soolking - Casanova,430,37.0,7,,30509,6826322,Soolking,Casanova
Dean Lewis - How Do I Say Goodbye,548,14.0,5,,25570,6820480,Dean Lewis,How Do I Say Goodbye
RAF Camora - Blaues Licht,638,33.0,1,(x2),56666,6775755,RAF Camora,Blaues Licht
Pashanim - Sommergewitter,608,48.0,1,(x1),63957,6759746,Pashanim,Sommergewitter
Travis Scott - FE!N,431,14.0,1,(x2),59952,6735022,Travis Scott,FE!N
Sabrina Carpenter - Espresso,195,133.0,2,(x14),51160,6678634,Sabrina Carpenter,Espresso
Duncan Laurence - Arcade,597,2.0,7,,25749,6656042,Duncan Laurence,Arcade
Pop Smoke - Dior,733,,25,,22342,6654810,Pop Smoke,Dior
Imanbek - Belly Dancer,555,,16,,26253,6634078,Imanbek,Belly Dancer
Rema - Calm Down,513,,16,,20610,6601027,Rema,Calm Down
CYRIL - Stumblin' In,254,38.0,7,,38980,6580248,CYRIL,Stumblin' In
Hozier - Too Sweet,214,76.0,4,,50695,6574633,Hozier,Too Sweet
Central Cee - Doja,453,69.0,1,(x14),33748,6560040,Central Cee,Doja
Eminem - Till I Collapse,947,,52,,10902,6480753,Eminem,Till I Collapse
Alan Walker - Faded,802,140.0,1,(x82),26967,6413033,Alan Walker,Faded
Lady Gaga - Always Remember Us This Way,802,,21,,16711,6358971,Lady Gaga,Always Remember Us This Way
The Police - Every Breath You Take,747,,44,,15056,6323801,The Police,Every Breath You Take
Pop Smoke - For The Night,422,78.0,3,(x11),33849,6300500,Pop Smoke,For The Night
Doja Cat - Paint The Town Red,284,92.0,1,(x27),56944,6281778,Doja Cat,Paint The Town Red
Masked Wolf - Astronaut In The Ocean,406,97.0,1,(x11),40623,6267677,Masked Wolf,Astronaut In The Ocean
XXXTENTACION - SAD!,536,53.0,1,(x11),73140,6261596,XXXTENTACION,SAD!
KAROL G - Tusa,435,41.0,5,,28214,6207639,KAROL G,Tusa
Justin Bieber - Peaches,371,88.0,1,(x11),58208,6200024,Justin Bieber,Peaches
Lana Del Rey - Summertime Sadness,704,,52,,11575,6192651,Lana Del Rey,Summertime Sadness
Linkin Park - In the End,757,1.0,9,,20599,6188192,Linkin Park,In the End
a-ha - Take on Me,699,,17,,25473,6152406,a-ha,Take on Me
Dr. Dre - Still D.R.E.,869,,14,,22187,6140957,Dr. Dre,Still D.R.E.
Arctic Monkeys - I Wanna Be Yours,677,,51,,12370,6095908,Arctic Monkeys,I Wanna Be Yours
José Feliciano - Feliz Navidad,265,50.0,4,,210655,6070234,José Feliciano,Feliz Navidad
MEDUZA - Piece Of Your Heart,486,56.0,3,(x1),31238,6037580,MEDUZA,Piece Of Your Heart
Mabel - Don't Call Me Up,536,36.0,6,,28657,6026042,Mabel,Don't Call Me Up
Lil Nas X - THATS WHAT I WANT,422,32.0,7,,28989,6022851,Lil Nas X,THATS WHAT I WANT
Drake - God's Plan,396,113.0,1,(x55),41745,6021345,Drake,God's Plan
Nina Chuba - Wildberry Lillet,471,23.0,1,(x1),31015,6008015,Nina Chuba,Wildberry Lillet
Shouse - Love Tonight - Edit,444,44.0,5,,37652,6000115,Shouse,Love Tonight - Edit
P!nk - Cover Me In Sunshine,464,64.0,4,,33967,5996679,P!nk,Cover Me In Sunshine
Sia - Snowman,251,54.0,3,(x13),198938,5994344,Sia,Snowman
Adam Port - Move,139,129.0,1,(x40),66613,5990101,Adam Port,Move
Ed Sheeran - Beautiful People,382,97.0,4,,39024,5988496,Ed Sheeran,Beautiful People
Dean Martin - Let It Snow! Let It Snow! Let It Snow!,229,55.0,4,,212983,5972610,Dean Martin,Let It Snow! Let It Snow! Let It Snow!
Lil Nas X - Old Town Road - Remix,388,108.0,3,(x1),36134,5948540,Lil Nas X,Old Town Road - Remix
Doja Cat - Woman,402,43.0,5,,33548,5935923,Doja Cat,Woman
Ava Max - Kings & Queens,518,,12,,24643,5929667,Ava Max,Kings & Queens
James Arthur - Say You Won't Let Go,855,102.0,2,(x1),17310,5922363,James Arthur,Say You Won't Let Go
Kygo - Higher Love,582,,16,,20372,5876892,Kygo,Higher Love
Capital Bra - Tilidin,391,44.0,1,(x6),132894,5862080,Capital Bra,Tilidin
ROSALÍA - BESO,335,91.0,2,(x4),46139,5852650,ROSALÍA,BESO
DJ Snake - Taki Taki,364,108.0,1,(x21),42235,5852495,DJ Snake,Taki Taki
ACRAZE - Do It To It,387,43.0,2,(x1),55375,5832313,ACRAZE,Do It To It
Trevor Daniel - Falling,425,65.0,3,(x1),30951,5831988,Trevor Daniel,Falling
Natasha Bedingfield - Unwritten,283,57.0,3,(x4),42681,5820695,Natasha Bedingfield,Unwritten
Robin Schulz - In Your Eyes,476,7.0,10,,30996,5813986,Robin Schulz,In Your Eyes
Taylor Swift - Anti-Hero,474,23.0,4,,35223,5776606,Taylor Swift,Anti-Hero
Travis Scott - SICKO MODE,609,4.0,4,,40447,5768790,Travis Scott,SICKO MODE
Andy Williams - It's the Most Wonderful Time of the Year,255,25.0,4,,184069,5746868,Andy Williams,It's the Most Wonderful Time of the Year
Rudimental - These Days,495,109.0,2,(x17),30000,5737671,Rudimental,These Days
Post Malone - Circles,463,9.0,6,,31577,5717552,Post Malone,Circles
Billie Eilish - when the party's over,625,,15,,18019,5708370,Billie Eilish,when the party's over
