Date,Global,US,GB,DE,CA,NL,AU,PL,SE,IT,IE,DK,FR,BE,CH,NZ,AT,NO,ES,HU,CZ,PT,SG,SK,FI,GR,RO,PH,LT,LV,HK,IS,AE,MY,EE,LU,ZA,CL,BG,CY,RU,MT,CR,TW,KR,UA,VN,PA
Total,437236311,144860365,63536457,33560133,26552376,20419488,17015792,13432168,7899408,7605470,6975652,6329945,5580935,4363395,4207088,3702602,3678956,3253055,2494464,2088377,1867646,1587442,1307736,1057283,946091,928149,923686,830678,596383,516705,509306,479750,381337,378605,373238,338394,287574,283925,244418,177741,94837,57398,46899,45877,41573,40853,34789,22340
Peak,"12 (35,714,786)","10 (10,302,554)","10 (4,856,823)","23 (2,712,768)","9 (2,019,685)","9 (1,835,308)","9 (1,520,035)","9 (1,266,501)","38 (615,332)","46 (944,782)","11 (577,587)","32 (396,101)","20 (1,431,446)","9 (530,404)","13 (367,653)","9 (326,964)","19 (327,361)","53 (221,709)","86 (656,002)","12 (222,623)","16 (156,938)","27 (190,445)","25 (146,355)","13 (74,672)","58 (124,159)","34 (101,715)","14 (89,469)","63 (424,405)","11 (55,400)","11 (43,747)","33 (63,814)","35 (30,216)","18 (47,721)","62 (88,821)","13 (27,097)","11 (32,838)","47 (92,431)","175 (283,925)","30 (25,551)","18 (17,132)","127 (94,837)","27 (10,024)","151 (46,899)","200 (45,877)","97 (15,835)","70 (24,039)","158 (34,789)","156 (22,340)"
2014/12/07,--,--,--,--,--,--,--,--,--,--,"134 (8,233)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014/12/14,--,--,--,--,--,--,--,--,--,--,"112 (9,676)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014/12/21,--,--,--,--,--,--,--,"179 (12,998)",--,--,"97 (11,383)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014/12/28,--,--,--,--,--,--,--,--,--,--,"92 (12,687)",--,--,--,--,--,"129 (5,760)",--,--,--,--,"179 (5,887)",--,"129 (1,142)",--,"143 (2,283)",--,--,"148 (1,568)","135 (2,296)",--,"168 (1,212)",--,--,"182 (1,487)",--,--,--,--,--,--,--,--,--,--,--,--,--
2015/12/10,--,--,"116 (251,351)",--,--,--,--,--,--,--,"134 (13,818)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015/12/17,--,--,"134 (263,204)",--,--,"198 (67,291)",--,--,--,--,"144 (15,320)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015/12/24,"149 (2,228,543)",--,"85 (398,756)","144 (218,922)",--,"116 (103,879)","167 (68,584)","114 (29,695)","108 (221,749)",--,"96 (23,701)","115 (93,916)",--,"193 (14,300)",--,"123 (29,485)","97 (15,861)","158 (77,257)",--,"104 (8,839)","125 (6,143)","115 (13,483)",--,"68 (3,440)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"198 (1,093)",--,--,--,--,--,--
2015/12/31,--,--,"188 (189,548)",--,--,"181 (65,801)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2016/12/01,--,--,--,--,--,--,--,--,--,--,--,"167 (64,424)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2016/12/08,--,--,"124 (354,730)",--,--,--,--,--,--,--,"123 (26,667)","142 (80,269)",--,--,--,--,"149 (13,265)",--,--,--,--,--,--,"180 (2,271)",--,"179 (2,789)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"160 (1,563)",--,--,--,--,--,--
2016/12/15,--,--,"95 (461,029)","186 (208,559)",--,"155 (142,445)",--,"171 (29,576)",--,--,"94 (36,405)","158 (73,342)",--,--,--,--,"118 (16,391)",--,--,--,--,--,--,"156 (2,974)",--,"192 (2,771)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"137 (1,738)",--,--,--,--,--,--
2016/12/22,--,--,"71 (583,094)","137 (303,783)",--,"119 (155,727)","170 (108,319)","76 (49,092)","189 (146,815)",--,"64 (47,188)","133 (86,317)",--,"174 (19,603)",--,"157 (34,653)","77 (24,387)",--,--,"124 (8,539)","131 (8,968)","164 (15,089)",--,"103 (4,523)",--,"149 (3,555)",--,--,--,"184 (2,731)",--,"184 (5,281)",--,--,--,"152 (1,333)",--,--,--,--,--,"88 (2,536)",--,--,--,--,--,--
2016/12/29,"136 (3,595,987)",--,"47 (917,814)","85 (461,003)","112 (166,826)","68 (223,641)","62 (239,863)","66 (51,614)","168 (146,129)",--,"50 (62,962)","117 (92,509)",--,"64 (41,209)","79 (30,768)","64 (73,075)","69 (30,299)",--,--,"58 (15,595)","108 (9,587)","110 (17,982)",--,"88 (4,132)",--,"84 (5,343)",--,--,"109 (3,854)","86 (4,477)","200 (11,489)",--,--,--,"168 (2,585)","62 (2,473)",--,--,"171 (1,583)","64 (1,003)",--,"86 (2,511)",--,--,--,--,--,--
2017/12/21,--,--,"115 (536,882)",--,--,--,"143 (207,946)","39 (136,023)",--,"194 (138,488)","118 (46,903)","172 (85,004)",--,--,--,"125 (54,829)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2017/12/28,"162 (4,712,421)",--,"60 (981,792)","98 (629,291)",--,"123 (210,738)","57 (485,489)","30 (150,262)",--,"174 (141,006)","65 (72,887)","115 (107,242)",--,--,"162 (34,709)","55 (109,115)","78 (42,272)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2018/11/29,--,"188 (1,512,693)",--,--,--,--,--,--,--,--,--,"179 (67,816)",--,--,--,--,--,--,--,--,--,--,--,--,--,"173 (6,806)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2018/12/06,"159 (5,346,779)","156 (2,037,879)","86 (689,417)","200 (353,827)","129 (281,536)","184 (190,530)","114 (278,118)","71 (139,957)","140 (192,009)",--,"106 (57,750)","85 (139,787)",--,--,"164 (40,125)","102 (61,259)","148 (30,859)","174 (100,048)",--,"104 (17,761)","100 (25,313)",--,--,"61 (12,956)",--,"87 (11,697)","140 (8,616)",--,"81 (7,197)","88 (6,674)",--,"148 (8,486)",--,--,"105 (5,289)","109 (3,327)",--,--,--,"107 (1,605)",--,"109 (4,229)",--,--,--,--,--,--
2018/12/13,"125 (6,464,418)","128 (2,241,130)","61 (883,335)","188 (392,543)","94 (343,366)","75 (356,064)","102 (305,166)","28 (210,332)","112 (212,576)","179 (259,501)","71 (80,901)","94 (124,383)",--,"119 (54,606)","131 (50,035)","93 (68,385)","130 (35,053)","157 (106,281)",--,"77 (21,668)","74 (30,331)","172 (27,133)",--,"29 (16,444)",--,"82 (12,184)","117 (10,715)",--,"52 (9,111)","73 (8,095)",--,"134 (9,376)",--,--,"99 (5,954)","80 (4,001)",--,--,"174 (3,488)","95 (1,887)",--,"74 (5,461)",--,--,--,--,--,--
2018/12/20,"85 (7,701,067)","104 (2,495,772)","45 (1,069,301)","133 (529,002)","76 (387,993)","65 (397,496)","62 (409,841)","16 (300,623)","91 (248,291)","166 (272,220)","54 (95,646)","82 (131,364)",--,"63 (71,122)","66 (69,647)","58 (91,480)","88 (46,308)","143 (117,112)",--,"30 (38,786)","30 (44,911)","128 (32,771)",--,"21 (24,401)",--,"69 (13,367)","69 (14,747)",--,"34 (11,617)","46 (10,706)",--,"92 (11,731)",--,--,"59 (8,308)","50 (5,234)",--,--,"113 (4,457)","60 (2,397)",--,"51 (6,569)",--,--,--,--,--,--
2018/12/27,"35 (13,204,661)","60 (3,593,663)","25 (2,034,119)","55 (1,102,820)","37 (658,438)","44 (616,690)","18 (1,025,988)","9 (366,971)","68 (338,338)","65 (487,575)","28 (173,084)","58 (185,534)","137 (292,475)","27 (149,180)","24 (145,859)","17 (213,474)","43 (83,131)","112 (134,755)","110 (301,587)","17 (77,919)","16 (60,037)","44 (65,347)","94 (60,295)","15 (29,040)","156 (64,657)","34 (20,516)","36 (20,611)","150 (171,401)","19 (18,375)","20 (18,024)","44 (33,012)","77 (13,649)",--,"172 (38,863)","31 (12,307)","22 (10,557)",--,--,"33 (7,659)","32 (3,782)",--,"27 (10,024)",--,--,--,--,--,--
2019/01/03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"158 (7,124)",--,--,--,--,--,--,--,--,--,--,--,--,--,"171 (1,069)",--,--,--,--,--,--,--,--
2019/11/28,--,--,"185 (364,209)",--,"177 (226,189)",--,--,--,--,--,"180 (38,597)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019/12/05,"141 (5,586,283)","129 (1,906,601)","54 (969,312)","178 (456,546)","87 (362,692)",--,"169 (226,880)","183 (114,893)","133 (199,262)",--,"72 (83,081)","94 (136,408)",--,--,"130 (49,124)","186 (47,651)","200 (31,834)",--,--,"79 (25,459)","162 (26,116)",--,--,"76 (15,251)",--,"180 (13,290)","198 (11,449)",--,"73 (7,751)","75 (7,940)",--,"143 (8,686)",--,--,"88 (6,315)","102 (4,081)",--,--,--,"146 (1,690)",--,"95 (3,376)",--,--,--,--,--,--
2019/12/12,"127 (6,418,377)","164 (1,990,211)","46 (1,093,028)","193 (510,906)","79 (413,845)","99 (316,409)","173 (249,986)","89 (192,467)","184 (172,895)",--,"59 (107,949)","102 (125,594)",--,"154 (54,621)","122 (56,304)","158 (55,128)","194 (37,320)",--,--,"88 (29,041)","134 (30,738)",--,--,"72 (18,381)",--,"166 (14,656)","174 (13,411)",--,"70 (8,788)","103 (7,593)",--,"134 (9,524)",--,--,"112 (6,184)","89 (4,550)",--,--,--,"103 (2,213)",--,"65 (4,875)",--,--,--,--,--,--
2019/12/19,"100 (7,315,375)","131 (2,240,746)","43 (1,236,054)","166 (558,094)","67 (469,161)","83 (362,877)","120 (319,082)","69 (233,855)","141 (207,067)",--,"54 (125,739)","103 (128,308)",--,"106 (63,820)","88 (66,941)","92 (73,166)","151 (42,521)",--,--,"71 (33,558)","94 (39,289)",--,--,"70 (21,482)",--,"177 (14,543)","200 (13,078)",--,"56 (10,887)","71 (9,466)",--,"127 (10,032)",--,--,"94 (7,240)","79 (4,914)",--,--,--,"94 (2,423)",--,"59 (5,347)",--,--,--,--,--,--
2019/12/26,"44 (13,775,457)","69 (3,342,151)","23 (2,439,641)","57 (1,401,862)","28 (869,459)","27 (760,729)","25 (904,074)","31 (357,665)","74 (354,756)","145 (389,190)","29 (214,775)","73 (202,288)",--,"45 (154,663)","25 (175,825)","25 (195,225)","62 (89,146)","173 (101,381)",--,"21 (93,409)","37 (56,743)","70 (62,898)","117 (60,454)","45 (30,625)",--,"104 (22,121)","90 (19,199)",--,"34 (18,730)","30 (17,778)","108 (29,204)","101 (13,243)","93 (8,760)","198 (43,129)","46 (11,711)","32 (11,105)","106 (18,521)",--,"70 (7,608)","55 (3,811)",--,"43 (8,076)",--,--,--,--,--,--
2020/11/12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"179 (5,248)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2020/11/19,--,"158 (1,616,023)","135 (403,882)",--,"72 (358,063)",--,--,--,--,--,"118 (48,548)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"146 (6,482)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2020/11/26,"143 (5,935,565)","71 (2,493,896)","54 (746,291)",--,"41 (555,469)","109 (235,477)",--,--,--,--,"57 (90,141)","127 (89,736)",--,--,"173 (44,578)",--,"114 (43,756)",--,--,"170 (20,781)",--,--,--,"146 (13,525)",--,"185 (19,628)","160 (16,910)",--,"137 (7,044)","156 (6,264)",--,"96 (8,953)",--,--,"158 (5,060)","115 (3,795)",--,--,--,"100 (2,652)",--,--,--,--,--,--,--,--
2020/12/03,"64 (10,922,319)","29 (4,004,693)","16 (1,647,096)","68 (884,249)","22 (763,337)","67 (351,831)","114 (298,334)","58 (238,807)","75 (289,762)",--,"25 (173,330)","61 (203,755)",--,"76 (81,020)","33 (117,342)","110 (58,804)","35 (93,907)","93 (138,079)",--,"56 (44,224)","63 (62,909)","116 (47,390)","154 (49,195)","44 (29,112)",--,"144 (24,981)","41 (31,013)",--,"24 (19,144)","23 (16,270)",--,"62 (14,034)","122 (11,677)",--,"36 (12,264)","33 (8,081)",--,--,"89 (7,924)","49 (3,950)",--,--,--,--,--,--,--,--
2020/12/10,"37 (13,405,460)","26 (4,460,671)","12 (2,022,014)","59 (1,000,966)","15 (876,951)","38 (595,091)","79 (383,731)","27 (405,626)","84 (263,133)","97 (388,236)","17 (223,923)","60 (196,502)",--,"41 (131,617)","22 (149,772)","68 (84,428)","32 (101,195)","89 (142,394)",--,"34 (58,857)","60 (65,686)","108 (48,274)","88 (65,547)","24 (35,307)",--,"134 (27,153)","25 (37,791)",--,"17 (21,169)","21 (17,293)","113 (29,047)","57 (15,913)","83 (14,284)",--,"30 (13,576)","20 (10,732)",--,--,"69 (8,931)","39 (4,686)",--,--,--,--,--,--,--,--
2020/12/17,"44 (13,597,823)","45 (4,650,493)","13 (1,992,318)","63 (926,650)","22 (873,817)","26 (676,301)","69 (439,162)","17 (425,137)","74 (270,926)","138 (299,775)","17 (224,396)","63 (182,295)",--,"33 (144,629)","28 (133,673)","59 (99,037)","44 (86,631)","86 (141,853)",--,"18 (74,808)","47 (70,661)","114 (46,495)","71 (76,372)","17 (37,960)","139 (55,624)","140 (25,858)","31 (34,831)",--,"15 (22,250)","16 (20,488)","92 (32,666)","52 (17,492)","70 (16,699)","183 (49,751)","39 (14,753)","23 (9,978)",--,--,"81 (8,281)","34 (5,165)",--,--,--,--,--,--,--,--
2020/12/24,"16 (23,394,329)","14 (6,690,865)","12 (3,202,104)","25 (1,990,469)","9 (1,421,026)","12 (1,047,195)","9 (1,152,683)","15 (712,507)","49 (525,152)","67 (515,190)","11 (371,876)","43 (318,604)","82 (639,478)","10 (334,921)","13 (288,344)","10 (268,740)","23 (194,339)","65 (221,709)","105 (448,038)","12 (181,596)","18 (124,413)","27 (124,070)","25 (146,355)","13 (64,879)","62 (124,159)","81 (39,612)","14 (54,329)","63 (424,405)","11 (33,430)","12 (34,565)","33 (63,814)","40 (30,216)","18 (33,793)","62 (88,821)","23 (23,532)","11 (21,387)","47 (40,017)",--,"30 (15,154)","18 (8,369)",--,--,--,"200 (45,877)",--,"131 (16,814)","158 (34,789)",--
2020/12/31,"51 (10,508,459)","46 (2,862,443)","11 (1,873,283)","116 (547,025)","17 (730,661)","16 (773,865)","54 (476,808)","116 (161,793)",--,"140 (284,769)","20 (180,146)",--,--,"31 (147,013)","41 (106,959)","156 (58,217)","141 (37,095)",--,"174 (280,580)","64 (36,625)",--,"137 (39,048)","59 (77,049)","183 (10,388)",--,"101 (32,743)","119 (19,613)",--,"37 (13,382)","39 (11,821)","55 (42,961)","146 (6,116)","58 (16,819)","170 (46,639)","81 (7,503)","28 (8,560)","82 (27,932)",--,"126 (6,714)","30 (6,386)","127 (94,837)",--,--,--,--,"70 (24,039)",--,--
2021/11/25,--,"156 (1,728,264)","197 (390,132)",--,"104 (322,332)",--,--,--,--,--,"107 (57,835)","190 (60,628)",--,--,--,--,"169 (38,055)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,"141 (6,583)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2021/12/02,"75 (8,714,081)","29 (3,574,051)","44 (1,013,374)","78 (800,057)","33 (609,026)","102 (275,390)","165 (246,600)","194 (178,149)","124 (198,341)",--,"41 (119,341)","83 (134,723)",--,"166 (61,642)","44 (101,372)","155 (50,293)","41 (104,320)","139 (96,909)",--,"112 (31,361)","127 (44,691)",--,--,"67 (23,707)",--,--,--,--,"102 (10,629)","64 (10,983)",--,"82 (11,686)",--,--,"54 (9,790)","39 (7,448)",--,--,--,"173 (3,240)",--,--,--,--,--,--,--,--
2021/12/09,"49 (11,877,513)","24 (4,305,171)","27 (1,588,050)","60 (932,087)","22 (788,128)","42 (547,634)","68 (374,890)","63 (400,500)","119 (206,731)","185 (290,893)","22 (183,811)","77 (142,444)",--,"83 (109,047)","43 (124,207)","60 (79,716)","40 (110,110)","127 (108,143)",--,"70 (47,571)","97 (54,263)","156 (43,631)","175 (45,588)","43 (32,970)",--,"182 (31,316)","104 (25,712)",--,"42 (16,649)","32 (13,916)",--,"68 (14,082)","121 (12,235)",--,"37 (12,301)","30 (9,975)",--,--,"128 (7,456)","68 (5,289)",--,--,--,--,--,--,--,--
2021/12/16,"32 (13,465,849)","23 (4,901,249)","21 (1,781,849)","54 (1,003,853)","17 (836,184)","29 (691,214)","49 (470,180)","43 (466,180)","103 (218,256)",--,"18 (208,901)","69 (141,067)",--,"39 (144,605)","32 (137,786)","45 (101,754)","43 (102,689)","113 (117,299)",--,"63 (55,821)","92 (59,066)","169 (41,842)","101 (57,661)","68 (35,819)","160 (44,928)","159 (34,184)","95 (28,018)",--,"42 (17,502)","37 (13,610)","188 (24,996)","51 (16,404)","80 (15,130)",--,"44 (11,360)","27 (11,412)",--,--,"110 (7,970)","65 (5,533)",--,--,--,--,"181 (10,717)",--,--,--
2021/12/23,"22 (18,315,558)","13 (6,194,840)","18 (2,408,200)","42 (1,475,991)","11 (1,161,110)","25 (850,493)","20 (785,461)","28 (702,210)","73 (343,533)","163 (335,762)","16 (301,854)","66 (183,233)","127 (443,866)","30 (198,710)","24 (188,137)","26 (164,967)","28 (160,536)","88 (160,156)",--,"29 (109,087)","61 (90,672)","78 (65,788)","60 (77,836)","57 (55,155)","74 (89,543)","132 (43,163)","54 (38,979)",--,"25 (26,430)","21 (21,414)","117 (37,027)","42 (22,231)","50 (19,473)","176 (52,152)","28 (16,905)","22 (14,423)",--,--,"64 (10,435)","34 (7,734)",--,--,--,--,"98 (15,021)",--,--,--
