Date,Global,US,GB,DE,CA,NL,SE,AU,IT,PL,NO,FR,ES,DK,PH,MX,IE,JP,BE,AT,CH,FI,NZ,CZ,BR,HU,SG,PT,MY,GR,TW,SK,HK,CL,TH,RO,ID,VN,IS,CR,PE,LT,ZA,GT,RU,LV,KR,AE,EC,UA,EE,LU,AR,BG,PA,DO,HN,CY,SV,CO,MT,TR,KZ,BY,BO,VE,NI,IN,SA,UY,PY,EG,AD
2014/12/28,"24 (6,533,791)","10 (1,805,576)","3 (1,214,567)","53 (264,783)","31 (35,264)","20 (412,259)","8 (803,149)","6 (213,281)","25 (115,321)","13 (58,101)","47 (144,972)","95 (44,184)","55 (186,325)","54 (96,877)","57 (61,953)","187 (68,476)","27 (31,071)",--,"24 (64,760)","28 (17,046)","21 (28,282)","52 (64,416)","10 (60,737)","30 (9,839)",--,"7 (13,482)","47 (22,674)","53 (17,341)","50 (12,764)","18 (7,610)","80 (13,472)","18 (4,065)","22 (14,042)",--,--,--,--,--,"35 (3,463)","126 (4,671)","95 (9,937)","37 (5,067)",--,"80 (2,992)",--,"27 (6,530)",--,--,"111 (5,335)",--,"41 (4,719)","10 (1,650)",--,"38 (1,865)","107 (1,789)","133 (1,981)","97 (1,717)","10 (1,051)","111 (1,498)",--,"21 (2,463)",--,--,--,"111 (1,003)",--,--,--,--,"182 (1,453)",--,--,--
2015/01/04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"109 (2,453)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015/12/17,"13 (9,147,960)","24 (2,407,220)","5 (1,541,380)","20 (672,936)","27 (205,831)","8 (688,084)","15 (842,130)","39 (212,587)","19 (237,716)","5 (114,454)","14 (451,214)","86 (124,107)","56 (200,766)","19 (295,868)","44 (171,679)",--,"5 (102,275)",--,"13 (77,954)","12 (47,771)","27 (42,997)","40 (137,008)","35 (68,333)","7 (25,430)",--,"17 (18,870)","37 (47,984)","30 (36,728)","44 (33,201)","10 (12,762)","45 (36,122)","6 (7,774)","30 (25,009)",--,--,--,--,--,"7 (12,360)","181 (7,533)","199 (11,710)","16 (8,798)",--,"139 (3,813)",--,"19 (8,420)",--,--,"197 (6,210)",--,"18 (6,805)","15 (3,021)",--,"25 (3,522)","110 (3,541)","144 (4,196)","117 (3,201)","11 (1,659)","184 (2,065)",--,"13 (4,782)","176 (14,582)",--,--,"184 (1,707)",--,--,--,--,--,"178 (2,125)",--,--
2015/12/24,"6 (13,518,040)","17 (2,966,534)","4 (2,094,074)","4 (1,453,788)","11 (279,526)","3 (824,475)","4 (1,442,611)","15 (376,580)","6 (363,407)","1 (195,496)","10 (570,644)","28 (254,131)","51 (343,711)","5 (471,814)","26 (260,767)","156 (158,329)","4 (134,292)",--,"5 (121,318)","1 (93,927)","6 (81,333)","13 (251,532)","9 (131,729)","2 (38,796)","174 (99,705)","1 (47,831)","22 (63,535)","7 (64,984)","21 (49,642)","7 (14,451)","14 (57,396)","1 (15,061)","8 (35,947)",--,--,--,--,--,"5 (16,540)","144 (8,697)","120 (15,842)","9 (12,644)",--,"98 (4,866)",--,"5 (13,205)",--,--,"129 (8,558)",--,"8 (10,579)","5 (4,889)",--,"12 (4,850)","77 (4,447)","105 (5,180)","94 (3,870)","7 (2,173)","140 (2,616)","184 (17,489)","6 (6,638)","139 (16,767)",--,--,"109 (2,548)",--,"95 (1,445)",--,--,"199 (3,211)","129 (2,655)",--,--
2015/12/31,"44 (4,992,764)","54 (1,246,375)","23 (833,424)","53 (390,365)","44 (134,770)","11 (414,214)","51 (267,182)","51 (151,088)","31 (170,082)","49 (46,027)","44 (162,706)","108 (108,435)","55 (225,638)","104 (75,279)","67 (107,072)",--,"35 (48,775)",--,"28 (59,330)","48 (22,097)","47 (30,644)","75 (56,514)","67 (38,128)","65 (8,177)",--,"50 (10,265)","55 (31,488)","51 (20,226)","63 (21,400)","19 (9,575)","54 (32,583)","61 (3,038)","45 (19,197)",--,--,--,--,--,"67 (3,321)",--,--,"54 (4,720)",--,--,--,"45 (4,594)",--,--,--,--,"79 (2,987)","42 (1,746)",--,"66 (1,832)","165 (2,627)","182 (3,423)","200 (2,042)","22 (1,220)",--,--,"52 (2,666)","192 (14,355)",--,--,--,--,--,--,--,--,--,--,--
2016/11/03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"102 (4,579)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2016/11/10,--,--,--,--,--,--,"176 (106,197)",--,--,--,"82 (105,587)",--,--,"78 (87,280)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"83 (5,152)",--,--,--,--,--,--,"117 (2,574)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2016/11/17,--,--,"144 (242,600)",--,--,--,"120 (144,265)",--,--,"91 (35,083)","69 (127,537)",--,--,"70 (107,485)",--,--,"147 (18,347)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"52 (8,580)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2016/11/24,"120 (3,300,685)","116 (1,291,466)","73 (403,467)","170 (182,757)","107 (146,554)","133 (132,696)","65 (246,922)",--,--,"126 (30,385)","56 (163,107)",--,--,"49 (163,420)",--,--,"64 (34,774)",--,--,"108 (13,181)",--,"166 (46,203)",--,--,--,--,--,--,--,"109 (3,538)",--,--,--,--,--,--,--,--,"25 (12,851)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"112 (1,527)",--,--,--,--,--,--,--,--,--,--,--,--
2016/12/01,"57 (6,776,786)","55 (2,149,462)","28 (1,028,010)","56 (536,830)","57 (246,238)","81 (211,847)","15 (686,447)","115 (140,963)","142 (66,225)","59 (56,607)","15 (381,340)",--,--,"15 (353,818)","134 (131,353)",--,"33 (81,246)",--,"121 (22,263)","28 (45,435)","121 (22,004)","75 (83,543)","99 (42,726)","69 (13,450)",--,"88 (9,496)","131 (31,063)","120 (18,335)","196 (19,090)","50 (7,775)",--,"80 (4,247)","165 (14,464)",--,--,--,--,--,"15 (18,336)",--,--,"93 (3,965)",--,--,--,"79 (4,497)",--,--,--,--,"106 (3,491)","70 (2,257)",--,"84 (2,296)",--,--,--,"73 (1,037)",--,--,"57 (3,350)",--,--,--,--,--,--,--,--,--,--,--,--
