Date,Global,US,GB,DE,CA,NL,SE,AU,IT,PL,NO,FR,ES,DK,PH,MX,IE,JP,BE,AT,CH,FI,NZ,CZ,BR,HU,SG,PT,MY,GR,TW,SK,HK,CL,TH,RO,ID,VN,IS,CR,PE,LT,ZA,GT,RU,LV,KR,AE,EC,UA,EE,LU,AR,BG,PA,DO,HN,CY,SV,CO,MT,TR,KZ,BY,BO,VE,NI,IN,SA,UY,PY,EG,AD
2017/12/07,"10 (19,808,428)","9 (5,984,865)","1 (2,838,435)","10 (1,872,662)","10 (714,026)","12 (905,282)","2 (1,265,924)","25 (682,281)","40 (434,096)","2 (306,160)","1 (784,773)","93 (335,458)","63 (324,523)","3 (597,302)","88 (239,590)",--,"5 (223,259)","16 (85,128)","9 (162,324)","3 (131,617)","16 (113,973)","24 (212,533)","26 (151,996)","3 (77,285)",--,"5 (57,689)","54 (81,438)","31 (69,363)","74 (57,210)","7 (31,839)","74 (42,029)","2 (28,920)","31 (43,726)",--,"68 (17,594)",--,"123 (93,065)",--,"10 (28,802)","138 (19,953)",--,"4 (21,326)",--,"170 (8,786)",--,"2 (20,330)",--,--,--,--,"6 (16,174)","4 (11,935)",--,"10 (9,540)","110 (9,761)","113 (9,571)","146 (5,237)","10 (4,301)","191 (5,339)",--,"5 (12,836)",--,--,--,--,--,--,--,--,--,--,--,--
2017/12/14,"5 (21,535,828)","5 (6,487,178)","1 (2,903,115)","5 (1,890,491)","4 (841,666)","2 (1,428,520)","3 (1,155,077)","20 (748,112)","10 (641,743)","2 (334,791)","1 (721,251)","76 (352,123)","52 (361,701)","1 (499,526)","74 (305,180)","178 (293,224)","1 (243,781)","10 (96,798)","1 (223,528)","4 (125,511)","10 (132,605)","25 (204,275)","18 (175,075)","1 (83,059)",--,"4 (62,446)","34 (115,055)","23 (81,903)","56 (75,345)","6 (31,405)","55 (51,068)","2 (30,247)","14 (56,380)",--,"68 (18,152)",--,"98 (110,025)",--,"19 (29,229)","129 (20,209)",--,"2 (21,996)",--,"146 (9,409)",--,"2 (22,101)",--,--,"191 (13,933)",--,"5 (16,130)","2 (12,811)",--,"9 (10,205)","95 (10,235)","116 (9,384)","118 (6,602)","6 (4,855)","163 (5,782)",--,"6 (12,628)",--,--,--,--,--,"189 (2,371)",--,--,--,--,--,--
2017/12/21,"4 (23,318,198)","8 (6,516,590)","2 (3,051,882)","4 (2,177,515)","4 (903,034)","4 (1,293,132)","2 (1,257,788)","13 (930,344)","17 (627,618)","1 (427,745)","2 (768,448)","57 (392,982)","47 (521,667)","3 (491,693)","16 (686,010)","174 (310,705)","3 (263,729)","5 (108,760)","1 (211,027)","3 (147,353)","4 (154,618)","11 (277,499)","13 (219,761)","1 (100,458)",--,"3 (78,689)","28 (125,561)","20 (94,522)","39 (92,171)","5 (32,359)","34 (67,882)","2 (36,515)","7 (66,622)",--,"56 (21,140)",--,"81 (124,431)",--,"13 (33,994)","123 (20,529)","184 (44,844)","2 (24,347)",--,"150 (9,888)",--,"2 (25,131)",--,--,"132 (17,524)",--,"4 (18,430)","3 (12,835)",--,"8 (11,518)","89 (11,250)","113 (9,841)","130 (6,278)","5 (5,018)","157 (6,099)","186 (31,236)","4 (13,967)","191 (56,834)",--,--,--,--,"157 (2,672)",--,--,--,--,--,--
2017/12/28,"2 (27,628,914)","2 (6,960,656)","2 (3,745,969)","2 (3,006,014)","2 (1,138,157)","3 (1,449,188)","3 (1,300,554)","1 (1,451,329)","5 (797,993)","1 (416,111)","4 (594,864)","11 (702,534)","21 (806,183)","3 (482,009)","14 (675,172)","138 (362,966)","3 (288,849)","3 (127,962)","1 (286,786)","1 (180,317)","1 (233,307)","7 (313,149)","3 (306,837)","1 (93,294)",--,"1 (106,390)","12 (171,522)","7 (108,737)","23 (119,939)","4 (32,779)","13 (98,902)","4 (33,673)","1 (82,670)","172 (98,533)","30 (29,028)",--,"63 (137,739)",--,"13 (28,396)","84 (26,169)","105 (66,623)","1 (25,402)",--,"90 (12,493)",--,"2 (27,686)",--,--,"91 (22,776)",--,"4 (18,949)","1 (16,967)",--,"5 (11,234)","71 (13,640)","88 (12,086)","85 (8,205)","3 (6,105)","138 (6,386)","165 (33,128)","3 (14,478)","174 (60,665)",--,--,"122 (6,759)",--,"86 (3,739)",--,--,--,--,--,--
2018/01/04,--,--,--,--,--,--,--,--,--,--,"167 (72,667)",--,"102 (235,791)",--,--,--,--,--,"64 (48,797)",--,--,--,--,--,--,--,--,"104 (25,881)",--,"64 (8,327)","145 (27,281)",--,--,--,--,--,--,--,--,--,--,"163 (2,940)",--,--,--,"173 (3,421)",--,--,--,--,--,--,--,--,--,--,--,"70 (1,294)",--,--,"197 (1,576)",--,--,--,--,--,--,--,--,--,--,--,--
2018/11/01,--,--,--,--,--,--,--,--,--,--,"153 (76,943)",--,--,"125 (73,918)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2018/11/08,--,"136 (1,867,808)","119 (423,266)",--,"179 (201,453)","134 (222,114)","194 (118,646)",--,--,--,"105 (104,105)",--,--,"77 (103,967)",--,--,"114 (44,737)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"85 (10,654)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2018/11/15,"116 (5,967,226)","65 (2,908,829)","79 (569,777)",--,"72 (340,726)","87 (287,179)","107 (175,436)",--,--,--,"74 (130,077)",--,--,"44 (158,204)",--,--,"77 (59,020)",--,"168 (35,221)","166 (25,875)",--,--,--,--,--,--,--,--,--,"135 (7,106)",--,--,--,--,--,--,--,--,"65 (12,342)",--,--,"195 (3,626)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"154 (1,165)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2018/11/22,"50 (9,371,356)","36 (3,768,913)","40 (961,597)","70 (645,842)","26 (547,589)","42 (495,592)","42 (348,030)","147 (228,448)",--,"57 (135,457)","39 (254,830)",--,--,"22 (244,599)","124 (196,568)",--,"42 (97,542)","63 (74,524)","56 (66,687)","37 (67,540)","102 (46,908)","101 (65,957)","194 (41,453)","50 (33,471)",--,"68 (19,972)","156 (45,868)","177 (23,854)",--,"24 (18,148)",--,"67 (10,503)",--,--,--,"37 (17,034)",--,"199 (5,006)","29 (17,947)",--,--,"60 (7,039)",--,--,--,"98 (5,701)",--,--,--,--,"86 (5,406)","66 (4,077)",--,"85 (4,708)",--,--,--,"44 (2,306)",--,--,"73 (5,163)",--,--,--,--,--,--,--,--,--,--,--,--
2018/11/29,"16 (14,533,064)","13 (5,434,887)","15 (1,468,238)","25 (1,332,982)","19 (618,325)","31 (719,221)","6 (846,157)","59 (375,760)","126 (314,347)","24 (191,709)","14 (441,957)",--,--,"3 (397,361)","111 (215,153)",--,"20 (157,064)","51 (89,488)","29 (106,335)","13 (108,938)","47 (80,575)","42 (126,417)","62 (76,550)","12 (52,758)",--,"27 (34,975)","91 (60,727)","81 (39,297)","179 (38,863)","15 (24,021)","196 (22,666)","19 (18,379)","73 (27,145)",--,--,"18 (21,328)",--,"117 (7,359)","13 (26,765)","180 (18,066)",--,"31 (11,521)",--,"181 (11,612)",--,"18 (13,027)",--,--,--,--,"42 (9,058)","27 (6,521)",--,"32 (7,464)","193 (7,322)",--,--,"21 (3,304)",--,--,"44 (7,070)",--,--,--,--,--,--,--,--,--,--,--,--
2018/12/06,"3 (24,036,955)","11 (6,890,163)","2 (3,275,790)","5 (2,544,514)","10 (952,731)","13 (1,019,501)","1 (1,315,170)","12 (947,514)","38 (747,853)","3 (408,380)","3 (804,217)","76 (413,902)","79 (375,085)","2 (662,498)","61 (326,056)",--,"4 (288,841)","4 (211,915)","6 (187,736)","2 (197,695)","6 (179,811)","7 (244,261)","11 (199,615)","3 (92,182)",--,"2 (65,570)","38 (105,332)","27 (85,665)","65 (74,310)","4 (35,861)","97 (39,675)","1 (36,400)","14 (49,870)",--,"85 (34,791)","9 (27,291)","164 (131,148)","37 (13,853)","4 (39,263)","84 (26,329)",--,"3 (21,888)",--,"135 (14,419)",--,"2 (20,926)",--,--,--,--,"6 (17,968)","3 (11,780)",--,"12 (10,700)","97 (12,262)","133 (9,737)","117 (7,582)","6 (5,109)","161 (7,316)",--,"8 (12,411)",--,--,--,--,--,--,--,--,--,--,--,--
2018/12/13,"3 (23,468,009)","15 (6,194,555)","2 (3,351,613)","5 (2,337,360)","7 (946,134)","4 (1,345,211)","1 (1,155,299)","12 (912,024)","21 (943,496)","2 (463,743)","2 (798,455)","94 (409,886)","70 (420,997)","2 (492,788)","59 (326,222)",--,"3 (313,946)","2 (202,263)","3 (233,646)","2 (181,686)","3 (176,905)","7 (197,137)","10 (200,500)","1 (90,420)",--,"1 (65,719)","29 (104,863)","21 (90,924)","57 (75,755)","5 (33,109)","95 (40,172)","1 (38,492)","7 (63,525)",--,"111 (28,004)","9 (29,154)","159 (131,498)","28 (15,169)","9 (34,567)","110 (23,217)",--,"3 (22,722)",--,"122 (15,530)",--,"2 (20,969)",--,--,--,--,"9 (16,290)","2 (12,389)",--,"10 (10,516)","100 (12,884)","109 (11,025)","98 (8,289)","4 (5,342)","150 (7,637)",--,"4 (14,036)",--,--,--,--,--,--,--,--,--,--,--,--
2018/12/20,"3 (26,819,265)","10 (6,774,332)","1 (3,777,823)","3 (2,938,268)","6 (1,081,598)","4 (1,461,056)","2 (1,284,211)","5 (1,170,546)","19 (966,272)","1 (617,705)","2 (821,706)","53 (479,585)","55 (551,506)","2 (496,838)","45 (416,816)",--,"3 (351,193)","2 (235,980)","1 (270,910)","1 (221,925)","2 (226,316)","3 (273,301)","6 (250,529)","1 (119,195)",--,"1 (100,093)","21 (125,881)","18 (105,906)","40 (92,694)","6 (34,583)","67 (50,170)","2 (50,560)","5 (72,056)",--,"94 (32,238)","2 (36,715)","133 (149,128)","21 (16,839)","8 (39,278)","109 (23,934)",--,"1 (25,818)",--,"119 (16,599)",--,"1 (25,939)",--,--,"160 (22,822)",--,"4 (19,911)","1 (15,240)",--,"7 (12,755)","100 (12,932)","121 (11,105)","97 (8,482)","4 (6,034)","152 (7,672)",--,"5 (15,433)",--,--,--,--,--,"172 (2,602)",--,--,--,--,--,--
2018/12/27,"1 (39,567,108)","4 (9,011,581)","1 (5,371,453)","2 (4,604,344)","1 (1,670,393)","1 (1,892,450)","2 (1,610,585)","1 (2,176,767)","5 (1,599,867)","1 (744,499)","2 (798,389)","6 (1,120,501)","17 (1,083,018)","2 (617,367)","18 (876,938)","91 (567,453)","1 (457,543)","1 (339,333)","1 (438,859)","2 (310,300)","2 (405,242)","2 (374,179)","1 (435,523)","1 (148,288)","166 (536,353)","1 (161,931)","6 (214,322)","1 (166,197)","8 (163,795)","1 (48,345)","23 (88,121)","2 (59,696)","1 (108,791)","154 (171,512)","45 (61,792)","2 (45,042)","76 (194,265)","10 (25,530)","8 (40,269)","44 (39,931)","78 (96,991)","1 (36,201)",--,"60 (25,858)",--,"1 (38,452)",--,--,"65 (42,452)",--,"2 (26,674)","1 (24,604)","165 (161,046)","1 (18,763)","75 (19,475)","75 (17,022)","74 (11,910)","1 (8,826)","95 (10,634)","171 (45,711)","1 (21,766)",--,--,--,"110 (10,598)",--,"63 (4,949)",--,--,--,--,--,--
2019/01/03,--,--,--,--,--,--,--,--,--,--,"101 (99,200)",--,"96 (329,508)",--,"133 (175,465)",--,"188 (33,574)",--,"42 (85,955)",--,--,--,--,"176 (15,471)",--,"190 (11,104)",--,--,--,"26 (16,935)",--,"193 (5,818)","106 (21,714)",--,--,--,--,--,--,--,--,"111 (4,727)",--,--,--,"82 (5,950)",--,--,--,--,"169 (3,512)","138 (2,486)",--,"154 (3,217)",--,--,--,"44 (2,340)",--,--,"151 (2,727)",--,--,--,--,--,--,--,--,--,--,--,--
2019/10/31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"184 (5,576)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019/11/07,"157 (5,005,576)","113 (2,027,825)","82 (514,468)",--,"108 (305,399)","123 (271,698)","154 (143,926)",--,--,--,"81 (119,947)",--,--,"70 (112,566)",--,--,"80 (60,449)",--,"195 (36,140)","183 (28,558)",--,"153 (54,581)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"74 (9,783)",--,--,--,--,--,--,--,--,--,--,--,"117 (4,907)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019/11/14,"82 (6,570,623)","68 (2,428,042)","66 (652,663)","187 (434,301)","38 (490,181)","80 (324,219)","82 (237,286)",--,--,"162 (114,221)","31 (234,327)",--,--,"38 (168,014)",--,--,"65 (73,970)",--,"98 (54,851)","76 (52,457)","185 (38,387)","94 (70,896)",--,"186 (21,970)",--,"143 (16,635)",--,--,--,--,--,--,--,--,--,--,--,--,"43 (13,352)",--,--,"186 (4,178)",--,--,--,--,--,--,--,--,"109 (5,195)","173 (2,971)",--,--,--,--,--,--,--,--,"133 (2,422)",--,--,--,--,--,--,--,--,--,--,--,--
2019/11/21,"56 (8,344,450)","62 (2,647,330)","50 (906,557)","80 (747,676)","22 (595,223)","52 (432,110)","45 (350,125)","163 (223,206)",--,"102 (146,420)","27 (265,002)",--,--,"24 (229,948)",--,--,"46 (105,959)",--,"72 (67,743)","40 (74,897)","75 (60,223)","68 (82,185)",--,"142 (26,912)",--,"76 (23,193)",--,"197 (28,057)",--,"115 (15,317)",--,"142 (10,087)",--,--,--,"95 (15,425)",--,--,"18 (19,928)",--,--,"102 (5,913)",--,--,--,"148 (5,172)",--,--,--,--,"84 (6,382)","65 (4,349)",--,"184 (4,014)",--,--,--,"112 (1,859)",--,--,"75 (3,642)",--,--,--,--,--,--,--,--,--,--,--,--
2019/11/28,"25 (12,612,693)","38 (3,728,126)","22 (1,371,102)","33 (1,353,100)","15 (711,546)","28 (645,553)","15 (662,497)","73 (343,496)",--,"63 (210,302)","17 (376,882)",--,--,"10 (358,271)","157 (208,845)",--,"22 (156,196)","113 (119,746)","49 (102,429)","14 (117,787)","31 (96,919)","39 (128,893)","108 (60,512)","44 (45,707)",--,"32 (41,529)","116 (62,694)","96 (44,222)",--,"54 (25,876)",--,"49 (17,622)",--,--,--,"39 (24,613)",--,"182 (16,192)","12 (25,662)","184 (21,400)",--,"45 (9,819)",--,--,--,"47 (9,125)",--,"117 (6,063)",--,--,"41 (9,041)","25 (6,765)",--,"51 (7,357)",--,--,--,"37 (3,417)",--,--,"39 (5,379)",--,--,--,--,--,--,--,--,--,--,--,--
2019/12/05,"9 (22,394,175)","9 (5,917,003)","3 (3,017,145)","9 (2,568,254)","8 (1,052,679)","14 (837,240)","2 (1,232,869)","21 (816,478)","82 (538,482)","13 (452,244)","1 (758,643)","114 (430,799)","113 (345,610)","2 (612,267)","106 (264,072)",--,"7 (272,196)","55 (185,909)","22 (164,296)","5 (218,342)","7 (186,141)","13 (215,702)","20 (161,979)","3 (99,776)",--,"8 (96,205)","49 (100,704)","46 (84,832)","92 (70,898)","24 (41,710)","165 (41,436)","7 (43,910)","28 (46,226)",--,"168 (46,516)","14 (37,981)",--,"68 (28,628)","8 (41,235)","127 (26,805)",--,"12 (21,624)","145 (12,462)",--,--,"9 (21,319)",--,"50 (9,942)",--,--,"11 (20,005)","8 (13,463)",--,"13 (13,292)","121 (14,904)","170 (11,749)","134 (9,754)","15 (5,163)",--,--,"18 (9,065)",--,--,--,--,--,--,--,--,--,--,--,--
2019/12/12,"6 (24,024,043)","13 (6,118,317)","2 (3,093,504)","11 (2,567,701)","6 (1,131,033)","4 (1,265,267)","2 (1,029,357)","15 (892,460)","40 (858,657)","2 (646,919)","2 (651,280)","86 (485,815)","63 (481,686)","2 (474,567)","99 (298,934)",--,"4 (309,812)","39 (271,690)","10 (234,928)","6 (219,858)","7 (202,655)","18 (170,334)","14 (181,741)","2 (109,658)",--,"4 (101,972)","41 (113,024)","43 (88,494)","78 (85,637)","25 (43,634)","139 (52,270)","3 (49,131)","14 (60,573)",--,"130 (55,543)","15 (39,630)",--,"51 (37,809)","6 (40,327)","143 (25,632)",--,"9 (22,359)","115 (14,402)",--,--,"9 (19,565)",--,"36 (12,332)",--,--,"15 (17,187)","4 (14,449)",--,"25 (13,860)","115 (15,876)","179 (12,039)","137 (10,175)","13 (6,074)",--,--,"10 (12,130)",--,--,--,--,--,--,--,--,--,--,--,--
2019/12/19,"3 (27,155,209)","10 (6,957,673)","2 (3,379,849)","7 (2,737,675)","4 (1,280,642)","5 (1,298,232)","2 (1,133,642)","11 (1,089,729)","35 (927,680)","2 (737,133)","1 (700,118)","53 (597,600)","59 (542,689)","2 (464,439)","56 (484,708)",--,"4 (348,693)","25 (334,309)","4 (273,584)","2 (242,717)","2 (235,928)","9 (228,963)","9 (233,482)","3 (135,796)",--,"2 (110,126)","22 (148,384)","32 (106,367)","47 (114,865)","23 (43,710)","103 (63,277)","16 (53,888)","11 (74,959)",--,"94 (68,213)","20 (39,182)",--,"42 (44,126)","6 (41,580)","126 (28,110)",--,"10 (25,392)","70 (20,113)","171 (23,973)",--,"5 (23,796)",--,"32 (15,729)","185 (33,230)",--,"10 (19,405)","4 (15,758)",--,"16 (14,580)","98 (17,390)","142 (14,027)","111 (11,534)","8 (6,917)","194 (11,155)",--,"8 (13,674)",--,--,--,--,--,--,--,--,--,--,--,--
2019/12/26,"2 (45,828,931)","2 (9,806,687)","1 (5,500,927)","1 (5,353,742)","1 (2,126,468)","1 (2,078,891)","2 (1,710,731)","1 (2,327,215)","5 (1,678,982)","2 (1,039,494)","1 (863,963)","7 (1,690,683)","20 (1,128,849)","2 (644,363)","13 (1,108,245)","65 (932,341)","1 (512,677)","11 (497,071)","2 (507,224)","1 (398,073)","1 (490,134)","2 (411,041)","1 (471,901)","2 (188,630)","130 (887,018)","1 (235,090)","4 (259,320)","5 (184,470)","14 (219,659)","11 (60,482)","36 (124,991)","10 (76,442)","1 (119,398)","97 (268,608)","42 (130,670)","5 (53,129)","98 (313,588)","23 (58,490)","6 (51,008)","53 (53,211)","80 (142,940)","2 (39,888)","5 (54,329)","67 (41,856)",--,"1 (40,571)",--,"7 (27,551)","59 (66,134)",--,"2 (28,261)","1 (29,837)","152 (242,022)","2 (23,385)","51 (29,511)","85 (21,628)","53 (18,751)","2 (10,243)","96 (16,588)","118 (76,816)","2 (20,072)",--,--,--,"105 (17,800)",--,"74 (8,586)","192 (130,161)","143 (6,712)","185 (14,006)",--,"143 (5,021)",--
2020/01/02,"151 (5,241,737)",--,"189 (361,175)",--,--,"119 (197,569)",--,--,--,--,"72 (121,196)","102 (425,174)","93 (374,813)",--,"54 (484,671)",--,"119 (49,382)","192 (83,388)","45 (112,341)",--,"137 (41,439)",--,--,"190 (21,282)",--,"128 (19,013)",--,--,--,"56 (26,047)",--,"188 (8,668)","122 (25,166)",--,--,--,--,--,"175 (5,291)",--,--,"97 (6,304)",--,--,--,"66 (7,944)",--,"180 (5,310)",--,--,"132 (4,671)","107 (3,435)",--,"110 (5,208)",--,--,--,"44 (3,207)",--,--,"74 (3,433)",--,--,--,--,--,--,--,--,--,--,--,--
2020/01/09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"88 (303,515)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2020/10/22,--,--,--,--,--,"194 (168,293)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2020/10/29,--,--,--,--,--,"147 (197,774)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"150 (5,285)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2020/11/05,"186 (5,008,815)","111 (1,886,878)","94 (501,924)",--,"90 (318,659)","100 (271,345)","193 (110,726)",--,--,--,"148 (76,354)",--,--,"103 (82,690)",--,--,"59 (77,286)",--,"151 (54,162)","130 (38,180)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"40 (11,232)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2020/11/12,"95 (7,130,162)","55 (2,615,579)","45 (796,594)","142 (473,174)","50 (424,289)","65 (336,288)","90 (175,853)",--,--,"90 (177,604)","63 (124,153)",--,--,"46 (150,594)",--,--,"41 (102,538)",--,"92 (69,339)","51 (60,824)","138 (46,260)","155 (49,624)",--,"121 (37,115)",--,"104 (24,369)",--,--,--,"161 (20,575)",--,"123 (13,469)",--,--,--,"158 (16,477)",--,--,"15 (20,223)",--,--,"167 (6,069)",--,--,--,"161 (6,178)",--,"197 (7,675)",--,--,"143 (5,108)","131 (3,260)",--,--,--,--,--,"129 (2,100)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2020/11/19,"46 (10,710,928)","23 (3,647,059)","19 (1,154,461)","65 (783,737)","9 (814,701)","41 (477,074)","29 (359,919)","161 (253,959)",--,"61 (212,953)","25 (231,128)",--,--,"19 (241,716)","155 (207,682)",--,"19 (146,872)",--,"53 (90,264)","14 (105,291)","78 (66,083)","80 (73,218)",--,"58 (55,850)",--,"46 (41,350)","101 (56,111)","114 (42,538)",--,"83 (32,307)",--,"62 (20,673)",--,--,--,"65 (25,222)",--,--,"9 (25,704)","195 (21,177)",--,"64 (9,681)",--,--,--,"78 (8,648)",--,"115 (10,706)",--,--,"68 (7,793)","60 (5,160)",--,"166 (5,129)",--,--,--,"39 (4,050)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2020/11/26,"19 (17,049,383)","11 (5,176,375)","5 (1,924,923)","10 (1,808,438)","5 (1,160,079)","23 (716,897)","4 (757,835)","67 (378,305)","114 (309,876)","25 (299,760)","8 (430,639)",--,--,"2 (388,720)","99 (288,677)",--,"5 (240,105)","128 (204,196)","24 (149,405)","3 (183,832)","17 (139,521)","33 (138,213)","87 (63,456)","12 (99,833)",--,"20 (63,300)","53 (89,186)","67 (58,900)",--,"38 (47,465)",--,"18 (33,063)","128 (27,030)",--,--,"16 (39,453)",--,"184 (28,209)","3 (31,699)","148 (25,085)",--,"32 (16,030)",--,--,--,"29 (13,881)",--,"57 (15,716)",--,--,"29 (12,532)","14 (10,251)",--,"61 (9,356)",--,--,--,"16 (5,855)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2020/12/03,"4 (28,851,001)","2 (7,676,768)","1 (3,674,909)","1 (3,562,390)","1 (1,454,793)","7 (982,738)","2 (1,478,803)","16 (845,992)","35 (668,126)","3 (659,257)","1 (778,254)","56 (579,675)","113 (382,391)","1 (719,433)","72 (388,219)",--,"2 (394,801)","83 (281,220)","7 (232,360)","1 (340,458)","1 (313,236)","6 (231,559)","21 (158,275)","5 (196,299)",--,"2 (113,928)","24 (129,045)","19 (120,057)","85 (73,035)","28 (60,452)","171 (47,882)","2 (64,762)","39 (53,186)",--,"139 (66,474)","3 (62,418)",--,"80 (53,036)","2 (44,765)","121 (32,688)",--,"2 (37,427)","123 (20,331)","165 (33,749)",--,"1 (31,077)",--,"17 (27,594)",--,"78 (19,790)","2 (27,307)","1 (19,095)",--,"12 (17,200)","130 (16,278)","176 (12,990)","141 (12,687)","6 (8,313)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2020/12/10,"2 (33,463,486)","1 (8,552,448)","1 (4,210,853)","1 (3,626,130)","1 (1,632,802)","1 (1,450,763)","4 (1,309,616)","6 (1,081,886)","11 (1,169,752)","3 (961,812)","2 (740,929)","26 (785,505)","49 (794,143)","1 (627,306)","51 (455,840)","176 (643,561)","1 (457,964)","58 (369,623)","1 (335,415)","1 (331,957)","1 (363,216)","4 (238,400)","6 (216,531)","1 (191,106)",--,"1 (136,111)","12 (164,336)","15 (126,308)","45 (105,417)","36 (62,172)","104 (69,857)","2 (73,723)","14 (76,814)",--,"78 (92,915)","1 (69,152)",--,"48 (74,766)","2 (46,104)","114 (34,984)",--,"3 (36,917)","80 (29,211)","144 (36,999)","106 (97,503)","1 (31,420)",--,"11 (33,527)",--,"32 (28,847)","2 (26,036)","1 (24,349)",--,"9 (18,326)","115 (18,781)","154 (14,719)","120 (14,540)","1 (9,768)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,"28 (1,459)"
2020/12/17,"2 (32,556,355)","9 (8,470,955)","1 (4,119,574)","3 (3,273,179)","2 (1,578,557)","1 (1,516,874)","2 (1,280,069)","5 (1,153,673)","20 (848,779)","1 (938,875)","2 (715,826)","26 (772,603)","67 (596,170)","2 (552,440)","38 (590,574)","186 (635,685)","1 (452,292)","55 (436,983)","1 (366,916)","1 (277,428)","1 (313,885)","3 (255,046)","4 (242,784)","1 (201,726)",--,"1 (156,344)","8 (180,223)","17 (118,787)","35 (118,882)","31 (55,618)","88 (77,924)","2 (76,480)","10 (80,973)",--,"97 (83,553)","2 (63,118)",--,"53 (67,090)","2 (46,839)","121 (32,556)",--,"3 (37,127)","52 (36,165)","164 (34,948)","64 (109,958)","1 (35,684)",--,"8 (37,589)","195 (32,867)","29 (30,550)","14 (26,824)","1 (22,031)",--,"12 (16,622)","125 (16,377)","152 (14,616)","135 (13,705)","1 (10,215)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2020/12/24,"1 (53,401,383)","2 (11,853,295)","2 (6,202,617)","2 (5,985,956)","1 (2,451,657)","1 (1,929,800)","2 (2,141,972)","1 (2,522,509)","4 (1,570,416)","2 (1,487,499)","1 (982,580)","4 (1,827,397)","21 (1,335,346)","2 (881,860)","3 (1,441,573)","103 (930,799)","1 (715,251)","39 (725,732)","1 (687,227)","2 (545,540)","1 (599,874)","3 (501,431)","1 (535,688)","1 (358,538)","148 (846,235)","1 (369,829)","1 (306,176)","1 (278,087)","13 (192,452)","16 (81,243)","51 (123,941)","2 (126,481)","1 (139,433)","148 (216,861)","60 (118,249)","1 (93,211)","138 (257,739)","34 (93,900)","2 (70,623)","67 (46,315)","125 (112,559)","3 (51,785)","4 (79,117)","107 (51,400)","40 (149,431)","2 (58,765)",--,"1 (70,090)","94 (55,811)","14 (40,572)","5 (39,725)","1 (42,273)",--,"1 (28,594)","78 (23,973)","105 (21,949)","97 (18,530)","2 (15,483)","161 (17,702)","176 (79,374)",--,--,--,--,"188 (15,639)",--,"132 (7,636)",--,"118 (15,398)",--,--,"190 (8,225)","12 (2,418)"
