Date,Global,GB,FR,TR,DE,NL,BE,PL,CH,IE,AT,IL,AR,CY,ES,CL,LU,BR,BG,LT,IS,MA,EC,IT,UY
Total,54297477,12617776,11517373,10144187,3009971,2975154,2170574,1911928,1421031,1074087,494393,483542,471932,259029,79775,71420,62082,59792,52923,45520,29721,29477,7423,4807,2401
Peak,"199 (8,921,591)","67 (848,202)","45 (960,804)","94 (547,016)","132 (647,029)","95 (294,186)","58 (152,141)","101 (384,272)","61 (104,175)","114 (85,546)","106 (69,659)","123 (52,284)","159 (58,046)","100 (9,003)","200 (79,775)","193 (37,035)","63 (8,013)","179 (21,930)","145 (13,453)","143 (15,705)","150 (7,957)","148 (29,477)","181 (7,423)","226 (4,807)","186 (2,401)"
2015/05/28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"270 (7,154)",--,--,--,--,--,--,--
2015/07/09,--,--,--,--,--,--,--,--,--,"248 (1,072)",--,--,--,--,--,--,--,"220 (10,874)",--,--,--,--,--,--,--
2015/07/16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"179 (19,834)",--,--,--,--,--,--,--
2015/07/23,--,"231 (17,469)",--,"217 (1,930)",--,--,--,--,--,--,--,--,"258 (5,070)",--,--,--,--,"211 (21,930)",--,--,--,--,--,"226 (4,807)",--
2015/08/13,--,--,--,--,--,--,--,"186 (11,174)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015/08/20,--,--,--,"200 (10,479)",--,--,--,"167 (12,272)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015/10/08,--,--,--,--,--,--,--,--,--,--,--,--,"159 (39,747)",--,--,--,--,--,--,--,--,--,--,--,"186 (2,401)"
2015/10/15,--,--,--,--,--,--,--,--,--,--,--,--,"191 (35,432)",--,--,--,--,--,--,--,--,--,--,--,--
2015/10/22,--,--,--,"170 (13,405)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015/10/29,--,--,--,"141 (14,622)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015/11/05,--,--,--,"117 (15,850)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015/11/12,--,--,--,"144 (14,372)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015/11/19,--,--,--,"190 (13,428)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015/11/26,--,--,--,"188 (13,153)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015/12/03,--,--,--,"184 (13,499)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015/12/24,--,--,--,"199 (13,432)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2016/03/03,--,--,--,--,--,--,--,--,--,--,--,--,"200 (49,885)",--,--,--,--,--,--,--,--,--,--,--,--
2016/03/10,--,--,--,--,--,--,--,--,--,--,--,--,"172 (53,717)",--,--,--,--,--,--,--,--,--,--,--,--
2016/03/31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"193 (34,385)",--,--,--,--,--,--,--,--,--
2016/04/07,--,--,--,--,--,--,--,--,--,--,--,--,"191 (57,804)",--,"200 (79,775)","198 (37,035)",--,--,--,--,--,--,"181 (7,423)",--,--
2016/04/14,--,--,--,--,--,--,--,--,--,--,--,--,"189 (57,891)",--,--,--,--,--,--,--,--,--,--,--,--
2016/04/28,--,--,--,--,--,--,--,--,--,--,--,--,"176 (58,046)",--,--,--,--,--,--,--,--,--,--,--,--
