Date,GB,NL,IE,AU,PL,NZ,NO,BE,CA,DK,HU,LV,LT,LU
Total,34324206,4415113,2749475,2416111,1381385,702837,533148,350917,344648,119035,28716,8461,7350,4483
Peak,"29 (2,246,154)","70 (504,771)","48 (197,390)","80 (485,965)","77 (247,144)","75 (130,489)","141 (107,291)","110 (109,365)","163 (344,648)","143 (119,035)","193 (28,716)","152 (8,461)","183 (7,350)","159 (4,483)"
2014/12/28,"183 (130,150)",--,--,--,--,--,--,--,--,--,--,--,--,--
2015/12/10,"134 (224,728)",--,"142 (13,406)",--,--,--,--,--,--,--,--,--,--,--
2015/12/17,"100 (319,948)",--,"89 (21,254)",--,--,--,--,--,--,--,--,--,--,--
2015/12/24,"60 (511,490)","182 (71,494)","62 (32,312)",--,--,"172 (23,739)",--,--,--,--,--,--,--,--
2015/12/31,"120 (255,701)",--,--,--,--,--,--,--,--,--,--,--,--,--
2016/12/08,"97 (410,706)",--,"134 (24,910)",--,--,--,--,--,--,--,--,--,--,--
2016/12/15,"90 (489,193)",--,"113 (32,372)",--,--,--,--,--,--,--,--,--,--,--
2016/12/22,"66 (605,239)",--,"79 (40,146)",--,--,--,"180 (82,500)",--,--,--,--,--,--,--
2016/12/29,"57 (755,550)",--,"78 (41,824)","172 (122,445)",--,"156 (38,718)","194 (64,781)",--,--,--,--,--,--,--
2017/12/07,"72 (631,161)",--,"116 (41,714)",--,--,--,"189 (87,022)",--,--,--,--,--,--,--
2017/12/14,"58 (774,666)",--,"71 (56,887)",--,"167 (53,455)",--,"178 (94,473)",--,--,--,--,--,--,--
2017/12/21,"61 (872,008)",--,"70 (68,754)",--,"98 (82,456)",--,"159 (107,291)",--,--,--,--,--,--,--
2017/12/28,"34 (1,339,792)","83 (278,963)","52 (91,393)","80 (370,811)","77 (95,403)","84 (83,185)","141 (97,081)",--,--,--,--,--,--,--
2018/12/06,"96 (640,877)",--,"152 (44,699)",--,--,--,--,--,--,--,--,--,--,--
2018/12/13,"69 (797,653)",--,"116 (63,392)",--,--,--,--,--,--,--,--,--,--,--
2018/12/20,"50 (989,692)",--,"72 (79,889)",--,"124 (117,590)",--,--,--,--,--,--,--,--,--
2018/12/27,"37 (1,468,888)","107 (314,278)","67 (102,313)","96 (418,446)","94 (140,020)","76 (105,050)",--,--,--,--,--,--,--,--
2019/12/05,"160 (429,746)",--,--,--,--,--,--,--,--,--,--,--,--,--
2019/12/12,"141 (531,604)",--,--,--,"188 (125,846)",--,--,--,--,--,--,--,--,--
2019/12/19,"125 (633,590)",--,"164 (56,454)",--,"150 (153,114)",--,--,--,--,--,--,--,--,--
2019/12/26,"66 (1,174,908)","95 (380,586)","97 (90,198)","85 (478,537)","80 (219,953)","75 (114,224)",--,--,--,--,--,--,--,--
2020/12/03,"75 (685,921)",--,"118 (56,231)",--,--,--,--,--,--,--,--,--,--,--
2020/12/10,"49 (972,009)","191 (202,592)","75 (87,694)",--,--,--,--,--,--,--,--,--,--,--
2020/12/17,"57 (997,515)","120 (258,967)","78 (94,258)",--,"178 (146,404)",--,--,--,--,--,--,--,--,--
2020/12/24,"29 (1,627,908)","98 (344,799)","48 (156,109)","82 (485,965)","83 (247,144)","75 (130,489)",--,"120 (83,624)","163 (344,648)","143 (119,035)","193 (28,716)","152 (8,461)","183 (7,350)","159 (4,483)"
2020/12/31,"39 (1,044,239)","105 (284,812)","71 (84,893)","167 (276,534)",--,--,--,--,--,--,--,--,--,--
2021/12/02,"112 (521,588)",--,"171 (45,315)",--,--,--,--,--,--,--,--,--,--,--
2021/12/09,"62 (855,449)",--,"96 (72,071)",--,--,--,--,--,--,--,--,--,--,--
2021/12/16,"57 (909,780)",--,"77 (83,051)",--,--,--,--,--,--,--,--,--,--,--
2021/12/23,"46 (1,286,696)","194 (189,530)","57 (125,971)","173 (263,373)",--,"127 (64,723)",--,--,--,--,--,--,--,--
2021/12/30,"40 (1,342,863)","118 (290,557)","56 (115,853)",--,--,--,--,"200 (62,850)",--,--,--,--,--,--
2022/12/08,"82 (788,817)",--,"119 (70,392)",--,--,--,--,--,--,--,--,--,--,--
2022/12/15,"68 (941,620)","194 (185,334)","79 (91,252)",--,--,--,--,--,--,--,--,--,--,--
2022/12/22,"53 (1,138,906)","147 (229,557)","68 (111,323)",--,--,--,--,--,--,--,--,--,--,--
2022/12/29,"41 (1,585,270)","71 (441,557)","52 (148,587)",--,--,"197 (65,199)",--,"110 (95,078)",--,--,--,--,--,--
2023/12/07,"56 (971,982)",--,"114 (81,283)",--,--,--,--,--,--,--,--,--,--,--
2023/12/14,"52 (1,066,272)","193 (205,851)","92 (97,857)",--,--,--,--,--,--,--,--,--,--,--
2023/12/21,"46 (1,353,927)","142 (231,465)","69 (128,028)",--,--,--,--,--,--,--,--,--,--,--
2023/12/28,"40 (2,246,154)","70 (504,771)","53 (197,390)",--,--,"165 (77,510)",--,"118 (109,365)",--,--,--,--,--,--
