Date,Global,US,GB,DE,CA,NL,SE,AU,IT,DK,PL,IE,NO,AT,CH,FR,BE,NZ,CZ,FI,JP,HU,ES,SK,PT,SG,IS,RO,LT,LV,LU,AE,ZA,HK,EE,GR,CY,BG
2021/12/23,"31 (16,531,071)","46 (3,594,894)","17 (2,548,354)","17 (2,260,351)","26 (854,119)","40 (648,990)","20 (777,311)","26 (731,307)","112 (434,586)","21 (396,253)","37 (580,697)","15 (310,412)","24 (468,469)","14 (240,661)","28 (174,075)",--,"49 (140,266)","25 (166,807)","31 (128,546)","18 (195,305)","169 (214,549)","45 (79,211)",--,"60 (52,905)","122 (52,825)","128 (50,080)","34 (25,220)","115 (25,875)","46 (18,613)","35 (16,468)","33 (10,703)","85 (14,285)",--,"175 (26,803)","48 (11,381)",--,"63 (5,857)","133 (7,553)"
2021/12/30,"27 (16,766,065)","57 (2,843,734)","13 (2,597,346)","12 (2,693,956)","25 (878,791)","22 (921,161)","28 (477,432)","10 (1,048,384)","60 (573,482)","21 (265,179)","79 (338,540)","13 (277,657)","30 (251,250)","12 (225,972)","14 (237,525)","182 (326,346)","32 (232,686)","14 (201,903)","60 (72,686)","25 (121,129)","165 (223,178)","39 (75,946)","180 (297,140)","76 (30,023)","68 (66,805)","70 (68,188)","46 (14,102)","154 (22,241)","35 (20,141)","29 (16,998)","27 (13,380)","59 (18,801)","80 (40,997)","101 (38,935)","44 (10,455)","188 (30,590)","48 (6,936)","91 (8,586)"
2022/11/17,--,--,--,--,--,--,--,--,--,"125 (78,709)",--,--,--,"152 (44,323)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/11/24,--,--,"120 (509,783)","91 (630,282)","158 (274,821)",--,"94 (191,170)",--,--,"51 (157,899)",--,"79 (74,332)","166 (77,252)","42 (86,144)",--,--,--,--,--,"199 (43,048)",--,--,--,--,--,--,"105 (6,988)",--,--,--,--,--,--,--,--,--,--,--
2022/12/01,"148 (7,484,911)","157 (1,999,724)","38 (1,036,105)","44 (1,116,434)","104 (349,381)","150 (187,992)","59 (351,302)",--,--,"26 (298,803)",--,"35 (133,396)","77 (159,105)","22 (143,147)","64 (79,297)",--,--,--,"76 (70,168)","114 (63,607)",--,--,--,"104 (22,223)",--,--,"64 (12,490)",--,--,"112 (9,681)","77 (5,603)",--,--,--,"127 (7,180)",--,--,--
2022/12/08,"78 (11,612,872)","120 (2,611,383)","17 (2,014,383)","30 (1,441,279)","67 (514,234)","70 (407,999)","39 (416,043)","87 (392,371)","181 (379,444)","21 (365,746)","75 (359,153)","18 (225,554)","47 (236,230)","14 (191,662)","36 (128,293)",--,"88 (92,062)","49 (93,618)","39 (103,046)","64 (93,062)",--,"122 (44,502)",--,"44 (38,211)",--,--,"47 (18,567)",--,"99 (14,803)","86 (12,234)","41 (10,315)",--,--,--,"92 (9,406)",--,"174 (5,161)",--
2022/12/15,"62 (13,926,119)","82 (3,441,537)","14 (2,371,178)","27 (1,463,452)","58 (630,162)","29 (664,788)","30 (497,638)","59 (508,164)","144 (392,363)","21 (348,804)","49 (439,262)","15 (279,327)","40 (260,237)","15 (177,591)","22 (158,740)",--,"44 (140,176)","36 (121,047)","31 (123,776)","64 (96,052)",--,"72 (55,630)",--,"30 (45,939)",--,--,"35 (22,250)",--,"53 (19,116)","50 (14,877)","32 (10,905)","115 (17,428)",--,--,"59 (10,264)",--,"113 (6,545)",--
2022/12/22,"37 (17,377,530)","49 (4,444,935)","14 (2,750,229)","23 (1,680,470)","28 (879,896)","28 (754,468)","25 (581,374)","27 (813,393)","110 (480,146)","18 (387,913)","38 (605,832)","14 (333,284)","36 (306,725)","15 (219,141)","21 (175,841)",--,"36 (173,714)","15 (180,363)","24 (154,264)","42 (151,942)",--,"43 (86,650)",--,"25 (58,228)","140 (63,549)","129 (54,031)","30 (26,901)","136 (37,617)","47 (21,333)","45 (16,622)","21 (12,828)","85 (19,861)",--,--,"60 (10,937)",--,"82 (7,865)",--
2022/12/29,"22 (23,092,680)","43 (4,491,568)","14 (3,607,372)","15 (3,003,083)","23 (1,121,478)","19 (1,229,219)","26 (650,340)","12 (1,366,464)","48 (737,984)","16 (383,014)","34 (552,148)","12 (415,427)","37 (246,035)","12 (297,140)","15 (296,647)","74 (635,408)","16 (320,453)","11 (277,324)","33 (127,082)","27 (174,167)","86 (425,976)","26 (114,781)","164 (374,385)","24 (48,818)","63 (101,954)","59 (77,955)","31 (21,421)","130 (38,596)","28 (29,538)","27 (23,367)","13 (20,912)","48 (29,547)","110 (55,558)","123 (34,317)","35 (14,412)","183 (51,533)","41 (11,674)","89 (12,789)"
2023/11/16,--,--,--,--,--,--,--,--,--,"133 (87,580)",--,"197 (52,876)",--,"110 (53,643)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/11/23,--,--,"96 (633,046)","124 (583,436)","180 (310,776)",--,"108 (166,893)",--,--,"61 (137,861)",--,"61 (91,436)","146 (78,713)","37 (90,192)",--,--,--,--,--,--,--,--,--,--,--,--,"132 (7,515)",--,--,--,--,--,--,--,--,--,--,--
2023/11/30,"157 (9,001,434)","116 (2,674,209)","30 (1,165,545)","33 (1,381,177)","76 (459,855)","132 (222,259)","45 (332,569)",--,--,"37 (275,455)",--,"29 (158,915)","74 (130,537)","15 (187,017)","45 (105,892)",--,--,--,"84 (79,878)",--,--,--,--,"83 (27,465)",--,--,"80 (10,925)",--,--,--,"59 (6,932)",--,--,--,--,--,--,--
2023/12/07,"52 (14,745,694)","96 (3,258,085)","16 (2,582,688)","19 (2,109,672)","39 (721,037)","53 (440,198)","26 (552,938)","130 (389,651)","139 (460,274)","32 (394,480)","64 (479,644)","18 (274,054)","36 (262,358)","15 (270,408)","22 (175,603)",--,"78 (111,055)","59 (97,555)","32 (146,463)","139 (73,454)",--,"91 (64,421)",--,"30 (52,308)",--,--,"58 (17,575)","190 (36,265)","82 (17,528)","66 (14,048)","28 (12,833)",--,--,--,"71 (10,577)",--,"177 (6,335)",--
2023/12/14,"42 (15,571,064)","71 (3,744,311)","17 (2,449,375)","21 (1,840,445)","32 (843,125)","33 (636,922)","25 (546,698)","89 (437,861)","67 (663,487)","33 (332,997)","54 (492,108)","18 (297,254)","37 (257,973)","14 (225,187)","22 (161,832)",--,"56 (141,503)","51 (111,427)","32 (140,906)","132 (71,754)",--,"88 (66,159)",--,"31 (53,636)",--,--,"47 (21,234)","147 (42,351)","57 (20,447)","47 (15,774)","29 (12,408)","137 (19,043)",--,--,"67 (10,592)",--,"121 (7,533)",--
2023/12/21,"33 (18,403,928)","52 (4,523,717)","18 (2,863,360)","17 (2,197,005)","25 (1,013,644)","31 (684,264)","25 (632,358)","48 (637,185)","92 (628,975)","30 (344,835)","44 (614,254)","16 (354,721)","37 (279,037)","13 (259,191)","20 (192,762)","182 (404,573)","36 (167,811)","31 (153,001)","23 (167,442)","84 (107,445)",--,"60 (87,961)",--,"34 (64,459)","177 (69,144)","149 (53,053)","42 (25,736)","136 (44,761)","56 (21,712)","43 (17,424)","24 (14,610)","111 (21,317)",--,--,"58 (11,455)",--,"93 (8,767)",--
2023/12/28,"16 (28,371,502)","41 (5,509,281)","15 (4,318,343)","13 (4,181,233)","21 (1,594,672)","19 (1,254,741)","22 (910,300)","18 (1,333,146)","32 (1,093,970)","29 (437,320)","33 (735,547)","15 (501,090)","33 (297,371)","12 (431,169)","16 (355,627)","45 (962,312)","16 (363,627)","16 (281,436)","18 (188,718)","35 (187,578)","183 (344,385)","26 (155,313)",--,"23 (72,216)","76 (108,172)","63 (77,666)","41 (25,642)","88 (54,833)","31 (33,089)","23 (27,095)","17 (24,349)","48 (33,502)","185 (73,990)","113 (38,362)","34 (15,845)",--,"55 (12,475)","97 (15,247)"
