Date,Global,DE,US,GB,DK,CA,NL,SE,PL,AU,NO,AT,IT,IE,FI,CH,BE,FR,HU,NZ,ES,SG,SK,PT,PH,HK,KR,CZ,LT,LV,GR,LU,IS,EE,AE,MT,CY,JP,MY,BG,RO,TW,ZA
2016/12/22,--,"135 (304,240)",--,--,"40 (239,945)",--,"108 (164,272)","117 (200,480)","65 (55,188)",--,"182 (82,157)","90 (22,250)","126 (81,995)","154 (25,656)","168 (49,695)","198 (16,647)","151 (21,184)",--,"95 (10,003)",--,--,--,"88 (4,898)",--,--,--,--,"125 (9,296)","180 (2,506)","155 (2,953)","123 (4,171)","138 (1,395)",--,--,--,"73 (2,950)",--,--,--,--,--,--,--
2016/12/29,"184 (2,982,426)","68 (547,035)",--,"168 (322,259)","38 (203,017)","189 (120,693)","63 (239,905)","125 (183,191)","74 (47,739)","197 (103,592)",--,"71 (30,209)","76 (121,584)","152 (24,588)","101 (68,773)","84 (30,069)","73 (37,915)",--,"61 (15,173)","190 (32,404)",--,--,"90 (4,002)","190 (12,887)",--,--,--,"137 (8,322)","114 (3,687)","102 (4,124)","97 (4,775)","60 (2,503)",--,"177 (2,493)",--,"81 (2,583)",--,--,--,"197 (1,430)",--,--,--
2017/11/09,--,--,--,--,"169 (64,344)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2017/11/16,--,--,--,--,"109 (91,668)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2017/11/23,--,--,--,--,"66 (127,146)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2017/11/30,--,--,--,--,"36 (226,456)",--,--,--,--,--,--,"147 (18,314)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2017/12/07,--,"96 (505,351)",--,--,"13 (380,785)",--,--,"179 (144,991)","113 (63,675)",--,--,"79 (35,773)",--,--,"185 (49,805)","181 (26,519)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,"169 (4,539)",--,--,--,--,"195 (1,921)",--,--,--,--,--,--,--
2017/12/14,--,"76 (584,286)",--,"131 (422,409)","10 (339,078)",--,"154 (195,697)","177 (150,979)","88 (79,346)",--,--,"57 (38,760)","177 (129,054)","122 (41,287)","177 (51,747)","113 (36,059)",--,--,"162 (9,359)",--,--,--,"154 (4,878)",--,--,--,--,--,"165 (3,412)","200 (3,603)","117 (5,878)","199 (1,889)",--,--,--,"136 (2,408)","124 (1,059)",--,--,--,--,--,--
2017/12/21,"194 (4,188,830)","59 (715,268)",--,"134 (459,313)","9 (337,628)",--,"189 (172,466)","174 (170,149)","47 (125,685)",--,--,"46 (52,257)","152 (162,409)","114 (48,713)","118 (77,079)","103 (44,858)",--,--,"97 (14,512)",--,--,--,"106 (6,882)",--,--,"192 (15,371)",--,"167 (14,240)","109 (4,664)","139 (5,089)","104 (7,128)","166 (2,191)",--,"179 (3,542)",--,"104 (3,165)","107 (1,325)",--,--,--,--,--,--
2017/12/28,"126 (5,461,804)","35 (1,106,376)",--,"104 (574,959)","15 (303,984)","185 (197,121)","94 (260,954)","145 (193,611)","45 (127,889)","155 (230,495)",--,"36 (63,131)","98 (215,854)","100 (50,520)","68 (106,824)","32 (86,019)","105 (45,043)",--,"71 (21,697)","179 (47,696)","168 (151,246)",--,"111 (6,179)",--,"192 (133,309)","104 (21,649)",--,"176 (12,556)","95 (5,572)","127 (5,410)","95 (7,809)","104 (3,122)",--,"174 (3,553)",--,"103 (3,189)","78 (1,581)",--,--,"192 (2,113)",--,--,--
2018/11/15,--,--,--,--,"112 (80,234)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2018/11/22,--,--,--,--,"58 (128,728)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2018/11/29,--,"160 (381,108)",--,--,"29 (228,403)",--,--,"179 (138,958)",--,--,--,"136 (30,989)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2018/12/06,"157 (5,432,315)","59 (800,387)",--,"105 (586,851)","14 (406,332)","139 (268,876)",--,"91 (245,511)","149 (89,930)",--,"162 (104,117)","52 (63,558)",--,"107 (57,664)","134 (59,009)","144 (44,538)",--,--,"123 (15,632)",--,--,--,"133 (8,697)",--,--,--,--,"187 (17,635)","135 (5,170)","136 (5,328)","106 (10,180)","188 (2,470)",--,"169 (4,182)",--,"140 (3,685)","124 (1,481)",--,--,--,--,--,--
2018/12/13,"177 (5,160,178)","61 (743,229)",--,"103 (642,506)","21 (295,549)","145 (261,614)","157 (240,720)","106 (219,605)","100 (126,414)",--,"180 (93,574)","52 (60,122)",--,"100 (69,477)","192 (50,068)","168 (44,139)",--,--,"125 (16,250)",--,--,--,"115 (10,146)",--,--,--,--,"179 (18,368)","115 (5,766)","143 (5,522)","131 (9,211)","167 (2,654)",--,"182 (4,176)",--,"105 (4,452)","115 (1,702)",--,--,--,--,--,--
2018/12/20,"131 (6,087,096)","57 (872,659)",--,"72 (771,597)","21 (297,166)","111 (308,747)","123 (276,930)","92 (245,552)","50 (186,026)",--,"181 (99,458)","46 (66,649)",--,"70 (82,977)","84 (82,947)","90 (59,628)","151 (45,175)",--,"67 (26,651)",--,--,--,"61 (14,410)",--,--,--,--,"111 (25,316)","80 (7,596)","89 (7,453)","106 (10,560)","105 (3,567)","187 (7,616)","104 (5,706)",--,"81 (5,210)","86 (2,038)",--,--,--,"199 (8,122)",--,--
2018/12/27,"64 (9,690,991)","24 (1,682,821)","153 (2,120,808)","46 (1,274,072)","15 (392,356)","67 (495,576)","70 (451,111)","75 (322,630)","35 (230,238)","108 (359,083)","161 (103,498)","29 (107,237)","144 (298,709)","50 (117,588)","30 (145,258)","30 (137,165)","53 (101,786)",--,"31 (52,808)","116 (76,970)",--,"130 (53,085)","51 (16,027)","102 (37,664)","199 (144,846)","73 (27,838)",--,"67 (31,160)","49 (11,471)","47 (12,060)","74 (14,702)","44 (7,337)","158 (8,423)","62 (8,739)",--,"50 (7,324)","57 (2,888)","155 (55,414)","186 (37,308)","112 (4,635)","140 (10,761)",--,--
2019/01/03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"199 (6,089)",--,--,--,--,--,--,--,--,--,--,--,--
2019/11/14,--,--,--,--,"143 (76,084)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019/11/21,--,--,--,--,"84 (107,547)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019/11/28,--,--,--,--,"36 (193,158)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019/12/05,--,"122 (624,908)",--,"114 (560,423)","14 (362,443)","160 (257,434)",--,"138 (196,811)",--,--,"108 (132,926)","78 (55,868)",--,"121 (54,975)","107 (63,316)","185 (41,494)",--,--,"151 (17,964)",--,--,--,"171 (9,711)",--,--,--,--,--,"194 (4,672)","178 (5,365)",--,--,--,--,--,"129 (2,847)","149 (1,666)",--,--,--,--,--,--
2019/12/12,"184 (5,393,110)","126 (684,236)",--,"100 (669,376)","15 (296,922)","152 (295,539)","136 (250,201)","166 (181,674)","91 (187,751)",--,"117 (130,014)","77 (61,602)",--,"98 (74,476)","133 (55,470)","146 (50,946)",--,--,"125 (23,185)",--,--,--,"125 (13,673)",--,--,--,--,--,"145 (6,168)","177 (5,982)","192 (13,688)","160 (3,406)",--,"194 (4,671)",--,"81 (4,492)","108 (2,174)",--,--,--,--,--,--
2019/12/19,"148 (6,128,597)","108 (724,256)",--,"104 (743,809)","19 (288,581)","131 (337,904)","130 (263,624)","125 (216,660)","74 (228,786)",--,"99 (147,948)","64 (69,083)",--,"85 (86,732)","98 (76,396)","107 (59,258)","192 (45,943)",--,"117 (25,669)",--,--,--,"107 (15,858)",--,--,--,--,"179 (27,737)","101 (7,963)","107 (7,718)","186 (14,026)","134 (3,620)",--,"125 (5,818)",--,"67 (5,132)","91 (2,468)",--,--,--,--,--,--
2019/12/26,"67 (10,688,367)","41 (1,679,141)","150 (2,234,307)","57 (1,324,402)","15 (414,915)","72 (565,470)","63 (507,560)","78 (348,408)","36 (328,465)","130 (370,708)","77 (189,271)","31 (123,670)","165 (356,259)","63 (132,662)","28 (170,517)","36 (148,938)","73 (111,041)",--,"46 (63,298)","106 (86,602)",--,"141 (56,432)","80 (20,496)","107 (47,711)",--,"118 (27,746)",--,"122 (35,064)","58 (13,013)","56 (12,922)","126 (19,567)","51 (8,342)","179 (8,599)","73 (9,037)","149 (6,608)","57 (7,209)","62 (3,588)",--,--,"167 (5,276)","183 (13,185)",--,"166 (14,316)"
2020/11/12,--,--,--,--,"159 (68,896)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2020/11/19,--,--,--,--,"79 (113,356)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2020/11/26,--,"190 (412,835)",--,--,"36 (202,750)",--,--,--,--,--,--,"134 (39,263)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2020/12/03,--,"64 (936,551)",--,"200 (372,857)","17 (398,872)","199 (231,482)",--,"110 (221,178)",--,--,"139 (109,981)","43 (82,584)",--,"164 (45,927)","137 (59,302)","137 (53,252)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2020/12/10,"200 (5,314,724)","63 (981,456)",--,"151 (481,072)","15 (353,488)","163 (276,375)",--,"134 (202,702)","136 (176,541)",--,"142 (114,139)","45 (86,300)",--,"110 (66,907)","94 (68,348)","98 (67,520)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"140 (3,676)",--,--,--,--,"197 (2,023)",--,--,--,--,--,--
2020/12/17,--,"62 (929,842)",--,"164 (489,779)","18 (319,078)","173 (291,620)","143 (233,822)","124 (210,069)","108 (197,599)",--,"136 (115,014)","52 (75,213)",--,"127 (69,119)","68 (80,452)","126 (58,129)",--,--,"175 (23,177)",--,--,--,--,--,--,--,--,--,--,--,--,"145 (3,618)",--,--,--,--,"172 (2,247)",--,--,--,--,--,--
2020/12/24,"86 (9,457,199)","26 (1,940,154)",--,"91 (738,144)","17 (525,172)","98 (446,410)","95 (351,081)","74 (393,577)","51 (322,929)","158 (324,004)","100 (166,164)","28 (157,730)","182 (268,844)","77 (106,827)","28 (185,420)","57 (121,291)","94 (97,951)",--,"92 (50,523)","147 (73,549)",--,"106 (61,528)","147 (16,400)","171 (42,988)",--,"148 (25,590)",--,--,"169 (7,606)","116 (9,365)",--,"61 (7,684)","197 (8,656)","150 (6,923)","148 (11,241)",--,"106 (3,364)",--,--,--,--,--,--
2020/12/31,--,"110 (564,150)",--,"180 (409,824)","170 (70,860)",--,"104 (289,071)",--,--,--,--,"183 (31,821)",--,"171 (46,834)",--,"158 (48,667)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"128 (3,547)",--,--,--,--,"145 (2,608)",--,--,--,--,--,--
2021/11/11,--,--,--,--,"169 (58,859)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2021/11/18,--,--,--,--,"72 (99,239)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2021/11/25,--,--,--,--,"43 (170,256)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2021/12/02,--,"70 (853,372)",--,--,"15 (421,491)","182 (239,132)",--,"146 (174,055)",--,--,"140 (96,664)","61 (79,233)",--,"161 (47,412)","120 (49,903)","191 (47,587)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2021/12/09,--,"65 (902,976)",--,"119 (539,059)","15 (389,431)","111 (328,436)","145 (232,085)","154 (173,456)","143 (223,013)",--,"126 (108,529)","61 (81,100)",--,"101 (69,518)","73 (66,617)","139 (58,207)",--,--,--,--,--,--,--,--,--,--,"197 (10,374)",--,--,--,--,"141 (4,040)",--,--,--,--,--,--,--,--,--,--,--
2021/12/16,"151 (6,371,042)","62 (935,370)",--,"97 (622,112)","15 (347,381)","103 (358,159)","101 (291,641)","153 (174,900)","105 (297,580)",--,"126 (109,802)","62 (75,242)",--,"79 (82,097)","57 (76,609)","96 (65,124)","182 (64,130)",--,--,--,--,--,--,--,--,--,"161 (11,673)",--,--,--,--,"104 (4,796)","192 (6,674)",--,--,--,--,--,--,--,--,--,--
2021/12/23,"75 (9,368,496)","45 (1,428,678)","113 (2,318,655)","64 (906,423)","15 (464,363)","54 (542,342)","70 (382,109)","102 (260,728)","71 (438,440)","162 (266,485)","105 (146,505)","43 (120,306)",--,"56 (126,551)","21 (171,349)","53 (96,484)","87 (96,500)",--,"100 (49,057)",--,--,"140 (47,985)","146 (21,697)",--,--,--,"88 (15,966)",--,"116 (11,112)","114 (9,381)",--,"57 (6,868)","160 (8,669)","108 (7,718)","181 (9,614)",--,"107 (4,378)",--,--,--,--,--,--
2021/12/30,"75 (9,453,982)","33 (1,608,668)","136 (1,826,263)","60 (990,616)","19 (276,988)","50 (531,198)","51 (581,156)","145 (162,047)","136 (227,418)","112 (342,608)","144 (80,314)","44 (105,989)","192 (271,796)","50 (128,301)","32 (99,941)","46 (127,764)","47 (166,060)",--,"99 (44,697)","190 (55,848)",--,"89 (61,986)",--,"194 (37,992)",--,"129 (32,646)","89 (16,373)",--,"93 (12,035)","105 (9,326)",--,"48 (8,713)",--,"128 (6,638)","129 (12,200)",--,"102 (4,697)",--,--,--,--,--,--
2022/11/10,--,--,--,--,"163 (64,620)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/11/17,--,--,--,--,"62 (110,921)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/11/24,--,"194 (419,516)",--,--,"31 (222,700)",--,--,--,--,--,--,"144 (45,118)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/12/01,--,"98 (675,019)",--,--,"17 (359,969)","165 (279,920)",--,"152 (167,600)",--,--,"143 (97,147)","71 (69,676)",--,"127 (60,865)","183 (48,137)","189 (47,101)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"181 (3,717)",--,--,--,--,--,--,--,--,--,--,--
2022/12/08,"164 (7,920,450)","90 (839,367)","154 (2,350,447)","73 (824,085)","17 (408,393)","105 (415,713)","105 (292,074)","149 (180,197)","130 (268,281)",--,"111 (132,171)","53 (97,262)",--,"56 (106,270)","103 (72,711)","87 (76,791)",--,--,--,--,--,--,"176 (18,731)",--,--,--,"189 (21,149)",--,--,--,--,"75 (6,853)","179 (7,158)",--,--,--,--,--,--,--,--,--,--
2022/12/15,"131 (9,137,758)","89 (796,991)","121 (2,877,499)","64 (955,116)","16 (368,289)","82 (506,137)","54 (423,323)","129 (190,118)","52 (424,231)",--,"98 (134,147)","57 (84,230)",--,"48 (132,744)","89 (78,107)","82 (83,838)","107 (80,906)",--,"113 (44,021)","193 (54,810)",--,"191 (45,742)","142 (21,655)",--,--,--,"163 (23,320)",--,"170 (10,694)","168 (8,304)",--,"64 (6,943)","157 (8,258)","176 (6,116)",--,--,--,--,--,--,--,--,--
2022/12/22,"85 (11,303,234)","65 (930,425)","83 (3,593,983)","56 (1,104,098)","17 (391,521)","46 (684,013)","46 (495,665)","118 (221,437)","63 (512,218)","97 (404,365)","88 (150,910)","46 (101,808)",--,"41 (163,028)","53 (124,826)","65 (92,910)","71 (101,810)",--,"99 (53,168)","96 (80,394)",--,"125 (55,120)","110 (26,740)",--,--,--,"150 (25,685)",--,"156 (11,652)","129 (9,679)",--,"57 (8,137)","143 (9,811)","164 (6,762)","189 (13,301)",--,"155 (5,603)",--,--,--,--,--,--
2022/12/29,"65 (13,656,791)","42 (1,531,949)","81 (3,268,873)","45 (1,410,337)","18 (365,747)","40 (780,932)","31 (762,010)","111 (238,624)","69 (406,247)","63 (585,094)","103 (119,974)","44 (123,508)","133 (404,786)","36 (196,183)","39 (143,846)","46 (146,387)","38 (174,517)","197 (365,404)","88 (59,886)","73 (110,156)","146 (409,832)","71 (67,571)","155 (18,302)","153 (62,249)",--,"168 (28,262)","132 (26,650)",--,"96 (15,249)","88 (12,893)",--,"32 (12,494)","184 (7,270)","105 (8,213)","115 (17,876)",--,"107 (7,261)",--,--,"136 (10,197)",--,--,--
2023/11/09,--,--,--,--,"121 (80,336)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/11/16,--,--,--,--,"72 (127,198)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/11/23,--,--,--,--,"35 (203,188)",--,--,--,--,--,--,"188 (42,902)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/11/30,--,"56 (1,018,021)",--,--,"18 (390,873)",--,--,--,--,--,--,"50 (95,639)",--,"163 (60,621)",--,"172 (56,256)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/12/07,"173 (9,291,526)","30 (1,748,369)",--,"53 (979,786)","18 (533,187)","96 (467,366)","84 (326,989)","197 (162,254)","76 (445,979)",--,"103 (133,274)","27 (163,897)",--,"73 (108,703)",--,"50 (112,385)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"95 (6,871)","175 (8,479)",--,--,--,--,--,--,--,--,--,--
2023/12/14,"142 (9,706,750)","36 (1,510,189)","185 (2,518,954)","67 (926,374)","21 (420,757)","77 (532,757)","52 (461,493)",--,"59 (464,081)",--,"96 (128,375)","29 (141,772)","200 (347,209)","70 (117,665)",--,"56 (105,175)","125 (89,989)",--,"194 (41,024)",--,--,--,"160 (22,588)",--,--,--,--,--,--,--,--,"78 (7,201)","153 (9,557)",--,--,--,--,--,--,--,--,--,--
2023/12/21,"94 (11,617,136)","30 (1,784,113)","124 (3,101,925)","55 (1,103,971)","23 (417,669)","65 (649,301)","51 (482,464)","168 (176,307)","39 (656,586)",--,"91 (139,384)","28 (162,280)",--,"55 (145,442)","117 (83,139)","46 (123,783)","86 (106,898)",--,"145 (53,400)","180 (67,821)",--,--,"147 (26,347)",--,--,--,"197 (29,769)",--,--,--,--,"68 (8,232)","141 (11,129)",--,--,--,--,--,--,--,--,--,--
2023/12/28,"55 (17,131,218)","22 (3,167,369)","95 (3,507,784)","51 (1,696,362)","21 (522,505)","46 (940,606)","35 (822,996)","118 (254,765)","32 (736,284)","77 (630,002)","76 (146,135)","26 (247,783)","95 (578,418)","49 (214,673)","61 (140,146)","28 (218,592)","40 (218,205)","106 (620,641)","71 (88,166)","81 (115,280)",--,"98 (63,144)","130 (25,343)","181 (66,305)",--,"145 (34,187)","133 (37,153)",--,"118 (17,023)","109 (13,577)",--,"44 (13,275)","160 (10,288)","120 (9,266)","140 (20,637)",--,"157 (7,158)",--,--,"162 (12,617)",--,--,--
