Date,Global,US,CA,GB,IE,AU,NL,BE,DE,CH,DK,SE,IT,HU,AT,PT,LT,LV,SK,NZ,CZ,LU,EE,RO,SG,GR,MT,IS,CY,AE,ZA,BG
Total,119410413,78001324,12416904,8088610,1487327,1208933,728680,568660,547356,523873,515072,399191,359753,334622,221922,161430,137341,130825,105414,89844,85502,85042,75590,47261,45116,39566,26438,23998,17368,16159,13157,3422
Peak,"98 (10,828,748)","45 (4,681,673)","34 (915,820)","62 (1,153,683)","53 (151,991)","94 (549,266)","150 (249,050)","73 (117,597)","180 (547,356)","71 (98,640)","146 (103,984)","163 (209,685)","198 (359,753)","59 (55,190)","135 (66,421)","126 (51,178)","62 (15,570)","60 (15,793)","113 (21,430)","122 (89,844)","134 (32,561)","53 (8,208)","71 (9,052)","121 (20,556)","164 (45,116)","119 (15,901)","71 (5,845)","187 (9,200)","95 (3,906)","173 (10,124)","182 (13,157)","195 (3,422)"
2017/12/21,--,"191 (1,471,757)","200 (180,799)",--,--,--,--,--,--,--,--,--,--,--,--,--,"172 (3,527)","189 (4,231)","191 (4,707)",--,--,--,--,--,--,--,--,--,--,--,--,--
2017/12/28,--,"134 (1,794,710)","101 (278,848)",--,--,--,--,"97 (47,242)",--,--,--,--,--,"82 (19,898)",--,--,"103 (5,175)","91 (6,889)","129 (5,402)",--,"173 (12,696)","84 (3,512)","104 (4,872)",--,--,"141 (5,783)","117 (2,846)",--,--,--,--,--
2018/12/06,--,--,"185 (225,639)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2018/12/13,--,"176 (1,838,417)","124 (288,473)",--,--,--,--,--,--,--,--,--,--,--,--,--,"171 (4,522)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2018/12/20,--,"165 (1,923,165)","119 (297,787)",--,--,--,--,--,--,--,--,--,--,"156 (15,739)",--,--,"125 (5,557)","134 (5,903)","172 (8,660)",--,"198 (17,799)","175 (2,635)","147 (4,761)",--,--,"198 (6,956)","172 (3,236)",--,"176 (1,200)",--,--,--
2018/12/27,"152 (6,152,964)","99 (2,781,582)","59 (529,867)","124 (639,341)","136 (60,159)",--,"156 (241,503)","83 (78,734)",--,"123 (59,719)","146 (94,692)","163 (209,685)",--,"61 (34,711)",--,"138 (30,828)","68 (9,270)","62 (10,500)","118 (10,420)",--,"134 (22,446)","64 (5,850)","81 (7,504)","152 (10,251)",--,"119 (10,926)","101 (4,789)",--,"108 (1,913)",--,--,"195 (3,422)"
2019/12/05,--,"137 (1,880,104)","193 (229,414)",--,--,--,--,--,--,--,--,--,--,--,--,--,"191 (4,732)","174 (5,402)",--,--,--,--,--,--,--,--,"163 (2,460)",--,--,--,--,--
2019/12/12,--,"162 (2,012,312)","191 (263,728)",--,--,--,--,--,--,--,--,--,--,--,--,--,"162 (5,888)",--,"188 (10,388)",--,--,"189 (3,103)",--,--,--,--,"122 (3,412)",--,--,--,--,--
2019/12/19,--,"129 (2,262,030)","169 (293,840)",--,"186 (51,016)",--,--,--,--,--,--,--,--,"180 (19,325)",--,--,"123 (7,227)","137 (6,919)","196 (11,398)",--,--,"173 (3,251)","171 (5,087)",--,--,--,"108 (3,850)",--,"185 (1,661)",--,--,--
2019/12/26,"117 (7,581,289)","59 (3,590,800)","67 (578,813)","88 (908,624)","91 (93,485)",--,"178 (238,127)","90 (98,388)",--,"91 (88,623)","165 (96,413)",--,--,"59 (55,190)",--,"144 (39,297)","62 (12,834)","60 (12,677)","113 (15,515)",--,"146 (32,561)","54 (8,152)","71 (9,052)","121 (16,454)",--,"168 (15,901)","71 (5,845)",--,"95 (2,704)","173 (6,035)","182 (13,157)",--
2020/12/03,--,"111 (2,060,187)","152 (263,875)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2020/12/10,--,"84 (2,400,368)","108 (337,849)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2020/12/17,--,"98 (2,644,026)","106 (378,346)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,"197 (6,500)",--,--,--,--,--,--,--,--,--,--,--,--,--,--
2020/12/24,"144 (7,367,482)","47 (3,859,838)","50 (601,822)","171 (522,113)","120 (77,695)",--,--,"135 (77,387)",--,"175 (60,256)","176 (103,984)",--,--,"97 (48,858)",--,"126 (51,178)","120 (9,216)","84 (11,185)","127 (17,494)",--,--,"95 (6,274)","115 (7,845)","134 (20,556)",--,--,--,--,"174 (2,593)",--,--,--
2020/12/31,--,"121 (2,005,114)","75 (379,824)",--,"185 (44,368)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"132 (3,455)",--,--,--,--,--,--,--,--,--,--
2021/12/02,--,"98 (2,101,456)","97 (334,842)",--,"180 (43,655)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"195 (3,213)",--,--,--,--,--,--,--,--,--,--
2021/12/09,--,"88 (2,478,535)","68 (442,590)","124 (526,530)","105 (67,743)",--,--,--,--,--,--,--,--,--,--,--,"160 (8,588)","163 (6,975)",--,--,--,"127 (4,409)","155 (6,225)",--,--,--,--,--,--,--,--,--
2021/12/16,--,"81 (2,802,259)","64 (467,175)","109 (577,789)","86 (76,764)",--,--,--,--,--,"200 (65,157)",--,--,--,--,--,"162 (8,325)","184 (6,624)",--,--,--,"111 (4,626)","197 (5,383)",--,--,--,--,--,--,--,--,--
2021/12/23,"116 (7,644,841)","45 (3,635,482)","38 (660,750)","68 (826,741)","61 (116,479)",--,--,"168 (65,836)",--,"118 (62,589)","149 (88,630)",--,--,"117 (45,530)","166 (47,646)",--,"99 (11,941)","98 (10,285)","152 (21,430)",--,--,"80 (5,572)","95 (8,265)",--,--,--,--,--,"184 (3,391)",--,--,--
2021/12/30,"98 (7,963,100)","47 (3,050,323)","34 (711,890)","62 (988,037)","53 (126,453)","125 (326,185)","150 (249,050)","73 (117,597)","180 (547,356)","71 (98,640)","169 (66,196)",--,--,"95 (45,666)","135 (52,141)","177 (40,127)","79 (13,514)","70 (11,040)",--,--,--,"53 (8,208)","87 (7,605)",--,"164 (45,116)",--,--,--,"141 (3,906)","185 (10,124)",--,--
2022/12/01,--,"135 (2,156,183)","150 (292,077)",--,"173 (53,374)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/12/08,--,"124 (2,585,256)","116 (386,055)","127 (602,003)","110 (73,964)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"183 (4,154)",--,--,--,--,--,--,--,--,--,--
2022/12/15,--,"129 (2,766,192)","123 (395,611)",--,"171 (57,695)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/12/22,--,"85 (3,555,838)","71 (535,570)",--,"130 (67,270)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"192 (7,606)",--,--,--,--
