Date,Global,US,PH,GB,AU,CA,ID,SG,MY,MX,IE,BR,IN,TH,ES,DE,AR,NZ,CL,NL,TW,IT,VN,AE,PT,HK,SE,TR,PE,NO,BE,JP,SA,PL,CO,DK,CH,AT,FI,IL,ZA,CR,GR,KR,UY,EC,HU,RO,CZ,SV,PY,PA,HN,LT,SK,EG,BO,LV,DO,BG,EE,IS,CY,NI,GT,LU,MA
2022/01/13,"59 (10,121,514)","50 (3,062,674)","11 (1,206,903)","60 (669,677)","60 (372,173)","66 (381,640)","61 (576,578)","16 (136,737)","27 (155,946)",--,"33 (103,756)",--,--,"59 (119,535)",--,--,--,"71 (67,006)",--,--,"129 (61,976)",--,--,"53 (22,239)","191 (38,248)","130 (32,253)",--,--,--,--,--,--,"150 (18,080)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/01/20,"62 (8,770,196)","43 (2,747,046)","15 (1,144,875)","66 (580,199)","60 (328,050)","63 (340,255)","100 (417,816)","23 (120,594)","37 (138,045)",--,"41 (91,013)",--,--,"128 (67,182)",--,--,--,"95 (57,902)",--,--,--,--,--,"45 (20,294)",--,"199 (23,342)",--,--,--,--,--,--,"120 (16,959)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/01/27,"63 (8,356,535)","47 (2,666,952)","15 (1,131,958)","79 (548,146)","83 (301,495)","65 (332,944)","180 (288,252)","26 (112,380)","39 (133,036)",--,"49 (84,327)",--,--,"154 (62,281)",--,--,--,"109 (53,393)",--,--,--,--,--,"52 (19,248)",--,--,--,--,--,--,--,--,"121 (16,914)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/02/03,"79 (7,691,324)","63 (2,395,290)","17 (1,092,769)","98 (502,977)","85 (293,571)","83 (305,492)",--,"31 (94,647)","44 (118,286)",--,"49 (78,369)",--,--,"170 (58,513)",--,--,--,"129 (50,182)",--,--,--,--,--,"60 (17,762)",--,--,--,--,--,--,--,--,"129 (18,138)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/02/10,"101 (7,138,638)","85 (2,198,030)","18 (1,089,440)","126 (458,632)","106 (278,424)","102 (284,222)",--,"34 (93,959)","50 (112,795)",--,"60 (66,357)",--,--,--,--,--,--,"147 (45,602)",--,--,--,--,--,"64 (16,682)",--,--,--,--,--,--,--,--,"126 (16,007)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/02/17,"115 (6,765,792)","111 (2,051,060)","15 (1,052,118)","149 (432,008)","125 (265,098)","123 (268,840)",--,"37 (92,767)","64 (97,771)",--,"72 (62,242)",--,--,--,--,--,--,"187 (43,121)",--,--,--,--,--,"86 (15,149)",--,--,--,--,--,--,--,--,"155 (14,757)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/02/24,"124 (6,395,527)","113 (1,922,245)","16 (1,025,531)","159 (402,723)","149 (246,310)","131 (247,973)",--,"46 (85,849)","86 (85,820)",--,"83 (59,874)",--,--,--,--,--,--,--,--,--,--,--,--,"84 (14,579)",--,--,--,--,--,--,--,--,"192 (13,986)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/03/03,"132 (6,144,838)","127 (1,843,026)","18 (978,854)","166 (391,099)","160 (229,243)","132 (243,959)",--,"48 (81,144)","111 (71,241)",--,"78 (58,328)",--,--,--,--,--,--,--,--,--,--,--,--,"89 (14,103)",--,--,--,--,--,--,--,--,"146 (15,069)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/03/10,"132 (6,095,645)","137 (1,788,527)","16 (986,940)","175 (387,568)","163 (231,907)","140 (236,597)",--,"59 (68,597)","115 (68,344)",--,"80 (57,676)",--,--,--,--,--,--,--,--,--,--,--,--,"92 (13,600)",--,--,--,--,--,--,--,--,"139 (13,732)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/03/17,"140 (6,018,523)","145 (1,752,297)","15 (998,666)","176 (383,608)","171 (229,370)","148 (231,264)",--,"64 (66,172)","123 (67,487)",--,"91 (55,850)",--,--,--,--,--,--,--,--,--,--,--,--,"99 (13,191)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
