Date,Global,US,GB,CA,DE,SE,NL,AU,NO,PL,DK,IE,PH,BE,IT,CH,ES,AT,FR,NZ,HU,CZ,SG,FI,PT,GR,SK,MY,RO,IS,HK,LT,LV,EE,JP,LU,RU,AE,BG,VN,MT,ZA,TW,CY,UA,TH,PA,EC,CR,GT,KR,HN,AD
Total,356345895,139374760,48331127,21589157,19869784,16681043,16498191,8016846,6897394,6728849,6725710,4581150,3012221,3000753,2717615,2423466,2130033,1873040,1866845,1812381,1502456,1391337,1316755,995752,936683,798201,786557,774404,592906,525144,488926,458647,443873,315610,280026,218647,216750,182967,180823,153227,146689,145270,115637,111830,105158,84848,21790,20951,17736,17130,10830,6166,1084
Peak,"8 (32,218,073)","4 (11,067,032)","5 (4,053,693)","3 (1,805,323)","21 (2,418,844)","15 (1,215,423)","5 (1,386,498)","10 (1,162,404)","18 (487,008)","4 (865,941)","18 (516,591)","7 (467,083)","33 (596,917)","6 (443,424)","65 (531,517)","9 (354,711)","79 (546,452)","18 (239,992)","48 (618,974)","11 (246,394)","6 (246,529)","6 (166,084)","14 (187,017)","16 (233,918)","13 (159,587)","8 (64,873)","5 (100,908)","39 (113,766)","5 (77,436)","13 (46,161)","15 (82,710)","6 (44,519)","6 (44,873)","7 (32,363)","103 (167,560)","6 (29,124)","55 (140,342)","9 (43,470)","9 (21,081)","72 (46,263)","6 (16,217)","25 (53,495)","129 (60,292)","8 (11,584)","19 (41,096)","144 (50,785)","171 (12,452)","188 (20,951)","172 (17,736)","120 (17,130)","156 (10,830)","179 (6,166)","53 (1,084)"
2013/12/08,--,--,"49 (112,305)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"50 (1,661)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2013/12/15,--,--,"40 (137,755)",--,--,--,"50 (66,515)",--,"49 (109,161)",--,--,"39 (7,113)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2013/12/22,--,--,"35 (176,629)",--,--,"37 (268,366)","40 (91,654)",--,"36 (137,367)","41 (14,735)",--,"35 (9,217)",--,--,--,--,--,--,--,--,--,--,--,--,--,"46 (1,984)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2013/12/29,--,--,"30 (200,503)",--,--,"43 (216,359)","27 (133,088)",--,--,--,--,"30 (9,617)",--,"36 (19,825)",--,--,--,--,--,--,"36 (1,437)",--,--,--,--,"31 (2,549)",--,--,--,--,--,"44 (1,270)","37 (1,352)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014/11/30,--,--,--,--,--,"107 (143,165)",--,--,--,--,"170 (35,034)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014/12/07,--,--,"61 (236,320)",--,--,"108 (263,562)","177 (43,222)",--,"173 (57,499)",--,"103 (55,510)","105 (9,875)",--,--,--,--,--,"156 (3,826)",--,--,--,--,--,--,--,"180 (1,541)",--,--,--,"159 (1,487)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014/12/14,--,"192 (417,888)","67 (352,793)","189 (10,445)",--,"111 (260,087)","116 (64,673)",--,"197 (51,704)",--,"160 (38,845)","107 (10,128)",--,--,--,--,--,"137 (4,451)",--,--,--,--,--,--,--,"162 (1,702)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014/12/21,--,"187 (434,560)","60 (375,497)","179 (10,760)","185 (79,181)","88 (325,866)","106 (69,821)",--,"165 (114,671)","195 (12,185)","161 (39,390)","96 (18,598)",--,"192 (8,428)",--,--,--,"110 (5,417)",--,--,--,--,--,--,--,--,--,--,--,"194 (1,227)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014/12/28,"109 (3,022,584)","71 (708,519)","50 (577,813)","75 (21,347)","102 (151,842)","52 (407,732)","94 (155,201)","189 (26,371)","157 (103,112)","90 (21,485)","133 (41,579)","86 (25,245)","176 (22,575)","67 (36,415)","147 (31,376)","74 (15,125)",--,"82 (13,539)",--,--,"53 (6,347)","139 (3,327)","178 (7,432)",--,--,"80 (3,456)","92 (1,539)","177 (5,063)",--,"103 (1,750)","148 (4,847)","93 (2,511)","78 (3,418)","119 (2,159)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015/11/26,--,--,--,--,--,--,--,--,--,--,"179 (45,567)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015/12/03,--,"173 (623,452)","114 (214,373)",--,--,"119 (156,040)",--,--,"105 (90,470)",--,"84 (102,763)","130 (12,712)",--,--,--,--,--,"167 (7,492)",--,--,--,--,--,--,--,"154 (2,438)",--,--,--,"126 (3,042)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015/12/10,"128 (2,163,661)","147 (799,688)","67 (394,376)","180 (56,538)","190 (114,827)","99 (171,691)","118 (95,635)",--,"89 (107,082)","147 (18,817)","83 (99,817)","70 (23,814)",--,--,--,--,--,"104 (10,765)",--,--,--,"171 (4,298)",--,--,--,"112 (3,298)","94 (2,117)",--,--,"110 (3,533)",--,--,"152 (2,274)",--,--,--,--,--,--,--,"133 (1,174)",--,--,--,--,--,--,--,--,--,--,--,--
2015/12/17,"123 (2,398,341)","137 (855,797)","63 (438,104)","133 (68,906)","200 (124,219)","88 (184,604)","80 (134,799)",--,"87 (110,826)","99 (26,116)","95 (92,396)","65 (27,367)",--,"151 (14,332)",--,--,--,"132 (10,422)",--,"177 (17,398)",--,"70 (7,809)",--,--,--,"79 (4,287)","78 (2,489)","171 (11,103)",--,"109 (3,630)",--,"200 (1,864)","116 (2,913)",--,--,--,--,--,--,--,"137 (1,168)",--,--,--,--,--,--,--,--,--,--,--,--
2015/12/24,"64 (4,145,698)","67 (1,230,463)","41 (753,258)","62 (117,049)","88 (301,685)","53 (379,847)","49 (211,568)","71 (115,906)","56 (156,858)","39 (57,667)","53 (166,153)","50 (44,254)","115 (71,911)","66 (27,861)","105 (64,580)","81 (20,704)","150 (97,672)","60 (23,614)",--,"59 (47,855)","39 (15,436)","47 (12,086)",--,"200 (35,492)","87 (15,923)","69 (4,776)","19 (6,162)","72 (18,982)",--,"91 (5,334)","156 (9,248)","94 (3,467)","47 (5,350)","86 (3,346)",--,"61 (1,454)",--,--,"129 (1,237)",--,"95 (1,886)",--,--,--,--,--,--,--,--,--,--,--,--
2015/12/31,"148 (2,004,468)","156 (693,363)","63 (416,619)","84 (79,593)",--,--,"60 (159,760)","149 (63,789)",--,"195 (15,002)",--,"78 (23,617)",--,"123 (17,812)","189 (40,893)","192 (10,270)",--,--,--,--,"186 (3,727)",--,--,--,--,"81 (4,171)",--,--,--,--,--,"199 (1,844)","193 (1,846)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2016/11/24,--,--,--,--,--,--,--,--,--,--,"194 (50,301)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"187 (3,538)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
