Date,JP,TW,HK,IE,PH,SG,MY,TH
Total,725495,50144,29679,26139,19956,15198,14370,14032
Peak,"135 (73,973)","32 (6,047)","28 (5,133)","197 (21,067)","169 (19,956)","34 (3,263)","41 (4,388)","146 (7,139)"
2013/04/28,--,--,"32 (1,546)",--,--,"34 (3,263)","43 (1,684)",--
2013/05/05,--,--,"34 (1,530)",--,--,"37 (3,022)","41 (2,003)",--
2013/05/12,--,--,"34 (1,539)",--,--,"37 (3,005)","50 (1,766)",--
2013/05/19,--,--,"28 (2,118)",--,--,"37 (3,026)","47 (2,109)",--
2013/05/26,--,--,"32 (2,254)",--,--,"42 (2,882)",--,--
2013/06/02,--,--,"31 (2,103)",--,--,--,"49 (2,420)",--
2013/06/09,--,--,"50 (1,349)",--,--,--,--,--
2013/06/16,--,--,"46 (1,488)",--,--,--,--,--
2013/06/23,--,--,"38 (1,578)",--,--,--,--,--
2013/06/30,--,--,"43 (1,425)",--,--,--,--,--
2013/07/07,--,--,"43 (1,430)",--,--,--,--,--
2013/07/21,--,--,"49 (1,425)",--,--,--,--,--
2013/09/29,--,"42 (3,317)",--,--,--,--,--,--
2013/10/06,--,"39 (4,779)",--,--,--,--,--,--
2013/10/13,--,"35 (4,922)",--,--,--,--,--,--
2013/10/20,--,"32 (5,401)",--,--,--,--,--,--
2013/10/27,--,"34 (5,190)",--,--,--,--,--,--
2013/11/03,--,"35 (5,012)",--,--,--,--,--,--
2013/11/10,--,"37 (5,409)",--,--,--,--,--,--
2013/11/17,--,"45 (4,610)",--,--,--,--,--,--
2014/10/26,--,"192 (5,457)","147 (4,761)",--,--,--,--,--
2014/11/02,--,"166 (6,047)","135 (5,133)","197 (5,072)","169 (19,956)",--,"174 (4,388)",--
2017/06/15,--,--,--,"200 (21,067)",--,--,--,--
2017/08/31,"178 (16,933)",--,--,--,--,--,--,"174 (7,139)"
2017/09/07,"160 (18,370)",--,--,--,--,--,--,"146 (6,893)"
2017/09/14,"168 (18,158)",--,--,--,--,--,--,--
2017/09/21,"194 (17,415)",--,--,--,--,--,--,--
2017/09/28,"193 (17,530)",--,--,--,--,--,--,--
2017/10/05,"197 (17,241)",--,--,--,--,--,--,--
2018/11/22,"193 (42,313)",--,--,--,--,--,--,--
2019/05/02,"157 (63,287)",--,--,--,--,--,--,--
2019/05/09,"162 (60,578)",--,--,--,--,--,--,--
2019/05/16,"178 (59,049)",--,--,--,--,--,--,--
2019/05/23,"175 (60,303)",--,--,--,--,--,--,--
2019/05/30,"176 (60,355)",--,--,--,--,--,--,--
2019/06/06,"169 (60,997)",--,--,--,--,--,--,--
2019/06/20,"135 (73,973)",--,--,--,--,--,--,--
2019/06/27,"170 (70,998)",--,--,--,--,--,--,--
2019/07/04,"189 (67,995)",--,--,--,--,--,--,--
