Date,Global,US,GB,CA,SE,NL,AU,NO,IE,DE,BE,NZ,DK,CH,FI,IT,HU,AT,PL,PT,IS,ES,CZ,SK,LV,LT,GR,FR,RO,LU,EE,MT,BG,CY,AE,SG,HK,ZA,MY
Total,280695606,137036125,25555627,22977205,12428363,9733563,5371243,3325179,2683595,2301257,1673508,1240751,1195292,1017522,776451,653142,643901,576993,542319,483640,455134,356961,333738,302734,265479,238968,238794,234687,217548,145288,142505,69909,47485,42702,39019,33667,18076,17621,12921
Peak,"34 (21,301,350)","17 (8,256,432)","39 (2,315,123)","15 (1,770,074)","34 (580,899)","29 (893,476)","44 (876,515)","67 (183,904)","34 (286,999)","93 (1,147,359)","33 (246,977)","40 (171,264)","122 (130,873)","41 (164,889)","50 (138,394)","90 (598,877)","22 (81,267)","58 (136,117)","51 (282,454)","56 (124,331)","50 (22,963)","111 (142,655)","51 (43,794)","36 (30,038)","26 (22,835)","38 (24,563)","47 (25,237)","106 (114,263)","46 (41,549)","30 (13,652)","44 (13,032)","44 (8,074)","78 (11,775)","39 (8,190)","130 (21,204)","176 (33,667)","198 (18,076)","116 (17,621)","136 (12,921)"
2014/12/07,--,--,--,--,"124 (131,679)",--,--,"174 (56,842)","166 (6,858)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014/12/14,--,--,--,--,"109 (146,972)",--,--,"153 (62,106)","137 (8,369)",--,--,--,--,--,--,--,--,--,--,--,"170 (1,370)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014/12/21,--,--,--,--,"77 (202,392)",--,--,"121 (77,232)","121 (9,713)",--,--,--,--,--,--,--,--,--,--,--,"106 (1,974)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014/12/28,"119 (1,524,559)","112 (933,139)","67 (298,042)","122 (27,472)","58 (257,534)","157 (55,914)","200 (25,967)","98 (83,450)","90 (20,738)",--,"127 (26,053)","196 (9,545)","161 (35,902)","130 (18,054)",--,"161 (54,265)","183 (3,113)","171 (4,473)","131 (15,519)","150 (6,729)","115 (1,684)",--,--,--,--,--,--,"106 (41,990)",--,--,--,--,--,--,--,--,--,--,--
2015/12/03,--,--,--,--,"133 (139,493)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"121 (3,201)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015/12/10,--,"168 (736,044)","128 (240,145)",--,"123 (150,069)",--,--,"185 (61,442)","129 (14,356)",--,--,--,--,--,--,--,--,--,--,--,"86 (4,275)",--,--,"144 (1,598)",--,--,"150 (2,666)",--,--,--,--,"148 (1,066)",--,--,--,--,--,--,--
2015/12/17,"173 (1,889,395)","147 (816,954)","127 (271,182)","172 (60,090)","99 (174,507)","194 (68,244)",--,"156 (71,477)","132 (16,586)",--,--,--,--,--,--,--,--,--,"199 (17,256)",--,"87 (4,403)",--,"107 (6,080)","114 (1,968)","190 (2,125)",--,"114 (3,457)",--,--,--,--,"152 (1,109)",--,--,--,--,--,--,--
2015/12/24,"87 (3,300,953)","73 (1,199,650)","75 (423,652)","70 (105,162)","61 (346,406)","115 (104,496)","154 (73,132)","89 (118,021)","88 (25,533)",--,"89 (21,741)","111 (32,227)","185 (63,584)","86 (19,973)",--,--,"57 (13,153)","157 (11,445)","87 (35,012)","59 (22,490)","55 (6,674)","111 (122,149)","63 (9,201)","36 (4,741)","71 (4,034)","140 (2,792)","90 (4,195)","180 (78,434)",--,"75 (1,234)","123 (2,767)","124 (1,556)",--,--,--,--,--,--,"136 (12,921)"
