Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
NANE - ÎN RAI,814,66.0,4,,10394,5208940,NANE,ÎN RAI
Tzanca Uraganu - Te-am vazut fara inel,634,1.0,7,,17132,5077354,Tzanca Uraganu,Te-am vazut fara inel
Babasha - Nebunia lui Babasha,201,101.0,2,(x1),55997,5072006,Babasha,Nebunia lui Babasha
Ian - Gestu,430,165.0,1,(x3),23997,5043062,Ian,Gestu
Tony One - Sistem Otoman,267,81.0,1,(x23),60217,5019512,Tony One,Sistem Otoman
Killa Fonic - Brasileira,520,77.0,3,(x1),18891,4990098,Killa Fonic,Brasileira
Tzanca Uraganu - Țigancă Balcanică,423,7.0,7,,23200,4894981,Tzanca Uraganu,Țigancă Balcanică
Bogdan De La Ploiesti - Hitana,502,22.0,7,,17464,4802678,Bogdan De La Ploiesti,Hitana
Dani Mocanu - Cariceps,469,25.0,2,(x10),22577,4723170,Dani Mocanu,Cariceps
RAVA - Dungă,661,20.0,1,(x5),27612,4718876,RAVA,Dungă
David Guetta - I'm Good (Blue),607,1.0,6,,18440,4714050,David Guetta,I'm Good (Blue)
Metro Boomin - Creepin',451,79.0,1,(x14),46611,4693871,Metro Boomin,Creepin'
The Weeknd - Die For You,807,,27,,10555,4690254,The Weeknd,Die For You
rares - Inimă de aur,548,,28,,13572,4664523,rares,Inimă de aur
Oscar - Ok Okey,1125,,45,,8546,4663454,Oscar,Ok Okey
Dani Mocanu - Hai sa ne iubim ca nemtii,107,104.0,1,(x23),63211,4576403,Dani Mocanu,Hai sa ne iubim ca nemtii
NOUA UNSPE - Bonnie & Clyde,424,62.0,4,,21651,4523265,NOUA UNSPE,Bonnie & Clyde
Oscar - Antetokounmpo,483,70.0,1,(x11),37170,4503544,Oscar,Antetokounmpo
Azteca - Nefiu,766,,24,,8689,4395354,Azteca,Nefiu
Ian - 60 De Zile,1061,1.0,10,,6307,4373774,Ian,60 De Zile
"Beach, Please! - DĂ-I ȚIGANCA",603,75.0,2,(x1),15939,4362480,"Beach, Please!",DĂ-I ȚIGANCA
Travis Scott - SICKO MODE,1148,190.0,2,(x9),11801,4332330,Travis Scott,SICKO MODE
