Unnamed: 0,Rank,Song,Artist,ArtistID,SongID,SongLink
53,47,Christmas in Harlem,Kanye West feat. CyHi da Prynce & Teyana Taylor,5K4W6rqBFWDnAN6FQUkS6x,00HMEiBMDkbNCHLJL6zqVk,https://kworb.net/spotify/track/00HMEiBMDkbNCHLJL6zqVk.html
54,46,Navidad de los Pobres,Los Tigres del Norte,3hYtANQYrE6pd2PbtEyTIy,,
55,45,Step Into Christmas,Elton John,3PhoLpVuITZKcymswpck5b,11P4sSu6BH2lAbWk1sL6cK,
56,44,Merry Christmas Baby,Otis Redding,60df5JBRRPcnSpsIMxxwQm,38TPb3dSy1iUHx4fmET4gM,
57,43,Have Yourself a Merry Little Christmas,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,23R34F4vC8VAOoKTMGx15H,
58,42,Frosty the Snowman,The Ronettes,7CyeXFnOrfC1N6z4naIpgo,0OcpVNf7hnJBPbTFMSG7CI,https://kworb.net/spotify/track/0OcpVNf7hnJBPbTFMSG7CI.html
59,41,Merry Christmas Darling,Carpenters,1eEfMU2AhEo7XnKgL7c304,0z5HSQGWgnjdNvwbOmhB2w,
60,40,Father Christmas,The Kinks,1SQRv42e4PjEYfPhS0Tk9E,6eiS2z4hXTZ2VsNBJHsvM3,
61,39,Let It Snow! Let It Snow! Let It Snow!,Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,23odYnrpoTNoBUYQMtpB72,
62,38,No Hay Cama Pa'Tanta Gente,El Gran Combo de Puerto Rico,,,
63,37,"You're a Mean One, Mr. Grinch",Thurl Ravenscroft,,,
64,36,Peace on Earth/Little Drummer Boy,Bing Crosby & David Bowie,6ZjFtWeHP9XN7FeKSUe80S,200f30RDLgsb9bKvlRp9rC,
65,35,Santa Claus Is Coming to Town,The Jackson 5,2iE18Oxc8YSumAU232n4rW,2QpN1ZVw8eJO5f7WcvUA1k,
66,34,I Wish It Was Christmas Today,Saturday Night Live Cast,,,
67,33,Mistletoe,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,7xapw9Oy21WpfEcib2ErSA,https://kworb.net/spotify/track/7xapw9Oy21WpfEcib2ErSA.html
68,32,Fairytale of New York,The Pogues feat. Kirsty MacColl,,,
69,31,Rudolph the Red-Nosed Reindeer,Gene Autry,,,
70,30,Do They Know It's Christmas,Band Aid,,,
71,29,Christmas Rapping,Kurtis Blow,,,
72,28,2000 Miles,Pretenders,0GByy3DcfbQwDvXGCWmzv9,5wTM2Bm8phDwHAuOsfBwhU,
73,27,Wonderful Christmastime,Paul McCartney,4STHEaNw4mPZ2tzheohgXB,75nEUfYzeskPFRBQk5BvCg,
74,26,Underneath the Tree,Kelly Clarkson,3BmGtnKgCSGYIUhmivXKWX,3YZE5qDV7u1ZD1gZc47ZeR,
75,25,A Holly Jolly Christmas,Burl Ives,,,
76,24,What Christmas Means to Me,Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,7xZsOJBebpV9lsX3XUV7x3,
77,23,"Merry Christmas, Happy Holidays",*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,4v9WbaxW8HdjqfUiWYWsII,
78,22,Santa Baby,Eartha Kitt with Henri René and His Orchestra,,,
79,21,Happy Xmas (War Is Over),John Lennon & Yoko Ono With the Harlem Community Choir,4x1nvY2FN8jxqAFA0DA02H,27RYrbL6S02LNVhDWVl38b,
80,20,Run Rudolph Run,Chuck Berry,293zczrfYafIItmnmM3coR,2pnPe4pJtq7689i5ydzvJJ,https://kworb.net/spotify/track/2pnPe4pJtq7689i5ydzvJJ.html
81,19,Jingle Bell Rock,Bobby Helms,38EmEgXkgK51MT2tPY0EoC,6TkXViJUO3SA6FMcrNwlD9,
82,18,Christmas Wrapping,The Waitresses,,,
83,17,River,Joni Mitchell,,,
84,16,Little Saint Nick,The Beach Boys,3oDbviiivRWhXwIE8hxkVV,5xlS0QkVrSH7ssEbBgBzbM,
85,15,Have Yourself a Merry Little Christmas,Judy Garland,,,
86,14,It's the Most Wonderful Time of the Year,Andy Williams,4sj6D0zlMOl25nprDJBiU9,5hslUAKq9I9CG2bAulFkHN,https://kworb.net/spotify/track/5hslUAKq9I9CG2bAulFkHN.html
87,13,Santa Tell Me,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,0lizgQ7Qw35od7CYaoMBZb,https://kworb.net/spotify/track/0lizgQ7Qw35od7CYaoMBZb.html
88,12,Blue Christmas,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,3QiAAp20rPC3dcAtKtMaqQ,https://kworb.net/spotify/track/3QiAAp20rPC3dcAtKtMaqQ.html
89,11,Christmas Time Is Here,Vince Guaraldi Trio,,,
90,10,This Christmas,Donny Hathaway,,,
91,9,Santa Claus Is Coming to Town,Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT,6Uny6PPDeCk8cGMDcVfDbM,
92,8,Christmas in Hollis,Run-D.M.C.,3CQIn7N5CuRDP8wEI7FiDA,41onDks2UPbyjer5fMeUWf,
93,7,Feliz Navidad,José Feliciano,7K78lVZ8XzkjfRSI7570FF,0oPdaY4dXtc3ZsaG17V972,
94,6,Rockin' Around the Christmas Tree,Brenda Lee,4cPHsZM98sKzmV26wlwD2W,2EjXfH91m7f8HiJN1yQg97,https://kworb.net/spotify/track/2EjXfH91m7f8HiJN1yQg97.html
95,5,White Christmas,Bing Crosby,3utZ2yeQk0Z3BCOBWP7Vlu,4rp2Hr51C99Nx5AC9GfSeI,
96,4,Last Christmas,Wham!,5lpH0xAS4fVfLkACg9DAuM,06qMRF18gwbOYYbnP2du6i,
97,3,The Christmas Song (Merry Christmas to You),Nat King Cole,7v4imS0moSyGdXyLgVTIV7,5humEOJehpAwMJEJmb0JJ2,
98,2,Christmas (Baby Please Come Home),Darlene Love,,,
99,1,All I Want For Christmas Is You,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,0bYg9bo50gSsH3LtXe2SQn,https://kworb.net/spotify/track/0bYg9bo50gSsH3LtXe2SQn.html
