region,1,2,3,4,5,6,7,8,9,10,13,14,15,16,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
PHL,0.5030590620975436,0.2065583268520472,,,,,,,,,,,,,0.1236645139350276,0.0842100125637239,0.0,0.0,,,,,0.0,0.031480157818005484,0.03931910284305421,0.046743980275898114,0.06413639354999197,0.1269172274159978,0.22289903992997062,0.3212235618629578,0.6406113715870911,1.0
ARE,,,,,,,,,,,,,,,0.019511911002388024,0.01760440328499039,,,,,,,,,0.01566777331236531,0.030258023181315163,0.07900867843205778,0.12216786067913099,0.26196924689847984,0.4071436892072922,0.8793756188479236,1.0
UKR,1.0,,,,,,,,,,,,,,,,,,0.056652919470371176,0.05885970624412126,,0.10339338687504522,,,,,0.051877577599305405,0.13441502062079444,0.2340821937631141,0.34968526155849794,0.42433615512625716,0.624484480138919
THA,0.21268063954084246,,,,,,,,,,0.023585630829148305,0.01684687916367736,0.019960028697345495,,,,,,0.0,0.0,0.0,0.0,,0.0873603566670083,,,0.061968330429435274,0.10714102695500666,0.23115455570359741,0.2792866659833965,0.3236906836117659,1.0
TWN,0.17978767585526656,0.04290608939417536,,,,,,,,,,,0.06335980896018273,,,,,,,0.06865493433006281,,,,,0.0,,0.04430774022737891,0.10343664019103982,0.2266521310283964,0.31400872138296215,0.5359237917250688,1.0
NLD,,,,,,,,,,,,,,,,,,,,,0.007817101093704662,0.007424793639575746,0.008108857817117053,0.01301796793676604,0.022567095268146455,0.043031563033976254,0.09583314579824033,0.1541969396188074,0.3547324440818234,0.5096348348589912,0.5984026159788837,1.0
ISL,,,,,,,,,,,,,,,,,,,,,,0.0,0.015091025231555413,0.037740870861279675,0.0841717236239753,0.15065740445012243,0.2535664856808261,0.44297615245395505,0.663432875545619,0.7275231555413606,1.0,0.9259688065580751
DNK,0.04521819035531133,0.008345377577896305,,,,,,,,,,,,,,,,,,,,,0.022862666265599435,0.0394424554118398,0.08070530362501192,0.1696358480737768,0.37202592752910796,0.7195861426380931,0.8864863576003463,0.77944267550971,0.9929238534735112,1.0
SWE,,,,,,,,,,,,,,,,,,,,,,,0.008904491989742329,0.010136712731288244,0.016263668084577656,0.047525869435618213,0.21045054845137212,0.5158240594494051,0.6113077955756075,0.642774475627332,1.0,0.8146933374914783
NOR,0.14594513303171958,0.03179309797434194,0.027663245313916427,0.02220579081707251,0.015652166647868025,0.015037242197519415,0.012737959470128958,0.011279184890905217,0.009840462195931973,0.007907961851290213,,,,,,,,,,,,,0.010095288224948722,0.019982538150798524,0.05191098634383133,0.10760676583994419,0.2583802255001483,0.5625230283358189,0.7915188884572164,0.7588911308009475,1.0,0.6321172701030583
EST,0.08109965635738832,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0348715431189658,0.0258713794796269,0.08862706594665358,0.14311896579937816,0.28162330224185894,0.3354279168712158,0.5459662902961872,1.0
JPN,0.2904047166983112,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.02782852003597482,0.08147097032077545,0.1889437393824323,0.36856600379734183,0.4651503947236934,0.6472429299490357,1.0
USA,,,,,,,,,,,,,,,,,,,,,,,,0.018741112984259064,0.02667462570971939,0.06756615699234304,0.18662740715061285,0.34908707707499304,0.48097823577531496,0.5369605538499594,0.7994174096028372,1.0
DEU,,,,,,,,,,,,,,,,,,,,,,,,0.010235580162780426,0.020547251823205447,0.03957776861184741,0.12796419025576933,0.262877849111557,0.3723752863676378,0.3666682025261048,0.5604994969321946,1.0
GBR,0.022280878191870458,,,,,,,,,,,,,,,,,,,,,,,0.014531504400657418,0.019405636754899126,0.04868706564308641,0.13432568325434607,0.3751775664520418,0.5538689086429416,0.5834535622874276,0.7534519986345808,1.0
CAN,,,,,,,,,,,,,,,,,,,,,,,,0.014489558507230129,0.042320010451579314,0.10828984112254572,0.20166336692632308,0.33282252200067053,0.4859244700482521,0.49430494596014757,0.6388167621045715,1.0
AUS,,,,,,,,,,,,,,,,,,,,,,,,,0.008254180860449092,0.0111388726112052,0.020136818403298753,0.08685092289100248,0.14761426397322874,0.20511469864104595,0.3767662002305349,1.0
POL,,,,,,,,,,,,,,,,,,,,,,,,,0.027786757929011835,0.037142090185835114,0.08166489510675484,0.17392923123718598,0.5276957559851438,0.6767502914970942,1.0,0.8654650531758847
IRL,0.06522907532958132,,,,,,,,,,,,,,,,,,,,,,,0.022924168784535334,0.030240093365376496,0.07759461306347464,0.18491744791066816,0.3238329967777684,0.5709172482807513,0.6562244864008517,0.8840943584073627,1.0
AUT,,,,,,,,,,,,,,,,,,,,,,,,0.012313317703782524,0.02733296998953224,0.0635116313271565,0.22799967702773236,0.41993459811580286,0.5559722474544306,0.5721828599771036,1.0,0.7657312005628946
FIN,,,,,,,,,,,,,,,,,,,,,,,,0.023910160323614135,0.03328691085333965,0.049912653410059585,0.12081727181948815,0.22997061877697061,0.3180855044514656,0.3644290145666214,0.8384829812531412,1.0
CHE,0.038700370969549466,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.011153511279945518,0.020983773314904586,0.03132982957239366,0.11184257787918059,0.19555210096348638,0.38804391865680865,0.3882192024873063,0.6087779843508895,1.0
BEL,0.10843349533648161,,,,,,,,,,,,,,,,,,,,,,,0.011432006865629174,0.014084636318994754,0.02539273142815183,0.0591885156748372,0.11238031424633352,0.2674291064126629,0.37226610126191123,0.5629815922201774,1.0
