Date,JP,TW,HK,IE,PH,SG,MY,TH,Global,CA,AE,US,GB,NL,AU,NO,BE,NZ,DE,ID,BR,SE,FR,IT,DK,ES,IN,CH,MX,PL,PT,CZ,ZA,AT,FI,AR,IL,CO,VN,HU,CL,PE,NG,SK,RO,GR,CR,SA,EC,IS,GT,LU,PA,LT,EG,LV,DO,HN,EE,SV,BO,BG,UY,MA,CY,MT,NI,PY,KR,TR,UA,RU,VE,KZ,PK,AD,BY
2013-04-28,0.0,0.0,1546.0,15474.0,0.0,3263.0,1684.0,0.0,0.0,0.0,0.0,941106.0,231557.0,186785.0,49518.0,281258.0,44781.0,22186.0,140308.0,0.0,0.0,473936.0,69215.0,52856.0,179822.0,199685.0,0.0,11161.0,0.0,16562.0,12757.0,0.0,0.0,6681.0,65858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1689.0,0.0,1722.0,0.0,0.0,2288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-05,0.0,0.0,1530.0,15154.0,0.0,3022.0,2003.0,0.0,0.0,0.0,0.0,889269.0,221367.0,158820.0,48275.0,262966.0,43591.0,21387.0,147049.0,0.0,0.0,448816.0,67094.0,51790.0,165089.0,209131.0,0.0,11590.0,0.0,16068.0,12756.0,0.0,0.0,6647.0,63488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783.0,0.0,1704.0,0.0,0.0,2052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-12,0.0,0.0,1539.0,13708.0,0.0,3005.0,1766.0,0.0,0.0,0.0,0.0,869859.0,203899.0,161467.0,49846.0,252145.0,42797.0,20160.0,148948.0,0.0,0.0,438139.0,63695.0,50451.0,155050.0,215094.0,0.0,12444.0,0.0,18656.0,14403.0,0.0,0.0,6312.0,54233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1952.0,0.0,1450.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-19,0.0,0.0,2118.0,12518.0,0.0,3026.0,2109.0,0.0,0.0,0.0,0.0,823533.0,193907.0,148690.0,50470.0,227137.0,38156.0,20297.0,135206.0,0.0,0.0,407951.0,63870.0,52728.0,139086.0,212398.0,0.0,11568.0,0.0,18241.0,15189.0,0.0,0.0,5456.0,45839.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1780.0,0.0,1342.0,0.0,0.0,1796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-26,0.0,0.0,2254.0,11756.0,0.0,2882.0,0.0,0.0,0.0,0.0,0.0,749370.0,179742.0,148747.0,49534.0,234938.0,35576.0,19003.0,134998.0,0.0,0.0,395124.0,60762.0,51566.0,131280.0,227571.0,0.0,12162.0,0.0,18797.0,15610.0,0.0,0.0,5295.0,48285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991.0,0.0,1386.0,0.0,0.0,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-02,0.0,0.0,2103.0,10262.0,0.0,0.0,2420.0,0.0,0.0,0.0,0.0,641008.0,165284.0,132257.0,44493.0,233805.0,30550.0,17629.0,127614.0,0.0,0.0,363034.0,50195.0,50521.0,113178.0,229223.0,0.0,10873.0,0.0,16126.0,15138.0,0.0,0.0,4551.0,41150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1938.0,0.0,1247.0,0.0,0.0,1828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-09,0.0,0.0,1349.0,8557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,601063.0,154363.0,112944.0,39455.0,238238.0,25432.0,16102.0,107995.0,0.0,0.0,318032.0,43479.0,44770.0,103919.0,221317.0,0.0,9995.0,0.0,14365.0,14291.0,0.0,0.0,3731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1787.0,0.0,1196.0,0.0,0.0,1880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-16,0.0,0.0,1488.0,7603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560408.0,135661.0,108241.0,40560.0,239542.0,24284.0,15561.0,102585.0,0.0,0.0,296865.0,42239.0,42688.0,95944.0,221249.0,0.0,9981.0,0.0,13828.0,13616.0,0.0,0.0,3502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1886.0,0.0,1160.0,0.0,0.0,2037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-23,0.0,0.0,1578.0,6871.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523773.0,125327.0,95933.0,38275.0,230913.0,21412.0,13254.0,91003.0,0.0,0.0,263270.0,39954.0,38446.0,83319.0,213765.0,0.0,8967.0,0.0,12486.0,13728.0,0.0,0.0,2962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1781.0,0.0,1048.0,0.0,0.0,1685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-30,0.0,0.0,1425.0,6245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497404.0,115529.0,81022.0,36537.0,213342.0,20335.0,10462.0,91254.0,0.0,0.0,251371.0,38942.0,36540.0,73959.0,192295.0,0.0,8841.0,0.0,13779.0,11970.0,0.0,0.0,3137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1769.0,0.0,0.0,0.0,0.0,1615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
