rank,ID,title,artist,streams
147,41onDks2UPbyjer5fMeUWf,Christmas In Hollis,Run–D.M.C.,2696305.0
148,0ezxVlILGg3XiTJONE7PEn,Christmas Eve - Recorded at Spotify Studios NYC,Kelly Clarkson,2672566.0
149,3vZFG25FQOhJh1mmR3dwB1,"Stay With Me (From the Original Netflix Series ""Home For Christmas Season 2"")",Emma Steinbakken,2660034.0
150,1h9QQ7e222OSr93MRiMqGZ,Grown-Up Christmas List,Jordan Smith,2654160.0
151,4lftz0V8DZhWSVtL4GrzMH,I'll Be Home For Christmas,Bing Crosby,2620364.0
152,0iyrGs4yXc2lWQCqCgCx0C,White Christmas,"The Drifters, Clyde McPhatter, Bill Pinkney",2580304.0
153,4wNl6yUAr6S81XlG4JCPB8,Why Couldn't It Be Christmas Everyday?,Bianca Ryan,2579194.0
154,6Lh85Pe18pqvNdDoWgTVUC,Blue Christmas,Michael Bublé,2564443.0
155,6W332S9Wbc6TOBlChnemKD,Dominick the Donkey (The Italian Christmas Donkey),Lou Monte,2560751.0
156,7n7mTiptQT1iNa7rMhcZS8,"A Perfect Christmas - Recorded at OnQ Studios, Manila","Tatak Pinoy All-Stars, Jose Mari Chan, Ben&Ben, December Avenue, I Belong to the Zoo, Julie Anne San Jose, Moira Dela Torre",2557385.0
157,78HLOELYnF1msRggbkZtFq,I Believe in Father Christmas,Greg Lake,2505727.0
158,3RH9idbxUAMcUldet2ormp,Christmas Love,Justin Bieber,2427042.0
159,3JKvHtrY7PXO7afJ9m6IG0,Christmas Eve,Kelly Clarkson,2384232.0
160,65awclibIvEl9N5kSANFii,It's Christmas Time Again,Backstreet Boys,2327779.0
161,5nFOqQz9mRELVYkw2LQXpK,Another Christmas,Amanda Jenssen,2236759.0
162,46w8k81V0eSBx64XuVHxT2,Christmas Time (Don't Let the Bells End),The Darkness,2231078.0
163,7FOJKfiyl1tegmYRqs7AuZ,We Wish You a Merry Christmas / End Title - Voice,"Traditional, John Williams",2176379.0
164,61Bk7DCKXyMdfdJqK0DuoR,Christmas (Baby Please Come Home),Olivia Holt,2171138.0
165,1ta7346unwX9mJOqbSB9wD,Have Yourself A Merry Little Christmas,Ella Fitzgerald,2109833.0
166,0DdptKo5o0Dz8PS4wKGzFM,Christmas Time,Backstreet Boys,2074555.0
167,58C81zfTH4pygXCk7miGO5,What Christmas Means To Me,98º,2053172.0
168,4RppWtszgz5gPVOKUQazCH,I'll Be Home For Christmas - Single Version,Bing Crosby,2035668.0
169,2VRNYpYmE2ToZQYgiUl4Hc,Christmas Time,Backstreet Boys,2012822.0
170,4WN9xLkAeINLPLaoeZ9ZW9,The Happiest Christmas Tree - 2009 Digital Remaster,Nat King Cole,2010512.0
171,60xC0emlnvXPPnxLQtXvx4,Christmas (Baby Please Come Home),Darlene Love,1932539.0
172,1BB9hv4471pPlNqOAnDglV,Dominick the Donkey (The Italian Christmas Donkey) [with Joe Reisman's Orchestra and Chorus],Lou Monte,1868448.0
173,6skTvnm735GYcgiKaeDDPq,It's Christmas Time (feat. Dan Caplen),"Dan Caplen, Macklemore",1772223.0
174,1Gfdx16f0aOZ70Tm2Z0Lne,Have Yourself A Merry Little Christmas,Judy Garland,1754725.0
175,3nCcFA1iiehndgGSddMiV2,Christmas All Over Again,Tom Petty and the Heartbreakers,1725147.0
176,4Zo33RKIwOIiVsZZtXsKU4,Twelve Days Of Christmas - Single Version,"Bing Crosby, The Andrews Sisters",1662168.0
177,6oJLgaS6Py1tSKAJTKSe5K,"Falle til ro (From the Original Netflix Series ""Home For Christmas"")",Eva Weel Skram,1647054.0
178,2FWKbF1s4s5Z8ZQkyIGNQU,Christmas (Baby Please Come Home),ROZES,1637737.0
179,24R1qc77L7eb38XKBFIfEN,I'll Be Home For Christmas,Andreas Weise,1608651.0
180,3HBvs6g8WgT8KT1gZzGSX1,Christmas (Baby Please Come Home),U2,1577541.0
181,7cN3fDOvBnZMUlWmJvAEE3,Have Yourself A Merry Little Christmas,"Kurt Nilsen, The Norwegian Radio Orchestra",1494428.0
182,2Crih49TIORGGQIBxu0aqz,"Merry Christmas, My Love",Weeping Willows,1462872.0
183,4gWpUjTbcwASiRVkJM319B,Christmas Without You,OneRepublic,1448847.0
184,2hg8QxxDob0JR3ahlUP8bp,We Wish You A Merry Christmas,"John Denver, The Muppets",1420906.0
