rank,ID,title,artist,streams
256,2TdaxRL0VAKep3sbuM2O8L,Merry Christmas Everyone,"Leony, VIZE",650480.0
257,2woDCx7zMzK86x6A9t2vPH,Christmas Candle,Sanna Nielsen,645665.0
258,2jGa8BymelYQ3CyTJizo1C,(Christmas Eve) After Midnight,Björn Skifs,643374.0
259,47X9nPgLBHEGts5tFwpF6S,Have Yourself A Merry Little Christmas,Ella Fitzgerald,634976.0
260,7mZwaEEaHSeTYC2hTAjUki,The Chipmunk Song (Christmas Don't Be Late) - Remastered 1999,"Alvin & The Chipmunks, David Seville",622650.0
261,02iUVk5hDjUseFNgYXwF9I,Little Christmas Tree - With Spoken Intro,Michael Jackson,620618.0
262,52sJY9E1yTo6qBelCnu2Z0,Feeling Of Christmas,Emelie Hollow,619805.0
263,1WLweWdf4XaTIrFygnoEzJ,Blue Christmas,Dean Martin,607558.0
264,5nTuQBSjMML1tcgheI2YsY,One Wish (For Christmas),Whitney Houston,603870.0
265,4dgSkDZ70riGZ7YeyS8Y0c,Twelve Days Of Christmas - Single Version,"Bing Crosby, The Andrews Sisters",601793.0
266,2NkKDtph6GZ0ZL0dnJSRpX,It's Christmas,Jamie Cullum,597586.0
267,0cDcnStZNlQe6FL9TwcUqQ,Blue Christmas,"Elvis Presley, Martina McBride",591256.0
268,16vO4tzuXe5bsNIr4EODv0,Kiss You This Christmas,Why Don't We,568684.0
269,4qpeUrn8YBLZ2EvVE3tgGO,I'll Be Home for Christmas,Albin Lee Meldau,562933.0
270,6d1dGeGcJ2pG0sv3ALmOUM,Have Yourself a Merry Little Christmas,Janice,562533.0
271,6yaxdh87KVj82QIYKTP1zt,It's Beginning To Look A Lot Like Christmas,Bing Crosby,560609.0
272,7upOqYZUQvA0nyVroaHeSg,Blue Christmas,"Elvis Presley, Martina McBride",555121.0
273,0AoddBrfHHyRMPiZBA3rmB,Have Yourself A Merry Little Christmas,Pretenders,553737.0
274,7G0zCTiFXuMsLovPWU3BPQ,This Christmas,Chris Brown,549871.0
275,4QVdnpSO5JGMFOEl6ys4RQ,Christmas Lights - Live from Spotify London,Coldplay,542013.0
276,5WEFnS38UuTJzEPsGiYGMS,White Christmas,"Kurt Nilsen, The Norwegian Radio Orchestra",540748.0
277,1Udy17gjGeZPNdmmcLjl7L,Real Love - from the John Lewis Christmas Advert 2014,Tom Odell,535160.0
278,4Z0l8dIngsalL0QdCun5CE,The Christmas Song (Chestnuts Roasting On An Open Fire),"Justin Bieber, Usher",524841.0
279,3mXedqURIapcqLBf1PnPTR,This Christmas - Single Edit,Donny Hathaway,520797.0
280,13XMz3rpVYITzjFIsSYlZ1,What Christmas Means to Me (feat. Stevie Wonder),John Legend,515360.0
281,0l59jwZdp3G7XbJETm1rg5,Christmas Every Day,"Andreas Aleman, Cooper Phillip",513866.0
282,1JBIfRoPmI2GjP66LWAN00,Feeling Of Christmas,Emelie Hollow,511753.0
283,5rVvG7nF3ibSGIYjRnpeli,Coming Home For Christmas,Angelo Kelly & Family,506830.0
284,3f1afnyDfTl51kgyqNPHMv,White Christmas,Human Nature,499209.0
285,0R5Rs6XOeyNJulSSCzkhg7,Cozy Little Christmas,Four of Diamonds,486296.0
286,1iaYPHy8DQzNcnsRstzSLm,This Christmas,John Legend,480595.0
287,6NBNTkyUTUWgfjQVrjz0MB,Cold Cold Christmas,Dana,480440.0
288,5P9ZbaqR6DSheojoNlZev1,Driving Home for Christmas,Mario Biondi,478239.0
289,6lsfG5fQhtkfIkqQIWfNns,Have Yourself A Merry Little Christmas,Birdy,473316.0
290,3bKhNmXT3MmMfmrUzhvR7y,The Christmas Song,Michael Bublé,468230.0
291,6EjGpbOat8qoozbTdJSaUP,Rockin' Around The Christmas Tree,Mel & Kim,447337.0
292,3sb5S3rMb696N92tXvfgUi,The Christmas Song,"Andrea Bocelli, Natalie Cole",439056.0
293,6YH4GanBHEi4oRsqvKFMwv,Christmas Through Your Eyes,Gloria Estefan,429137.0
294,49k6iIn3ceIhyeFNSQChQh,Christmas Time,Christina Aguilera,428060.0
295,1pu1JvQGEgWefV3lxPET4L,This Christmas Day,Amy Macdonald,425272.0
296,3BWqnnbApzo0Djm6PuxjCs,I Wish Everyday Could Be Like Christmas,Bon Jovi,414990.0
297,042Yt1xKxDHPBmGokgf1jl,Do They Know It's Christmas? - 2004 Version,Band Aid 20,412936.0
298,1gNYgcUv09qq8sXcCiRmFj,All I Want For Christmas Is You,Mariah Carey,411202.0
299,1dclAs33xgghKN6jgIkDqV,Little Christmas Tree,Michael Jackson,410571.0
300,74zSRGrVXh5Mew0IDvujMq,Speechless (feat. Erika Sirola) - Christmas Version,Robin Schulz,404806.0
301,30DnQCN64v8xBpGZpLgb6l,Everyday Is Christmas,Sia,404613.0
302,6GTlYv5HcboHQH3G7dShMf,Christmas Time (Don’t Let The Bells End),The Darkness,402279.0
303,5k4RDTxRX1Wr4nNNjwTT59,Christmas Time Is Here,Khruangbin,402217.0
304,3IhamY40YSaCjZgWsR4mST,Let Christmas Be the Reason,Weeping Willows,401576.0
305,4mPzsbt0CYdC6HhI8GWTKc,Spend Christmas with Me,"Ulrikke, Ben Adams",398498.0
306,41RkeABqpnKlWNSMY8qApe,Christmas Time All Over the World - Remastered,Sammy Davis Jr.,395425.0
307,6nCAuV8db9kn8S3TOlp5BA,A Perfect Christmas,Jose Mari Chan,395288.0
308,1N627P6Ih9KIrUJz3g6qF2,I'll Be Home For Christmas,Mabel,394167.0
309,0mX9lqCl7GuPDA4XJ9DQoQ,Christmas Was a Friend of Mine,Fay Lovsky,385813.0
310,333oiwwRSmDGKca100cDyc,The Christmas Song,Alicia Keys,384796.0
311,13S94fbOuw2M66UchaCz2k,HERE (For Christmas),Lukas Graham,377307.0
312,7nsHQpH5av8kIlhDAc4gmS,I Want To Come Home For Christmas,Marvin Gaye,370170.0
313,6W84ppZNhBGNJiaPwJULHv,December Song (I Dreamed Of Christmas),George Michael,369444.0
314,0KjRajKMXowSKCE2LEfXuE,I Wish Everyday Could Be Like Christmas,Bon Jovi,362077.0
315,76ol9JbwVYhuYk5sey6CAo,Christmas Without You,Malte Ebert,358559.0
316,18J9Wt6fBBFjkQciPsxa3g,It's Not Christmas Till Somebody Cries,Carly Rae Jepsen,354816.0
317,0LdlVrH3R9PCfaVNNVANgl,Aires De Navidad,"Héctor Lavoe, Willie Colón, Yomo Toro",349699.0
318,1jjuOT18tPbqXhaxvsBani,Last Christmas,Carly Rae Jepsen,348786.0
319,6na6kYYkKOf5tvA4EVKlZQ,I Wish Everyday Could Be Like Christmas,Elektriches Weihnachtfest,348449.0
320,4UI0J1JqYBqVeSXgdIJo0x,White Christmas (with the Patrick Williams Orchestra),Laura Pausini,347260.0
321,5UFjc1THXKIRYcMWihvNm0,Snoopy's Christmas,The Royal Guardsmen,343929.0
322,7lbto9KYTHq5V1PetjIMOF,All I Want (For Christmas),Liam Payne,342260.0
323,0gWKtvF3IGZKZprlDEKZKo,Rockin' Around The Christmas Tree - From The Kacey Musgraves Christmas Show,"Kacey Musgraves, Camila Cabello",339576.0
324,4cEugFQ6HgaqfDoKLHbe5W,This Christmas,Picture This,336450.0
325,2qzGkT6PHNwc7CAcxFpVB6,I Wish You A Merry Christmas,Bing Crosby,327992.0
326,2U6awlumXAgKea9EcFrEgR,Marry Christmas,salem ilese,322614.0
327,1Wzc0exy0Y6vuKka4AVO8E,Christmas Time All over the World - Remastered,Xmas Classics,320656.0
328,266QhbDtB6QapuIYRBaLFe,Christmas EveL,Stray Kids,316251.0
329,0O4vuJynWVVdyvoHvZtnk3,Christmas Canon,Trans-Siberian Orchestra,315333.0
330,50CWazWCKW6jXS91ZsQfmf,Lulajze Jezuniu (Polish Christmas Carol),"Pat Metheny, Anna Maria Jopek",314518.0
331,1RGiNqcE6k9k7XG3AfMOlH,Christmas Time Is Here,Jill Johnson,311502.0
332,3w3pTLawbUnJGw6tUKfFv8,This Year For Christmas,Alejandro Fuentes,308575.0
333,1k0bj8p3dIkXcyQTG34Mxs,What Christmas Means to Me (feat. Stevie Wonder),John Legend,308400.0
334,3U2onubxT4vYkm6M8b5gSP,White Christmas,Kadiatou,302432.0
335,69buuWKab2w87A71hn8NBz,I'll Be Home For Christmas,Lady A,299378.0
336,7EGqwboQMKQhBw4z49rBLI,With You This Christmas,Why Don't We,299262.0
337,6jnVe0mrlljgBx7il7YtUJ,Have Yourself a Merry Little Christmas,Mila Crowell,297152.0
338,64cfCAmXSuusxwmHknLzYp,It's Christmas Time,Marcus & Martinus,293515.0
339,1XiE5raNSOondJSqJ6PNxi,"Where Are You Christmas - From ""Dr. Seuss' How The Grinch Stole Christmas"" Soundtrack",Faith Hill,289962.0
340,4YSSB7ZtqVnbsxybS5NHJC,Christmas Is Coming,Vince Guaraldi Trio,288945.0
341,1SBo8LdLGOieucdStHz6iV,Home To You (This Christmas),Sigrid,288719.0
342,4rsxx3c7BYGwdp3iOqcxbf,It Won't Seem Like Christmas (Without You),Elvis Presley,286963.0
343,0etG8j6DYDpdExWT3plxep,Cozy Little Christmas,Four of Diamonds,284394.0
344,4y69lx0SFFZZrcbyy9sV6n,You and Me and Christmastime,Sheffield,278604.0
345,6xauj1HlVItuBYOOhQaoiY,Why Couldn't It Be Christmas Every Day?,Kristin Chenoweth,275770.0
346,6X4CPDVVei2wevKoIYdolx,You and Me and Christmastime,Sheffield,275527.0
347,4IYUE2fSLtmgZ4Q3pyqYMP,I Want To Come Home For Christmas,Marvin Gaye,270822.0
348,7KWwWeBPUCXDleEwfV1ZC3,I Feel Like Christmas,Gustaf & Viktor Norén,269773.0
349,0BxqHzvd8c2IpRwdYusH2D,Everyday Is Christmas,Sia,269727.0
350,2bhUuihxnwHia4kXN0Tx6m,Give Love on Christmas Day - Recorded at Spotify Studios NYC - Spotify Singles - Christmas,John Legend,268843.0
351,3Xr6kOC4De4Lk41lF9nzTy,Christmas Love,Justin Bieber,266296.0
352,2R99L1wMOy7LRq6jNnv5dY,I Want To Come Home For Christmas,Marvin Gaye,261765.0
353,7ckBqLeaGNSyWvjytU2WyH,We Wish You A Merry Christmas,The Springfields,260391.0
354,19qaaQxVh118I91WRMwfpl,I'll Be Home For Christmas,Lady A,259851.0
355,6bdMVKW67UGE6BwZhGhrne,The Christmas Song,Aloe Blacc,255663.0
356,0heV56JEIIzS80hX478MfH,I Got Your Christmas Right Here,Aloe Blacc,255109.0
357,7b4dwQlYUH4CWIbN7S5jjW,It's Beginning To Look A Lot Like Christmas,Bing Crosby,253272.0
358,0rcZQ6JZa6nBKPZknprI5l,Christmas Time,Backstreet Boys,251891.0
359,4OebIS8BWZBBav3KGpok3J,Christmas Time (Don't Let the Bells End),The Darkness,251855.0
360,6Y4ThK0ocXu4ZwQ9xvJF4l,A Holly Jolly Christmas,Lady A,251219.0
361,0mdCocWKnrVYvqyQBabCiZ,Your Christmas Story,Andreas Johnson,250324.0
362,13TFAXXv5Xr2gwr9mwKsxm,What Christmas Means To Me,Viki Gabor,243300.0
363,1SZllJ6zhyNCzKzYX6qNEN,We Wish You A Merry Christmas,The Vamps,238715.0
364,6brLwOYFXw7rkGOcLntcPZ,merry christmas darling,Christina Perri,233105.0
365,4aUyK7EqWcO8WFybxSWHd4,I Wish You A Merry Christmas - Remastered 2006,Bing Crosby,232076.0
366,0AY6UDs5EyeW45oQkEpsly,I'll Be Home For Christmas (If Only In My Dreams) - Remastered 1999,Frank Sinatra,229465.0
367,4S36zp205iV0nbgHLVqRK7,I Believe in Father Christmas,Keith Emerson,229363.0
368,5QarVtsSmGDiIsCy49yLEs,Do They Know It's Christmas?,Tony Deans,228165.0
369,4iDDS8bMyKuWPd3HAopsrK,Holly Jolly Christmas,Idina Menzel,227583.0
370,4Jj3HUcLGj0ysrJRmtgN3a,Christmas In New Orleans,"Louis Armstrong, Benny Carter",222796.0
371,1gGlPQjBUdJ7mTtcumuFjC,Christmas Time Is Here,Amy Soonyoung,222711.0
372,58K5nAWRgdHtdUdrQaScGv,Finally It's Christmas Again,"Youknowwho, Christina",215236.0
373,3JLn2XYaAkN3E5LbbX0MYm,I Can't Wait For Christmas,ARASHI,215228.0
374,7o6agk7Uy395tk8ZYM5MEi,The Christmas Song (Chestnuts Roasting on an Open Fire),Mel Tormé,215011.0
375,08BhfyKUXxZrnyHrDavNHP,The Christmas Waltz,Tony Bennett,207805.0
376,4fPrWkDWkW0BpYlfDu1M0P,This Christmas,Alexander Oscar,206284.0
377,0YJ7VvNTbPGRSZjFeUCdxr,Christmas Wrapping (Single Edit),The Waitresses,202950.0
378,71TMqU1mrkGxJfslDs6bAX,Christmas Time (Don’t Let The Bells End),The Darkness,202182.0
379,42X0uRpzqXXHJzX0mzThGL,Please Come Home for Christmas (Bells Will Be Ringing),Kelly Clarkson,197168.0
380,5KenUsmrGeU2qscgE9ZHgD,Christmas Valentine,"Ingrid Michaelson, Jason Mraz",196955.0
381,1Dk8oCU570wW9C6Rt8I9gL,Just Love Ngayong Christmas,Various Artists,196939.0
382,1Ym1qNUYEdETwST2NZDXA7,Wrap Me Up Under the Christmas Tree,A Great Big World,196621.0
383,7LRmY1B3Z2N5gXHXFJ5n2a,All I Want For Christmas Is You (SuperFestive!) Duet with Mariah Carey,Justin Bieber,196289.0
384,0W2v26CdnaynHvBM1cF2Sw,It's Christmas,Jamie Cullum,195740.0
385,6PMhkA8o1fsn3fLCYuFp9r,Please Come Home For Christmas,Adam Lambert,194302.0
386,3h0jpUqJm3LFbCzSS6e5SY,It's Beginning To Look A Lot Like Christmas,Bing Crosby,192953.0
387,3M0zQnFBi3FTNGhkMGikGI,I'll Be Home For Christmas,The Platters,183001.0
388,60fWsdGYfKDNkNitrk1DIW,Christmas C’mon,"Lindsey Stirling, Becky G",179319.0
389,7JSqlTT3QoWkSFm616PdZH,This Christmas Day,Amy Macdonald,178658.0
390,53Th3IZ5xqwoETVVEEozdg,Christmas Eve - Bonus Track,Kelly Clarkson,176276.0
391,7iMKIlK6GVvz7ZHTnKAUgX,The Christmas Song,Tore,175492.0
392,2H4c5V0oIfPxuYLBTiUon4,Magkasama tayo sa Kwento ng Pasko - Abs-CBN 2013 Christmas Station Id,ABS-CBN Music All Star,171702.0
393,2xBJS5zxvaTjoDoFT9oNOb,Little Christmas Tree,Michael Jackson,171110.0
394,5FDj2xATUL2z68Ww8Bhmtp,Christmas In New Orleans,"Louis Armstrong, Benny Carter",168452.0
395,11mxOwGHsL3m4QD74augf6,What's Christmas Anyway,Darin,168451.0
396,3KU7Jx3pmSRhBUyFdDokhc,Have Yourself a Merry Little Christmas,"Halloran & Kate, Simon Samaeng",167629.0
397,38ksOH6aNDffQh2y70YQTZ,Someday At Christmas,"Trijntje Oosterhuis, Jeangu Macrooy, Jazz Orchestra of the Concertgebouw",165521.0
398,43uXIWjaFs5pHoMnzDB8BT,Last Christmas - Acoustic,Halloran & Kate,163668.0
399,16TDx529CBiztk1jYn5VyS,All I Want for Christmas Is You,Albin Lee Meldau,162591.0
400,6ojf8Uq0jgu9zJggnifDHg,Christmas in New York,Lea Michele,161955.0
401,1C7WXnqr5h8woxzYk4cCh1,I Heard The Bells on Christmas Day,The Mayries,160466.0
402,5izzF14wPinIBJ0ruPNFBL,Christmas Was A Friend Of Mine,Fay Lovsky,160005.0
403,26mBm1kzLkzKDHw99SbZyb,(it wouldn't be) christmas without you,Wrabel,157265.0
404,3Ym3Pmyl41gdbw53yeTYs2,Wrap Me Up Under the Christmas Tree,A Great Big World,155210.0
405,2S4FEuDvgOn1f3j6r6YS9A,Christmas Was a Friend of Mine,Fay Lovsky,152205.0
406,4A3V4mj9hF9vccGjjm6P4U,Riding Home for Christmas,Klara Hammarström,151857.0
407,1JdQj9WZC1KvDn29v6TAum,Another Christmas,"The Seasonals, Dinah Smith",151016.0
408,3RZ1644OkCh2S412K9z8VB,Perfect Christmas,S Club 7,150435.0
409,3hMlRTbfH7moRXzFMy98SA,Christmas in the Air (Tonight),Scouting For Girls,150297.0
410,14GkIcUm1yKjtwslDA6tHP,The Christmas Song,Aloe Blacc,149377.0
411,1jBJLXad9QdLEAh95COyP2,Merry Christmas Baby,"Trijntje Oosterhuis, Candy Dulfer",145621.0
412,4AhSJjQKqAPhT1A20V9dik,Christmas Morning,Jack Savoretti,144239.0
413,1025UKDHXjdmn453bpsVV6,Just Another Christmas,Anna Bergendahl,144116.0
414,3zFqCWbbxNagawSFg06SLg,I'll Be Home For Christmas,JES,143954.0
415,23odYnrpoTNoBUYQMtpB72,Let It Snow! Let It Snow! Let It Snow!,Ella Fitzgerald,141457.0
416,5FZNkiHoC7fbc30acoRpfb,lonely christmas (feat. Justin Bieber & Poo Bear),Bryson Tiller,139209.0
417,55s6mqsP5QdeoDjXcnCkUM,Gangsta Christmas (feat. E4an),Greekazo,138608.0
418,6FopuqOQtxiCsIb9j0kasz,I Wish You A Merry Christmas,Bing Crosby,136466.0
419,7GozGsvCXSkovTnbzb8YaV,True As Christmas,"Made Of Snow, Jason Dering",136451.0
420,0b4fkbWKpWBSCxGU5P8w36,Christmas Time,Ida Corr,135211.0
421,7pCsl8MhpMZpqZwW4OkjMS,All I Want for Christmas Is You,"Måns Zelmerlöw, Agnes",134772.0
422,4lcOoKiLjBddCcg9FkeIJL,"I Saw Mommy Kissing Santa Claus - Live At Union Chapel, Islington For ""The Gospel According To Christmas"" / BBC Radio 2",Amy Winehouse,133750.0
423,0jf1p05Ysww7I9nlFd6sPW,Now I Know (What I Will Give You For Christmas),Tiril,133687.0
424,6MFTSvaLz28F2fIAxdxgRc,"Upon a Christmas Night - Single, 2004",Michael Learns To Rock,133632.0
425,2h53cEphDT8kUU8OzJylYt,W dzien Bozego Narodzenia / On Christmas Day,Spirituals & Gospel Singers,132234.0
426,6SvzJUQd3FnuOJI1KWl9hq,"Cuddle Up, Cozy Down Christmas","Dolly Parton, Michael Bublé",132077.0
427,3W6PmtGTyLwWBWUYplSWHT,This Christmas,Chris Brown,131967.0
428,42dbPJAyOplvZErnbFUby4,Christmas Kissin' (feat. Jerrod Niemann),The Henningsens,130175.0
429,3EfX8yc6nG0fcbaH7BADXM,I'll Be Home for Christmas,Elvis Presley,129624.0
430,7F1TSO5pw6jCnCtAUW4JmI,We Wish You A Merry Christmas,Clementine Duo,128238.0
431,72Z28IsvEVLjSWdUKEQgZ0,White Christmas,The Drifters,127486.0
432,4QvJZYMTCrosIVgBN2h6dF,Merry Christmas On Your Own (feat. GRANT),Albin Lee Meldau,126117.0
433,4uem1XCcsG4rCk4wl2Why7,Christmasland,Tony Bennett,124865.0
434,0pIMJeqonXQX8yPitfkmoj,"Merry Christmas, My Love",Weeping Willows,124637.0
435,4lsH9KsVtGMLt2r0mVrbhz,What Christmas Means To Me,Hanson,124061.0
436,4dQI4FFpcaQxgz3VlsPYI5,"Christmas Is Just Around The Corner (From ""Cranberry Christmas"")",Barry Manilow,123835.0
437,30QRKfHBopZn6UNqqSJQ9O,The Christmas Sweater,Michael Bublé,121633.0
438,2Gu7uiGb7ZDOQ1O9jZJQEH,This Christmas,John Legend,120445.0
439,7eeAhZkWgquAHJL9mh6ubl,Too Much Christmas,Me & My,120315.0
440,1dGgcMfNIxH6HTX1yAEwG7,I Want To Come Home For Christmas,Marvin Gaye,120243.0
441,13syy8gRhefDlNIBfe0ZKh,Please Come Home For Christmas,B.B. King,114651.0
442,2mOtx6P21hecOcPoVuZbzF,Please Come Home for Christmas,Luther Vandross,114460.0
443,6ufGxYHEaHNoF3Wvr3xMuj,White Christmas,OneRepublic,112695.0
444,5L332BUjMX7mz1B694taiq,Don't Save It All for Christmas Day,Céline Dion,111563.0
445,6vK2HQWBY4yx3inKMCo4RL,Happy Christmas (War Is Over),Sam Martin,106494.0
446,2g2N78BH9x4iAzeSvjG7dU,All I Want For Christmas Is You,Mariah Carey,106200.0
447,16GhQObA6sk3hiJfX99pH6,White Christmas,Angelina Jordan,105964.0
448,0TL0ExoiAFHfKgb6oTbNcW,Blue Christmas,"Elvis Presley, Royal Philharmonic Orchestra",103737.0
449,7HAQ9eoqbo2hoU8T2PhW6A,This Christmas,Christina Martin,101679.0
450,5birS4uHhyk6koWxmvXQtF,Driving Home For Christmas,Michael Ball,100577.0
451,5TN42y2ut6ATB0IDEEgQay,It's Beginning to Look a Lot Like Christmas,Noah Cyrus,100268.0
452,6kO2O6UI7xj6nRNQ5H5ms6,Someday At Christmas,Jack Johnson,99961.0
453,4Z6vxJ173RADJEdgEF6ns7,White Christmas,Dean Martin,98983.0
454,70y9Vle659GH7TI0w6RraH,It's Beginning to Look a Lot Like Christmas,"Harry Connick, Jr.",98949.0
455,1DGYmHLYkwyCmvDEL3ctti,Christmas Day,Dido,98520.0
456,4sCnL9lKo8Zo4ofexdxB48,It's a Soulful Christmas,Michelle David & The True-tones,97919.0
457,7beYBowpIMDjpdfXi2GH4S,"The Christmas Song - Spotify Singles - Holiday, Recorded at Spotify Studios NYC",Wyclef Jean,97784.0
458,24JJVSTsuITy33xTWLvagK,Driving Home For Christmas,Gavin James,96729.0
459,15GEl4FSHbqomOgWVvRmqd,Christmas Time Is Here,Jill Johnson,94489.0
460,7tueiSKOb72tgbFC4ezGjt,Happy Merry Christmas,Happy Merry,92538.0
461,6hy6io0GXyUf8pP9rkBNVx,Surviving Christmas,"Jherek Bischoff, Sondre Lerche",92088.0
462,2TZRkEYYVQBB8fMxprp3T5,Twilight At Christmas Eve,Edda Magnason,91558.0
463,6HoRmOP0IPUtDbRa6d0NwJ,We Wish You A Merry Christmas,The Vamps,91308.0
464,4MVu2AqiA4eiZGoLZLwF8t,This Christmas Day,Jessie J,90397.0
465,0TPqD8SrPHpGVtPJQk2PmR,The Christmas Waltz,Frank Sinatra,90027.0
466,0ppkfzUSb3yGGakmniUW7d,Thank You for Being a Friend (Christmas Duet),"Andrew Gold, Alyssa Bonagura",89562.0
467,6PZaNvcth74ko7Ld0vB8Gm,Christmas Blues,"Sabrina Claudio, The Weeknd",87855.0
468,0IftMNKb34idqj5r0tJhRR,Christmas of Love,Sunny Day Service,86471.0
469,1N5QWchFtWyksichHzBIGN,It´s Christmas,Björn Skifs,84693.0
470,3KXrvaeo4kDn0L2QG2ZOt5,Hacia Belén Va Una Burra (Christmas Song In Spanish),"Mr. David ""The Gnomo"" And His Friends",82433.0
471,6ShAxK5egTFaalJMty15Si,Someday At Christmas,Jack Johnson,80767.0
472,6K9qv0rAJ0QUjPnlRpMwvd,Christmas In New Orleans,"Louis Armstrong, Benny Carter",80467.0
473,3drPcekysGfjSyicFRLP7X,Do They Know It's Christmas? - 2004 Version,Band Aid 20,79651.0
474,6KkhOgSDGhkAmHehorJQ2V,All Alone On Christmas,Darlene Love,79560.0
475,1x5z3PH3lEY5spBvVRi4Zq,Christmas Alphabet,Dickie Valentine,79309.0
476,0ghnjg1XxUSC4GxKFIVqbF,A Wish On Christmas Night,Jose Mari Chan,77869.0
477,2IxkuwTVw6fVkPCNZUkOQm,The Christmas Song (Chestnuts Roasting On An Open Fire),Mary J. Blige,75093.0
478,4HHus1qraBqo6WwChX2VYa,"Merry Christmas, Baby","Rod Stewart, CeeLo Green, Trombone Shorty",74611.0
479,6JPkzuFuar662x4L6HD0FQ,Christmas Lullaby,Weeping Willows,74055.0
480,0WS5DKZ6QnHvFYBk8lRRm0,This Christmas,CeeLo Green,72884.0
481,2Z7Fr8IfRdG0Ky0qLyGcVh,Love Me Like You - Christmas Mix,Little Mix,72488.0
482,1qMFPGEDGw8RhHMcyaGoIi,J5 Christmas Medley,The Jackson 5,72281.0
483,5gWJr20lfpkdmUh9wo7V1W,Is This Christmas? - Radio Edit,The Wombats,71594.0
484,6r7dQe9qCH3ag5orO2WnJw,All I Want For Christmas Is You,Laurence Nerbonne,70087.0
485,1kgSp5mPLDyz27X9TiCM84,Something for Christmas,"Metropole Orkest, Caro Emerald",69081.0
486,0IFRryvzLxtpzjj3mghmFp,I'll Be Home For Christmas,The Platters,68622.0
487,0KaUTLgQTHW0hIRi9vuPEF,Christmas Bonus,Aegis,66856.0
488,1hXf5MvFbwVFv2z5W91Bmb,Blue Christmas - with The Royal Philharmonic Orchestra,Elvis Presley,66575.0
489,7BxVJb3B4E02Vd1Sf2UNkF,"Merry Christmas, I Love You",James Brown,66067.0
490,0ZENQOimqc6A1jbxgriW9P,I Want To Come Home For Christmas,Marvin Gaye,65902.0
491,6Q7uB8wsTrqj2KFbhFLHLZ,Christmas Tonight,"Dave Barnes, Hillary Scott",64990.0
492,200f30RDLgsb9bKvlRp9rC,Peace On Earth / Little Drummer Boy,"Bing Crosby, David Bowie, London Symphony Orchestra",63311.0
493,2U9kDk5mlHYunC7PvbZ8KX,That's Christmas to Me,Pentatonix,61767.0
494,3FLo2Axjd3CB22BUbrcJmZ,Christmas Song,Cocoon,59514.0
495,3UfLOf8Al79ahPJVwa9Psg,Lonely Christmas,Eason Chan,59224.0
496,7oEY6wBJGOVyUllAJJcll2,this is our christmas song,Tusse,59194.0
497,285Be304psIcCJH3gHFMWp,Give Love On Christmas Day,The Jackson 5,58779.0
498,186NCtNk1tUYS7c2DxgJ7O,Christmas Tree,V,58709.0
499,3nT8a2dpO8tnJpNFja7axz,I'll Be Home For Christmas,Janice,58541.0
500,2apgg7btZvUsir0gMyUIFD,Perfect Christmas,S Club 7,58431.0
501,7l7FQufQxYcuEQ7u28ur37,Blackout Christmas,VÉRITÉ,55698.0
502,3cZRpCsi78sk2u4XW0vosp,Please Come Home For Christmas,Ryland James,55636.0
503,35Uvv0jctz4Kq9sjWOMSLf,Last Christmas,Linnea Henriksson,55465.0
504,4dTIX4OfjS2uEIRukvNuOB,A Christmas Song for You,Jose Mari Chan,55154.0
505,35UIXefpdE3Q6HXH4jM2nG,A Christmas Song,"Monkey Majik, Kazumasa Oda",54894.0
506,5ryjlKuQ1J5cACtZ7BdZ9z,Last Christmas,Meghan Trainor,54851.0
507,6iBmSY3stWoB1MkrebimZ8,Christmas,John Lundvik,54247.0
508,3EbXTGemXMJGiulLHooO9A,Give Love on Christmas Day,"Daniel Padilla, Kathryn Bernardo",54002.0
509,5UvhDNAfOgSt3xVN8Us4wn,It's Beginning To Look A Lot Like Christmas,Mila Crowell,53939.0
510,6r2QqSbil8Din17Y51Scen,Have Yourself A Merry Little Christmas,"Madeleine Peyroux, Michel Legrand",53305.0
511,2F8GPfzDGBTz3vuPkOxLXJ,Happy Christmas (War Is Over) - Bonus Track,Maroon 5,52655.0
512,7Aa29p8KOcIfetl0h6pyFh,I Wanna Kiss You So [Christmas In A Nutshell],Girls Aloud,52642.0
513,6dEtlgS8BpdsgdYsXfOclm,I'll Be Home For Christmas - Acoustic,Sara Farell,51694.0
514,5zxg6E8Snt5IoTjhjBnofE,have yourself a merry little christmas,"blondette, sweet planet",51117.0
515,7H0ABcbcZLjVD83SgeU19l,White Christmas,Dean Martin,50152.0
516,06sxPgsxLm77Xl0w0ny7fH,This Christmas,Seal,50007.0
517,6r5vsI0vAYxFXuL6wooznb,Last Christmas,Nef Medina,49867.0
518,3XNNcCld76D4zBrmM4n7gh,Blue Christmas,Christmas Jazz Trio,49398.0
519,4A4w4qF7Cl10u90FSnE8hA,It's Time For Christmas,"Snow Dept., Jesper Pettersson",48480.0
520,3hK8YULXQo7IaSKtzQvdh7,I'd Like You For Christmas,Jaimee Paul,48183.0
521,4OUqlDxPpLwcTFK8eqx8J1,Christmas (Baby Please Come Home),Gaspard Royant,47913.0
522,00eqFR8ToEkH69y5QwH4kE,Christmas Dreaming,Frank Sinatra,47468.0
523,2jx2HvRep6h3GqxRbX2qpJ,Something For Christmas,"Caro Emerald, Metropole Orkest",47141.0
524,3IW59azrJZLpE7hUUMK2E6,A Holly Jolly Christmas,Lady A,46993.0
