,1,2,42,43,44,45,46,47,48,49,50,51,52,53
MX,,,,,,,,,,1340608.0,918368.0,882675.0,874254.0,686056.0
ID,,,,,,,,,,87605.0,93386.0,142108.0,203202.0,191852.0
EC,,,,,,,,,,72206.0,47825.0,39668.0,57622.0,36677.0
VE,,,,,,,,,,23980.0,21842.0,18576.0,32829.0,
KZ,32293.0,,,,,,,,,20385.0,22368.0,20442.0,26132.0,
SV,,,,,,,,,,13292.0,13353.0,11198.0,16353.0,
NI,,,,,,,,,,9969.0,2015.0,6365.0,11131.0,
PE,,,,,,,,,,,163564.0,62305.0,106353.0,88458.0
RU,137364.0,,,,,,,,,,118530.0,133149.0,194604.0,275017.0
SA,,,,,,,,,,,18508.0,,15593.0,
AD,,,,,,,,,,,1459.0,,2418.0,1578.0
CL,,,,,,,,,,,,287003.0,358127.0,189501.0
TR,,,,,,,,,,,,34220.0,41936.0,14355.0
CO,,,,,,,,,,,,29021.0,46158.0,
BO,,,,,,,,,,,,2515.0,17598.0,
PY,,,,,,,,,,,,2125.0,27308.0,
BR,,,,,,,,,,,,,1014749.0,
AR,,,,,,,,,,,,,281026.0,
IN,,,,,,,,,,,,,130161.0,
UY,,,,,,,,,,,,,14745.0,
EG,,,,,,,,,,,,,6623.0,
