Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
Taylor Swift - tolerate it,1,,174,,1233,1233,Taylor Swift,tolerate it
Pop Smoke - Backseat,1,,113,,1233,1233,Pop Smoke,Backseat
Young Thug - Tick Tock,1,,65,,1233,1233,Young Thug,Tick Tock
Juice WRLD - Desire,1,,113,,1232,1232,Juice WRLD,Desire
Young Thug - Lil Baby,1,,115,,1232,1232,Young Thug,Lil Baby
Future - Good Dope,1,,61,,1232,1232,Future,Good Dope
Trippie Redd - Shake It Up,1,,121,,1232,1232,Trippie Redd,Shake It Up
Elly Vilhjálms og Ragnar Bjarnason - Hvít jól,1,,151,,1231,1231,Elly Vilhjálms og Ragnar Bjarnason,Hvít jól
Una Torfa - Eina sem er eftir,1,,151,,1231,1231,Una Torfa,Eina sem er eftir
"kef LAVÍK - Rauðar heitar sumarnætur, bílferðir og flugvélar",1,,132,,1231,1231,kef LAVÍK,"Rauðar heitar sumarnætur, bílferðir og flugvélar"
Inspector Spacetime - Hvað sem er,1,,91,,1231,1231,Inspector Spacetime,Hvað sem er
Baltigull - Farið Til Þín,1,,190,,1230,1230,Baltigull,Farið Til Þín
DANIEL SAGATTO - Shine Moon Shine,1,,155,,1230,1230,DANIEL SAGATTO,Shine Moon Shine
Central Cee - I Will,1,,134,,1230,1230,Central Cee,I Will
Migos - Antisocial,1,,102,,1230,1230,Migos,Antisocial
Offset - Danger (Spider) (Offset & JID),1,,87,,1229,1229,Offset,Danger (Spider) (Offset & JID)
Justin Timberlake - Higher Higher,1,,82,,1229,1229,Justin Timberlake,Higher Higher
Kenny Rogers - Coward Of The County,1,,86,,1228,1228,Kenny Rogers,Coward Of The County
Made - Beautiful Allure,1,,97,,1228,1228,Made,Beautiful Allure
Úlfur Úlfur - Salt,1,,120,,1228,1228,Úlfur Úlfur,Salt
Black Eyed Peas - Just Can’t Get Enough,1,,105,,1228,1228,Black Eyed Peas,Just Can’t Get Enough
Sinéad O'Connor - All Apologies,1,,87,,1228,1228,Sinéad O'Connor,All Apologies
Ski Mask The Slump God - Reborn To Rebel,1,,155,,1228,1228,Ski Mask The Slump God,Reborn To Rebel
Floni - Yung,1,,98,,1227,1227,Floni,Yung
KSI - Flash It,1,,132,,1227,1227,KSI,Flash It
"ASMR Sleep Chills - ASMR - Fast Tapping, Pt. 5",1,,97,,1227,1227,ASMR Sleep Chills,"ASMR - Fast Tapping, Pt. 5"
Emmsjé Gauti - Upprisinn er hann (jólasaga),1,,130,,1227,1227,Emmsjé Gauti,Upprisinn er hann (jólasaga)
BlazRoca - Viltu dick?,1,,164,,1226,1226,BlazRoca,Viltu dick?
Emmsjé Gauti - Bensín,1,,166,,1226,1226,Emmsjé Gauti,Bensín
Future - Zoom,1,,62,,1226,1226,Future,Zoom
Young Thug - Cruise Ship,1,,93,,1225,1225,Young Thug,Cruise Ship
Pusha T - What Would Meek Do?,1,,130,,1225,1225,Pusha T,What Would Meek Do?
The Lofi Room - Shadows of Silk,1,,146,,1223,1223,The Lofi Room,Shadows of Silk
Ezekiel Carl - Ekki fara,1,,95,,1223,1223,Ezekiel Carl,Ekki fara
Jimmy Sun - Vibin',1,,144,,1223,1223,Jimmy Sun,Vibin'
Lil Pump - Boss,1,,89,,1222,1222,Lil Pump,Boss
Chaka Khan - I'm Every Woman,1,,76,,1222,1222,Chaka Khan,I'm Every Woman
Nicki Minaj - Barbie Tingz,1,,95,,1222,1222,Nicki Minaj,Barbie Tingz
Lil Uzi Vert - Patience,1,,110,,1222,1222,Lil Uzi Vert,Patience
Lil Baby - Grace,1,,91,,1221,1221,Lil Baby,Grace
"Júlí Heiðar - Haltu mér, slepptu mér",1,,150,,1221,1221,Júlí Heiðar,"Haltu mér, slepptu mér"
Svala - Sjálfbjarga,1,,91,,1221,1221,Svala,Sjálfbjarga
James Bay - If You Ever Want To Be In Love,1,,94,,1221,1221,James Bay,If You Ever Want To Be In Love
Trippie Redd - Negative Energy,1,,156,,1221,1221,Trippie Redd,Negative Energy
Migos - Open It Up,1,,95,,1221,1221,Migos,Open It Up
Ed Sheeran - The Joker And The Queen,1,,99,,1221,1221,Ed Sheeran,The Joker And The Queen
Lil Yachty - COUNT ME IN,1,,96,,1220,1220,Lil Yachty,COUNT ME IN
Show-Menn - Moshpit,1,,94,,1220,1220,Show-Menn,Moshpit
DHARMYFRET - Soja,1,,126,,1219,1219,DHARMYFRET,Soja
Muse - Mercy,1,,54,,1219,1219,Muse,Mercy
ScHoolboy Q - Water,1,,119,,1218,1218,ScHoolboy Q,Water
Guy Sebastian - Tonight Again,1,1.0,7,,1218,1218,Guy Sebastian,Tonight Again
Ra:tio - Dans Við Mig,1,,103,,1218,1218,Ra:tio,Dans Við Mig
Muse - Won’t Stand Down,1,,70,,1218,1218,Muse,Won’t Stand Down
Metro Boomin - No Complaints,1,,145,,1217,1217,Metro Boomin,No Complaints
Future - Promise U That,1,,118,,1217,1217,Future,Promise U That
Bryson Tiller - Whatever She Wants [BONUS],1,,140,,1217,1217,Bryson Tiller,Whatever She Wants [BONUS]
Foster The People - Pumped Up Kicks,1,,82,,1217,1217,Foster The People,Pumped Up Kicks
ABBA - Keep An Eye On Dan,1,,88,,1216,1216,ABBA,Keep An Eye On Dan
Trippie Redd - Bird Shit,1,,122,,1216,1216,Trippie Redd,Bird Shit
Natan Berg - SAMA HVERT ÉG FER,1,,120,,1216,1216,Natan Berg,SAMA HVERT ÉG FER
The Lofi Room - Hushed Horizon,1,,148,,1216,1216,The Lofi Room,Hushed Horizon
Una Torfa - Dropi í hafi,1,,172,,1216,1216,Una Torfa,Dropi í hafi
