year,calendar_week,Global,tavg,tmax,tmin,snow
2019,7,42791807.0,16.95286172605147,37.85714285714285,-31.981528559471325,330.55555555555554
2019,8,33540456.0,17.52066073921012,36.83061224489796,-26.375861526806908,299.50943396226415
2019,9,30208858.0,17.729720743248137,36.885714285714286,-22.32122052704577,302.83673469387753
2019,10,27750780.0,18.248599164925274,38.88095238095239,-21.632732316227465,305.1777777777778
2019,11,25995044.0,18.536970440507595,39.23333333333333,-19.59226551226551,277.98039215686276
2019,12,25581319.0,19.130951922755116,40.32380952380952,-23.79961038961039,243.40816326530611
2019,13,25516600.0,19.328917168821494,40.84047619047619,-19.68272727272728,240.2608695652174
2019,14,24093518.0,19.924011669106058,41.45244897959184,-15.061948051948052,229.45238095238096
2019,15,22527654.0,20.42048929611807,42.62591836734693,-8.865435160978702,178.22222222222223
2019,16,22086822.0,20.493186872076645,40.71663003663004,-9.472619047619048,192.92857142857142
2019,17,21118510.0,21.148619583448987,41.572747252747256,-10.957683982683983,198.1315789473684
2019,18,21405754.0,21.56889832015818,42.928770277341705,-6.281442542375735,170.5609756097561
2019,19,22596229.0,21.48666685438565,43.44380952380953,-4.107359307359308,185.125
2019,20,25102368.0,21.95627695985621,41.67919413919414,-3.9666666666666672,159.12121212121212
2019,21,28822970.0,22.55501640095156,41.04,-2.377705627705628,173.74074074074073
2019,22,28084542.0,22.707540087574383,45.05714285714286,-1.3015151515151513,145.80645161290323
2019,23,28736653.0,23.422692157543292,46.08571428571429,-0.8638528138528139,142.53571428571428
2019,24,27681740.0,23.948998060526336,48.285714285714285,1.209523809523809,138.92307692307693
2019,25,26391283.0,24.300387354697556,46.57142857142857,2.3235930735930737,114.53571428571429
2019,26,25519918.0,24.572975436753197,47.04285714285714,1.612121212121212,110.64285714285714
2019,27,24942833.0,24.32227325135098,48.21428571428572,0.1,117.69565217391305
2019,28,25468847.0,24.02775084556532,47.54285714285714,0.6918760700933697,102.0
2019,29,30771993.0,23.878142934172914,45.74285714285714,2.628571428571429,121.10714285714286
2019,30,29502891.0,24.665912822660324,47.871428571428574,2.956471094477424,223.40740740740742
2019,31,29265536.0,24.568922387081894,47.42857142857143,2.656305962555962,262.0
2019,32,30261822.0,24.397687635477578,47.57142857142857,1.5902185609358603,263.6333333333333
2019,33,30417391.0,24.333586801275267,47.04285714285714,0.1330050175250596,285.2068965517241
2019,34,31105673.0,23.951845351574452,46.25714285714286,2.128602932463692,277.6551724137931
2019,35,26127846.0,24.518492992786726,46.35714285714285,3.538095238095238,298.15384615384613
2019,36,26898289.0,23.842287771315778,47.8,1.966785601936295,267.13793103448273
2019,37,27619062.0,23.133934634304406,43.642857142857146,0.4404761904761903,259.3030303030303
2019,38,29378695.0,22.95005729691176,45.08571428571429,-0.2883333333333334,295.13793103448273
2019,39,28663979.0,22.46758175026952,42.98571428571428,-0.0942640692640692,284.6
2019,40,28991271.0,22.34233925788833,44.285714285714285,0.492099567099567,266.05263157894734
2019,41,29613254.0,21.36719446726666,39.885714285714286,-3.565973993373374,242.58536585365854
2019,42,29650579.0,21.62603616232239,38.7,-7.703582643036425,269.1081081081081
2019,43,29661465.0,21.301805052806152,38.771428571428565,-7.448168460576096,270.97435897435895
2019,44,31040575.0,20.551239603553288,37.67142857142857,-6.318185849238481,295.9512195121951
2019,45,29831264.0,19.95382463897367,38.32969649398221,-8.393939393939394,156.0952380952381
2019,46,29602096.0,19.27595920953083,37.570308738880165,-12.766917293233082,171.1818181818182
2019,47,29388539.0,18.793005975272745,38.35751962323391,-19.822201844227497,177.48837209302326
2019,48,28547703.0,18.198895262695938,39.285714285714285,-23.25931005415825,191.08333333333334
2019,49,28135322.0,17.512725095431414,36.89206349206349,-21.876098671443497,148.21153846153845
2019,50,30496689.0,17.203522706398875,35.73015873015873,-19.137417569898776,155.14814814814815
2019,51,43053568.0,17.620999237299436,35.20793650793651,-21.67968665005611,187.14285714285714
2019,52,35233996.0,17.624601857567676,37.8,-24.794685345902387,210.24444444444444
2020,1,40068483.0,16.692323311062754,34.98510204081633,-28.057971128853485,189.69230769230768
2020,2,40498133.0,16.389397889184682,33.72857142857143,-25.41081589414471,260.8076923076923
2020,3,38661731.0,16.471112804898425,35.528571428571425,-27.97912410490512,243.62264150943398
2020,4,36743844.0,16.412368022264566,35.05102040816327,-24.815032744490168,269.4339622641509
2020,5,37286194.0,16.689267975540393,36.871428571428574,-23.620882676446588,285.78
2020,6,36962045.0,17.347719862801387,37.12857142857143,-27.085898384958536,261.03846153846155
2020,7,36590331.0,17.232156768347988,37.4,-20.932919254658383,244.2982456140351
2020,8,36325991.0,17.99394194893035,38.37857142857143,-22.78834160617995,286.21276595744683
2020,9,36338194.0,18.247333350887544,38.221428571428575,-18.87878787878788,261.2352941176471
2020,10,37830984.0,18.544487149302206,39.74285714285714,-21.8948051948052,268.734693877551
