Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
ooes - последнее лето,657,,17,,11161,4954926,ooes,последнее лето
Parfeniuk - Долоні,490,,14,,14506,4918613,Parfeniuk,Долоні
KALUSH - Файна,596,2.0,10,,14264,4862605,KALUSH,Файна
Dxrk ダーク - RAVE,547,59.0,3,(x2),21147,4855603,Dxrk ダーク,RAVE
SadSvit - Персонажі,706,,19,,10555,4809774,SadSvit,Персонажі
MUPP - vendetta!,532,81.0,3,(x8),16028,4799381,MUPP,vendetta!
zhanulka - портреты - Acoustic,604,2.0,10,,13108,4729417,zhanulka,портреты - Acoustic
DOROFEEVA - А я все плакала,189,121.0,1,(x2),57050,4728477,DOROFEEVA,А я все плакала
KOLA - Біля серця,564,,12,,12954,4704036,KOLA,Біля серця
Arctic Monkeys - Why'd You Only Call Me When You're High?,687,,37,,10577,4695199,Arctic Monkeys,Why'd You Only Call Me When You're High?
Artem Pivovarov - Барабан,182,118.0,1,(x23),57797,4691853,Artem Pivovarov,Барабан
Eminem - Without Me,826,,20,,14160,4643650,Eminem,Without Me
Після Дощу - Хочеш,469,,12,,15564,4505367,Після Дощу,Хочеш
Kill Eva - Psycho Dreams (Sped Up),453,51.0,7,,20800,4437967,Kill Eva,Psycho Dreams (Sped Up)
Måneskin - I WANNA BE YOUR SLAVE,527,111.0,1,(x2),41871,4375427,Måneskin,I WANNA BE YOUR SLAVE
Doja Cat - Paint The Town Red,337,86.0,1,(x50),36304,4373680,Doja Cat,Paint The Town Red
MamaRika - Люди,543,,22,,12772,4367903,MamaRika,Люди
Kenya Grace - Strangers,389,79.0,2,(x24),26263,4363565,Kenya Grace,Strangers
David Guetta - I'm Good (Blue),696,2.0,2,(x1),20616,4359041,David Guetta,I'm Good (Blue)
Кишлак - Самый лучший день,581,,25,,13343,4318839,Кишлак,Самый лучший день
Wellboy - Забий,251,133.0,3,(x4),24268,4282125,Wellboy,Забий
100лиця - Чорнобрива,588,,19,,11403,4282020,100лиця,Чорнобрива
OKS - Ніченька,408,,21,,16758,4215935,OKS,Ніченька
ooes - зима,694,,11,,10645,4196539,ooes,зима
Kalush Orchestra - Це любов,309,37.0,5,,21632,4140669,Kalush Orchestra,Це любов
Arctic Monkeys - 505,713,,65,,8061,4121420,Arctic Monkeys,505
INTERWORLD - METAMORPHOSIS 3,343,76.0,1,(x8),47541,4114949,INTERWORLD,METAMORPHOSIS 3
KRBK - Художник,618,,48,,11409,4088843,KRBK,Художник
Sam Smith - Unholy,343,89.0,1,(x29),51273,4083678,Sam Smith,Unholy
rizza - плачь,521,49.0,6,,20147,4001343,rizza,плачь
DOROFEEVA - Хай пишуть,322,1.0,10,,17671,4000438,DOROFEEVA,Хай пишуть
10AGE - Ау,801,,20,,9005,3968221,10AGE,Ау
Tate McRae - greedy,343,19.0,8,,18962,3959134,Tate McRae,greedy
Кишлак - Эй,584,,38,,10433,3956422,Кишлак,Эй
ssshhhiiittt! - Танцы,922,,39,,8183,3917421,ssshhhiiittt!,Танцы
Eminem - Mockingbird,500,36.0,1,(x1),25644,3906218,Eminem,Mockingbird
SadSvit - Небо,549,,22,,14007,3888793,SadSvit,Небо
Шайни - Yeyo!,486,31.0,5,,20497,3870987,Шайни,Yeyo!
DOROFEEVA - вотсап,490,,13,,11565,3836029,DOROFEEVA,вотсап
Skryptonite - Положение,644,14.0,9,,9784,3802662,Skryptonite,Положение
Motor'Rolla - Восьмий колір,673,,65,,7682,3789573,Motor'Rolla,Восьмий колір
AP$ENT - Можно я с тобой,234,60.0,1,(x20),61949,3782460,AP$ENT,Можно я с тобой
YARMAK - ДИКЕ ПОЛЕ,512,,19,,10906,3779648,YARMAK,ДИКЕ ПОЛЕ
Klavdia Petrivna - Хто ти,387,,14,,15114,3764845,Klavdia Petrivna,Хто ти
