Link Artist,Artist,Streams,Daily,As lead,Solo,As feature
/spotify/artist/1XkoF8ryArs86LZvFOkbyr_songs.html,Mary J. Blige,"3,022.9",1.495,"2,293.2","1,730.2",729.8
/spotify/artist/4QvgGvpgzgyUOo8Yp8LDm9_songs.html,Mrs. GREEN APPLE,"3,021.5",4.373,"3,021.5","2,715.9",
/spotify/artist/2IDLDx25HU1nQMKde4n61a_songs.html,Rich Brian,"3,021.2",0.694,"1,575.0","1,016.3","1,446.2"
/spotify/artist/0XK6kT7xcZAlcYrNjOgzJe_songs.html,Carla Morrison,"3,018.2",1.635,"2,327.1","2,240.1",691.1
/spotify/artist/3r17AfJCCUqC9Lf0OAc73G_songs.html,Fergie,"3,017.1",1.234,"2,736.4","1,211.2",280.7
/spotify/artist/33qOK5uJ8AR2xuQQAhHump_songs.html,Teddy Swims,"3,017.0",9.656,"2,638.0","2,529.3",379.0
/spotify/artist/26T4yOaOoFJvUvxR87Y9HO_songs.html,Bethel Music,"3,016.3",1.338,"3,016.3",320.8,
/spotify/artist/4rTv3Ejc7hKMtmoBOK1B4T_songs.html,Ali Gatie,"3,008.7",0.727,"2,738.2","2,521.1",270.4
/spotify/artist/3hBQ4zniNdQf1cqqo6hzuW_songs.html,Salmo,"3,007.8",0.872,"1,923.7","1,053.6","1,084.2"
/spotify/artist/3HqSLMAZ3g3d5poNaI7GOU_songs.html,IU,"3,007.6",1.151,"2,684.0","2,054.4",323.6
/spotify/artist/3ApUX1o6oSz321MMECyIYd_songs.html,Quinn XCII,"3,007.0",0.488,"2,146.0","1,473.8",861.0
/spotify/artist/0a1gHP0HAqALbEyxaD5Ngn_songs.html,Rascal Flatts,"3,005.1",1.034,"2,914.2","2,858.8",90.8
/spotify/artist/6AUl0ykLLpvTktob97x9hO_songs.html,Tee Grizzley,"2,990.1",1.625,"2,555.2","1,226.3",434.9
/spotify/artist/28uJnu5EsrGml2tBd7y8ts_songs.html,Vintage Culture,"2,988.2",1.460,"1,701.2",109.2,"1,287.0"
/spotify/artist/6vTqEFbTtTRJsuIpzZgjxi_songs.html,Grupo Menos Ã Mais,"2,981.1",4.828,"2,470.3","1,137.1",510.8
/spotify/artist/3LZZPxNDGDFVSIPqf4JuEf_songs.html,Ice Spice,"2,976.7",1.925,"1,453.0",955.9,"1,523.7"
/spotify/artist/6bmlMHgSheBauioMgKv2tn_songs.html,Powfu,"2,976.3",0.956,"2,632.3",230.5,344.0
/spotify/artist/5XKFrudbV4IiuE5WuTPRmT_songs.html,Stephen Sanchez,"2,974.7",2.477,"2,974.7","1,818.7",
/spotify/artist/3rfM2cGqF6DB0kUyytMkXx_songs.html,Orochi,"2,965.8",2.634,"1,844.6",25.1,"1,121.2"
/spotify/artist/5W5bDNCqJ1jbCgTxDD0Cb3_songs.html,Willie Nelson,"2,965.5",1.496,"1,543.8","1,218.2","1,421.7"
/spotify/artist/4TK1gDgb7QKoPFlzRrBRgR_songs.html,Los Enanitos Verdes,"2,965.3",2.061,"2,817.4","2,816.4",148.0
/spotify/artist/6PvvGcCY2XtUcSRld1Wilr_songs.html,Silk Sonic,"2,962.2",1.728,,,"2,962.2"
/spotify/artist/2CmaKO2zEGJ1NWpS1yfVGz_songs.html,Falling In Reverse,"2,960.9",2.350,"2,960.9","2,856.8",
/spotify/artist/0MeLMJJcouYXCymQSHPn8g_songs.html,Sleeping At Last,"2,960.2",0.878,"2,950.3","2,944.9",9.9
/spotify/artist/687cZJR45JO7jhk1LHIbgq_songs.html,Tems,"2,957.7",3.207,"1,259.8","1,104.8","1,697.9"
/spotify/artist/7gW0r5CkdEUMm42w9XpyZO_songs.html,Laufey,"2,957.3",5.444,"2,771.4","2,368.7",185.9
/spotify/artist/1WgXqy2Dd70QQOU7Ay074N_songs.html,AURORA,"2,941.8",1.807,"2,767.3","2,653.4",174.6
/spotify/artist/6OBGbSaBUvQtk9wpQfDbOE_songs.html,Kevin Kaarl,"2,941.7",1.819,"2,902.9","2,892.1",38.7
