Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
Dua Lipa - Don't Start Now,845,209.0,1,(x2),6244,1876451,Dua Lipa,Don't Start Now
Mr.Kitty - After Dark,849,,16,,3552,1871241,Mr.Kitty,After Dark
Tiësto - The Business,694,197.0,1,(x13),5654,1823596,Tiësto,The Business
Kanye West - Flashing Lights,872,,22,,4021,1816754,Kanye West,Flashing Lights
Dua Lipa - Levitating,739,42.0,5,,5413,1802446,Dua Lipa,Levitating
TV Girl - Cigarettes out the Window,807,,31,,3819,1766633,TV Girl,Cigarettes out the Window
TV Girl - Lovers Rock,727,,27,,3759,1760207,TV Girl,Lovers Rock
Vaidas Baumila - Myliu,711,,20,,5869,1760039,Vaidas Baumila,Myliu
GJan - Važiuoju Kur Širdis,489,85.0,3,(x1),11202,1742590,GJan,Važiuoju Kur Širdis
Sabrina Carpenter - Espresso,195,99.0,2,(x9),15556,1741870,Sabrina Carpenter,Espresso
Labrinth - Formula,943,,19,,3396,1735160,Labrinth,Formula
Hozier - Too Sweet,215,44.0,2,(x16),15414,1733618,Hozier,Too Sweet
Saulės Kliošas - Paskambink Man,709,124.0,2,(x12),5708,1731661,Saulės Kliošas,Paskambink Man
Jessica Shy - Žvaigždės,146,139.0,1,(x53),36689,1727723,Jessica Shy,Žvaigždės
Katarsis - Vasarą galvoj minoras,739,24.0,5,,4668,1715066,Katarsis,Vasarą galvoj minoras
Matt Sassari - Give It To Me - Full Vocal Mix,732,,45,,3657,1711850,Matt Sassari,Give It To Me - Full Vocal Mix
Travis Scott - FE!N,449,12.0,4,,10511,1693533,Travis Scott,FE!N
Lil Nas X - INDUSTRY BABY,440,175.0,2,(x10),9568,1693215,Lil Nas X,INDUSTRY BABY
Frank Ocean - Pink + White,700,,28,,4041,1683158,Frank Ocean,Pink + White
Metro Boomin - Creepin',439,117.0,1,(x17),9836,1677670,Metro Boomin,Creepin'
Rokas Yan - Gegužis,162,111.0,1,(x2),24064,1671852,Rokas Yan,Gegužis
Vance Joy - Riptide,1002,,13,,3515,1665868,Vance Joy,Riptide
Sisters On Wire - Mėlyna Mėlyna,786,28.0,7,,4621,1656769,Sisters On Wire,Mėlyna Mėlyna
OG Version - YES,820,16.0,2,(x1),6734,1648853,OG Version,YES
Teddy Swims - Lose Control,337,22.0,7,,8093,1631763,Teddy Swims,Lose Control
Benson Boone - Beautiful Things,279,64.0,4,,10512,1628782,Benson Boone,Beautiful Things
Doja Cat - Paint The Town Red,312,98.0,1,(x20),14731,1620883,Doja Cat,Paint The Town Red
Furytto - Atvirai,855,,26,,3928,1620029,Furytto,Atvirai
Proflame - NUOTYKIS,630,,27,,4359,1618483,Proflame,NUOTYKIS
MEDUZA - Bad Memories,576,,13,,5054,1618416,MEDUZA,Bad Memories
Doja Cat - Woman,500,96.0,6,,7206,1612999,Doja Cat,Woman
Tory Lanez - The Color Violet,632,,16,,3785,1604785,Tory Lanez,The Color Violet
Surf Curse - Freaks,823,,17,,3278,1591302,Surf Curse,Freaks
TV Girl - Not Allowed,779,,18,,4243,1582800,TV Girl,Not Allowed
The Game - Hate It Or Love It,683,3.0,9,,5772,1581528,The Game,Hate It Or Love It
Billie Eilish - BIRDS OF A FEATHER,160,139.0,1,(x8),14834,1573377,Billie Eilish,BIRDS OF A FEATHER
Adrina - Ko Tau Reikia,505,5.0,8,,7280,1565292,Adrina,Ko Tau Reikia
Wham! - Last Christmas,316,188.0,1,(x57),30622,1562120,Wham!,Last Christmas
