time,tavg,tmax,tmin,snow
2014-12-11,16.73886783194278,36.89523809523809,-23.35971189643822,245.19148936170214
2015-12-17,16.680843539407558,34.535714285714285,-26.625,270.3191489361702
2016-12-15,16.82255084667671,36.3,-22.69977009980345,184.80769230769232
2017-12-14,16.46022865603495,36.01428571428571,-23.31081507020145,229.85245901639345
2018-12-13,17.076191664805904,36.2,-28.24912935174069,239.20754716981133
2019-12-12,17.203522706398875,35.73015873015873,-19.137417569898776,155.14814814814815
2020-12-17,16.97234258196481,38.06666666666667,-28.041721169090653,181.7843137254902
2021-12-16,17.222430144629673,37.864285714285714,-22.60780636125418,156.11764705882354
2022-12-15,16.499860163769142,37.41785714285714,-27.97848227762021,198.86274509803923
2023-12-14,17.33047277169883,37.03333333333333,-26.402502747252747,237.29787234042553
